  I     	  II     	  LV     	  LV'		
-157.78   	 23.80   	 73.75   	 422.18		
-147.71   	 25.02   	 75.44   	 401.83		
-108.03   	 26.86   	 77.05   	 406.92		
-63.48   	 30.52   	 78.68   	 417.09		
-42.11   	 35.71   	 80.35   	 432.35		
-54.02   	 39.67   	 82.07   	 442.52		
-88.81   	 40.59   	 83.85   	 447.61		
-128.17   	 40.28   	 85.64   	 442.52		
-156.25   	 42.72   	 87.41   	 427.26		
-165.10   	 48.22   	 89.11   	 401.83		
-154.72   	 54.63   	 90.72   	 366.22		
-130.62   	 58.90   	 92.19   	 330.62		
-98.88   	 60.42   	 93.51   	 289.93		
-63.17   	 60.73   	 94.67   	 254.32		
-27.16   	 61.95   	 95.69   	 218.72		
  0.92   	 65.00   	 96.56   	 188.20		
  5.49   	 70.19   	 97.31   	 172.94		
-20.14   	 76.60   	 98.01   	 162.77		
-61.34   	 85.45   	 98.66   	 152.59		
-86.06   	 96.44   	 99.27   	 162.77		
-71.72   	109.86   	 99.92   	 157.68		
-29.60   	122.99   	100.55   	 172.94		
  4.27   	133.67   	101.24   	 172.94		
  5.80   	141.30   	101.93   	 178.03		
-16.17   	146.79   	102.64   	 178.03		
-27.16   	151.98   	103.36   	 178.03		
 -5.80   	159.30   	104.07   	 178.03		
 31.43   	169.68   	104.78   	 172.94		
 55.24   	181.58   	105.47   	 172.94		
 55.85   	194.09   	106.16   	 172.94		
 55.85   	206.30   	106.86   	 172.94		
 82.70   	215.76   	107.55   	 167.85		
133.67   	221.56   	108.22   	 167.85		
175.17   	224.91   	108.89   	 167.85		
171.51   	226.75   	109.56   	 167.85		
124.51   	227.36   	110.23   	 162.77		
 73.55   	225.52   	110.88   	 152.59		
 52.80   	219.12   	111.49   	 152.59		
 65.00   	207.82   	112.11   	 137.33		
 79.96   	195.31   	112.65   	 132.25		
 64.70   	185.85   	113.18   	 116.99		
 19.84   	178.53   	113.65   	 106.82		
-20.45   	167.85   	114.08   	  96.64		
-28.38   	148.93   	114.47   	  76.30		
-10.68   	121.15   	114.77   	  66.12		
  2.44   	 91.86   	115.04   	  50.86		
-16.48   	 70.50   	115.24   	  40.69		
-70.80   	 61.65   	115.40   	  30.52		
-131.84   	 60.42   	115.52   	  20.35		
-164.79   	 57.37   	115.60   	  20.35		
-156.86   	 45.47   	115.69   	  10.17		
-125.12   	 26.55   	115.73   	   5.09		
-103.76   	  9.46   	115.75(S)	  -5.09		
-115.97   	  2.14   	115.73   	 -10.17		
-159.91   	  4.27   	115.69   	 -20.35		
-209.05   	 10.07   	115.60   	 -30.52		
-231.32   	 12.51   	115.48   	 -45.78		
-216.06   	  8.54   	115.30   	 -61.04		
-176.39   	  0.31   	115.06   	 -76.30		
-131.53   	 -9.46   	114.75   	 -96.64		
-93.99   	-20.14   	114.36   	-122.07		
-71.72   	-29.91   	113.88   	-152.59		
-73.24   	-35.40   	113.27   	-178.03		
-108.34   	-32.65   	112.55   	-218.72		
-170.90   	-21.97   	111.68   	-254.32		
-234.07   	 -8.54   	110.66   	-289.93		
-263.98   	 -0.61   	109.50   	-315.36		
-246.28   	 -2.75   	108.24   	-325.53		
-191.35   	-12.51   	106.94   	-345.88		
-126.95   	-23.19   	105.55   	-356.05		
-79.04   	-29.60   	104.13   	-396.74		
-61.04   	-31.74   	102.54   	-447.61		
-75.07   	-30.82   	100.75   	-528.99		
-115.36   	-28.38   	 98.64   	-640.89		
-166.02   	-24.72   	 96.07   	-768.05		
-201.72   	-21.67   	 93.00   	-890.13		
-200.81   	-20.45   	 89.44   	-1017.29		
-165.10   	-22.89   	 85.37   	-1108.85		
-124.21   	-27.16   	 80.94   	-1180.06		
-108.95   	-30.52   	 76.22   	-1210.58		
-132.75   	-29.91   	 71.37   	-1205.49		
-178.22   	-26.25   	 66.55   	-1169.88		
-209.05   	-21.97   	 61.87   	-1098.67		
-204.47   	-20.14   	 57.48   	-1022.38		
-176.09   	-21.06   	 53.39   	-935.91		
-151.67   	-23.50   	 49.64   	-849.44		
-148.01   	-25.63   	 46.25   	-778.23		
-159.00   	-27.47   	 43.13   	-717.19		
-164.49   	-28.38   	 40.26   	-671.41		
-154.11   	-27.16   	 37.58   	-640.89		
-134.58   	-23.80   	 35.02   	-615.46		
-119.93   	-19.53   	 32.55   	-590.03		
-116.88   	-16.78   	 30.19   	-574.77		
-122.07   	-17.70   	 27.89   	-539.16		
