  I     	  II     	  LV     	  LV'		
  8.85   	-99.49   	 -1.91   	-457.78		
  7.32   	-99.49   	 -3.74   	-483.21		
  5.49   	-101.32   	 -5.68   	-401.83		
  3.05   	-103.76   	 -7.28   	-269.58		
  0.61   	-104.37   	 -8.36   	-137.33		
 -1.22   	-101.93   	 -8.91   	  25.43		
 -1.53   	-96.13   	 -8.81   	 315.36		
  0.61   	-87.89   	 -7.55   	 574.77		
  4.58   	-79.04   	 -5.25   	 574.77		
  9.46   	-72.02   	 -2.95   	 422.18		
 13.73   	-68.36   	 -1.26   	 244.15		
 16.17   	-68.05   	 -0.28   	 172.94		
 17.40   	-70.19   	  0.41   	 305.19		
 18.92   	-72.02   	  1.63   	 381.48		
 21.67   	-71.41   	  3.15   	  35.61		
 25.02   	-69.58   	  3.30   	-442.52		
 27.47   	-69.89   	  1.53   	-584.94		
 28.08   	-73.55   	 -0.81   	-539.16		
 25.63   	-78.74   	 -2.97   	-478.13		
 21.67   	-80.26   	 -4.88   	-356.05		
 18.01   	-73.85   	 -6.31   	-162.77		
 15.87   	-61.95   	 -6.96   	  45.78		
 17.09   	-51.27   	 -6.78   	 223.80		
 22.28   	-47.30   	 -5.88   	 350.97		
 29.60   	-47.91   	 -4.48   	 417.09		
 37.84   	-47.61   	 -2.81   	 381.48		
 44.25   	-40.59   	 -1.28   	 340.79		
 49.44   	-24.72   	  0.08   	 345.88		
 55.85   	 -2.44   	  1.46   	 269.58		
 66.53   	 22.28   	  2.54   	  81.38		
 82.09   	 42.72   	  2.87   	 -66.12		
100.40   	 53.41   	  2.60   	-162.77		
117.80   	 49.13   	  1.95   	-218.72		
131.23   	 28.69   	  1.08   	-188.20		
140.08   	 -1.83   	  0.33   	-147.51		
144.96   	-33.57   	 -0.26   	-111.90		
146.79   	-58.59   	 -0.71   	 -45.78		
144.35   	-74.16   	 -0.90   	  71.21		
136.11   	-83.92   	 -0.61   	 116.99		
118.41   	-93.38   	 -0.14   	  61.04		
 89.72   	-107.12   	  0.10   	  10.17		
 51.57   	-126.04   	  0.14   	  91.56		
 10.68   	-149.23   	  0.51   	 157.68		
-24.11   	-172.42   	  1.14   	 -15.26		
-45.17   	-192.57   	  1.08   	 -71.21		
-51.27   	-206.30   	  0.79   	 244.15		
-47.00   	-211.49   	  1.77   	 350.97		
-39.67   	-209.35   	  3.17   	 122.07		
-35.10   	-203.86   	  3.66   	 122.07		
-34.79   	-198.67   	  4.15   	 178.03		
-36.62   	-195.01   	  4.86   	  61.04		
-37.54   	-193.48   	  5.11   	 167.85		
-36.62   	-192.57   	  5.78   	 640.89		
-35.10   	-191.65   	  8.34   	 686.67		
-33.57   	-190.43   	 11.09   	 183.11		
-32.65   	-190.12   	 11.82   	 -20.35		
-31.74   	-189.51   	 11.74   	 -76.30		
-30.52   	-188.29   	 11.43   	-183.11		
-28.38   	-185.55   	 10.70   	-228.89		
-26.25   	-181.88   	  9.79   	-259.41		
-24.72   	-177.61   	  8.75   	-249.24		
-25.63   	-171.51   	  7.75   	-188.20		
-30.82   	-157.47   	  7.00   	-122.07		
-41.50   	-130.31   	  6.51   	-218.72		
-53.10   	-90.03   	  5.64   	-422.18		
-53.41   	-42.72   	  3.95   	-498.47		
-25.94   	  1.53   	  1.95   	-493.39		
 43.95   	 39.67   	 -0.02   	-447.61		
159.91   	 80.87   	 -1.81   	-269.58		
312.50   	140.38   	 -2.89   	 -96.64		
487.37   	225.52   	 -3.28   	 -20.35		
677.49   	326.23   	 -3.36   	  71.21		
882.26   	407.71   	 -3.07   	 167.85		
1095.89   	409.24(R)	 -2.40   	 223.80		
1282.35   	289.00   	 -1.51   	 371.31		
