  I     	  II     	  LVp     	  LVp'		
-65.31   	-62.26   	  5.23   	  71.21		
-54.93   	-59.51   	  5.51   	 106.82		
-62.56   	-68.66   	  5.94   	 162.77		
-69.89   	-76.60   	  6.59   	 244.15		
-69.27   	-76.90   	  7.57   	 340.79		
-63.48   	-70.80   	  8.93   	 457.78		
-58.90   	-64.39   	 10.76   	 595.11		
-57.98   	-61.95   	 13.14   	 737.54		
-58.90   	-63.17   	 16.09   	 885.04		
-58.29   	-65.31   	 19.63   	1032.55		
-53.41   	-64.70   	 23.76   	1154.62		
-45.78   	-61.04   	 28.38   	1266.53		
-39.06   	-55.85   	 33.45   	1337.74		
-35.71   	-52.49   	 38.80   	1378.43		
-36.93   	-52.80   	 44.31   	1388.60		
-37.84   	-54.93   	 49.87   	1363.17		
-33.87   	-55.85   	 55.32   	1312.30		
-23.50   	-53.41   	 60.57   	1241.09		
-10.38   	-48.22   	 65.53   	1164.80		
 -0.31   	-43.03   	 70.19   	1078.33		
  3.66   	-40.28   	 74.51   	 996.94		
  2.14   	-39.06   	 78.49   	 925.73		
 -0.61   	-37.23   	 82.20   	 859.61		
 -1.53   	-33.26   	 85.64   	 803.66		
  0.31   	-26.25   	 88.85   	 747.71		
  3.66   	-18.01   	 91.84   	 707.02		
  7.32   	 -9.16   	 94.67   	 661.24		
 10.68   	  0.00   	 97.31   	 620.55		
 14.04   	 10.38   	 99.80   	 579.86		
 17.40   	 23.80   	102.12   	 539.16		
 21.67   	 42.42   	104.27   	 503.56		
 27.77   	 65.92   	106.29   	 457.78		
 34.18   	 92.47   	108.12   	 427.26		
 39.06   	116.58   	109.83   	 381.48		
 40.59   	133.36   	111.35   	 350.97		
 38.76   	142.82   	112.76   	 315.36		
 35.71   	148.32   	114.02   	 284.84		
 33.57   	155.94   	115.16   	 254.32		
 33.26   	167.54   	116.17   	 233.98		
 33.87   	181.88   	117.11   	 213.63		
 34.48   	195.31   	117.96   	 198.37		
 36.01   	206.60   	118.76   	 183.11		
 40.59   	217.59   	119.49   	 167.85		
 48.52   	229.49   	120.16   	 152.59		
 57.07   	240.17   	120.77   	 147.51		
 63.17   	245.06   	121.36   	 132.25		
 65.61   	242.92   	121.89   	 122.07		
 64.39   	234.99   	122.38   	 106.82		
 61.65   	224.61   	122.81   	  86.47		
 57.68   	213.93   	123.15   	  76.30		
 52.80   	199.89   	123.46   	  55.95		
 46.39   	177.61   	123.68   	  40.69		
 38.15   	147.40   	123.84   	  15.26		
