  I     	  II     	  LV     	  LV'		
 26.86   	  5.49   	 77.99   	-345.88		
 27.47   	  7.63   	 76.60   	-376.40		
 25.02   	 11.60   	 75.10   	-437.43		
 21.06   	 15.26   	 73.35   	-549.34		
 18.92   	 14.34   	 71.15   	-676.50		
 20.45   	  7.93   	 68.44   	-803.66		
 23.19   	 -0.92   	 65.23   	-910.47		
 23.80   	 -7.32   	 61.59   	-981.68		
 21.06   	 -9.46   	 57.66   	-1012.20		
 16.78   	 -8.85   	 53.61   	-986.77		
 14.65   	 -8.24   	 49.66   	-930.82		
 16.17   	 -7.63   	 45.94   	-839.26		
 20.45   	 -5.80   	 42.58   	-737.54		
 24.41   	 -1.22   	 39.63   	-635.81		
 25.02   	  4.58   	 37.09   	-544.25		
 21.67   	  7.32   	 34.91   	-457.78		
 14.95   	  3.05   	 33.08   	-401.83		
  7.02   	 -6.71   	 31.47   	-361.14		
  2.44   	-15.56   	 30.03   	-335.71		
  3.66   	-18.31   	 28.69   	-330.62		
  9.46   	-15.26   	 27.37   	-325.53		
 15.56   	-11.29   	 26.06   	-330.62		
 16.48   	-10.68   	 24.74   	-330.62		
 11.60   	-12.82   	 23.42   	-335.71		
  3.97   	-13.12   	 22.08   	-320.45		
 -0.61   	 -9.77   	 20.79   	-315.36		
  0.00   	 -6.10   	 19.53   	-289.93		
  3.66   	 -8.54   	 18.37   	-264.50		
  6.10   	-17.40   	 17.31   	-233.98		
  4.58   	-27.77   	 16.38   	-203.46		
  0.92   	-32.65   	 15.56   	-167.85		
 -1.53   	-28.69   	 14.89   	-142.42		
  0.00   	-18.31   	 14.32   	-111.90		
  4.58   	 -5.80   	 13.88   	 -86.47		
  8.24   	  3.66   	 13.53   	 -66.12		
  7.63   	  7.63   	 13.27   	 -50.86		
  3.36   	  4.27   	 13.06   	 -35.61		
 -0.92   	 -6.10   	 12.92   	 -25.43		
 -2.14   	-19.84   	 12.82   	 -15.26		
  0.00   	-30.82   	 12.76   	 -10.17		
  3.36   	-33.26   	 12.72   	  -5.09		
  5.80   	-25.02   	 12.70   	   0.00		
  7.63   	 -8.54   	 12.70   	  10.17		
 10.99   	 10.38   	 12.74   	  10.17		
 14.95   	 26.86   	 12.78   	  10.17		
 17.40   	 38.45   	 12.82   	  20.35		
 17.09   	 46.39   	 12.90   	  20.35		
 15.87   	 52.80   	 12.98   	  25.43		
 18.92   	 61.04   	 13.08   	  30.52		
 28.99   	 74.77   	 13.20   	  25.43		
 43.64   	 95.52   	 13.31   	  30.52		
 58.29   	121.77   	 13.43   	  35.61		
 67.44   	145.87   	 13.57   	  30.52		
 71.72   	159.91   	 13.69   	  30.52		
 73.85   	159.00   	 13.81   	  30.52		
 76.90   	147.40   	 13.94   	  25.43		
 82.70   	137.33   	 14.04   	  25.43		
 90.64   	138.24   	 14.14   	  25.43		
100.10   	150.45   	 14.24   	  25.43		
109.25   	165.10   	 14.34   	  20.35		
113.53   	170.29   	 14.43   	  20.35		
108.64   	158.69   	 14.51   	  15.26		
 92.47   	133.06   	 14.57   	  15.26		
 66.22   	102.23   	 14.63   	  20.35		
 36.62   	 74.77   	 14.71   	  15.26		
 10.38   	 53.41   	 14.77   	  20.35		
 -6.71   	 34.79   	 14.85   	  20.35		
-13.12   	 14.65   	 14.93   	  30.52		
-10.07   	 -7.32   	 15.06   	  30.52		
 -2.44   	-26.55   	 15.18   	  40.69		
  2.75   	-37.54   	 15.34   	  45.78		
  0.31   	-40.28   	 15.52   	  50.86		
-10.38   	-40.59   	 15.73   	  61.04		
-23.19   	-44.86   	 15.97   	  71.21		
-31.43   	-53.41   	 16.26   	  81.38		
-31.13   	-60.73   	 16.58   	  81.38		
-23.80   	-61.04   	 16.91   	  91.56		
-15.26   	-54.02   	 17.27   	 101.73		
-10.07   	-44.25   	 17.68   	 101.73		
-11.29   	-36.93   	 18.09   	 106.82		
-19.53   	-30.52   	 18.51   	 111.90		
-35.71   	-19.84   	 18.96   	 106.82		
-55.54   	 -2.44   	 19.39   	 111.90		
-64.09   	 16.17   	 19.84   	 111.90		
-37.54   	 29.60   	 20.28   	 106.82		
 44.25   	 36.01   	 20.71   	 106.82		
180.97   	 45.47   	 21.14   	 101.73		
338.13   	 80.26   	 21.55   	 101.73		
458.37   	159.00   	 21.95   	  91.56		
492.86   	277.71   	 22.32   	  86.47		
431.52   	404.97   	 22.67   	  76.30		
307.92   	495.00   	 22.97   	  71.21		
177.92   	510.25(R)	 23.26(E)	  66.12		
 86.36   	446.17   	 23.52   	  50.86		
 43.64   	332.03   	 23.72   	  50.86		
 32.96   	214.54   	 23.93   	  40.69		
 31.13   	132.75   	 24.09   	  35.61		
 23.80   	 97.66   	 24.23   	  35.61		
  6.41   	 90.33   	 24.37   	  40.69		
-20.45   	 79.65   	 24.54   	  40.69		
-56.15   	 39.06   	 24.70   	  50.86		
-97.66   	-34.48   	 24.90   	  71.21		
-133.06   	-117.49   	 25.19   	  86.47		
-147.71   	-175.17   	 25.53   	 116.99		
-133.36   	-184.94   	 26.00   	 152.59		
-96.44   	-150.76   	 26.61   	 183.11		
-57.37   	-99.79   	 27.34   	 228.89		
-34.18   	-63.48   	 28.26   	 259.41		
-30.82   	-57.07   	 29.30   	 295.01		
-35.71   	-74.16   	 30.48   	 335.71		
-35.40   	-95.21   	 31.82   	 361.14		
-26.55   	-105.90   	 33.27   	 396.74		
-17.09   	-101.32   	 34.85   	 427.26		
-16.48   	-87.89   	 36.56   	 462.87		
-25.02   	-74.16   	 38.41   	 488.30		
-33.87   	-66.53   	 40.37   	 518.82		
-35.40   	-66.53   	 42.44   	 554.42		
-29.60   	-72.33   	 44.66   	 590.03		
-23.19   	-79.96   	 47.02   	 615.46		
-21.67   	-85.45   	 49.48   	 640.89		
-25.63   	-86.36   	 52.04   	 651.07		
-30.52   	-83.62   	 54.65   	 651.07		
-32.35   	-79.65   	 57.25   	 625.63		
-31.43   	-77.21   	 59.76   	 605.29		
-29.91   	-79.04   	 62.18   	 569.68		
-30.52   	-84.23   	 64.46   	 544.25		
-33.26   	-90.33   	 66.63   	 513.73		
-36.32   	-93.08   	 68.69   	 498.47		
-37.23   	-89.11   	 70.68   	 473.04		
-34.48   	-77.82   	 72.57   	 462.87		
-29.60   	-62.87   	 74.42   	 437.43		
-26.25   	-51.27   	 76.17   	 422.18		
-27.77   	-49.13   	 77.86   	 391.66		
-34.48   	-60.42   	 79.43   	 366.22		
-42.42   	-81.48   	 80.89   	 335.71		
