  I     	  II     	  AOp     	  AOp'		  FA     	  FA'		
  0.61   	 30.52   	106.16   	-233.98		 91.07   	 -61.04		
 -0.92   	 42.72   	105.23   	-218.72		 90.82   	  76.30		
 -3.36   	 47.91   	104.35   	-198.37		 91.13   	 101.73		
 -3.05   	 47.61   	103.56   	-188.20		 91.54   	  61.04		
  1.53   	 46.08   	102.81   	-167.85		 91.78   	  30.52		
  9.16   	 47.30   	102.14   	-162.77		 91.90   	  71.21		
 16.48   	 53.71   	101.48   	-152.59		 92.19   	 147.51		
 22.28   	 66.53   	100.87   	-147.51		 92.78   	 289.93		
 27.47   	 84.23   	100.28   	-147.51		 93.94   	 361.14		
 33.26   	101.01   	 99.69   	-147.51		 95.38   	 228.89		
 39.98   	110.17   	 99.10   	-132.25		 96.30   	 106.82		
 47.00   	105.90   	 98.58   	-127.16		 96.72   	 -96.64		
 53.41   	 87.59   	 98.07   	-111.90		 96.34   	-401.83		
 57.98   	 61.04   	 97.62   	 -91.56		 94.73   	-437.43		
 60.42   	 36.32   	 97.25   	 -66.12		 92.98   	-157.68		
 60.73   	 20.75   	 96.99   	 -40.69		 92.35   	  35.61		
 57.98   	 14.34   	 96.83   	 -20.35		 92.49   	 193.29		
 50.05   	 13.12   	 96.74   	  15.26		 93.27   	 157.68		
 37.54   	 10.38   	 96.81   	  45.78		 93.90   	-142.42		
 20.45   	  3.97   	 96.99   	  81.38		 93.33   	-279.75		
  1.83   	 -6.71   	 97.31   	 116.99		 92.21   	-188.20		
-14.65   	-20.14   	 97.78   	 147.51		 91.45   	-239.06		
-25.02   	-34.79   	 98.37   	 167.85		 90.50   	-391.66		
-27.16   	-49.13   	 99.04   	 167.85		 88.93   	-320.45		
-23.19   	-61.65   	 99.71   	 152.59		 87.65   	-167.85		
-17.70   	-70.50   	100.33   	 116.99		 86.98   	  10.17		
-15.87   	-75.38   	100.79   	  61.04		 87.02   	 167.85		
-19.84   	-77.21   	101.04   	   5.09		 87.69   	 142.42		
-26.86   	-77.21   	101.06   	 -66.12		 88.26   	  50.86		
-32.35   	-76.29   	100.79   	-127.16		 88.46   	 -66.12		
-32.96   	-75.68   	100.28   	-188.20		 88.20   	-167.85		
-29.60   	-75.99   	 99.53   	-239.06		 87.53   	 -81.38		
-25.33   	-75.99   	 98.58   	-269.58		 87.20   	 -30.52		
-22.89   	-75.38   	 97.50   	-300.10		 87.08   	 -10.17		
-23.19   	-73.85   	 96.30   	-310.27		 87.04   	  45.78		
-25.63   	-72.63   	 95.06   	-320.45		 87.22   	 -15.26		
-28.69   	-73.24   	 93.77   	-315.36		 87.16   	-122.07		
-32.35   	-78.74   	 92.51   	-305.19		 86.67   	-172.94		
-38.45   	-91.25   	 91.29   	-289.93		 85.98   	-147.51		
-50.66   	-115.36   	 90.13   	-279.75		 85.39   	-116.99		
-70.80   	-153.50   	 89.01   	-259.41		 84.92   	-137.33		
-97.35   	-200.81   	 87.98   	-239.06		 84.37   	-147.51		
-121.77   	-242.61   	 87.02   	-218.72		 83.78   	-137.33		
-125.73   	-256.35   	 86.14   	-203.46		 83.23   	-127.16		
-87.89   	-220.64   	 85.33   	-188.20		 82.73   	-122.07		
  6.41   	-125.43   	 84.58   	-167.85		 82.24   	-127.16		
158.08   	 23.50   	 83.91   	-157.68		 81.73   	-137.33		
348.51   	213.62   	 83.28   	-142.42		 81.18   	-137.33		
541.99   	434.88   	 82.71   	-137.33		 80.63   	-122.07		
695.50   	689.70   	 82.16   	-122.07		 80.14   	-111.90		
770.57   	967.10   	 81.67   	-228.89		 79.69   	-249.24		
625.31   	1351.32(R)	 80.75   	-111.90		 78.70   	-132.25		
447.08   	1308.90   	 80.30   	-111.90		 78.17   	-111.90		
260.01   	1083.37   	 79.86   	-111.90		 77.72   	 -71.21		
105.90   	753.78   	 79.41   	-116.99		 77.44   	 -35.61		
 -0.31   	440.37   	 78.94   	-122.07		 77.29   	 -20.35		
-66.83   	223.39   	 78.45   	-122.07		 77.21   	  -5.09		
-114.14   	111.08   	 77.97   	-122.07		 77.19   	   5.09		
-152.89   	 65.61   	 77.48   	-127.16		 77.21   	  10.17		
-178.83   	 47.30   	 76.97   	-127.16		 77.25   	  10.17		
-182.19   	 36.62   	 76.46   	-127.16		 77.29   	  20.35		
-159.91   	 28.38   	 75.95   	-122.07		 77.38   	  30.52		
-121.46   	 17.40   	 75.46   	-122.07		 77.50   	  20.35		
-82.70   	 -6.41   	 74.97   	-116.99		 77.58   	  10.17		
-56.15   	-44.56   	 74.51   	-111.90		 77.62   	   5.09		
-44.56   	-84.23   	 74.06   	-101.73		 77.64   	  10.17		
-43.33   	-109.56   	 73.65   	 -96.64		 77.68   	  -5.09		
-45.47   	-115.97   	 73.27   	 -81.38		 77.66   	 -15.26		
-46.69   	-112.92   	 72.94   	 -71.21		 77.60   	 -30.52		
-46.69   	-110.78   	 72.65   	 -50.86		 77.48   	 -40.69		
