  I     	  II     	  FA     	  FA'		  AO     	  AO'		
 80.57   	129.09   	 69.24   	 -30.52		 70.86   	 -40.69		
 79.35   	121.15   	 69.11   	 -40.69		 70.70   	 -40.69		
 76.29   	109.56   	 68.95   	 -50.86		 70.54   	 -45.78		
 70.80   	 94.91   	 68.75   	 -66.12		 70.36   	 -55.95		
 62.87   	 80.26   	 68.48   	 -76.30		 70.13   	 -55.95		
 53.41   	 68.66   	 68.18   	 -86.47		 69.91   	 -66.12		
 42.11   	 59.81   	 67.83   	-101.73		 69.64   	 -71.21		
 29.91   	 51.57   	 67.43   	-111.90		 69.36   	 -76.30		
 18.62   	 40.89   	 66.98   	-116.99		 69.05   	 -81.38		
 10.99   	 26.55   	 66.51   	-116.99		 68.73   	 -86.47		
  7.32   	 10.68   	 66.04   	-116.99		 68.38   	 -91.56		
  6.71   	 -3.05   	 65.57   	-111.90		 68.02   	 -86.47		
  5.80   	-12.82   	 65.13   	-101.73		 67.67   	 -96.64		
  3.05   	-18.31   	 64.72   	 -91.56		 67.28   	 -86.47		
 -0.61   	-20.75   	 64.35   	 -76.30		 66.94   	 -91.56		
 -3.97   	-22.28   	 64.05   	 -61.04		 66.57   	 -76.30		
 -5.49   	-23.19   	 63.80   	 -45.78		 66.27   	 -81.38		
 -4.88   	-23.80   	 63.62   	 -40.69		 65.94   	 -76.30		
 -3.05   	-23.19   	 63.46   	 -30.52		 65.64   	 -61.04		
 -1.22   	-20.45   	 63.34   	 -20.35		 65.39   	 -61.04		
  0.31   	-17.70   	 63.26   	 -20.35		 65.15   	 -45.78		
  0.31   	-16.17   	 63.17   	 -15.26		 64.96   	 -45.78		
 -1.22   	-17.09   	 63.11   	 -15.26		 64.78   	 -40.69		
 -3.66   	-18.92   	 63.05   	 -15.26		 64.62   	 -30.52		
 -5.80   	-19.53   	 62.99   	 -15.26		 64.50   	 -30.52		
 -8.24   	-17.70   	 62.93   	 -15.26		 64.37   	 -25.43		
-14.95   	-14.95   	 62.87   	 -15.26		 64.27   	 -20.35		
-30.82   	-14.95   	 62.81   	 -15.26		 64.19   	 -20.35		
-54.93   	-16.17   	 62.75   	 -10.17		 64.11   	 -15.26		
-76.60   	-11.60   	 62.71   	  -5.09		 64.05   	 -20.35		
-79.35   	  9.16   	 62.69   	 -10.17		 63.97   	 -10.17		
-50.05   	 50.35   	 62.64   	  -5.09		 63.93   	 -10.17		
 13.43   	108.03   	 62.62   	  -5.09		 63.89   	 -15.26		
106.20   	173.03   	 62.60   	  -5.09		 63.82   	 -10.17		
224.91   	243.84   	 62.58   	 -10.17		 63.78   	 -15.26		
375.37   	333.25   	 62.54   	 -10.17		 63.72   	 -15.26		
559.08   	455.32   	 62.50   	 -15.26		 63.66   	 -20.35		
754.39   	599.67   	 62.44   	 -30.52		 63.58   	 -25.43		
969.54   	722.05(R)	 62.32   	 -30.52		 63.48   	 -25.43		
904.54   	582.89   	 62.20   	 -40.69		 63.38   	 -30.52		
744.63   	319.52   	 62.03   	 -40.69		 63.26   	 -30.52		
557.86   	 16.17   	 61.87   	 -45.78		 63.13   	 -30.52		
412.29   	-238.95   	 61.69   	 -45.78		 63.01   	 -35.61		
332.95   	-404.05   	 61.51   	 -45.78		 62.87   	 -40.69		
295.72   	-489.50   	 61.32   	 -45.78		 62.71   	 -40.69		
255.74   	-524.29   	 61.14   	 -50.86		 62.54   	 -40.69		
184.94   	-520.94   	 60.94   	 -45.78		 62.38   	 -40.69		Beg---------
 85.75   	-473.33   	 60.75   	 -45.78		 62.22   	 -40.69		
-18.31   	-387.88   	 60.57   	 -45.78		 62.05   	 -45.78		
-104.98   	-294.49   	 60.39   	 -40.69		 61.87   	 -45.78		
-165.41   	-225.52   	 60.22   	 -45.78		 61.69   	 -45.78		
-205.08   	-192.87   	 60.04   	 -45.78		 61.51   	 -50.86		
-232.24   	-181.58   	 59.86   	 -40.69		 61.30   	 -50.86		
-249.94   	-167.24   	 59.69   	 -40.69		 61.10   	 -40.69		
-257.87   	-139.16   	 59.53   	 -35.61		 60.94   	 -45.78		
-254.52   	-106.81   	 59.39   	 -30.52		 60.75   	 -45.78		
-239.56   	-85.45   	 59.27   	 -25.43		 60.57   	 -45.78		
-214.54   	-78.13   	 59.17   	 -15.26		 60.39   	 -35.61		
-182.19   	-75.68   	 59.10   	  -5.09		 60.24   	 -40.69		
-145.87   	-65.61   	 59.08(D)	  10.17		 60.08   	 -40.69		
-110.17   	-44.56   	 59.12   	  25.43		 59.92   	 -25.43		
-80.87   	-21.06   	 59.23   	  40.69		 59.82   	 -25.43		
-61.04   	 -6.10   	 59.39   	  55.95		 59.71   	 -20.35		
-50.35   	 -5.49   	 59.61   	  71.21		 59.63   	 -20.35		
-45.47   	-14.34   	 59.90   	  86.47		 59.55   	 -10.17		
-42.72   	-22.89   	 60.24   	 106.82		 59.51   	   0.00		
-40.28   	-25.33   	 60.67   	 116.99		 59.51   	  10.17		
-37.84   	-22.28   	 61.14   	 137.33		 59.55   	  15.26		
-36.01   	-18.01   	 61.69   	 147.51		 59.61   	  30.52		
-34.79   	-15.87   	 62.28   	 167.85		 59.74   	  45.78		
-34.18   	-16.48   	 62.95   	 178.03		 59.92   	  55.95		
-34.18   	-18.31   	 63.66   	 193.29		 60.14   	  71.21		
-34.18   	-19.53   	 64.44   	 203.46		 60.43   	  91.56		
-34.48   	-19.53   	 65.25   	 218.72		 60.79   	 106.82		
-34.79   	-19.23   	 66.12   	 223.80		 61.22   	 122.07		
-34.79   	-18.92   	 67.02   	 233.98		 61.71   	 137.33		
-35.10   	-20.14   	 67.95   	 233.98		 62.26   	 152.59		
-34.48   	-21.67   	 68.89   	 244.15		 62.87   	 172.94		
-32.35   	-21.97   	 69.87   	 249.24		 63.56   	 183.11		
-28.99   	-20.75   	 70.86   	 254.32		 64.29   	 198.37		
-26.55   	-18.62   	 71.88   	 249.24		 65.09   	 213.63		
-26.55   	-18.31   	 72.88   	 254.32		 65.94   	 218.72		
-28.99   	-20.75   	 73.90   	 249.24		 66.82   	 233.98		
-32.04   	-24.41   	 74.89   	 249.24		 67.75   	 244.15		
-33.87   	-26.86   	 75.89   	 233.98		 68.73   	 249.24		
-34.18   	-27.77   	 76.83   	 228.89		 69.73   	 254.32		
-33.57   	-28.38   	 77.74   	 218.72		 70.74   	 259.41		
-33.57   	-30.21   	 78.62   	 208.54		 71.78   	 264.50		
-35.10   	-32.65   	 79.45   	 203.46		 72.84   	 269.58		
-36.93   	-33.57   	 80.26   	 198.37		 73.92   	 274.67		
-37.84   	-31.74   	 81.06   	 208.54		 75.01   	 284.84		
-36.93   	-28.38   	 81.89   	 223.80		 76.15   	 284.84		
-34.79   	-25.94   	 82.79   	 239.06		 77.29   	 305.19		
-32.35   	-25.63   	 83.74   	 269.58		 78.51   	 315.36		
-30.82   	-26.86   	 84.82   	 295.01		 79.78   	 320.45		
-29.91   	-28.99   	 86.00   	 325.53		 81.06   	 340.79		
-30.21   	-30.21   	 87.30   	 356.05		 82.42   	 356.05		
-31.43   	-31.13   	 88.73   	 376.40		 83.85   	 366.22		
-33.57   	-31.13   	 90.23   	 396.74		 85.31   	 386.57		
-35.40   	-30.21   	 91.82   	 401.83		 86.86   	 396.74		
-36.01   	-27.77   	 93.43   	 412.00		 88.44   	 412.00		
-34.79   	-24.41   	 95.08   	 401.83		 90.09   	 422.18		
-32.35   	-21.36   	 96.68   	 401.83		 91.78   	 432.35		
-31.13   	-20.45   	 98.29   	 391.66		 93.51   	 442.52		
-32.35   	-22.58   	 99.86   	 386.57		 95.28   	 447.61		
-35.10   	-26.55   	101.40   	 381.48		 97.07   	 447.61		
-38.15   	-29.91   	102.93   	 376.40		 98.86   	 452.69		
-39.06   	-28.69   	104.43   	 376.40		100.67   	 447.61		
-36.62   	-21.67   	105.94   	 371.31		102.46   	 452.69		
-32.35   	-10.38   	107.43   	 376.40		104.27   	 447.61		
-28.08   	  0.92   	108.93   	 376.40		106.06   	 437.43		
-24.72   	  9.46   	110.44   	 376.40		107.81   	 437.43		
-23.19   	 13.12   	111.94   	 376.40		109.56   	 432.35		
-22.58   	 14.04   	113.45   	 381.48		111.29   	 417.09		
-22.28   	 14.65   	114.97   	 371.31		112.96   	 417.09		
-22.89   	 16.78   	116.46   	 371.31		114.63   	 406.92		
-25.02   	 19.84   	117.94   	 371.31		116.26   	 401.83		
-28.38   	 23.19   	119.43   	 366.22		117.86   	 396.74		
-31.43   	 27.16   	120.89   	 361.14		119.45   	 386.57		
-32.35   	 32.04   	122.34   	 361.14		121.00   	 381.48		
-29.60   	 39.06   	123.78   	 356.05		122.52   	 376.40		
-24.11   	 47.30   	125.21   	 361.14		124.03   	 371.31		
-17.40   	 56.15   	126.65   	 350.97		125.51   	 366.22		
-11.29   	 64.70   	128.06   	 350.97		126.98   	 361.14		
 -6.41   	 72.33   	129.46   	 340.79		128.42   	 356.05		
 -2.44   	 79.96   	130.82   	 340.79		129.85   	 345.88		
  2.14   	 88.20   	132.19   	 325.53		131.23   	 340.79		
  7.63   	 96.13   	133.49   	 320.45		132.59   	 335.71		
 13.43   	101.32   	134.77   	 305.19		133.94   	 320.45		
 18.62   	103.15   	135.99   	 295.01		135.22   	 315.36		
 22.58   	102.54   	137.17   	 274.67		136.48   	 305.19		
 26.86   	103.15   	138.27   	 269.58		137.70   	 295.01		
 32.35   	107.73   	139.35   	 249.24		138.88   	 279.75		
 39.06   	115.97   	140.35   	 239.06		140.00   	 269.58		
 45.78   	122.68   	141.30   	 223.80		141.08   	 254.32		
 50.05   	123.60   	142.20   	 208.54		142.10   	 244.15		
 51.27   	117.80   	143.03   	 203.46		143.07   	 233.98		
 50.35   	108.34   	143.84   	 183.11		144.01   	 218.72		
 48.83   	 99.79   	144.58   	 178.03		144.88   	 208.54		
 47.30   	 94.30   	145.29   	 157.68		145.72   	 188.20		
 45.17   	 90.33   	145.92   	 152.59		146.47   	 183.11		
 42.11   	 85.45   	146.53   	 132.25		147.20   	 167.85		
 38.76   	 78.43   	147.06   	 122.07		147.87   	 152.59		
 35.40   	 70.50   	147.55   	 106.82		148.48   	 137.33		
 32.35   	 62.26   	147.98   	  86.47		149.03   	 132.25		
 28.99   	 55.85   	148.32   	  66.12		149.56   	 111.90		
 24.41   	 50.96   	148.59   	  45.78		150.01   	  96.64		
 20.14   	 48.52   	148.77   	  20.35		150.40   	  86.47		
 17.40   	 47.61   	148.85(S)	   0.00		150.74   	  66.12		
 16.78   	 45.78   	148.85   	 -25.43		151.01   	  55.95		
 17.40   	 40.89   	148.75   	 -55.95		151.23   	  30.52		
 17.70   	 31.43   	148.52   	 -81.38		151.35   	  15.26		
 16.78   	 19.84   	148.20   	-106.82		151.41(S)	  -5.09		
 14.04   	 10.07   	147.77   	-132.25		151.39   	 -20.35		
 10.68   	  5.49   	147.24   	-162.77		151.31   	 -50.86		
  8.54   	  7.63   	146.59   	-183.11		151.11   	 -66.12		
  8.24   	 13.43   	145.86   	-198.37		150.84   	 -91.56		
 10.07   	 18.62   	145.07   	-223.80		150.48   	-111.90		
 13.43   	 19.84   	144.17   	-233.98		150.03   	-137.33		
 16.17   	 17.09   	143.23   	-249.24		149.48   	-157.68		
 17.09   	 12.82   	142.24   	-264.50		148.85   	-183.11		
 14.95   	  9.46   	141.18   	-264.50		148.12   	-198.37		
 10.07   	  7.32   	140.12   	-274.67		147.32   	-218.72		
  4.27   	  4.88   	139.02   	-279.75		146.45   	-233.98		
 -0.61   	  0.61   	137.90   	-284.84		145.51   	-249.24		
 -3.05   	 -3.66   	136.76   	-284.84		144.52   	-264.50		
 -3.05   	 -5.80   	135.63   	-284.84		143.46   	-279.75		
 -1.22   	 -4.27   	134.49   	-289.93		142.34   	-284.84		
  0.31   	 -0.61   	133.33   	-284.84		141.20   	-295.01		
  0.92   	  3.05   	132.19   	-289.93		140.02   	-305.19		
  0.00   	  3.97   	131.03   	-284.84		138.80   	-305.19		
 -1.53   	  2.75   	129.89   	-284.84		137.58   	-315.36		
 -3.36   	  0.92   	128.75   	-279.75		136.32   	-310.27		
 -5.49   	 -0.92   	127.63   	-274.67		135.08   	-315.36		
 -7.32   	 -2.75   	126.53   	-269.58		133.81   	-315.36		
 -8.54   	 -4.88   	125.45   	-264.50		132.55   	-315.36		
 -8.24   	 -7.02   	124.39   	-259.41		131.29   	-310.27		
 -7.02   	 -7.63   	123.36   	-254.32		130.05   	-310.27		
 -5.19   	 -5.49   	122.34   	-244.15		128.81   	-310.27		
 -4.27   	 -0.61   	121.36   	-244.15		127.57   	-300.10		
 -5.49   	  3.97   	120.39   	-239.06		126.37   	-300.10		
 -7.32   	  6.10   	119.43   	-228.89		125.17   	-289.93		
 -9.16   	  4.58   	118.51   	-228.89		124.01   	-284.84		
-10.07   	  0.00   	117.60   	-223.80		122.87   	-279.75		
-10.99   	 -5.49   	116.70   	-223.80		121.75   	-274.67		
-12.82   	-10.07   	115.81   	-218.72		120.65   	-264.50		
-14.95   	-11.60   	114.93   	-213.63		119.59   	-259.41		
-15.87   	 -9.46   	114.08   	-213.63		118.55   	-249.24		
-14.65   	 -4.27   	113.22   	-213.63		117.56   	-254.32		
-11.29   	  2.14   	112.37   	-208.54		116.54   	-228.89		
 -8.85   	  5.80   	111.54   	-208.54		115.63   	-233.98		
 -8.54   	  4.27   	110.70   	-203.46		114.69   	-223.80		
-10.99   	 -2.14   	109.89   	-203.46		113.79   	-223.80		
-13.73   	 -9.46   	109.07   	-203.46		112.90   	-218.72		
-15.26   	-13.43   	108.26   	-198.37		112.02   	-208.54		
-14.34   	-11.90   	107.47   	-198.37		111.19   	-208.54		
-12.21   	 -7.02   	106.67   	-193.29		110.36   	-198.37		
-10.07   	 -2.44   	105.90   	-188.20		109.56   	-198.37		
 -8.54   	 -1.22   	105.15   	-188.20		108.77   	-198.37		
 -8.24   	 -4.27   	104.39   	-183.11		107.98   	-183.11		
 -8.24   	-10.07   	103.66   	-178.03		107.24   	-183.11		
 -7.93   	-15.56   	102.95   	-178.03		106.51   	-183.11		
 -7.02   	-18.01   	102.24   	-172.94		105.78   	-178.03		
 -6.10   	-16.17   	101.55   	-172.94		105.07   	-172.94		
 -6.10   	-11.60   	100.85   	-167.85		104.37   	-172.94		
 -7.63   	 -6.71   	100.18   	-167.85		103.68   	-167.85		
-10.68   	 -4.88   	 99.51   	-167.85		103.01   	-162.77		
-13.73   	 -7.32   	 98.84   	-162.77		102.36   	-162.77		
-15.56   	-13.43   	 98.19   	-162.77		101.71   	-157.68		
-14.95   	-20.75   	 97.54   	-162.77		101.08   	-157.68		
-13.43   	-25.63   	 96.89   	-157.68		100.45   	-157.68		
-11.29   	-24.41   	 96.26   	-162.77		 99.82   	-152.59		
-10.07   	-16.17   	 95.60   	-157.68		 99.21   	-152.59		
 -9.16   	 -4.27   	 94.97   	-157.68		 98.60   	-152.59		
 -9.46   	  4.58   	 94.34   	-157.68		 97.99   	-152.59		
-10.99   	  3.66   	 93.71   	-147.51		 97.37   	-147.51		
-13.43   	 -7.32   	 93.12   	-147.51		 96.78   	-147.51		
-15.56   	-22.28   	 92.53   	-142.42		 96.19   	-147.51		
-15.87   	-31.13   	 91.96   	-142.42		 95.60   	-142.42		
-13.43   	-28.99   	 91.39   	-132.25		 95.04   	-142.42		
 -9.46   	-18.31   	 90.86   	-132.25		 94.47   	-142.42		
 -7.02   	 -7.32   	 90.34   	-132.25		 93.90   	-142.42		
 -8.85   	 -2.75   	 89.81   	-127.16		 93.33   	-142.42		
-13.43   	 -5.80   	 89.30   	-132.25		 92.76   	-132.25		
-18.31   	-12.21   	 88.77   	-122.07		 92.23   	-137.33		
-19.53   	-16.48   	 88.28   	-127.16		 91.68   	-132.25		
-16.48   	-17.40   	 87.77   	-122.07		 91.15   	-137.33		
-12.21   	-15.87   	 87.28   	-122.07		 90.60   	-127.16		
 -8.85   	-14.65   	 86.80   	-116.99		 90.09   	-127.16		
 -8.24   	-14.34   	 86.33   	-116.99		 89.58   	-127.16		
 -9.16   	-14.34   	 85.86   	-106.82		 89.07   	-127.16		
-10.99   	-14.95   	 85.43   	-106.82		 88.57   	-122.07		
-13.12   	-15.87   	 85.00   	-101.73		 88.08   	-122.07		
-14.95   	-18.01   	 84.60   	-101.73		 87.59   	-116.99		
-16.17   	-20.45   	 84.19   	 -96.64		 87.12   	-111.90		
-15.56   	-21.06   	 83.80   	 -91.56		 86.67   	-111.90		
-12.51   	-18.62   	 83.44   	 -96.64		 86.23   	-111.90		
 -9.46   	-13.73   	 83.05   	 -91.56		 85.78   	-106.82		
 -8.24   	 -9.77   	 82.69   	 -96.64		 85.35   	-101.73		
 -9.46   	 -9.77   	 82.30   	 -96.64		 84.94   	-101.73		
-11.60   	-14.65   	 81.91   	-101.73		 84.54   	-101.73		
-11.90   	-19.53   	 81.51   	-106.82		 84.13   	 -96.64		
 -9.77   	-19.53   	 81.08   	-101.73		 83.74   	 -96.64		
 -7.02   	-12.82   	 80.67   	-106.82		 83.36   	 -91.56		
 -5.19   	 -3.05   	 80.24   	-101.73		 82.99   	 -91.56		
 -5.49   	  3.66   	 79.84   	-106.82		 82.62   	 -91.56		
 -7.63   	  1.53   	 79.41   	-101.73		 82.26   	 -86.47		
 -9.46   	 -7.93   	 79.00   	-101.73		 81.91   	 -86.47		
-10.68   	-19.84   	 78.60   	-101.73		 81.57   	 -86.47		
-10.68   	-27.16   	 78.19   	 -96.64		 81.22   	 -81.38		
-10.07   	-27.16   	 77.80   	 -96.64		 80.89   	 -81.38		
 -9.16   	-21.06   	 77.42   	 -96.64		 80.57   	 -86.47		
 -8.54   	-12.21   	 77.03   	 -96.64		 80.22   	 -81.38		
 -8.24   	 -5.19   	 76.64   	 -91.56		 79.90   	 -76.30		
 -8.24   	 -2.44   	 76.28   	 -96.64		 79.59   	 -81.38		
 -8.54   	 -4.88   	 75.89   	 -96.64		 79.27   	 -81.38		
 -8.85   	-10.07   	 75.50   	 -91.56		 78.94   	 -76.30		
 -8.24   	-13.73   	 75.14   	 -91.56		 78.64   	 -76.30		
 -6.71   	-13.12   	 74.77   	 -91.56		 78.33   	 -81.38		
 -3.97   	 -7.93   	 74.40   	 -91.56		 78.01   	 -81.38		
 -2.14   	 -1.53   	 74.04   	 -86.47		 77.68   	 -86.47		
 -2.44   	  1.22   	 73.69   	 -86.47		 77.33   	 -81.38		
 -5.19   	 -1.83   	 73.35   	 -76.30		 77.01   	 -86.47		
 -8.54   	 -9.77   	 73.04   	 -71.21		 76.66   	 -86.47		
 -9.46   	-18.31   	 72.76   	 -66.12		 76.32   	 -86.47		
 -7.63   	-23.19   	 72.49   	 -55.95		 75.97   	 -86.47		
 -5.19   	-21.67   	 72.27   	 -50.86		 75.63   	 -86.47		
 -3.97   	-13.73   	 72.06   	 -40.69		 75.28   	 -81.38		
 -5.49   	 -3.97   	 71.90   	 -35.61		 74.95   	 -86.47		
 -8.24   	  1.83   	 71.76   	 -25.43		 74.61   	 -86.47		
 -9.46   	  0.31   	 71.66   	 -25.43		 74.26   	 -76.30		
 -7.93   	 -7.32   	 71.56   	 -20.35		 73.96   	 -81.38		
 -4.88   	-16.17   	 71.47   	 -15.26		 73.63   	 -76.30		
 -2.75   	-19.84   	 71.41   	 -20.35		 73.33   	 -71.21		
 -3.05   	-15.87   	 71.33   	 -15.26		 73.04   	 -71.21		
 -5.49   	 -7.32   	 71.27   	 -20.35		 72.76   	 -61.04		
 -7.32   	  1.22   	 71.19   	 -25.43		 72.51   	 -61.04		
 -6.71   	  5.80   	 71.09   	 -25.43		 72.27   	 -61.04		
 -3.66   	  5.49   	 70.99   	 -30.52		 72.02   	 -50.86		
 -0.92   	  2.14   	 70.86   	 -30.52		 71.82   	 -61.04		
 -0.92   	 -1.83   	 70.74   	 -35.61		 71.58   	 -40.69		
 -3.97   	 -4.58   	 70.60   	 -35.61		 71.41   	 -50.86		
 -7.63   	 -5.80   	 70.46   	 -45.78		 71.21   	 -45.78		
 -8.85   	 -6.71   	 70.27   	 -45.78		 71.03   	 -45.78		
 -6.71   	 -8.24   	 70.09   	 -50.86		 70.84   	 -45.78		
 -3.36   	 -9.77   	 69.89   	 -50.86		 70.66   	 -45.78		
 -0.92   	-10.38   	 69.68   	 -61.04		 70.48   	 -45.78		
 -0.92   	 -9.46   	 69.44   	 -55.95		 70.29   	 -45.78		
 -1.83   	 -7.02   	 69.22   	 -66.12		 70.11   	 -50.86		
 -1.53   	 -3.97   	 68.95   	 -66.12		 69.91   	 -50.86		
  1.53   	 -0.61   	 68.69   	 -66.12		 69.70   	 -55.95		
  5.80   	  2.44   	 68.42   	 -66.12		 69.48   	 -55.95		
  9.46   	  5.49   	 68.16   	 -71.21		 69.26   	 -55.95		
  9.46   	  7.02   	 67.87   	 -71.21		 69.03   	 -61.04		
  6.41   	  6.71   	 67.59   	 -71.21		 68.79   	 -61.04		
  3.36   	  7.02   	 67.30   	 -76.30		 68.55   	 -61.04		
  3.05   	 11.29   	 67.00   	 -71.21		 68.30   	 -61.04		
  6.10   	 21.36   	 66.71   	 -76.30		 68.06   	 -71.21		
 10.99   	 36.32   	 66.41   	 -71.21		 67.77   	 -61.04		
 14.95   	 51.57   	 66.12   	 -76.30		 67.53   	 -66.12		
 17.09   	 63.78   	 65.82   	 -71.21		 67.26   	 -66.12		
 18.01   	 72.02   	 65.53   	 -76.30		 67.00   	 -66.12		
 19.84   	 78.43   	 65.23   	 -71.21		 66.73   	 -71.21		
 22.58   	 83.62   	 64.94   	 -76.30		 66.45   	 -66.12		
 25.63   	 86.98   	 64.64   	 -71.21		 66.18   	 -61.04		
 27.77   	 88.50   	 64.35   	 -71.21		 65.94   	 -66.12		
 29.30   	 89.72   	 64.07   	 -66.12		 65.68   	 -71.21		
 31.13   	 93.08   	 63.80   	 -71.21		 65.39   	 -61.04		
 33.87   	101.01   	 63.52   	 -66.12		 65.15   	 -61.04		
 38.76   	112.30   	 63.26   	 -66.12		 64.90   	 -61.04		
 44.86   	123.29   	 62.99   	 -61.04		 64.66   	 -61.04		
 51.27   	130.00   	 62.75   	 -66.12		 64.41   	 -61.04		
 57.37   	130.00   	 62.48   	 -55.95		 64.17   	 -55.95		
 62.87   	124.51   	 62.26   	 -61.04		 63.95   	 -61.04		
 67.44   	118.10   	 62.01   	 -55.95		 63.70   	 -55.95		
 71.41   	112.00   	 61.79   	 -50.86		 63.48   	 -55.95		
 73.55   	106.20   	 61.59   	 -50.86		 63.26   	 -50.86		
 72.94   	 97.35   	 61.38   	 -45.78		 63.05   	 -55.95		
 68.05   	 83.01   	 61.20   	 -45.78		 62.83   	 -50.86		
 59.20   	 63.48   	 61.02   	 -45.78		 62.62   	 -50.86		
 48.52   	 44.25   	 60.83   	 -40.69		 62.42   	 -50.86		
 37.54   	 31.74   	 60.67   	 -40.69		 62.22   	 -45.78		
 27.47   	 27.77   	 60.51   	 -40.69		 62.03   	 -50.86		
 18.62   	 27.16   	 60.35   	 -40.69		 61.83   	 -40.69		
 11.29   	 22.28   	 60.18   	 -35.61		 61.67   	 -45.78		
  5.19   	  6.41   	 60.04   	 -40.69		 61.49   	 -45.78		
 -0.31   	-18.31   	 59.88   	 -35.61		 61.30   	 -40.69		
 -5.49   	-43.33   	 59.74   	 -35.61		 61.14   	 -40.69		
-10.07   	-58.59   	 59.59   	 -35.61		 60.98   	 -40.69		
-13.12   	-60.12   	 59.45   	 -35.61		 60.81   	 -35.61		
-13.43   	-52.49   	 59.31   	 -30.52		 60.67   	 -35.61		
-12.21   	-44.56   	 59.19   	 -35.61		 60.53   	 -40.69		
-10.99   	-43.03   	 59.04   	 -30.52		 60.37   	 -35.61		
-10.99   	-48.22   	 58.92   	 -35.61		 60.22   	 -30.52		
-12.51   	-55.24   	 58.78   	 -30.52		 60.10   	 -35.61		
-14.04   	-59.20   	 58.66   	 -25.43		 59.96   	 -35.61		
-15.26   	-59.51   	 58.56   	 -30.52		 59.82   	 -35.61		
-15.87   	-58.29   	 58.43   	 -30.52		 59.67   	 -25.43		
-16.48   	-57.37   	 58.31   	 -30.52		 59.57   	 -30.52		
-17.70   	-57.07   	 58.19   	 -30.52		 59.45   	 -30.52		
-18.92   	-55.24   	 58.07   	 -25.43		 59.33   	 -30.52		
-21.67   	-51.27   	 57.97   	 -30.52		 59.21   	 -25.43		
-29.60   	-47.91   	 57.84   	 -35.61		 59.10   	 -35.61		
-45.47   	-46.69   	 57.70   	 -30.52		 58.96   	 -25.43		
-66.53   	-45.47   	 57.58   	 -35.61		 58.86   	 -30.52		
-80.87   	-38.15   	 57.44   	 -35.61		 58.74   	 -25.43		
-74.16   	-17.09   	 57.29   	 -35.61		 58.64   	 -35.61		
-36.01   	 18.31   	 57.15   	 -40.69		 58.49   	 -25.43		
 33.26   	 63.48   	 56.99   	 -35.61		 58.39   	 -35.61		
129.70   	114.44   	 56.85   	 -40.69		 58.25   	 -30.52		
256.35   	177.61   	 56.68   	 -40.69		 58.13   	 -30.52		
419.31   	270.69   	 56.52   	 -35.61		 58.01   	 -30.52		
614.62   	405.58   	 56.38   	 -40.69		 57.88   	 -30.52		
810.55   	558.47   	 56.22   	 -40.69		 57.76   	 -40.69		
967.41   	661.93(R)	 56.05   	 -35.61		 57.60   	 -35.61		
859.38   	506.59   	 55.91   	 -35.61		 57.46   	 -40.69		
667.11   	237.73   	 55.77   	 -35.61		 57.29   	 -30.52		
469.36   	-59.81   	 55.63   	 -35.61		 57.17   	 -35.61		
329.28   	-307.92   	 55.48   	 -35.61		 57.03   	 -30.52		
259.70   	-472.11   	 55.34   	 -30.52		 56.91   	 -35.61		
225.52   	-559.08   	 55.22   	 -30.52		 56.76   	 -35.61		
182.19   	-586.85   	 55.10   	 -30.52		 56.62   	 -30.52		
109.86   	-561.22   	 54.97   	 -35.61		 56.50   	 -35.61		
 18.92   	-484.31   	 54.83   	 -30.52		 56.36   	 -30.52		
-68.05   	-379.03   	 54.71   	 -30.52		 56.24   	 -35.61		
-134.89   	-285.64   	 54.59   	 -30.52		 56.09   	 -30.52		
-180.66   	-233.46   	 54.47   	 -30.52		 55.97   	 -30.52		
-212.71   	-220.95   	 54.34   	 -30.52		 55.85   	 -30.52		
-236.51   	-220.95   	 54.22   	 -30.52		 55.73   	 -35.61		
-252.69   	-204.77   	 54.10   	 -25.43		 55.58   	 -30.52		
-259.09   	-167.24   	 54.00   	 -30.52		 55.46   	 -30.52		
-255.43   	-126.04   	 53.88   	 -20.35		 55.34   	 -30.52		
-240.48   	-101.01   	 53.79   	 -20.35		 55.22   	 -30.52		
-214.84   	-96.13   	 53.71   	 -20.35		 55.10   	 -25.43		
-180.36   	-99.18   	 53.63   	 -10.17		 54.99   	 -30.52		
-141.60   	-93.38   	 53.59(D)	   0.00		 54.87   	 -25.43		
-104.98   	-72.94   	 53.59   	   5.09		 54.77   	 -25.43		
-76.60   	-46.39   	 53.61   	  20.35		 54.67   	 -25.43		
-59.20   	-27.16   	 53.69   	  30.52		 54.57   	 -20.35		
-50.35   	-23.19   	 53.81   	  45.78		 54.49   	 -15.26		
-45.47   	-29.30   	 54.00   	  66.12		 54.43   	 -10.17		
-40.28   	-35.40   	 54.26   	  81.38		 54.38   	  -5.09		
-34.48   	-36.01   	 54.59   	 101.73		 54.36   	   0.00		
-30.52   	-33.57   	 54.99   	 122.07		 54.36   	  15.26		
-30.21   	-34.18   	 55.48   	 147.51		 54.43   	  20.35		
-32.96   	-39.67   	 56.07   	 167.85		 54.51   	  35.61		
-36.32   	-47.00   	 56.74   	 193.29		 54.65   	  45.78		
-36.93   	-50.66   	 57.52   	 208.54		 54.83   	  66.12		
-34.79   	-49.44   	 58.35   	 228.89		 55.10   	  76.30		
-30.52   	-44.56   	 59.27   	 244.15		 55.40   	  96.64		
