  I     	  II     	  FA     	  FA'		  AO     	  AO'		
 -7.02   	 -5.80   	  4.19   	   0.00		 -2.48   	   5.09		
 -4.58   	 -3.66   	  4.19   	  -5.09		 -2.46   	   0.00		
 -2.14   	  0.61   	  4.17   	   0.00		 -2.46   	   5.09		
  0.00   	  8.24   	  4.17   	  -5.09		 -2.44   	   0.00		
  2.75   	 19.53   	  4.15   	  -5.09		 -2.44   	   0.00		
  5.19   	 32.65   	  4.13   	   0.00		 -2.44   	  -5.09		
  7.02   	 44.25   	  4.13   	  -5.09		 -2.46   	   0.00		
  8.85   	 52.19   	  4.11   	  -5.09		 -2.46   	  -5.09		
 11.29   	 56.15   	  4.09   	  -5.09		 -2.48   	  -5.09		
 14.95   	 58.29   	  4.07   	 -10.17		 -2.50   	 -10.17		
 19.53   	 61.65   	  4.03   	  -5.09		 -2.54   	  -5.09		
 24.11   	 67.44   	  4.01   	  -5.09		 -2.56   	  -5.09		
 27.47   	 76.60   	  3.99   	   0.00		 -2.58   	 -15.26		
 28.99   	 87.28   	  3.99   	  -5.09		 -2.64   	  -5.09		
 30.21   	 98.27   	  3.97   	  -5.09		 -2.67   	 -10.17		
 32.65   	106.81   	  3.95   	  -5.09		 -2.71   	 -10.17		
 37.54   	112.00   	  3.93   	   0.00		 -2.75   	  -5.09		
 43.64   	112.92   	  3.93   	   0.00		 -2.77   	  -5.09		
 49.44   	110.78   	  3.93   	   0.00		 -2.79   	  -5.09		
 53.10   	107.12   	  3.93   	   5.09		 -2.81   	  -5.09		
 55.54   	102.54   	  3.95   	   5.09		 -2.83   	   0.00		
 58.90   	 98.57   	  3.97   	   0.00		 -2.83   	   5.09		
 64.09   	 94.91   	  3.97   	   5.09		 -2.81   	   0.00		
 68.66   	 89.42   	  3.99   	  10.17		 -2.81   	   5.09		
 69.89   	 80.87   	  4.03   	   5.09		 -2.79   	   5.09		
 65.61   	 68.36   	  4.05   	  10.17		 -2.77   	  10.17		
 56.46   	 52.49   	  4.09   	   5.09		 -2.73   	   5.09		
 44.25   	 36.93   	  4.11   	  10.17		 -2.71   	  10.17		
 31.13   	 24.72   	  4.15   	  10.17		 -2.67   	   5.09		
 17.70   	 16.48   	  4.19   	  10.17		 -2.64   	  15.26		
  4.88   	  9.46   	  4.23   	   5.09		 -2.58   	   5.09		
 -5.80   	  0.31   	  4.25   	  10.17		 -2.56   	   5.09		
-11.90   	-12.82   	  4.29   	   5.09		 -2.54   	   5.09		
-13.43   	-28.38   	  4.31   	  10.17		 -2.52   	   5.09		
-13.12   	-43.03   	  4.35   	   0.00		 -2.50   	   5.09		
-13.73   	-54.02   	  4.35   	   5.09		 -2.48   	   5.09		
-16.78   	-60.12   	  4.37   	   5.09		 -2.46   	   5.09		
-21.06   	-62.56   	  4.39   	   0.00		 -2.44   	   0.00		
-24.11   	-63.17   	  4.39   	   0.00		 -2.44   	   5.09		
-24.72   	-63.17   	  4.39   	   0.00		 -2.42   	   0.00		
-23.50   	-63.78   	  4.39   	  -5.09		 -2.42   	   0.00		
-23.19   	-65.31   	  4.37   	   0.00		 -2.42   	   0.00		
-24.41   	-66.83   	  4.37   	   0.00		 -2.42   	   0.00		
-26.86   	-67.44   	  4.37   	   0.00		 -2.42   	  -5.09		
-29.30   	-66.53   	  4.37   	  -5.09		 -2.44   	   0.00		
-29.60   	-64.09   	  4.35   	   0.00		 -2.44   	  -5.09		
-28.08   	-61.04   	  4.35   	   5.09		 -2.46   	  -5.09		
-27.16   	-58.29   	  4.37   	   0.00		 -2.48   	  -5.09		
-30.82   	-57.68   	  4.37   	   0.00		 -2.50   	   0.00		
-43.95   	-59.51   	  4.37   	   5.09		 -2.50   	 -10.17		
-65.61   	-61.34   	  4.39   	   5.09		 -2.54   	  -5.09		
-88.50   	-57.98   	  4.42   	   5.09		 -2.56   	   0.00		
-98.27   	-41.81   	  4.44   	   5.09		 -2.56   	  -5.09		
-81.79   	 -7.63   	  4.46   	   5.09		 -2.58   	   0.00		
-32.65   	 43.33   	  4.48   	  10.17		 -2.58   	 -10.17		
 47.00   	104.68   	  4.52   	   5.09		 -2.62   	  -5.09		
154.72   	172.42   	  4.54   	   5.09		 -2.64   	  -5.09		
294.80   	252.99   	  4.56   	   5.09		 -2.67   	   0.00		
471.19   	360.41   	  4.58   	   5.09		 -2.67   	  -5.09		
672.00   	496.83   	  4.60   	   5.09		 -2.69   	   0.00		
967.41   	688.48(R)	  4.62   	   5.09		 -2.69   	   0.00		
957.64   	616.46   	  4.64   	   0.00		 -2.69   	  -5.09		
831.30   	402.22   	  4.64   	   5.09		 -2.71   	   0.00		
643.62   	107.12   	  4.66   	   0.00		 -2.71   	   0.00		
469.06   	-174.87   	  4.66   	   0.00		 -2.71   	   0.00		
357.06   	-378.11   	  4.66   	   0.00		 -2.71   	   0.00		
305.18   	-491.03   	  4.66   	   0.00		 -2.71   	   0.00		
272.83   	-541.08   	  4.66   	   0.00		 -2.71   	   5.09		
218.81   	-553.89   	  4.66   	  -5.09		 -2.69   	   0.00		
131.23   	-530.40   	  4.64   	   0.00		 -2.69   	   5.09		
 25.02   	-465.39   	  4.64   	  -5.09		 -2.67   	   0.00		
-75.07   	-376.59   	  4.62   	  -5.09		 -2.67   	   5.09		
-152.89   	-296.94   	  4.60   	   0.00		 -2.64   	   5.09		
-206.91   	-249.94   	  4.60   	  -5.09		 -2.62   	   0.00		
-243.84   	-233.46   	  4.58   	   0.00		 -2.62   	  10.17		
-268.55   	-225.22   	  4.58   	  -5.09		 -2.58   	   0.00		
-282.90   	-205.08   	  4.56   	   0.00		 -2.58   	   5.09		
-285.64   	-173.65   	  4.56   	  -5.09		 -2.56   	   5.09		
-276.49   	-145.26   	  4.54   	   0.00		 -2.54   	   5.09		
-255.43   	-130.00   	  4.54   	   0.00		 -2.52   	   5.09		
-224.61   	-123.60   	  4.54   	   5.09		 -2.50   	   0.00		
-186.77   	-113.53   	  4.56   	   0.00		 -2.50   	   5.09		
-148.32   	-92.47   	  4.56   	   0.00		 -2.48   	   5.09		
-115.36   	-64.09   	  4.56   	   5.09		 -2.46   	   0.00		
-92.16   	-41.81   	  4.58   	   0.00		 -2.46   	   0.00		
-79.35   	-34.48   	  4.58   	   5.09		 -2.46   	   0.00		
-73.24   	-40.59   	  4.60   	   0.00		 -2.46   	   0.00		
-69.27   	-50.35   	  4.60   	   5.09		 -2.46   	   0.00		
-65.31   	-54.32   	  4.62   	   5.09		 -2.46   	  -5.09		
-62.26   	-51.88   	  4.64   	   0.00		 -2.48   	   0.00		
-60.12   	-47.91   	  4.64   	   0.00		 -2.48   	  -5.09		
-59.51   	-46.69   	  4.64   	   5.09		 -2.50   	  -5.09		
-58.59   	-48.52   	  4.66   	   0.00		 -2.52   	  -5.09		
-57.07   	-50.35   	  4.66   	   0.00		 -2.54   	  -5.09		
-55.24   	-50.35   	  4.66   	   5.09		 -2.56   	  -5.09		
-54.02   	-48.83   	  4.68   	   0.00		 -2.58   	   0.00		
-53.41   	-47.30   	  4.68   	   0.00		 -2.58   	 -15.26		
-53.10   	-46.69   	  4.68   	   0.00		 -2.64   	  -5.09		
-53.10   	-47.61   	  4.68   	   0.00		 -2.67   	   0.00		
-53.71   	-49.13   	  4.68   	   0.00		 -2.67   	  -5.09		
-55.54   	-50.96   	  4.68   	   5.09		 -2.69   	  -5.09		
-57.68   	-51.88   	  4.70   	   0.00		 -2.71   	  -5.09		
-59.81   	-51.57   	  4.70   	   0.00		 -2.73   	   0.00		
-60.12   	-49.74   	  4.70   	   5.09		 -2.73   	   0.00		
-59.20   	-47.30   	  4.72   	   0.00		 -2.73   	   0.00		
-57.68   	-46.08   	  4.72   	   5.09		 -2.73   	   0.00		
-57.07   	-47.00   	  4.74   	   0.00		 -2.73   	   0.00		
-57.07   	-49.44   	  4.74   	   5.09		 -2.73   	   5.09		
-57.68   	-52.19   	  4.76   	   5.09		 -2.71   	   0.00		
-57.68   	-53.71   	  4.78   	   5.09		 -2.71   	   5.09		
-57.07   	-54.02   	  4.80   	   0.00		 -2.69   	   5.09		
-56.15   	-52.80   	  4.80   	   5.09		 -2.67   	   0.00		
-55.54   	-51.88   	  4.82   	   0.00		 -2.67   	   5.09		
-55.54   	-51.27   	  4.82   	   0.00		 -2.64   	   5.09		
-56.46   	-51.57   	  4.82   	   0.00		 -2.62   	   0.00		
-57.68   	-51.88   	  4.82   	   0.00		 -2.62   	  10.17		
-58.90   	-52.49   	  4.82   	   0.00		 -2.58   	   0.00		
-59.81   	-52.19   	  4.82   	   0.00		 -2.58   	   0.00		
-60.73   	-51.57   	  4.82   	  -5.09		 -2.58   	   0.00		
-61.34   	-50.66   	  4.80   	  -5.09		 -2.58   	   0.00		
-62.26   	-50.35   	  4.78   	  -5.09		 -2.58   	   0.00		
-63.17   	-50.05   	  4.76   	 -10.17		 -2.58   	   0.00		
-63.17   	-49.74   	  4.72   	  -5.09		 -2.58   	   0.00		
