  I     	  II     	  LV     	  LV'		
-89.72   	  7.63   	 23.17   	 -35.61		
-76.90   	  6.10   	 23.03   	 -45.78		
-84.23   	  6.10   	 22.85   	 -50.86		
-72.02   	  7.02   	 22.64   	 -45.78		
-76.60   	  3.36   	 22.46   	 -40.69		
-76.60   	  7.63   	 22.30   	 -25.43		
-71.72   	  6.41   	 22.20   	 -15.26		
-67.14   	  9.16   	 22.14   	   5.09		
-71.11   	 15.56   	 22.16   	  20.35		
-73.85   	 10.99   	 22.24   	  30.52		
-68.66   	  8.24   	 22.36   	  45.78		
-66.83   	  2.75   	 22.54   	  55.95		
-65.61   	 -0.92   	 22.77   	  55.95		
-60.73   	  5.49   	 22.99   	  45.78		
-70.80   	 10.99   	 23.17   	  45.78		
-71.11   	 14.34   	 23.36   	  35.61		
-78.13   	  7.93   	 23.50   	  25.43		
-79.04   	  8.24   	 23.60   	  20.35		
-68.05   	 10.99   	 23.68   	  20.35		
-72.02   	 15.87   	 23.76   	  10.17		
-64.70   	 21.06   	 23.80   	  15.26		
-65.00   	 18.31   	 23.87   	  10.17		
-69.27   	 14.34   	 23.91   	  10.17		
-65.31   	 11.60   	 23.95   	   5.09		
-74.77   	  9.16   	 23.97   	   5.09		
-71.72   	 10.07   	 23.99   	   5.09		
-71.41   	 13.73   	 24.01   	   5.09		
-76.90   	  6.10   	 24.03   	   0.00		
-72.94   	  4.88   	 24.03   	   0.00		
-61.95   	  9.16   	 24.03   	   0.00		
-56.15   	 15.26   	 24.03   	   5.09		
-46.69   	 39.37   	 24.05   	   0.00		
-43.03   	 70.50   	 24.05   	  10.17		
-38.45   	109.25   	 24.09   	  10.17		
-44.56   	135.19   	 24.13   	  15.26		
-50.05   	156.86   	 24.19   	  15.26		
-32.65   	167.24   	 24.25   	  10.17		
-35.10   	160.22   	 24.29   	  15.26		
-36.32   	161.13   	 24.35   	  15.26		
-24.72   	153.81   	 24.41   	  10.17		
-19.53   	131.23   	 24.46   	   5.09		
 -8.24   	116.58   	 24.48   	  10.17		
 -5.19   	 91.55   	 24.52   	   5.09		
 -5.80   	 67.44   	 24.54   	   5.09		
-25.02   	 57.37   	 24.56   	   5.09		
-31.74   	 55.85   	 24.58   	   0.00		
-14.65   	 72.02   	 24.58   	   0.00		
  1.53   	 79.35   	 24.58   	  -5.09		
 25.63   	 79.96   	 24.56   	  -5.09		
 38.76   	 74.77   	 24.54   	  -5.09		
 29.60   	 59.51   	 24.52   	  -5.09		
 19.53   	 61.34   	 24.50   	   5.09		
 11.60   	 74.16   	 24.52   	  15.26		
 -9.46   	 79.96   	 24.58   	  20.35		
-23.50   	 71.11   	 24.66   	  40.69		
-31.13   	 47.30   	 24.82   	  50.86		
-53.10   	 26.25   	 25.03   	  55.95		
-49.74   	 10.68   	 25.25   	  71.21		
-64.70   	 -5.80   	 25.53   	  76.30		
-73.24   	-12.51   	 25.84   	  76.30		
-80.87   	-18.01   	 26.14   	  86.47		
-89.72   	-22.28   	 26.49   	  91.56		
-89.72   	-20.45   	 26.86   	  96.64		
-93.38   	-21.06   	 27.24   	 106.82		
-90.33   	-24.41   	 27.67   	 116.99		
-93.99   	-29.30   	 28.14   	 127.16		
-84.53   	-20.14   	 28.65   	 142.42		
-66.22   	 -7.93   	 29.22   	 152.59		
-68.36   	 -8.54   	 29.83   	 162.77		
-63.17   	 -9.16   	 30.48   	 172.94		
-79.04   	-19.53   	 31.17   	 178.03		
-119.32   	-20.45   	 31.88   	 188.20		
-143.13   	-10.99   	 32.63   	 188.20		
-171.81   	  1.22   	 33.39   	 183.11		
-197.14   	  6.10   	 34.12   	 178.03		
-193.48   	-20.75   	 34.83   	 162.77		
-151.67   	-29.91   	 35.48   	 137.33		
-81.18   	-10.68   	 36.03   	 111.90		
 25.02   	 22.58   	 36.48   	  76.30		
182.50   	105.90   	 36.79   	  45.78		
337.52   	154.11   	 36.97   	  10.17		
513.31   	124.82   	 37.01   	 -20.35		
672.00   	 60.42   	 36.93   	 -40.69		
784.61   	-90.03   	 36.76   	 -55.95		
856.63(R)	-301.21   	 36.54   	 -55.95		
852.97   	-483.70   	 36.32   	 -45.78		
818.79   	-648.80   	 36.13   	 -25.43		
788.57   	-719.30   	 36.03(E)	   5.09		
746.15   	-666.50   	 36.05   	  40.69		
729.98   	-545.35   	 36.22   	  96.64		
679.63   	-409.55   	 36.60   	 147.51		
590.52   	-308.84   	 37.19   	 223.80		
482.18   	-239.87   	 38.09   	 305.19		
338.75   	-204.77   	 39.31   	 401.83		
232.85   	-177.31   	 40.92   	 528.99		
141.91   	-134.28   	 43.03   	 666.32		
 59.81   	-104.37   	 45.70   	 808.75		
 12.21   	-72.94   	 48.93   	 961.34		
-39.67   	-49.74   	 52.78   	1108.85		
-77.21   	-36.62   	 57.21   	1246.18		
-80.26   	-23.19   	 62.20   	1358.08		
-94.30   	-21.67   	 67.63   	1449.64		
-97.96   	-22.89   	 73.43   	1490.33		
-90.94   	-14.65   	 79.39   	1475.07		
-100.40   	-16.78   	 85.29   	1403.86		
-103.45   	-15.26   	 90.91   	1251.27		
-97.05   	-12.21   	 95.91   	1027.46		
-97.05   	-11.60   	100.02   	 762.97		
-86.98   	 -9.16   	103.07   	 483.21		
-91.55   	-12.21   	105.00   	 228.89		
-92.47   	-16.17   	105.92   	  35.61		
-85.14   	-14.34   	106.06   	 -86.47		
-112.00   	-10.68   	105.72   	-127.16		
-110.47   	 -1.83   	105.21   	 -96.64		
-116.58   	  8.54   	104.82   	 -20.35		
-131.53   	 11.60   	104.74   	  96.64		
-117.49   	  7.93   	105.13   	 208.54		
-108.64   	  5.49   	105.96   	 295.01		
-97.35   	  7.32   	107.14   	 361.14		
-92.16   	  8.24   	108.59   	 381.48		
-91.55   	 14.04   	110.11   	 376.40		
-91.86   	 14.95   	111.62   	 350.97		
-85.75   	 20.14   	113.02   	 320.45		
-79.04   	 26.55   	114.30   	 305.19		
-69.58   	 32.35   	115.52   	 300.10		
-65.61   	 35.40   	116.72   	 325.53		
-78.13   	 31.13   	118.03   	 366.22		
-75.07   	 33.87   	119.49   	 396.74		
-83.62   	 45.47   	121.08   	 432.35		
-88.20   	 53.10   	122.81   	 447.61		
-67.75   	 70.19   	124.60   	 442.52		
-62.56   	 79.96   	126.37   	 422.18		
-54.63   	 71.41   	128.06   	 391.66		
-36.01   	 79.35   	129.62   	 350.97		
-28.38   	 91.25   	131.03   	 305.19		
-25.63   	 91.25   	132.25   	 259.41		
-16.17   	 99.18   	133.29   	 213.63		
 -5.19   	105.29   	134.14   	 178.03		
  0.61   	103.15   	134.85   	 157.68		
 13.43   	109.56   	135.48   	 132.25		
 36.01   	122.38   	136.01   	 122.07		
 41.20   	125.43   	136.50   	 122.07		
 51.88   	126.95   	136.99   	 122.07		
 56.15   	134.28   	137.48   	 127.16		
 63.17   	134.58   	137.99   	 127.16		
 81.18   	137.94   	138.49   	 127.16		
 83.62   	142.21   	139.00   	  96.64		
103.15   	132.14   	139.39   	  61.04		
121.15   	128.78   	139.63   	  10.17		
135.80   	124.21   	139.67(S)	 -35.61		
163.88   	121.15   	139.53   	-101.73		
182.50   	114.75   	139.12   	-183.11		
180.05   	102.23   	138.39   	-269.58		
173.03   	 85.14   	137.31   	-330.62		
168.46   	 66.83   	135.99   	-366.22		
141.91   	 57.07   	134.53   	-391.66		
126.95   	 46.69   	132.96   	-412.00		
108.34   	 38.76   	131.31   	-437.43		
 71.72   	 26.55   	129.56   	-462.87		
 65.92   	 22.89   	127.71   	-488.30		
 55.85   	 17.40   	125.76   	-518.82		
 38.45   	 10.07   	123.68   	-544.25		
 42.42   	 11.60   	121.51   	-549.34		
 25.02   	  6.71   	119.31   	-549.34		
 12.21   	 -2.14   	117.11   	-554.42		
  6.41   	  2.44   	114.89   	-590.03		
 -8.85   	  0.31   	112.53   	-671.41		
-18.92   	 -3.66   	109.85   	-803.66		
-28.69   	 -1.83   	106.63   	-976.60		
-30.52   	 -6.71   	102.73   	-1149.54		
-35.40   	 -6.41   	 98.13   	-1312.30		
-32.04   	 -0.92   	 92.88   	-1424.21		
-22.58   	 -4.58   	 87.18   	-1469.98		
-25.33   	 -2.14   	 81.30   	-1449.64		
-43.95   	  3.97   	 75.50   	-1358.08		
-55.85   	  0.00   	 70.07   	-1230.92		
-72.02   	  4.88   	 65.15   	-1073.24		
-79.65   	 10.38   	 60.85   	-910.47		
-62.56   	  5.49   	 57.21   	-768.05		
-50.05   	  6.71   	 54.14   	-656.15		
-52.80   	  7.32   	 51.52   	-584.94		
-59.20   	  7.63   	 49.18   	-549.34		
-58.59   	  8.24   	 46.98   	-554.42		
-55.54   	 13.73   	 44.76   	-569.68		
-56.76   	 11.90   	 42.48   	-605.29		
-41.20   	 22.28   	 40.06   	-625.63		
-41.50   	 19.53   	 37.56   	-640.89		
-41.50   	 18.92   	 34.99   	-635.81		
-39.67   	 25.94   	 32.45   	-615.46		
-59.51   	 20.75   	 29.99   	-569.68		
-46.08   	 25.33   	 27.71   	-513.73		
-59.20   	 25.33   	 25.66   	-447.61		
-61.34   	 28.69   	 23.87   	-376.40		
-44.25   	 24.72   	 22.36   	-305.19		
-69.27   	 28.69   	 21.14   	-233.98		
-63.78   	 33.26   	 20.20   	-178.03		
-63.48   	 28.69   	 19.49   	-122.07		
-65.61   	 35.71   	 19.00   	 -86.47		
-58.29   	 33.26   	 18.66   	 -61.04		
-70.50   	 28.99   	 18.41   	 -45.78		
-63.78   	 37.54   	 18.23   	 -45.78		
-58.59   	 42.72   	 18.05   	 -45.78		
-54.32   	 46.39   	 17.86   	 -45.78		
-50.66   	 50.05   	 17.68   	 -40.69		
-54.32   	 48.52   	 17.52   	 -30.52		
-69.89   	 39.37   	 17.40   	 -10.17		
-74.16   	 36.62   	 17.35   	  25.43		
-71.41   	 42.11   	 17.46   	  55.95		
-77.51   	 38.76   	 17.68   	  86.47		
-75.99   	 39.67   	 18.03   	 101.73		
-78.43   	 37.84   	 18.43   	 111.90		
-80.57   	 29.60   	 18.88   	 101.73		
-79.04   	 21.67   	 19.29   	  86.47		
-75.68   	 19.84   	 19.63   	  66.12		
-70.50   	 20.14   	 19.90   	  45.78		
-79.96   	 17.70   	 20.08   	  20.35		
-86.06   	 24.41   	 20.16   	   0.00		
-84.23   	 34.48   	 20.16   	 -35.61		
-97.35   	 34.48   	 20.02   	 -66.12		
-92.77   	 40.89   	 19.76   	-111.90		
-87.59   	 40.59   	 19.31   	-167.85		
-99.18   	 26.86   	 18.64   	-213.63		
-101.01   	 15.56   	 17.78   	-233.98		
-96.13   	 16.78   	 16.85   	-193.29		
-91.86   	 14.95   	 16.07   	-106.82		
-89.42   	 14.34   	 15.65(D)	  10.17		
-84.84   	 23.80   	 15.69   	 132.25		
-83.92   	 14.95   	 16.22   	 223.80		
-93.69   	  9.16   	 17.11   	 284.84		
-98.27   	 20.45   	 18.25   	 305.19		
-104.06   	 22.28   	 19.47   	 279.75		
-99.79   	 45.78   	 20.59   	 233.98		
-94.60   	 71.72   	 21.53   	 167.85		
-81.48   	 91.25   	 22.20   	  86.47		
-59.51   	122.68   	 22.54   	  15.26		
-64.09   	137.33   	 22.60   	 -50.86		
-61.04   	152.28   	 22.40   	-101.73		
-54.02   	164.79   	 21.99   	-132.25		
-49.44   	166.93   	 21.46   	-137.33		
-31.13   	179.14   	 20.92   	-116.99		
-18.92   	160.52   	 20.45   	 -76.30		
  1.22   	140.69   	 20.14   	 -25.43		
-12.51   	105.59   	 20.04   	  25.43		
 -8.54   	 61.04   	 20.14   	  66.12		
-17.70   	 43.33   	 20.41   	 101.73		
-51.27   	 44.86   	 20.81   	 106.82		
-34.79   	 68.66   	 21.24   	  96.64		
-29.91   	 93.38   	 21.63   	  66.12		
-17.09   	 99.49   	 21.89   	  20.35		
 15.26   	103.45   	 21.97   	 -25.43		
 28.69   	102.23   	 21.87   	 -71.21		
 19.23   	 94.60   	 21.59   	-101.73		
  8.24   	 97.66   	 21.18   	-122.07		
 -6.10   	 87.89   	 20.69   	-122.07		
-30.21   	 59.20   	 20.20   	-122.07		
-39.06   	 38.15   	 19.72   	-101.73		
-54.93   	 14.65   	 19.31   	 -81.38		
-64.70   	 -4.27   	 18.98   	 -61.04		
-78.13   	-14.34   	 18.74   	 -25.43		
-84.84   	-27.77   	 18.64   	  -5.09		
-92.16   	-24.72   	 18.62   	  15.26		
-91.55   	-23.80   	 18.68   	  20.35		
-92.47   	-16.78   	 18.76   	  15.26		
-96.74   	-10.38   	 18.82   	   5.09		
-94.60   	-14.95   	 18.84   	 -10.17		
-96.74   	-17.40   	 18.80   	 -20.35		
-99.18   	-26.55   	 18.72   	 -35.61		
-94.30   	-29.60   	 18.58   	 -40.69		
-88.50   	-34.18   	 18.41   	 -40.69		
-77.82   	-31.74   	 18.25   	 -30.52		
-76.90   	-29.60   	 18.13   	  -5.09		
-87.28   	-26.25   	 18.11   	  25.43		
-112.92   	 -7.63   	 18.21   	  71.21		
-146.48   	  8.85   	 18.49   	 127.16		
-176.09   	  6.71   	 19.00   	 198.37		
