  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-18.62   	-52.19   	 35.56   	-590.03		103.01   	 -50.86		
-18.62   	-60.12   	 33.20   	-523.90		102.81   	 -50.86		
-19.23   	-68.66   	 31.11   	-473.04		102.60   	 -45.78		
-20.75   	-79.96   	 29.22   	-432.35		102.42   	 -55.95		
-22.28   	-95.21   	 27.49   	-401.83		102.20   	 -50.86		
-24.11   	-114.14   	 25.88   	-391.66		101.99   	 -61.04		
-25.02   	-130.92   	 24.31   	-371.31		101.75   	 -61.04		
-24.72   	-139.77   	 22.83   	-366.22		101.51   	 -66.12		
-23.80   	-140.38   	 21.36   	-345.88		101.24   	 -66.12		
-22.58   	-137.33   	 19.98   	-325.53		100.98   	 -71.21		
-22.58   	-137.94   	 18.68   	-295.01		100.69   	 -71.21		
-24.41   	-148.01   	 17.50   	-264.50		100.41   	 -76.30		
-26.86   	-166.93   	 16.44   	-223.80		100.10   	 -76.30		
-28.69   	-187.99   	 15.54   	-183.11		 99.80   	 -76.30		
-29.60   	-203.86   	 14.81   	-147.51		 99.49   	 -76.30		
-28.99   	-212.40   	 14.22   	-111.90		 99.19   	 -81.38		
-28.08   	-216.06   	 13.77   	 -86.47		 98.86   	 -86.47		
-27.47   	-218.20   	 13.43   	 -71.21		 98.51   	 -91.56		
-27.16   	-222.47   	 13.14   	 -50.86		 98.15   	-101.73		
-27.47   	-228.58   	 12.94   	 -45.78		 97.74   	-101.73		
-28.08   	-234.99   	 12.76   	 -35.61		 97.33   	-111.90		
-28.08   	-239.87   	 12.61   	 -35.61		 96.89   	-116.99		
-27.77   	-242.92   	 12.47   	 -25.43		 96.42   	-122.07		
-26.86   	-243.53   	 12.37   	 -20.35		 95.93   	-122.07		
-24.72   	-241.09   	 12.29   	  -5.09		 95.44   	-122.07		
-20.75   	-233.76   	 12.27   	   5.09		 94.95   	-127.16		
-14.04   	-220.34   	 12.29   	  20.35		 94.45   	-122.07		
 -4.27   	-201.42   	 12.37   	  35.61		 93.96   	-122.07		
  6.41   	-179.75   	 12.51   	  50.86		 93.47   	-127.16		
 15.87   	-161.13   	 12.72   	  66.12		 92.96   	-116.99		
 22.28   	-150.76   	 12.98   	  76.30		 92.49   	-122.07		
 25.63   	-150.45   	 13.29   	  86.47		 92.00   	-116.99		
 27.47   	-158.08   	 13.63   	  86.47		 91.54   	-116.99		
 28.69   	-169.68   	 13.98   	  81.38		 91.07   	-116.99		
 28.99   	-183.11   	 14.30   	  81.38		 90.60   	-116.99		
 26.25   	-201.11   	 14.63   	  71.21		 90.13   	-111.90		
 18.92   	-228.58   	 14.91   	  55.95		 89.68   	-111.90		
  7.02   	-266.42   	 15.14   	  50.86		 89.24   	-106.82		
 -7.32   	-309.14   	 15.34   	  40.69		 88.81   	-106.82		
-20.45   	-345.46   	 15.50   	  30.52		 88.38   	-106.82		
-29.91   	-365.30   	 15.63   	  20.35		 87.95   	-101.73		
-34.79   	-366.52   	 15.71   	  20.35		 87.55   	 -96.64		
-36.01   	-357.67   	 15.79   	  20.35		 87.16   	 -96.64		
-36.01   	-350.65   	 15.87   	  15.26		 86.77   	 -91.56		
-36.32   	-352.78   	 15.93   	  20.35		 86.41   	 -86.47		
-37.23   	-363.46   	 16.01   	  25.43		 86.06   	 -86.47		
-38.15   	-375.98   	 16.11   	  25.43		 85.72   	 -86.47		
-38.45   	-383.00   	 16.22   	  25.43		 85.37   	 -81.38		
-37.54   	-382.08   	 16.32   	  35.61		 85.05   	 -76.30		
-34.79   	-374.76   	 16.46   	  30.52		 84.74   	 -76.30		
-30.82   	-364.07   	 16.58   	  40.69		 84.44   	 -76.30		
-25.94   	-352.78   	 16.74   	  40.69		 84.13   	 -71.21		
-22.28   	-341.80   	 16.91   	  40.69		 83.85   	 -66.12		
-21.36   	-330.81   	 17.07   	  40.69		 83.58   	 -66.12		
-22.58   	-319.52   	 17.23   	  45.78		 83.32   	 -61.04		
-24.11   	-308.23   	 17.42   	  45.78		 83.07   	 -61.04		
-23.50   	-298.46   	 17.60   	  45.78		 82.83   	 -61.04		
-20.14   	-292.36   	 17.78   	  45.78		 82.58   	 -61.04		
-15.56   	-290.83   	 17.97   	  45.78		 82.34   	 -55.95		
-12.21   	-292.05   	 18.15   	  40.69		 82.12   	 -61.04		
-11.60   	-292.66   	 18.31   	  40.69		 81.87   	 -55.95		
-14.65   	-289.31   	 18.47   	  40.69		 81.65   	 -61.04		
-19.84   	-281.98   	 18.64   	  30.52		 81.40   	 -61.04		
-25.63   	-273.13   	 18.76   	  35.61		 81.16   	 -66.12		
-31.74   	-267.03   	 18.90   	  25.43		 80.89   	 -66.12		
-36.93   	-264.59   	 19.00   	  25.43		 80.63   	 -66.12		
-40.59   	-264.59   	 19.10   	  20.35		 80.37   	 -71.21		
-43.64   	-263.06   	 19.19   	  25.43		 80.08   	 -71.21		
-45.78   	-257.87   	 19.29   	  25.43		 79.80   	 -71.21		
-47.61   	-250.55   	 19.39   	  25.43		 79.51   	 -71.21		
-49.44   	-243.23   	 19.49   	  35.61		 79.23   	 -76.30		
-50.96   	-238.65   	 19.63   	  40.69		 78.92   	 -71.21		
-50.96   	-236.82   	 19.80   	  50.86		 78.64   	 -71.21		
-49.74   	-236.51   	 20.00   	  61.04		 78.35   	 -71.21		
-48.52   	-235.90   	 20.24   	  71.21		 78.07   	 -71.21		
-48.52   	-234.07   	 20.53   	  81.38		 77.78   	 -71.21		
-50.05   	-231.63   	 20.85   	  91.56		 77.50   	 -66.12		
-52.19   	-228.88   	 21.22   	  96.64		 77.23   	 -61.04		
-53.10   	-225.22   	 21.61   	 101.73		 76.99   	 -61.04		
-52.49   	-219.12   	 22.01   	 106.82		 76.74   	 -61.04		
-50.35   	-204.47   	 22.44   	 106.82		 76.50   	 -55.95		
-47.00   	-171.81   	 22.87   	 101.73		 76.28   	 -55.95		
-41.50   	-110.78   	 23.28   	  96.64		 76.05   	 -50.86		
-32.35   	-10.68   	 23.66   	  86.47		 75.85   	 -55.95		
-16.78   	132.14   	 24.01   	  81.38		 75.63   	 -50.86		
  7.93   	312.81   	 24.33   	  71.21		 75.42   	 -50.86		
 42.72   	521.85   	 24.62   	  61.04		 75.22   	 -55.95		
