  I     	  II     	  AOp     	  AOp'		  AO     	  AO'		
-89.72   	113.83   	 73.37   	 335.71		 68.46   	 223.80		
-93.38   	105.59   	 74.71   	 356.05		 69.36   	 259.41		
-88.20   	120.54   	 76.13   	 376.40		 70.40   	 284.84		
-84.84   	118.10   	 77.64   	 396.74		 71.54   	 315.36		
-89.72   	119.63   	 79.23   	 412.00		 72.80   	 340.79		
-90.03   	137.02   	 80.87   	 417.09		 74.16   	 366.22		
-99.49   	127.56   	 82.54   	 432.35		 75.63   	 386.57		
-95.52   	135.80   	 84.27   	 432.35		 77.17   	 401.83		
-96.44   	141.30   	 86.00   	 437.43		 78.78   	 427.26		
-103.76   	134.28   	 87.75   	 442.52		 80.49   	 437.43		
-95.52   	141.30   	 89.52   	 442.52		 82.24   	 452.69		
-95.52   	151.06   	 91.29   	 442.52		 84.05   	 462.87		
-93.08   	152.59   	 93.06   	 442.52		 85.90   	 483.21		
-82.40   	155.94   	 94.83   	 437.43		 87.83   	 488.30		
-79.04   	161.44   	 96.58   	 442.52		 89.79   	 503.56		
-72.63   	168.76   	 98.35   	 437.43		 91.80   	 518.82		
-76.90   	175.17   	100.10   	 447.61		 93.88   	 528.99		
-77.21   	185.24   	101.89   	 457.78		 95.99   	 544.25		
-80.26   	187.99   	103.72   	 473.04		 98.17   	 549.34		
-82.40   	198.67   	105.62   	 498.47		100.37   	 564.60		
-86.06   	218.20   	107.61   	 513.73		102.62   	 574.77		
-84.53   	233.46   	109.66   	 539.16		104.92   	 584.94		
-81.79   	265.50   	111.82   	 569.68		107.26   	 595.11		
-75.38   	281.07   	114.10   	 610.37		109.64   	 600.20		
-64.09   	293.88   	116.54   	 640.89		112.04   	 605.29		
-63.17   	325.32   	119.10   	 666.32		114.47   	 610.37		
-53.41   	338.75   	121.77   	 676.50		116.91   	 615.46		
-50.96   	369.87   	124.48   	 661.24		119.37   	 610.37		
-45.17   	393.98   	127.12   	 630.72		121.81   	 610.37		
-32.65   	412.29   	129.64   	 579.86		124.25   	 600.20		
-32.04   	435.49   	131.96   	 544.25		126.65   	 595.11		
-26.86   	458.98   	134.14   	 503.56		129.03   	 584.94		
-18.31   	481.57   	136.15   	 488.30		131.37   	 569.68		
 -9.16   	503.85   	138.11   	 483.21		133.65   	 559.51		
 -5.49   	511.78   	140.04   	 498.47		135.89   	 539.16		
 -2.75   	518.80   	142.03   	 513.73		138.05   	 528.99		
 -3.97   	515.75   	144.09   	 528.99		140.16   	 508.65		
  4.27   	514.22   	146.20   	 544.25		142.20   	 498.47		
 21.06   	512.39   	148.38   	 549.34		144.19   	 478.13		
 39.98   	504.15   	150.58   	 539.16		146.10   	 462.87		
 45.17   	493.47   	152.74   	 518.82		147.95   	 452.69		
 39.06   	470.58   	154.81   	 473.04		149.77   	 442.52		
 32.96   	445.25   	156.70   	 432.35		151.54   	 427.26		
 21.97   	411.07   	158.43   	 371.31		153.24   	 417.09		
 12.21   	371.40   	159.92   	 325.53		154.91   	 401.83		
 13.12   	336.30   	161.22   	 279.75		156.52   	 396.74		
  9.16   	289.31   	162.34   	 244.15		158.11   	 381.48		
  1.22   	256.35   	163.32   	 218.72		159.63   	 366.22		
  2.75   	227.97   	164.19   	 203.46		161.10   	 356.05		
 -8.85   	183.11   	165.00   	 198.37		162.52   	 345.88		
-17.40   	162.96   	165.80   	 193.29		163.91   	 330.62		
-24.72   	129.39   	166.57   	 198.37		165.23   	 310.27		
-32.35   	 96.13   	167.36   	 198.37		166.47   	 295.01		
-34.48   	 82.09   	168.16   	 198.37		167.65   	 274.67		
-49.13   	 63.48   	168.95   	 198.37		168.75   	 259.41		
-55.24   	 51.57   	169.75   	 193.29		169.79   	 233.98		
-60.12   	 37.23   	170.52   	 193.29		170.72   	 213.63		
-70.80   	 24.11   	171.29   	 178.03		171.58   	 193.29		
-51.27   	 22.28   	172.00   	 162.77		172.35   	 167.85		
-48.83   	  9.16   	172.65   	 142.42		173.02   	 152.59		
-51.57   	  7.02   	173.22   	 101.73		173.63   	 122.07		
-46.08   	  7.93   	173.63   	  55.95		174.12   	 106.82		
-64.09   	 -3.36   	173.85(S)	   0.00		174.55   	  81.38		
-66.53   	 -0.92   	173.85   	 -66.12		174.87   	  61.04		
-65.31   	 -3.66   	173.59   	-122.07		175.12   	  35.61		
-65.92   	 -2.75   	173.10   	-178.03		175.26   	  15.26		
-59.51   	 -1.22   	172.39   	-208.54		175.32(S)	 -10.17		
-65.61   	-13.12   	171.56   	-244.15		175.28   	 -30.52		
-59.20   	-16.78   	170.58   	-254.32		175.16   	 -61.04		
-57.07   	-25.02   	169.56   	-264.50		174.91   	 -91.56		
-55.85   	-28.69   	168.50   	-274.67		174.55   	-116.99		
-50.05   	-32.65   	167.41   	-279.75		174.08   	-152.59		
-55.54   	-26.86   	166.29   	-284.84		173.47   	-188.20		
-56.15   	-25.33   	165.15   	-289.93		172.72   	-228.89		
-58.29   	-37.84   	163.99   	-300.10		171.80   	-264.50		
-59.81   	-32.35   	162.79   	-315.36		170.74   	-310.27		
-61.95   	-34.48   	161.53   	-335.71		169.50   	-356.05		
-59.51   	-36.32   	160.18   	-371.31		168.08   	-401.83		
-60.73   	-40.59   	158.70   	-412.00		166.47   	-442.52		
-57.68   	-40.89   	157.05   	-467.95		164.70   	-483.21		
-58.90   	-48.52   	155.18   	-523.90		162.77   	-523.90		
-59.81   	-48.83   	153.08   	-584.94		160.67   	-559.51		
-61.65   	-46.69   	150.74   	-645.98		158.43   	-579.86		
-68.05   	-50.96   	148.16   	-691.76		156.11   	-600.20		
-59.81   	-40.28   	145.39   	-727.36		153.71   	-610.37		
-64.09   	-40.59   	142.48   	-747.71		151.27   	-620.55		
-69.58   	-30.82   	139.49   	-742.62		148.79   	-615.46		
-68.66   	-18.62   	136.52   	-727.36		146.33   	-610.37		
-77.21   	-25.63   	133.61   	-696.84		143.89   	-600.20		
-75.99   	-27.16   	130.82   	-645.98		141.48   	-584.94		
-62.26   	-22.58   	128.24   	-600.20		139.14   	-564.60		
-56.46   	-19.84   	125.84   	-539.16		136.89   	-549.34		
-51.88   	-12.51   	123.68   	-483.21		134.69   	-523.90		
-50.05   	 -5.80   	121.75   	-427.26		132.59   	-503.56		
-60.73   	 -4.58   	120.04   	-391.66		130.58   	-483.21		
-70.50   	 -4.88   	118.47   	-350.97		128.65   	-462.87		
-74.46   	 -3.66   	117.07   	-325.53		126.80   	-442.52		
-74.16   	  6.41   	115.77   	-305.19		125.02   	-427.26		
-74.46   	  7.32   	114.55   	-289.93		123.32   	-406.92		
-62.26   	 11.29   	113.39   	-284.84		121.69   	-391.66		
-58.59   	 12.21   	112.25   	-274.67		120.12   	-376.40		
-66.83   	 10.99   	111.15   	-264.50		118.62   	-361.14		
-67.14   	 10.07   	110.09   	-259.41		117.17   	-345.88		
-65.92   	 13.73   	109.05   	-254.32		115.79   	-330.62		
-59.20   	 18.31   	108.04   	-249.24		114.47   	-320.45		
-53.10   	 12.82   	107.04   	-249.24		113.18   	-310.27		
-47.30   	 18.31   	106.04   	-239.06		111.94   	-295.01		
-61.04   	  8.24   	105.09   	-239.06		110.76   	-284.84		
-68.97   	  3.36   	104.13   	-228.89		109.62   	-274.67		
-70.19   	  2.44   	103.21   	-223.80		108.52   	-264.50		
-61.95   	  6.41   	102.32   	-218.72		107.47   	-254.32		
-62.87   	  1.53   	101.44   	-208.54		106.45   	-249.24		
-55.24   	  9.16   	100.61   	-203.46		105.45   	-244.15		
-58.90   	  3.97   	 99.80   	-198.37		104.48   	-233.98		
-67.44   	 -9.77   	 99.00   	-193.29		103.54   	-228.89		
-49.13   	 -6.41   	 98.23   	-188.20		102.62   	-228.89		
-48.52   	 -5.80   	 97.48   	-183.11		101.71   	-218.72		
-44.56   	 -0.92   	 96.74   	-188.20		100.83   	-218.72		
-47.61   	-10.38   	 95.99   	-178.03		 99.96   	-208.54		
-52.19   	-26.25   	 95.28   	-183.11		 99.12   	-208.54		
-56.46   	-55.54   	 94.55   	-178.03		 98.29   	-198.37		
-53.71   	-82.09   	 93.83   	-178.03		 97.50   	-198.37		
-50.05   	-92.47   	 93.12   	-172.94		 96.70   	-193.29		
-58.59   	-112.92   	 92.43   	-172.94		 95.93   	-188.20		
-68.97   	-130.31   	 91.74   	-167.85		 95.18   	-183.11		
-64.09   	-147.09   	 91.07   	-167.85		 94.45   	-172.94		
-46.08   	-158.08   	 90.40   	-162.77		 93.75   	-172.94		
-44.25   	-157.47   	 89.75   	-162.77		 93.06   	-167.85		
-35.71   	-152.28   	 89.09   	-157.68		 92.39   	-162.77		
-50.66   	-162.66   	 88.46   	-157.68		 91.74   	-157.68		
-73.85   	-152.89   	 87.83   	-157.68		 91.11   	-152.59		
-67.75   	-141.91   	 87.20   	-147.51		 90.50   	-152.59		
-65.31   	-142.52   	 86.61   	-147.51		 89.89   	-152.59		
-56.76   	-113.22   	 86.02   	-147.51		 89.28   	-147.51		
-43.03   	-104.06   	 85.43   	-142.42		 88.69   	-147.51		
-39.98   	-105.29   	 84.86   	-137.33		 88.10   	-142.42		
-41.20   	-65.31   	 84.31   	-137.33		 87.53   	-142.42		
-42.11   	-40.89   	 83.76   	-127.16		 86.96   	-147.51		
-48.52   	-25.63   	 83.26   	-127.16		 86.37   	-142.42		
-62.26   	 -0.31   	 82.75   	-122.07		 85.80   	-147.51		
-57.07   	  6.71   	 82.26   	-116.99		 85.21   	-147.51		
-48.83   	 10.38   	 81.79   	-111.90		 84.62   	-147.51		
-51.27   	 16.17   	 81.34   	-116.99		 84.03   	-147.51		
-46.39   	  6.71   	 80.87   	-111.90		 83.44   	-147.51		
-47.00   	 12.21   	 80.43   	-111.90		 82.85   	-142.42		
-54.32   	 13.12   	 79.98   	-111.90		 82.28   	-147.51		
-45.78   	 16.17   	 79.53   	-106.82		 81.69   	-142.42		
-41.20   	 30.52   	 79.10   	-106.82		 81.12   	-137.33		
-37.54   	 27.16   	 78.68   	-101.73		 80.57   	-137.33		
-34.18   	 18.92   	 78.27   	-101.73		 80.02   	-127.16		
-35.40   	 19.84   	 77.86   	-101.73		 79.51   	-127.16		
-41.50   	 21.67   	 77.46   	-101.73		 79.00   	-116.99		
-52.80   	 29.91   	 77.05   	-106.82		 78.53   	-111.90		
-72.02   	 51.88   	 76.62   	-101.73		 78.09   	-101.73		
-98.27   	105.90   	 76.22   	-106.82		 77.68   	 -96.64		
-126.04   	177.92   	 75.79   	-101.73		 77.29   	 -86.47		
-122.99   	252.08   	 75.38   	 -96.64		 76.95   	 -86.47		
-80.57   	346.98   	 74.99   	 -96.64		 76.60   	 -76.30		
 15.87   	438.23   	 74.61   	 -91.56		 76.30   	 -71.21		
177.61   	513.00   	 74.24   	 -86.47		 76.01   	 -71.21		
389.10   	606.38   	 73.90   	 -86.47		 75.73   	 -66.12		
613.71   	577.39   	 73.55   	 -76.30		 75.46   	 -66.12		
833.13   	317.38   	 73.24   	 -81.38		 75.20   	 -66.12		
1008.30   	-65.31   	 72.92   	 -71.21		 74.93   	 -71.21		
1061.40   	-533.75   	 72.63   	 -71.21		 74.65   	 -71.21		
1000.67   	-904.54   	 72.35   	 -71.21		 74.36   	 -76.30		
871.89   	-1029.97   	 72.06   	 -66.12		 74.06   	 -81.38		
708.01   	-1063.23(R)	 71.80   	 -66.12		 73.73   	 -86.47		
583.80   	-1027.83   	 71.54   	 -61.04		 73.39   	 -86.47		
491.33   	-951.54   	 71.29   	 -66.12		 73.04   	 -86.47		
401.00   	-837.10   	 71.03   	 -66.12		 72.70   	 -91.56		
298.16   	-592.35   	 70.76   	 -66.12		 72.33   	 -86.47		
163.57   	-328.98   	 70.50   	 -71.21		 71.98   	 -91.56		
 56.76   	-122.07   	 70.21   	 -76.30		 71.62   	 -86.47		
-13.73   	-11.90   	 69.91   	 -71.21		 71.27   	 -86.47		
-47.00   	  5.80   	 69.62   	 -76.30		 70.93   	 -86.47		
-39.06   	 27.16   	 69.32   	 -76.30		 70.58   	 -81.38		
-41.50   	 39.37   	 69.01   	 -66.12		 70.25   	 -81.38		
-31.43   	 55.54   	 68.75   	 -50.86		 69.93   	 -76.30		
-37.54   	 73.85   	 68.55   	 -40.69		 69.62   	 -71.21		
-51.88   	 72.02   	 68.38   	 -20.35		 69.34   	 -71.21		
-54.02   	 81.79   	 68.30(D)	  10.17		 69.05   	 -61.04		
-66.53   	 85.75   	 68.34   	  35.61		 68.81   	 -50.86		
-79.35   	 88.81   	 68.48   	  71.21		 68.61   	 -40.69		
-79.35   	 84.84   	 68.77   	 106.82		 68.44   	 -15.26		
-71.41   	 94.91   	 69.20   	 132.25		 68.38(D)	   0.00		
-74.77   	104.68   	 69.73   	 162.77		 68.38   	  25.43		
-67.14   	107.12   	 70.38   	 188.20		 68.48   	  55.95		
-58.59   	118.71   	 71.13   	 213.63		 68.71   	  81.38		
-65.92   	110.17   	 71.98   	 228.89		 69.03   	 111.90		
-72.02   	106.51   	 72.90   	 249.24		 69.48   	 147.51		
-70.50   	117.80   	 73.90   	 274.67		 70.07   	 172.94		
-76.29   	118.41   	 74.99   	 295.01		 70.76   	 203.46		
-76.90   	115.36   	 76.17   	 315.36		 71.58   	 233.98		
-59.20   	127.87   	 77.44   	 330.62		 72.51   	 254.32		
-58.29   	128.48   	 78.76   	 350.97		 73.53   	 279.75		
-64.09   	123.29   	 80.16   	 361.14		 74.65   	 300.10		
-62.87   	130.62   	 81.61   	 371.31		 75.85   	 320.45		
-75.07   	127.26   	 83.09   	 376.40		 77.13   	 330.62		
-80.26   	132.75   	 84.60   	 376.40		 78.45   	 345.88		
-71.72   	137.94   	 86.10   	 376.40		 79.84   	 361.14		
-77.21   	137.94   	 87.61   	 381.48		 81.28   	 381.48		
-74.77   	141.30   	 89.13   	 381.48		 82.81   	 391.66		
-66.22   	144.04   	 90.66   	 386.57		 84.37   	 412.00		
-75.07   	154.72   	 92.21   	 386.57		 86.02   	 427.26		
-74.16   	160.83   	 93.75   	 391.66		 87.73   	 442.52		
-73.85   	164.79   	 95.32   	 396.74		 89.50   	 462.87		
-81.18   	172.73   	 96.91   	 396.74		 91.35   	 478.13		
-64.39   	175.78   	 98.49   	 406.92		 93.27   	 493.39		
-59.81   	184.02   	100.12   	 422.18		 95.24   	 508.65		
-65.31   	195.01   	101.81   	 437.43		 97.27   	 523.90		
-59.81   	208.74   	103.56   	 462.87		 99.37   	 539.16		
-74.77   	223.69   	105.41   	 483.21		101.53   	 549.34		
-77.82   	243.23   	107.34   	 513.73		103.72   	 554.42		
-65.92   	259.09   	109.40   	 534.08		105.94   	 569.68		
-52.80   	281.07   	111.54   	 554.42		108.22   	 574.77		
-42.11   	295.72   	113.75   	 569.68		110.52   	 579.86		
-42.72   	310.36   	116.03   	 584.94		112.84   	 579.86		
-40.89   	338.75   	118.37   	 595.11		115.16   	 574.77		
-41.20   	358.28   	120.75   	 610.37		117.46   	 574.77		
-45.78   	385.74   	123.19   	 620.55		119.76   	 569.68		
-36.93   	411.99   	125.68   	 630.72		122.03   	 554.42		
-25.33   	434.27   	128.20   	 635.81		124.25   	 544.25		
-26.55   	458.98   	130.74   	 635.81		126.43   	 528.99		
 -9.16   	487.98   	133.29   	 620.55		128.54   	 518.82		
  8.24   	511.47   	135.77   	 600.20		130.62   	 503.56		
  6.71   	521.55   	138.17   	 569.68		132.63   	 488.30		
 21.67   	530.70   	140.45   	 539.16		134.59   	 478.13		
 27.16   	525.82   	142.60   	 513.73		136.50   	 473.04		
 27.16   	525.82   	144.66   	 483.21		138.39   	 457.78		
 36.62   	526.73   	146.59   	 462.87		140.22   	 457.78		
 44.56   	523.68   	148.44   	 447.61		142.05   	 447.61		
 39.98   	509.34   	150.23   	 432.35		143.84   	 437.43		
 37.54   	492.55   	151.96   	 422.18		145.59   	 432.35		
 42.11   	468.75   	153.65   	 406.92		147.32   	 427.26		
 45.78   	443.12   	155.28   	 391.66		149.03   	 417.09		
 43.03   	416.87   	156.85   	 376.40		150.70   	 412.00		
 41.50   	379.03   	158.35   	 350.97		152.35   	 401.83		
 33.26   	335.39   	159.76   	 335.71		153.96   	 386.57		
 27.47   	291.75   	161.10   	 315.36		155.50   	 381.48		
 18.62   	250.24   	162.36   	 300.10		157.03   	 366.22		
 24.41   	206.91   	163.56   	 295.01		158.49   	 361.14		
 26.25   	175.78   	164.74   	 289.93		159.94   	 340.79		
  6.71   	143.13   	165.90   	 289.93		161.30   	 335.71		
 -7.02   	116.88   	167.06   	 279.75		162.64   	 315.36		
-20.75   	 96.44   	168.18   	 269.58		163.91   	 305.19		
-35.10   	 81.18   	169.26   	 228.89		165.13   	 284.84		
-30.82   	 75.07   	170.17   	 167.85		166.27   	 269.58		
-26.86   	 50.66   	170.84   	  96.64		167.34   	 249.24		
-28.99   	 48.83   	171.23   	  15.26		168.34   	 228.89		
-30.21   	 42.72   	171.29(S)	 -61.04		169.26   	 203.46		
-30.82   	 26.25   	171.05   	-122.07		170.07   	 188.20		
-36.62   	 32.96   	170.56   	-157.68		170.82   	 162.77		
-38.15   	 21.97   	169.93   	-162.77		171.47   	 142.42		
-42.42   	 10.38   	169.28   	-152.59		172.04   	 127.16		
-54.93   	  7.32   	168.67   	-132.25		172.55   	 106.82		
-53.10   	  0.31   	168.14   	-101.73		172.98   	  81.38		
-52.80   	  1.83   	167.73   	 -76.30		173.31   	  61.04		
-53.71   	  2.44   	167.43   	 -61.04		173.55   	  35.61		
-42.42   	 -0.31   	167.18   	 -50.86		173.69   	  10.17		
-41.50   	  0.31   	166.98   	 -50.86		173.73(S)	 -20.35		
-47.61   	 -4.27   	166.77   	 -55.95		173.65   	 -45.78		
-45.17   	-12.51   	166.55   	 -71.21		173.47   	 -86.47		
-43.03   	 -6.41   	166.27   	 -81.38		173.12   	-111.90		
-48.22   	-13.43   	165.94   	-106.82		172.67   	-147.51		
-38.15   	-17.09   	165.51   	-147.51		172.08   	-188.20		
-27.47   	-14.04   	164.92   	-203.46		171.33   	-218.72		
-41.20   	-22.28   	164.11   	-264.50		170.46   	-259.41		
-48.22   	-24.72   	163.05   	-345.88		169.42   	-300.10		
-42.11   	-25.02   	161.67   	-427.26		168.22   	-335.71		
-49.74   	-30.21   	159.96   	-513.73		166.88   	-376.40		
-46.69   	-32.65   	157.90   	-579.86		165.37   	-422.18		
-27.47   	-28.38   	155.58   	-645.98		163.68   	-462.87		
-31.43   	-32.96   	153.00   	-686.67		161.83   	-498.47		
-41.20   	-37.54   	150.25   	-712.10		159.84   	-534.08		
-38.15   	-25.02   	147.41   	-722.28		157.70   	-569.68		
-48.22   	-39.06   	144.52   	-717.19		155.42   	-595.11		
-45.78   	-27.16   	141.65   	-696.84		153.04   	-620.55		
-38.15   	-17.70   	138.86   	-671.41		150.56   	-635.81		
-42.72   	-28.69   	136.17   	-635.81		148.02   	-651.07		
-47.61   	-15.87   	133.63   	-600.20		145.41   	-656.15		
-65.00   	-20.45   	131.23   	-549.34		142.79   	-651.07		
-70.19   	-17.70   	129.03   	-503.56		140.18   	-651.07		
-66.22   	-10.38   	127.02   	-462.87		137.58   	-635.81		
-58.59   	 -8.54   	125.17   	-417.09		135.04   	-615.46		
-53.71   	 -1.83   	123.50   	-381.48		132.57   	-600.20		
-48.83   	  4.27   	121.97   	-361.14		130.17   	-579.86		
-45.47   	  7.93   	120.53   	-335.71		127.85   	-549.34		
-42.11   	  4.88   	119.19   	-320.45		125.66   	-523.90		
-36.93   	  6.41   	117.90   	-315.36		123.56   	-498.47		
-34.18   	 13.43   	116.64   	-315.36		121.57   	-467.95		
-34.18   	 13.43   	115.38   	-305.19		119.69   	-442.52		
-38.15   	 25.94   	114.16   	-305.19		117.92   	-417.09		
-43.64   	 29.60   	112.94   	-300.10		116.26   	-396.74		
-47.91   	 19.84   	111.74   	-295.01		114.67   	-371.31		
-52.49   	 21.67   	110.56   	-284.84		113.18   	-345.88		
-57.37   	 17.09   	109.42   	-274.67		111.80   	-330.62		
-49.74   	 18.31   	108.32   	-264.50		110.48   	-315.36		
-40.28   	 17.40   	107.26   	-254.32		109.22   	-295.01		
-42.11   	 11.29   	106.25   	-244.15		108.04   	-274.67		
-43.03   	 13.12   	105.27   	-233.98		106.94   	-264.50		
-41.20   	  6.71   	104.33   	-228.89		105.88   	-254.32		
-45.47   	 18.92   	103.42   	-218.72		104.86   	-239.06		
-46.39   	 25.63   	102.54   	-213.63		103.91   	-223.80		
-43.03   	 17.09   	101.69   	-208.54		103.01   	-213.63		
-40.89   	 24.11   	100.85   	-203.46		102.16   	-208.54		
