  I     	  II     	  AOp     	  AOp'		  AO     	  AO'		
-69.27   	-11.29   	121.06   	-462.87		128.24   	-467.95		
-69.27   	-10.99   	119.21   	-437.43		126.37   	-452.69		
-78.74   	 -5.80   	117.46   	-417.09		124.56   	-442.52		
-82.40   	-12.21   	115.79   	-391.66		122.79   	-427.26		
-77.51   	 -7.32   	114.22   	-376.40		121.08   	-412.00		
-72.94   	 -5.80   	112.72   	-350.97		119.43   	-396.74		
-65.92   	 -9.77   	111.31   	-330.62		117.84   	-381.48		
-71.11   	 -3.97   	109.99   	-320.45		116.32   	-371.31		
-84.53   	 -6.71   	108.71   	-300.10		114.83   	-356.05		
-93.99   	 -7.02   	107.51   	-284.84		113.41   	-340.79		
-96.44   	  7.63   	106.37   	-269.58		112.04   	-330.62		
-85.75   	  6.71   	105.29   	-259.41		110.72   	-315.36		
-76.60   	 15.26   	104.25   	-244.15		109.46   	-295.01		
-78.43   	 12.82   	103.28   	-233.98		108.28   	-284.84		
-75.68   	  8.54   	102.34   	-213.63		107.14   	-269.58		
-75.07   	 17.40   	101.48   	-198.37		106.06   	-254.32		
-84.53   	  3.97   	100.69   	-183.11		105.05   	-239.06		
-69.89   	 10.68   	 99.96   	-167.85		104.09   	-228.89		
-68.36   	  7.32   	 99.29   	-157.68		103.17   	-213.63		
-81.48   	 -7.93   	 98.66   	-147.51		102.32   	-208.54		
-81.79   	 -2.14   	 98.07   	-147.51		101.48   	-198.37		
-83.01   	 -3.66   	 97.48   	-137.33		100.69   	-188.20		
-82.70   	-13.43   	 96.93   	-137.33		 99.94   	-188.20		
-71.72   	 -0.31   	 96.38   	-147.51		 99.19   	-183.11		
-67.44   	 -0.31   	 95.79   	-147.51		 98.45   	-178.03		
-79.35   	 -6.10   	 95.20   	-152.59		 97.74   	-178.03		
-71.41   	 -0.92   	 94.59   	-167.85		 97.03   	-172.94		
-64.09   	 -8.24   	 93.92   	-172.94		 96.34   	-178.03		
-50.05   	 -7.32   	 93.22   	-178.03		 95.63   	-172.94		
-47.00   	-19.84   	 92.51   	-183.11		 94.93   	-178.03		
-55.85   	-34.18   	 91.78   	-183.11		 94.22   	-167.85		
-69.58   	-48.22   	 91.05   	-188.20		 93.55   	-172.94		
-88.20   	-79.35   	 90.29   	-178.03		 92.86   	-172.94		
-87.89   	-91.25   	 89.58   	-178.03		 92.17   	-167.85		
-82.40   	-98.88   	 88.87   	-167.85		 91.50   	-167.85		
-76.60   	-133.97   	 88.20   	-162.77		 90.82   	-167.85		
-69.89   	-155.33   	 87.55   	-157.68		 90.15   	-157.68		
-61.95   	-163.88   	 86.92   	-147.51		 89.52   	-162.77		
-66.83   	-177.61   	 86.33   	-142.42		 88.87   	-152.59		
-83.01   	-168.46   	 85.76   	-132.25		 88.26   	-152.59		
-93.99   	-152.28   	 85.23   	-122.07		 87.65   	-147.51		
-101.93   	-157.17   	 84.74   	-116.99		 87.06   	-137.33		
-89.72   	-143.43   	 84.27   	-116.99		 86.51   	-137.33		
-81.18   	-140.38   	 83.80   	-106.82		 85.96   	-132.25		
-66.83   	-132.75   	 83.38   	-111.90		 85.43   	-122.07		
-61.95   	-110.78   	 82.93   	-111.90		 84.94   	-122.07		
-67.75   	-106.81   	 82.48   	-111.90		 84.46   	-122.07		
-60.42   	-84.84   	 82.03   	-116.99		 83.97   	-116.99		
-61.34   	-53.10   	 81.57   	-116.99		 83.50   	-111.90		
-61.34   	-31.13   	 81.10   	-127.16		 83.05   	-116.99		
-66.83   	 -9.16   	 80.59   	-132.25		 82.58   	-122.07		
-79.04   	 11.60   	 80.06   	-137.33		 82.10   	-116.99		
-89.11   	  9.16   	 79.51   	-142.42		 81.63   	-127.16		
-98.57   	  1.83   	 78.94   	-142.42		 81.12   	-122.07		
-92.16   	  2.14   	 78.37   	-284.84		 80.63   	-264.50		
-82.70   	 -3.66   	 77.23   	-142.42		 79.57   	-132.25		
-66.22   	  9.16   	 76.66   	-132.25		 79.04   	-132.25		
-69.27   	 -1.22   	 76.13   	-127.16		 78.51   	-137.33		
-72.63   	 -2.14   	 75.63   	-116.99		 77.97   	-132.25		
-55.85   	  5.49   	 75.16   	-111.90		 77.44   	-132.25		
-62.56   	  3.36   	 74.71   	-111.90		 76.91   	-132.25		
-57.07   	 26.86   	 74.26   	-101.73		 76.38   	-122.07		
-62.87   	 26.55   	 73.86   	-101.73		 75.89   	-122.07		
-82.70   	 42.42   	 73.45   	 -96.64		 75.40   	-116.99		
-121.77   	 89.42   	 73.06   	 -96.64		 74.93   	-111.90		
-180.05   	125.43   	 72.68   	 -91.56		 74.49   	-106.82		
-184.63   	202.94   	 72.31   	 -96.64		 74.06   	-101.73		
-159.30   	287.17   	 71.92   	 -91.56		 73.65   	-101.73		
-69.58   	367.43   	 71.56   	 -91.56		 73.24   	 -91.56		
117.19   	457.15   	 71.19   	 -91.56		 72.88   	 -96.64		
318.91   	555.42   	 70.82   	 -86.47		 72.49   	 -86.47		
567.02   	590.21   	 70.48   	 -91.56		 72.15   	 -91.56		
806.88   	394.59   	 70.11   	 -86.47		 71.78   	 -86.47		
976.56   	 40.28   	 69.77   	 -91.56		 71.43   	 -86.47		
1050.72   	-404.36   	 69.40   	 -86.47		 71.09   	 -86.47		
979.92   	-838.93   	 69.05   	 -86.47		 70.74   	 -91.56		
825.81   	-1018.68   	 68.71   	 -91.56		 70.38   	 -91.56		
646.97   	-1050.42   	 68.34   	 -86.47		 70.01   	 -96.64		
509.34   	-1054.69(R)	 68.00   	 -86.47		 69.62   	 -96.64		
418.09   	-980.53   	 67.65   	 -91.56		 69.24   	 -96.64		
341.49   	-894.78   	 67.28   	 -86.47		 68.85   	 -96.64		
271.91   	-692.44   	 66.94   	 -86.47		 68.46   	 -96.64		
169.37   	-392.76   	 66.59   	 -81.38		 68.08   	 -91.56		
 60.12   	-159.91   	 66.27   	 -76.30		 67.71   	 -91.56		
 -8.85   	-17.70   	 65.96   	 -76.30		 67.34   	 -81.38		
-49.13   	 21.06   	 65.66   	 -66.12		 67.02   	 -81.38		
-78.13   	 13.43   	 65.39   	 -61.04		 66.69   	 -71.21		
-80.87   	 30.21   	 65.15   	 -45.78		 66.41   	 -66.12		
-82.70   	 43.33   	 64.96   	 -35.61		 66.14   	 -61.04		
-95.52   	 59.20   	 64.82   	 -20.35		 65.90   	 -55.95		
-104.37   	 62.56   	 64.74   	   0.00		 65.68   	 -45.78		
-106.81   	 58.59   	 64.74   	  25.43		 65.49   	 -35.61		
-106.20   	 57.37   	 64.84   	  55.95		 65.35   	 -25.43		
-90.03   	 84.84   	 65.07   	  81.38		 65.25   	 -10.17		
-81.18   	 91.55   	 65.39   	 116.99		 65.21   	   5.09		
-81.48   	 93.69   	 65.86   	 147.51		 65.23   	  20.35		
-79.96   	113.22   	 66.45   	 172.94		 65.31   	  35.61		
-98.57   	 98.88   	 67.14   	 203.46		 65.45   	  61.04		
-109.56   	 89.72   	 67.95   	 228.89		 65.70   	  86.47		
-106.20   	104.06   	 68.87   	 249.24		 66.04   	 106.82		
-103.15   	106.81   	 69.87   	 269.58		 66.47   	 137.33		
-102.23   	112.92   	 70.95   	 289.93		 67.02   	 167.85		
-101.01   	118.71   	 72.11   	 315.36		 67.69   	 193.29		
