  I     	  II     	  LVp     	  LVp'		
 26.86   	144.35   	 65.55   	-233.98		
 26.25   	157.17   	 64.62   	-208.54		
 22.28   	162.05   	 63.78   	-178.03		
 14.34   	151.06   	 63.07   	-157.68		
  6.71   	126.04   	 62.44   	-132.25		
  3.66   	 95.21   	 61.91   	-116.99		
  5.80   	 65.61   	 61.44   	-101.73		
 11.29   	 39.98   	 61.04   	 -86.47		
 16.48   	 19.53   	 60.69   	 -81.38		
 18.62   	  2.14   	 60.37   	 -76.30		
 18.31   	-13.12   	 60.06   	 -71.21		
 15.87   	-25.02   	 59.78   	 -66.12		
  9.77   	-35.71   	 59.51   	 -66.12		
  0.00   	-49.13   	 59.25   	 -61.04		
-12.82   	-68.97   	 59.00   	 -55.95		
-24.41   	-94.60   	 58.78   	 -50.86		
-31.74   	-119.02   	 58.58   	 -45.78		
-33.57   	-133.67   	 58.39   	 -30.52		
-32.35   	-135.19   	 58.27   	 -20.35		
-29.91   	-128.48   	 58.19   	 -10.17		
-28.38   	-120.54   	 58.15   	  -5.09		
-28.08   	-116.88   	 58.13   	   5.09		
-29.30   	-117.49   	 58.15   	  15.26		
-30.21   	-117.19   	 58.21   	  10.17		
-30.52   	-112.92   	 58.25   	  10.17		
-28.99   	-107.42   	 58.29   	   5.09		
-27.47   	-104.68   	 58.31   	  -5.09		
-28.99   	-105.59   	 58.29   	 -10.17		
-34.48   	-104.37   	 58.25   	 -15.26		
-40.28   	-91.25   	 58.19   	 -25.43		
-37.84   	-56.76   	 58.09   	 -25.43		
-15.56   	  7.93   	 57.99   	 -30.52		
 34.79   	114.14   	 57.86   	 -25.43		
113.53   	272.52   	 57.76   	 -20.35		
212.10   	482.79   	 57.68   	 -15.26		
316.16   	725.40   	 57.62   	 -20.35		
410.16   	951.54   	 57.54   	 -10.17		
476.99   	1089.17(R)	 57.50(E)	 -20.35		
500.49   	1079.71   	 57.42   	 -20.35		
466.61   	910.95   	 57.33   	 -30.52		
368.96   	629.27   	 57.21   	 -40.69		
221.25   	328.98   	 57.05   	 -45.78		
 59.20   	102.84   	 56.87   	 -61.04		
-70.80   	 -6.41   	 56.62   	 -66.12		
-133.97   	-19.53   	 56.36   	 -71.21		
-129.39   	  3.66   	 56.07   	 -61.04		
-87.59   	 11.29   	 55.83   	 -40.69		
-49.74   	-13.43   	 55.67   	 -15.26		
-39.67   	-57.37   	 55.61   	  20.35		
-53.41   	-97.96   	 55.69   	  81.38		
-71.41   	-124.51   	 56.01   	 142.42		
-77.51   	-140.38   	 56.58   	 218.72		
-71.72   	-151.06   	 57.46   	 305.19		
-63.78   	-160.22   	 58.68   	 396.74		
-60.73   	-165.41   	 60.26   	 483.21		
-63.17   	-165.41   	 62.20   	 574.77		
-66.53   	-162.96   	 64.50   	 651.07		
-66.83   	-160.83   	 67.10   	 732.45		
-63.78   	-160.22   	 70.03   	 793.49		
-61.34   	-159.00   	 73.20   	 849.44		
-60.73   	-155.03   	 76.60   	 890.13		
-61.65   	-146.48   	 80.16   	 915.56		
-63.17   	-137.33   	 83.82   	 920.65		
-62.87   	-132.45   	 87.51   	 915.56		
-60.12   	-133.97   	 91.17   	 895.22		
-56.46   	-138.85   	 94.75   	 869.78		
-53.71   	-142.21   	 98.23   	 829.09		
-52.49   	-140.69   	101.55   	 783.31		
-51.88   	-133.06   	104.68   	 747.71		
-50.66   	-122.68   	107.67   	 707.02		
-48.22   	-112.30   	110.50   	 666.32		
