  I     	  II     	  LV     	  LV'		
-31.74   	-33.87   	124.92   	-549.34		
-28.38   	-24.41   	122.73   	-574.77		
-27.47   	-15.87   	120.43   	-595.11		
-28.99   	-11.60   	118.05   	-615.46		
-31.43   	-13.43   	115.58   	-661.24		
-32.35   	-20.14   	112.94   	-773.14		
-30.82   	-26.86   	109.85   	-935.91		
-27.77   	-28.38   	106.10   	-1134.28		
-25.02   	-21.36   	101.57   	-1322.48		
-23.50   	 -3.66   	 96.28   	-1459.81		
-20.45   	 24.72   	 90.44   	-1520.85		
-11.90   	 60.42   	 84.35   	-1510.68		
  5.80   	 92.16   	 78.31   	-1449.64		
 32.65   	101.93   	 72.51   	-1363.17		
 66.53   	 72.94   	 67.06   	-1281.79		
104.68   	 -1.22   	 61.93   	-1200.40		
148.32   	-112.30   	 57.13   	-1129.19		
201.11   	-242.31   	 52.61   	-1073.24		
266.11   	-377.20   	 48.32   	-1012.20		
339.66   	-515.14   	 44.27   	-956.25		
411.38   	-664.67   	 40.45   	-910.47		
468.75   	-837.10   	 36.81   	-849.44		
499.57   	-1031.19   	 33.41   	-793.49		
495.91   	-1228.33   	 30.23   	-737.54		
450.74   	-1398.93   	 27.28   	-676.50		
357.67   	-1513.98   	 24.58   	-620.55		
214.23   	-1561.58   	 22.10   	-559.51		
 30.21   	-1555.48   	 19.86   	-498.47		
-167.24   	-1524.66   	 17.86   	-432.35		
-341.49   	-1494.14   	 16.13   	-361.14		
-463.26   	-1463.32   	 14.69   	-295.01		
-522.46   	-1403.81   	 13.51   	-218.72		
-534.06   	-1287.23   	 12.63   	-147.51		
-523.38   	-1110.23   	 12.04   	 -76.30		
-509.95   	-908.20   	 11.74   	  -5.09		
-496.83   	-733.95   	 11.72   	  66.12		
-476.99   	-622.56   	 11.98   	 132.25		
-443.12   	-569.76   	 12.51   	 188.20		
-395.51   	-544.43   	 13.27   	 249.24		
-343.02   	-517.88   	 14.26   	 295.01		
-294.80   	-480.35   	 15.44   	 340.79		
-253.60   	-438.23   	 16.81   	 386.57		
-218.20   	-397.34   	 18.35   	 432.35		
-186.16   	-349.73   	 20.08   	 488.30		
-154.72   	-281.37   	 22.03   	 544.25		
-122.68   	-182.50   	 24.21   	 605.29		
-86.67   	-53.41   	 26.63   	 666.32		
-46.08   	 94.30   	 29.30   	 717.19		
 -2.14   	243.53   	 32.17   	 752.79		
 36.93   	374.76   	 35.18   	 778.23		
 62.26   	469.67   	 38.29   	 788.40		
 70.19   	518.80   	 41.44   	 788.40		
 66.22   	530.09   	 44.60   	 783.31		
 61.04   	524.90   	 47.73   	 783.31		
 62.26   	525.21   	 50.86   	 783.31		
 70.80   	540.77   	 54.00   	 778.23		
 79.96   	566.41   	 57.11   	 778.23		
 84.23   	588.99   	 60.22   	 768.05		
 81.79   	599.06   	 63.30   	 737.54		
 75.07   	594.48   	 66.25   	 712.10		
 65.92   	577.09   	 69.09   	 671.41		
 51.88   	550.23   	 71.78   	 640.89		
 31.43   	517.58   	 74.34   	 605.29		
  7.93   	483.70   	 76.76   	 584.94		
-11.60   	454.10   	 79.10   	 564.60		
-20.45   	433.65   	 81.36   	 544.25		
-18.31   	423.89   	 83.54   	 518.82		
-11.90   	424.50   	 85.62   	 493.39		
 -7.63   	432.43   	 87.59   	 457.78		
 -7.32   	445.56   	 89.42   	 422.18		
 -8.54   	460.51   	 91.11   	 381.48		
 -7.93   	476.68   	 92.63   	 345.88		
 -4.27   	494.38   	 94.02   	 315.36		
  0.31   	514.83   	 95.28   	 274.67		
  5.19   	539.25   	 96.38   	 228.89		
  9.77   	567.32   	 97.29   	 172.94		
 14.95   	597.53   	 97.99   	 111.90		
 20.45   	627.75   	 98.43   	  40.69		
 25.33   	656.13   	 98.60   	 -20.35		
 30.21   	681.76   	 98.51   	 -76.30		
 36.62   	705.87   	 98.21   	-116.99		
 45.47   	731.51   	 97.74   	-152.59		
 56.15   	759.89   	 97.13   	-167.85		
 66.83   	789.79   	 96.46   	-178.03		
