  I     	  AOp     	  AOp'		  AO     	  AO'		
-34.18   	 95.73   	 -55.95		 97.60   	 -15.26		
-33.87   	 95.50   	 -61.04		 97.54   	 -20.35		
-32.04   	 95.26   	 -50.86		 97.46   	 -25.43		
-29.91   	 95.06   	 -50.86		 97.35   	 -35.61		
-28.69   	 94.85   	 -40.69		 97.21   	 -35.61		
-29.60   	 94.69   	 -35.61		 97.07   	 -35.61		
-33.57   	 94.55   	 -30.52		 96.93   	 -40.69		
-39.37   	 94.42   	 -25.43		 96.76   	 -40.69		
-44.25   	 94.32   	 -25.43		 96.60   	 -40.69		
-45.78   	 94.22   	 -25.43		 96.44   	 -35.61		
-42.72   	 94.12   	 -25.43		 96.30   	 -35.61		
-36.93   	 94.02   	 -25.43		 96.15   	 -35.61		
-32.35   	 93.92   	 -40.69		 96.01   	 -30.52		
-31.43   	 93.75   	 -45.78		 95.89   	 -30.52		
-35.40   	 93.57   	 -55.95		 95.77   	 -25.43		
-41.50   	 93.35   	 -61.04		 95.67   	 -30.52		
-46.08   	 93.10   	 -71.21		 95.54   	 -30.52		
-46.39   	 92.82   	 -81.38		 95.42   	 -30.52		
-41.81   	 92.49   	 -81.38		 95.30   	 -35.61		
-34.48   	 92.17   	 -81.38		 95.16   	 -35.61		
-26.86   	 91.84   	 -81.38		 95.01   	 -45.78		
-19.53   	 91.52   	 -86.47		 94.83   	 -45.78		
-12.51   	 91.17   	 -76.30		 94.65   	 -50.86		
 -5.49   	 90.86   	 -76.30		 94.45   	 -55.95		
  0.31   	 90.56   	 -71.21		 94.22   	 -61.04		
  2.75   	 90.27   	 -66.12		 93.98   	 -61.04		
  2.44   	 90.01   	 -55.95		 93.73   	 -61.04		
  1.53   	 89.79   	 -45.78		 93.49   	 -66.12		
  3.97   	 89.60   	 -35.61		 93.22   	 -66.12		
 11.29   	 89.46   	 -30.52		 92.96   	 -61.04		
 21.97   	 89.34   	 -25.43		 92.72   	 -61.04		
 32.35   	 89.24   	 -20.35		 92.47   	 -61.04		
 39.67   	 89.16   	 -25.43		 92.23   	 -55.95		
 43.95   	 89.05   	 -30.52		 92.00   	 -55.95		
 46.08   	 88.93   	 -35.61		 91.78   	 -50.86		
 46.39   	 88.79   	 -45.78		 91.58   	 -50.86		
 45.17   	 88.61   	 -55.95		 91.37   	 -45.78		
 41.81   	 88.38   	 -61.04		 91.19   	 -50.86		
 36.62   	 88.14   	 -66.12		 90.99   	 -45.78		
 28.99   	 87.87   	 -61.04		 90.80   	 -50.86		
 18.62   	 87.63   	 -61.04		 90.60   	 -50.86		
  4.27   	 87.39   	 -50.86		 90.40   	 -50.86		
-13.12   	 87.18   	 -50.86		 90.19   	 -55.95		
-30.82   	 86.98   	 -50.86		 89.97   	 -55.95		
-44.56   	 86.77   	 -40.69		 89.75   	 -50.86		
-52.19   	 86.61   	 -40.69		 89.54   	 -55.95		
-55.24   	 86.45   	 -40.69		 89.32   	 -55.95		
-57.37   	 86.29   	 -35.61		 89.09   	 -55.95		
-59.81   	 86.14   	 -30.52		 88.87   	 -50.86		
-60.73   	 86.02   	 -25.43		 88.67   	 -50.86		
-58.90   	 85.92   	 -20.35		 88.46   	 -45.78		
-55.24   	 85.84   	 -25.43		 88.28   	 -40.69		
-51.88   	 85.74   	 -20.35		 88.12   	 -40.69		
-50.96   	 85.66   	 -30.52		 87.95   	 -35.61		
-51.27   	 85.53   	 -30.52		 87.81   	 -35.61		
-50.66   	 85.41   	 -35.61		 87.67   	 -30.52		
-48.22   	 85.27   	 -45.78		 87.55   	 -35.61		
-46.39   	 85.09   	 -50.86		 87.41   	 -30.52		
-46.08   	 84.88   	 -50.86		 87.28   	 -30.52		
-48.52   	 84.68   	 -50.86		 87.16   	 -30.52		
-53.10   	 84.48   	 -50.86		 87.04   	 -35.61		
-60.73   	 84.27   	 -50.86		 86.90   	 -35.61		
-72.63   	 84.07   	 -50.86		 86.75   	 -40.69		
-90.94   	 83.87   	 -45.78		 86.59   	 -35.61		
-113.83   	 83.68   	 -45.78		 86.45   	 -40.69		
-135.19   	 83.50   	 -45.78		 86.29   	 -45.78		
-144.35   	 83.32   	 -45.78		 86.10   	 -40.69		
-129.39   	 83.13   	 -40.69		 85.94   	 -40.69		
-75.38   	 82.97   	 -45.78		 85.78   	 -40.69		
 29.60   	 82.79   	 -40.69		 85.62   	 -40.69		
189.21   	 82.62   	 -45.78		 85.45   	 -40.69		
393.07   	 82.44   	 -50.86		 85.29   	 -35.61		
607.30   	 82.24   	 -50.86		 85.15   	 -40.69		
773.32   	 82.03   	 -55.95		 84.98   	 -40.69		
831.91(R)	 81.81   	 -55.95		 84.82   	 -35.61		
761.41   	 81.59   	 -66.12		 84.68   	 -35.61		
599.06   	 81.32   	 -61.04		 84.54   	 -40.69		
425.72   	 81.08   	 -61.04		 84.37   	 -40.69		
318.30   	 80.83   	 -55.95		 84.21   	 -40.69		
297.85   	 80.61   	 -50.86		 84.05   	 -45.78		
323.18   	 80.41   	 -45.78		 83.87   	 -45.78		
331.42   	 80.22   	 -40.69		 83.68   	 -45.78		
287.78   	 80.06   	 -40.69		 83.50   	 -45.78		
199.28   	 79.90   	 -30.52		 83.32   	 -45.78		
 98.27   	 79.78   	 -30.52		 83.13   	 -45.78		
 14.95   	 79.65   	 -20.35		 82.95   	 -45.78		
-37.54   	 79.57   	 -15.26		 82.77   	 -45.78		
-59.51   	 79.51   	  -5.09		 82.58   	 -40.69		
-57.98   	 79.49(D)	   5.09		 82.42   	 -40.69		
-43.95   	 79.51   	   5.09		 82.26   	 -35.61		
-30.82   	 79.53   	  20.35		 82.12   	 -35.61		
-27.77   	 79.61   	  25.43		 81.97   	 -30.52		
-34.18   	 79.71   	  40.69		 81.85   	 -30.52		
-42.42   	 79.88   	  66.12		 81.73   	 -30.52		
-44.56   	 80.14   	 101.73		 81.61   	 -25.43		
-38.76   	 80.55   	 147.51		 81.51   	 -30.52		
-30.21   	 81.14   	 193.29		 81.38   	 -25.43		
-24.72   	 81.91   	 239.06		 81.28   	 -25.43		
-24.41   	 82.87   	 269.58		 81.18   	 -20.35		
-27.16   	 83.95   	 284.84		 81.10   	 -15.26		
-28.69   	 85.09   	 295.01		 81.04   	 -15.26		
-25.94   	 86.27   	 284.84		 80.98(D)	   0.00		
-20.45   	 87.41   	 279.75		 80.98   	  10.17		
-14.95   	 88.52   	 269.58		 81.02   	  20.35		
-11.90   	 89.60   	 259.41		 81.10   	  40.69		
 -9.46   	 90.64   	 264.50		 81.26   	  66.12		
 -6.71   	 91.70   	 259.41		 81.53   	  86.47		
 -3.36   	 92.74   	 249.24		 81.87   	 116.99		
  0.00   	 93.73   	 228.89		 82.34   	 137.33		
  2.75   	 94.65   	 188.20		 82.89   	 167.85		
  6.10   	 95.40   	 127.16		 83.56   	 193.29		
 11.90   	 95.91   	  71.21		 84.33   	 218.72		
 19.84   	 96.19   	  15.26		 85.21   	 233.98		
 28.08   	 96.26   	 -15.26		 86.14   	 249.24		
 33.87   	 96.19   	 -25.43		 87.14   	 254.32		
 37.84   	 96.09   	   5.09		 88.16   	 264.50		
 42.42   	 96.11   	  61.04		 89.22   	 264.50		
 50.05   	 96.36   	 137.33		 90.27   	 259.41		
 61.04   	 96.91   	 198.37		 91.31   	 259.41		
 72.63   	 97.70   	 249.24		 92.35   	 249.24		
 82.40   	 98.70   	 259.41		 93.35   	 254.32		
 88.20   	 99.74   	 254.32		 94.36   	 244.15		
 92.47   	100.75   	 208.54		 95.34   	 244.15		
 97.35   	101.59   	 152.59		 96.32   	 244.15		
104.98   	102.20   	  91.56		 97.29   	 244.15		
115.05   	102.56   	  50.86		 98.27   	 244.15		
126.65   	102.77   	  20.35		 99.25   	 244.15		
136.41   	102.85   	   5.09		100.22   	 244.15		
142.21   	102.87   	 -10.17		101.20   	 239.06		
143.74   	102.83   	 -25.43		102.16   	 233.98		
141.30   	102.73   	 -45.78		103.09   	 223.80		
137.33   	102.54   	 -50.86		103.99   	 208.54		
133.36   	102.34   	 -50.86		104.82   	 198.37		
128.78   	102.14   	 -35.61		105.62   	 172.94		
120.85   	101.99   	   5.09		106.31   	 152.59		
108.03   	102.01   	  50.86		106.92   	 132.25		
 90.64   	102.22   	  91.56		107.45   	 116.99		
 71.72   	102.58   	 116.99		107.91   	  96.64		
 54.93   	103.05   	 127.16		108.30   	  81.38		
 41.81   	103.56   	 116.99		108.63   	  71.21		
 31.74   	104.03   	  76.30		108.91   	  61.04		
 21.97   	104.33   	  25.43		109.16   	  61.04		
 10.99   	104.43(S)	 -25.43		109.40   	  55.95		
 -0.61   	104.33   	 -66.12		109.62   	  61.04		
-11.60   	104.07   	 -96.64		109.87   	  61.04		
-20.75   	103.68   	-101.73		110.11   	  61.04		
-29.30   	103.28   	-101.73		110.36   	  66.12		
-38.15   	102.87   	 -81.38		110.62   	  66.12		
-47.00   	102.54   	 -66.12		110.88   	  66.12		
-54.63   	102.28   	 -45.78		111.15   	  61.04		
-60.12   	102.10   	 -30.52		111.39   	  55.95		
-63.17   	101.97   	 -10.17		111.62   	  50.86		
-65.31   	101.93   	  15.26		111.82   	  45.78		
-66.83   	101.99   	  35.61		112.00   	  35.61		
-67.44   	102.14   	  66.12		112.15   	  35.61		
-67.44   	102.40   	  86.47		112.29   	  25.43		
-67.44   	102.75   	  96.64		112.39   	  25.43		
-69.27   	103.13   	 106.82		112.49   	  20.35		
-71.11   	103.56   	  96.64		112.57   	  20.35		
-71.11   	103.95   	  76.30		112.65   	  15.26		
-68.66   	104.25   	  45.78		112.72   	  15.26		
-65.61   	104.43   	   0.00		112.78   	  10.17		
-65.00   	104.43   	 -55.95		112.82   	  10.17		
-67.75   	104.21   	-111.90		112.86   	   5.09		
-71.11   	103.76   	-167.85		112.88   	   5.09		
-70.80   	103.09   	-208.54		112.90(S)	 -10.17		
-65.31   	102.26   	-244.15		112.86   	 -10.17		
-58.59   	101.28   	-269.58		112.82   	 -25.43		
-54.93   	100.20   	-279.75		112.72   	 -40.69		
-56.15   	 99.08   	-284.84		112.55   	 -50.86		
-58.90   	 97.94   	-279.75		112.35   	 -71.21		
-59.20   	 96.83   	-269.58		112.06   	 -86.47		
-55.85   	 95.75   	-244.15		111.72   	-111.90		
-51.57   	 94.77   	-223.80		111.27   	-127.16		
-48.22   	 93.88   	-193.29		110.76   	-147.51		
-46.08   	 93.10   	-147.51		110.17   	-167.85		
-44.25   	 92.51   	-101.73		109.50   	-188.20		
-42.72   	 92.11   	 -50.86		108.75   	-198.37		
-43.03   	 91.90   	   5.09		107.95   	-208.54		
-45.47   	 91.92   	  45.78		107.12   	-213.63		
-48.83   	 92.11   	  86.47		106.27   	-213.63		
-50.35   	 92.45   	 101.73		105.41   	-203.46		
-49.44   	 92.86   	 111.90		104.60   	-193.29		
-47.61   	 93.31   	 111.90		103.82   	-183.11		
-47.30   	 93.75   	  91.56		103.09   	-162.77		
-48.22   	 94.12   	  81.38		102.44   	-147.51		
-49.74   	 94.45   	  55.95		101.85   	-127.16		
-50.66   	 94.67   	  40.69		101.34   	-111.90		
-50.35   	 94.83   	  30.52		100.89   	 -91.56		
-50.05   	 94.95   	  15.26		100.53   	 -76.30		
-50.66   	 95.01   	   5.09		100.22   	 -61.04		
-53.10   	 95.04   	   0.00		 99.98   	 -55.95		
-57.68   	 95.04   	  -5.09		 99.76   	 -40.69		
-62.56   	 95.01   	 -15.26		 99.59   	 -35.61		
-65.61   	 94.95   	 -20.35		 99.45   	 -30.52		
-65.31   	 94.87   	 -25.43		 99.33   	 -30.52		
-61.95   	 94.77   	 -20.35		 99.21   	 -30.52		
-57.07   	 94.69   	 -25.43		 99.08   	 -30.52		
-52.49   	 94.59   	 -20.35		 98.96   	 -35.61		
-48.83   	 94.51   	 -15.26		 98.82   	 -35.61		
-46.08   	 94.45   	  -5.09		 98.68   	 -40.69		
-45.78   	 94.42   	  -5.09		 98.51   	 -40.69		
-48.52   	 94.40   	   0.00		 98.35   	 -45.78		
-53.71   	 94.40   	  -5.09		 98.17   	 -40.69		
-58.90   	 94.38   	 -10.17		 98.01   	 -45.78		
-61.95   	 94.34   	 -20.35		 97.82   	 -40.69		
-62.26   	 94.26   	 -25.43		 97.66   	 -40.69		
-61.34   	 94.16   	 -35.61		 97.50   	 -45.78		
-59.81   	 94.02   	 -40.69		 97.31   	 -35.61		
-58.29   	 93.86   	 -45.78		 97.17   	 -40.69		
-55.54   	 93.67   	 -40.69		 97.01   	 -35.61		
-52.80   	 93.51   	 -45.78		 96.87   	 -35.61		
-50.66   	 93.33   	 -45.78		 96.72   	 -35.61		
-50.66   	 93.14   	 -45.78		 96.58   	 -30.52		
-51.88   	 92.96   	 -45.78		 96.46   	 -35.61		
-51.88   	 92.78   	 -45.78		 96.32   	 -35.61		
-48.22   	 92.59   	 -45.78		 96.17   	 -40.69		
-39.98   	 92.41   	 -40.69		 96.01   	 -35.61		
-28.99   	 92.25   	 -40.69		 95.87   	 -40.69		
-17.70   	 92.09   	 -40.69		 95.71   	 -45.78		
 -9.46   	 91.92   	 -35.61		 95.52   	 -45.78		
 -6.10   	 91.78   	 -40.69		 95.34   	 -50.86		
 -6.71   	 91.62   	 -40.69		 95.14   	 -50.86		
 -8.24   	 91.45   	 -45.78		 94.93   	 -50.86		
 -7.63   	 91.27   	 -50.86		 94.73   	 -55.95		
 -2.75   	 91.07   	 -55.95		 94.51   	 -61.04		
  5.19   	 90.84   	 -55.95		 94.26   	 -55.95		
 13.12   	 90.62   	 -55.95		 94.04   	 -55.95		
 18.01   	 90.40   	 -45.78		 93.81   	 -61.04		
 19.23   	 90.21   	 -45.78		 93.57   	 -55.95		
 19.23   	 90.03   	 -30.52		 93.35   	 -55.95		
 21.67   	 89.91   	 -35.61		 93.12   	 -55.95		
 27.77   	 89.77   	 -30.52		 92.90   	 -50.86		
 33.57   	 89.64   	 -45.78		 92.70   	 -50.86		
 33.87   	 89.46   	 -55.95		 92.49   	 -45.78		
 25.02   	 89.24   	 -76.30		 92.31   	 -50.86		
  7.93   	 88.93   	 -91.56		 92.11   	 -50.86		
-11.90   	 88.57   	-111.90		 91.90   	 -55.95		
-30.82   	 88.12   	-122.07		 91.68   	 -55.95		
-46.39   	 87.63   	-122.07		 91.45   	 -66.12		
-59.20   	 87.14   	-116.99		 91.19   	 -66.12		
-70.19   	 86.67   	-101.73		 90.93   	 -76.30		
-79.04   	 86.27   	 -96.64		 90.62   	 -76.30		
-83.01   	 85.88   	 -81.38		 90.32   	 -81.38		
-80.26   	 85.55   	 -76.30		 89.99   	 -86.47		
-72.02   	 85.25   	 -76.30		 89.64   	 -86.47		
-62.87   	 84.94   	 -81.38		 89.30   	 -91.56		
-57.98   	 84.62   	 -91.56		 88.93   	 -91.56		
-58.59   	 84.25   	 -91.56		 88.57   	 -91.56		
-62.87   	 83.89   	 -91.56		 88.20   	 -91.56		
-65.92   	 83.52   	 -81.38		 87.83   	 -91.56		
-66.22   	 83.19   	 -66.12		 87.47   	 -91.56		
-65.00   	 82.93   	 -45.78		 87.10   	 -86.47		
-64.39   	 82.75   	 -30.52		 86.75   	 -86.47		
-65.92   	 82.62   	 -10.17		 86.41   	 -86.47		
-68.97   	 82.58   	   0.00		 86.06   	 -76.30		
-73.24   	 82.58   	   0.00		 85.76   	 -76.30		
-81.18   	 82.58   	  -5.09		 85.45   	 -71.21		
-95.21   	 82.56   	 -10.17		 85.17   	 -66.12		
-115.66   	 82.52   	 -25.43		 84.90   	 -61.04		
-140.08   	 82.42   	 -35.61		 84.66   	 -55.95		
-162.05   	 82.28   	 -35.61		 84.44   	 -55.95		
-173.95   	 82.14   	 -40.69		 84.21   	 -50.86		
-168.76   	 81.97   	 -35.61		 84.01   	 -50.86		
-134.89   	 81.83   	 -25.43		 83.80   	 -50.86		
-60.12   	 81.73   	 -15.26		 83.60   	 -50.86		
 65.00   	 81.67   	 -15.26		 83.40   	 -45.78		
238.04   	 81.61   	 -10.17		 83.21   	 -45.78		
433.65   	 81.57   	 -20.35		 83.03   	 -50.86		
599.06   	 81.48   	 -25.43		 82.83   	 -45.78		
670.78(R)	 81.38   	 -40.69		 82.64   	 -45.78		
613.10   	 81.22   	 -50.86		 82.46   	 -50.86		
446.78   	 81.02   	 -61.04		 82.26   	 -50.86		
247.80   	 80.77   	 -61.04		 82.05   	 -50.86		
108.03   	 80.53   	 -66.12		 81.85   	 -50.86		
 74.46   	 80.26   	 -61.04		 81.65   	 -50.86		
123.60   	 80.02   	 -55.95		 81.44   	 -50.86		
187.68   	 79.80   	 -50.86		 81.24   	 -50.86		
206.91   	 79.59   	 -50.86		 81.04   	 -50.86		
165.71   	 79.39   	 -55.95		 80.83   	 -50.86		
 87.89   	 79.17   	 -55.95		 80.63   	 -50.86		
  9.77   	 78.94   	 -55.95		 80.43   	 -45.78		
-42.42   	 78.72   	 -66.12		 80.24   	 -50.86		
-61.95   	 78.45   	 -66.12		 80.04   	 -45.78		
-55.24   	 78.19   	 -66.12		 79.86   	 -50.86		
-36.32   	 77.92   	 -66.12		 79.65   	 -45.78		
-19.23   	 77.66   	 -66.12		 79.47   	 -50.86		
-13.12   	 77.40   	 -66.12		 79.27   	 -45.78		
-16.48   	 77.13   	 -66.12		 79.08   	 -45.78		
-21.36   	 76.87   	 -66.12		 78.90   	 -45.78		
-22.28   	 76.60   	 -61.04		 78.72   	 -45.78		
-19.23   	 76.36   	 -61.04		 78.53   	 -45.78		
-14.34   	 76.11   	 -50.86		 78.35   	 -40.69		
 -9.16   	 75.91   	 -25.43		 78.19   	 -45.78		
 -3.36   	 75.81(D)	  10.17		 78.01   	 -45.78		
  3.36   	 75.85   	  66.12		 77.82   	 -40.69		
  8.54   	 76.11   	 127.16		 77.66   	 -45.78		
 10.07   	 76.62   	 193.29		 77.48   	 -40.69		
  9.77   	 77.40   	 254.32		 77.31   	 -35.61		
 11.60   	 78.41   	 305.19		 77.17   	 -25.43		
 16.17   	 79.63   	 345.88		 77.07   	 -25.43		
 22.58   	 81.02   	 361.14		 76.97   	  -5.09		
 27.77   	 82.46   	 371.31		 76.95(D)	   0.00		
 29.60   	 83.95   	 356.05		 76.95   	  25.43		
 30.21   	 85.37   	 340.79		 77.05   	  40.69		
 33.57   	 86.73   	 305.19		 77.21   	  61.04		
 42.72   	 87.95   	 279.75		 77.46   	  86.47		
 58.29   	 89.07   	 244.15		 77.80   	 111.90		
 75.99   	 90.05   	 203.46		 78.25   	 137.33		
 90.64   	 90.86   	 162.77		 78.80   	 167.85		
 97.96   	 91.52   	 111.90		 79.47   	 183.11		
 99.49   	 91.96   	  61.04		 80.20   	 208.54		
100.10   	 92.21   	   0.00		 81.04   	 218.72		
104.68   	 92.21   	 -61.04		 81.91   	 239.06		
115.05   	 91.96   	-111.90		 82.87   	 239.06		
130.00   	 91.52   	-147.51		 83.82   	 249.24		
146.48   	 90.93   	-142.42		 84.82   	 244.15		
162.05   	 90.36   	-111.90		 85.80   	 244.15		
175.78   	 89.91   	 -45.78		 86.77   	 233.98		
187.07   	 89.72   	  40.69		 87.71   	 223.80		
195.62   	 89.89   	 127.16		 88.61   	 213.63		
202.94   	 90.40   	 198.37		 89.46   	 208.54		
210.27   	 91.19   	 254.32		 90.29   	 198.37		
218.81   	 92.21   	 279.75		 91.09   	 193.29		
227.66   	 93.33   	 274.67		 91.86   	 183.11		
234.07   	 94.42   	 254.32		 92.59   	 188.20		
234.68   	 95.44   	 213.63		 93.35   	 178.03		
228.88   	 96.30   	 178.03		 94.06   	 183.11		
218.81   	 97.01   	 137.33		 94.79   	 183.11		
206.30   	 97.56   	 101.73		 95.52   	 183.11		
191.65   	 97.97   	  66.12		 96.26   	 183.11		
172.42   	 98.23   	  25.43		 96.99   	 183.11		
148.32   	 98.33(S)	 -15.26		 97.72   	 178.03		
120.54   	 98.27   	 -61.04		 98.43   	 167.85		
 94.60   	 98.03   	 -86.47		 99.10   	 157.68		
 75.68   	 97.68   	-101.73		 99.74   	 147.51		
 63.48   	 97.27   	-101.73		100.33   	 127.16		
 53.41   	 96.87   	 -86.47		100.83   	 106.82		
 39.98   	 96.52   	 -61.04		101.26   	  91.56		
 22.28   	 96.28   	 -35.61		101.63   	  66.12		
  2.44   	 96.13   	 -10.17		101.89   	  50.86		
-14.04   	 96.09   	   0.00		102.10   	  30.52		
-25.94   	 96.09   	  -5.09		102.22   	  20.35		
-34.48   	 96.07   	 -15.26		102.30   	   5.09		
-41.81   	 96.01   	 -35.61		102.32(S)	 -10.17		
-48.83   	 95.87   	 -61.04		102.28   	 -10.17		
-55.54   	 95.63   	 -81.38		102.24   	 -20.35		
-61.04   	 95.30   	 -86.47		102.16   	 -25.43		
-64.70   	 94.95   	 -86.47		102.05   	 -25.43		
-68.36   	 94.61   	 -81.38		101.95   	 -35.61		
-72.33   	 94.28   	 -71.21		101.81   	 -35.61		
-75.38   	 94.00   	 -45.78		101.67   	 -35.61		
-75.07   	 93.81   	 -30.52		101.53   	 -40.69		
-71.41   	 93.69   	 -15.26		101.36   	 -35.61		
-67.14   	 93.63   	  10.17		101.22   	 -35.61		
-65.92   	 93.67   	  15.26		101.08   	 -35.61		
-68.66   	 93.73   	  20.35		100.94   	 -25.43		
-73.55   	 93.81   	  15.26		100.83   	 -20.35		
-76.29   	 93.88   	  -5.09		100.75   	 -20.35		
-74.16   	 93.86   	 -35.61		100.67   	 -15.26		
-68.66   	 93.71   	 -76.30		100.61   	 -15.26		
-64.09   	 93.41   	-127.16		100.55   	 -15.26		
-62.56   	 92.90   	-193.29		100.49   	 -15.26		
-64.39   	 92.13   	-259.41		100.43   	 -20.35		
-68.05   	 91.09   	-305.19		100.35   	 -30.52		
-72.33   	 89.87   	-340.79		100.22   	 -40.69		
-75.07   	 88.50   	-335.71		100.06   	 -55.95		
-75.68   	 87.16   	-310.27		 99.84   	 -76.30		
-72.63   	 85.92   	-254.32		 99.53   	-101.73		
-66.22   	 84.90   	-183.11		 99.12   	-122.07		
-58.90   	 84.17   	-106.82		 98.64   	-147.51		
-53.71   	 83.74   	 -45.78		 98.05   	-167.85		
-53.10   	 83.56   	   0.00		 97.37   	-188.20		
-55.54   	 83.56   	  35.61		 96.62   	-198.37		
-58.29   	 83.70   	  45.78		 95.83   	-203.46		
-59.81   	 83.89   	  55.95		 95.01   	-208.54		
-59.51   	 84.11   	  66.12		 94.18   	-203.46		
-58.59   	 84.37   	  71.21		 93.37   	-188.20		
-57.98   	 84.66   	  81.38		 92.61   	-172.94		
-58.29   	 84.98   	 101.73		 91.92   	-152.59		
-58.90   	 85.39   	 122.07		 91.31   	-132.25		
-60.12   	 85.88   	 137.33		 90.78   	-106.82		
-61.65   	 86.43   	 157.68		 90.36   	 -86.47		
-62.56   	 87.06   	 157.68		 90.01   	 -61.04		
-62.26   	 87.69   	 162.77		 89.77   	 -35.61		
-60.73   	 88.34   	 147.51		 89.62   	 -15.26		
-58.90   	 88.93   	 132.25		 89.56   	   0.00		
-57.07   	 89.46   	 101.73		 89.56   	  15.26		
-56.46   	 89.87   	  81.38		 89.62   	  25.43		
-57.07   	 90.19   	  50.86		 89.72   	  35.61		
-57.37   	 90.40   	  30.52		 89.87   	  35.61		
-57.07   	 90.52   	  10.17		 90.01   	  40.69		
-57.68   	 90.56   	   0.00		 90.17   	  40.69		
-60.12   	 90.56   	  -5.09		 90.34   	  35.61		
-64.70   	 90.54   	 -10.17		 90.48   	  35.61		
-69.58   	 90.50   	  -5.09		 90.62   	  25.43		
-70.80   	 90.48   	   0.00		 90.72   	  25.43		
-66.83   	 90.48   	   5.09		 90.82   	  15.26		
-59.20   	 90.50   	   0.00		 90.88   	  15.26		
-52.80   	 90.50   	   0.00		 90.95   	  10.17		
-51.57   	 90.50   	  -5.09		 90.99   	   5.09		
-54.93   	 90.48   	 -15.26		 91.01   	   5.09		
-60.42   	 90.42   	 -30.52		 91.03   	   0.00		
-64.09   	 90.29   	 -45.78		 91.03   	   0.00		
-63.78   	 90.11   	 -61.04		 91.03   	  -5.09		
-60.42   	 89.87   	 -71.21		 91.01   	  -5.09		
-56.46   	 89.58   	 -71.21		 90.99   	 -10.17		
-54.02   	 89.30   	 -81.38		 90.95   	 -10.17		
-53.10   	 88.97   	 -76.30		 90.91   	 -20.35		
-54.02   	 88.67   	 -71.21		 90.82   	 -20.35		
-53.71   	 88.38   	 -76.30		 90.74   	 -25.43		
-50.96   	 88.08   	 -71.21		 90.64   	 -35.61		
-46.08   	 87.79   	 -71.21		 90.50   	 -35.61		
-40.59   	 87.51   	 -76.30		 90.36   	 -40.69		
-36.32   	 87.20   	 -81.38		 90.19   	 -50.86		
-32.65   	 86.88   	 -81.38		 89.99   	 -50.86		
-28.08   	 86.55   	 -76.30		 89.79   	 -55.95		
-21.97   	 86.25   	 -71.21		 89.56   	 -61.04		
-14.95   	 85.96   	 -55.95		 89.32   	 -61.04		
 -8.24   	 85.74   	 -50.86		 89.07   	 -66.12		
 -3.36   	 85.53   	 -45.78		 88.81   	 -61.04		
  0.31   	 85.35   	 -35.61		 88.57   	 -61.04		
  3.97   	 85.21   	 -35.61		 88.32   	 -61.04		
  7.63   	 85.07   	 -40.69		 88.08   	 -61.04		
 11.29   	 84.90   	 -50.86		 87.83   	 -61.04		
 14.95   	 84.70   	 -55.95		 87.59   	 -55.95		
 18.92   	 84.48   	 -66.12		 87.36   	 -61.04		
 22.89   	 84.21   	 -71.21		 87.12   	 -55.95		
 25.02   	 83.93   	 -76.30		 86.90   	 -55.95		
 23.50   	 83.62   	 -66.12		 86.67   	 -61.04		
 15.56   	 83.36   	 -61.04		 86.43   	 -55.95		
  0.31   	 83.11   	 -50.86		 86.21   	 -61.04		
-20.75   	 82.91   	 -35.61		 85.96   	 -61.04		
-43.33   	 82.77   	 -30.52		 85.72   	 -55.95		
-63.48   	 82.64   	 -25.43		 85.49   	 -55.95		
-76.90   	 82.54   	 -25.43		 85.27   	 -61.04		
-82.09   	 82.44   	 -25.43		 85.03   	 -50.86		
-79.96   	 82.34   	 -30.52		 84.82   	 -55.95		
-73.85   	 82.22   	 -35.61		 84.60   	 -50.86		
-67.44   	 82.07   	 -40.69		 84.39   	 -45.78		
-64.70   	 81.91   	 -45.78		 84.21   	 -45.78		
-66.22   	 81.73   	 -40.69		 84.03   	 -45.78		
-70.50   	 81.57   	 -40.69		 83.85   	 -45.78		
-73.85   	 81.40   	 -35.61		 83.66   	 -35.61		
-72.94   	 81.26   	 -35.61		 83.52   	 -40.69		
-68.36   	 81.12   	 -25.43		 83.36   	 -35.61		
-62.87   	 81.02   	 -25.43		 83.21   	 -35.61		
-60.42   	 80.92   	 -25.43		 83.07   	 -35.61		
-61.95   	 80.81   	 -30.52		 82.93   	 -30.52		
-65.31   	 80.69   	 -30.52		 82.81   	 -30.52		
-68.36   	 80.57   	 -35.61		 82.69   	 -30.52		
-72.33   	 80.43   	 -35.61		 82.56   	 -25.43		
-81.79   	 80.28   	 -35.61		 82.46   	 -30.52		
-97.96   	 80.14   	 -40.69		 82.34   	 -25.43		
-118.71   	 79.98   	 -35.61		 82.24   	 -25.43		
-138.55   	 79.84   	 -35.61		 82.14   	 -30.52		
-151.67   	 79.69   	 -35.61		 82.01   	 -25.43		
-155.03   	 79.55   	 -35.61		 81.91   	 -30.52		
-144.35   	 79.41   	 -30.52		 81.79   	 -25.43		
-107.42   	 79.29   	 -30.52		 81.69   	 -30.52		
-28.69   	 79.17   	 -25.43		 81.57   	 -35.61		
 99.79   	 79.06   	 -25.43		 81.42   	 -30.52		
269.78   	 78.96   	 -30.52		 81.30   	 -30.52		
442.81   	 78.84   	 -25.43		 81.18   	 -30.52		
556.34(R)	 78.74   	 -25.43		 81.06   	 -30.52		
554.50   	 78.64   	 -30.52		 80.94   	 -30.52		
