  I     	  AOp     	  AOp'		  AO     	  AO'		
-75.99   	 79.59   	 -55.95		 82.30   	 -91.56		
-74.77   	 79.37   	 -50.86		 81.93   	 -91.56		
-74.46   	 79.17   	 -50.86		 81.57   	 -81.38		
-76.29   	 78.96   	 -45.78		 81.24   	 -81.38		
-79.96   	 78.78   	 -35.61		 80.92   	 -81.38		
-83.31   	 78.64   	 -30.52		 80.59   	 -71.21		
-83.31   	 78.51   	 -25.43		 80.30   	 -66.12		
-80.87   	 78.41   	 -25.43		 80.04   	 -61.04		
-76.90   	 78.31   	 -15.26		 79.80   	 -55.95		
-74.16   	 78.25   	 -20.35		 79.57   	 -50.86		
-72.94   	 78.17   	 -25.43		 79.37   	 -50.86		
-72.33   	 78.07   	 -30.52		 79.17   	 -45.78		
-70.19   	 77.94   	 -35.61		 78.98   	 -45.78		
-68.05   	 77.80   	 -40.69		 78.80   	 -40.69		
-68.36   	 77.64   	 -35.61		 78.64   	 -45.78		
-73.24   	 77.50   	 -35.61		 78.45   	 -40.69		
-84.23   	 77.35   	 -25.43		 78.29   	 -40.69		
-100.10   	 77.25   	 -10.17		 78.13   	 -45.78		
-118.10   	 77.21   	  -5.09		 77.94   	 -45.78		
-134.89   	 77.19   	   5.09		 77.76   	 -45.78		
-148.32   	 77.21   	  15.26		 77.58   	 -50.86		
-155.64   	 77.27   	  15.26		 77.38   	 -45.78		
-151.67   	 77.33   	  10.17		 77.19   	 -50.86		
-127.26   	 77.38   	   5.09		 76.99   	 -50.86		
-69.27   	 77.40   	 -10.17		 76.79   	 -55.95		
 33.26   	 77.35   	 -20.35		 76.56   	 -50.86		
180.66   	 77.27   	 -30.52		 76.36   	 -55.95		
349.12   	 77.15   	 -45.78		 76.13   	 -55.95		
485.53   	 76.97   	 -45.78		 75.91   	 -55.95		
527.65   	 76.79   	 -50.86		 75.69   	 -50.86		
443.12   	 76.58   	 -45.78		 75.48   	 -50.86		
261.23   	 76.40   	 -45.78		 75.28   	 -45.78		
 63.78   	 76.22   	 -40.69		 75.10   	 -45.78		
-59.20   	 76.05   	 -40.69		 74.91   	 -40.69		
-69.27   	 75.89   	 -35.61		 74.75   	 -40.69		
 -1.83   	 75.75   	 -35.61		 74.59   	 -35.61		
 72.94   	 75.60   	 -35.61		 74.45   	 -30.52		
101.62   	 75.46   	 -30.52		 74.32   	 -30.52		
 77.51   	 75.34   	 -20.35		 74.20   	 -25.43		
 26.55   	 75.26   	 -20.35		 74.10   	 -25.43		
-21.67   	 75.18   	 -15.26		 74.00   	 -20.35		
-50.96   	 75.12   	 -15.26		 73.92   	 -20.35		
-57.98   	 75.06   	 -15.26		 73.83   	 -25.43		
-47.00   	 74.99   	 -15.26		 73.73   	 -25.43		
-26.86   	 74.93   	 -15.26		 73.63   	 -20.35		
-10.07   	 74.87   	 -20.35		 73.55   	 -30.52		
 -4.88   	 74.79   	 -25.43		 73.43   	 -30.52		
-10.07   	 74.69   	 -30.52		 73.31   	 -30.52		
-17.70   	 74.57   	 -30.52		 73.18   	 -35.61		
-20.45   	 74.45   	 -40.69		 73.04   	 -45.78		
-18.62   	 74.28   	 -40.69		 72.86   	 -50.86		
-14.95   	 74.12   	 -40.69		 72.65   	 -55.95		
-11.29   	 73.96   	 -25.43		 72.43   	 -61.04		
 -7.32   	 73.86   	  -5.09		 72.19   	 -76.30		
 -1.83   	 73.83(D)	  30.52		 71.88   	 -76.30		
  2.44   	 73.96   	  81.38		 71.58   	 -86.47		
  3.05   	 74.28   	 132.25		 71.23   	 -86.47		
  1.83   	 74.81   	 198.37		 70.88   	 -96.64		
  3.66   	 75.60   	 249.24		 70.50   	 -91.56		
 11.60   	 76.60   	 289.93		 70.13   	 -91.56		
 22.89   	 77.76   	 320.45		 69.77   	 -86.47		
 32.65   	 79.04   	 340.79		 69.42   	 -81.38		
 36.32   	 80.41   	 335.71		 69.09   	 -61.04		
 35.10   	 81.75   	 325.53		 68.85   	 -45.78		
 34.48   	 83.05   	 305.19		 68.67   	 -25.43		
 39.67   	 84.27   	 284.84		 68.57   	   0.00		
 50.35   	 85.41   	 264.50		 68.57   	  30.52		
 61.95   	 86.47   	 239.06		 68.69   	  66.12		
