  I     	  II     	  AOp     	  AOp'		
208.74   	358.89   	 81.63   	 101.73		
217.90   	367.74   	 82.03   	 116.99		
225.22   	372.92   	 82.50   	 142.42		
230.41   	373.23   	 83.07   	 167.85		
233.15   	368.65   	 83.74   	 193.29		
234.07   	359.50   	 84.52   	 213.63		
232.85   	346.37   	 85.37   	 233.98		
229.80   	329.59   	 86.31   	 239.06		
224.30   	308.84   	 87.26   	 239.06		
215.76   	284.73   	 88.22   	 239.06		
203.86   	257.87   	 89.18   	 233.98		
187.38   	229.80   	 90.11   	 218.72		
166.63   	200.81   	 90.99   	 213.63		
141.91   	170.29   	 91.84   	 198.37		
115.97   	139.16   	 92.63   	 188.20		
 89.72   	108.34   	 93.39   	 178.03		
 65.31   	 79.35   	 94.10   	 167.85		
 42.11   	 53.41   	 94.77   	 157.68		
 19.84   	 30.52   	 95.40   	 147.51		
 -0.61   	  9.77   	 95.99   	 142.42		
-18.92   	 -9.16   	 96.56   	 132.25		
-34.18   	-25.94   	 97.09   	 122.07		
-46.39   	-40.59   	 97.58   	 106.82		
-56.76   	-52.49   	 98.01   	  96.64		
-65.92   	-62.26   	 98.39   	  86.47		
-73.55   	-69.89   	 98.74   	  71.21		
-79.65   	-75.99   	 99.02   	  61.04		
-83.31   	-80.26   	 99.27   	  40.69		
-85.14   	-83.01   	 99.43   	  35.61		
-85.45   	-85.45   	 99.57   	  20.35		
-85.75   	-87.59   	 99.65   	  10.17		
-86.36   	-90.03   	 99.69   	   0.00		
-86.67   	-91.86   	 99.69   	 -10.17		
-86.67   	-92.77   	 99.65   	 -25.43		
-85.75   	-92.16   	 99.55   	 -35.61		
-84.84   	-90.94   	 99.41   	 -45.78		
-83.62   	-89.72   	 99.23   	 -66.12		
-82.70   	-89.11   	 98.96   	 -76.30		
-82.09   	-88.50   	 98.66   	-101.73		
-82.09   	-88.20   	 98.25   	-111.90		
-82.09   	-87.59   	 97.80   	-132.25		
-81.79   	-86.98   	 97.27   	-142.42		
-80.57   	-87.28   	 96.70   	-152.59		
-79.35   	-87.59   	 96.09   	-157.68		
-78.13   	-87.89   	 95.46   	-157.68		
-77.51   	-87.59   	 94.83   	-152.59		
-76.90   	-86.06   	 94.22   	-142.42		
-76.29   	-83.62   	 93.65   	-132.25		
-75.07   	-81.18   	 93.12   	-116.99		
-73.24   	-78.74   	 92.65   	-101.73		
-71.41   	-76.60   	 92.25   	 -91.56		
-70.50   	-75.68   	 91.88   	 -86.47		
-70.80   	-76.29   	 91.54   	 -71.21		
-71.72   	-77.51   	 91.25   	 -66.12		
-73.55   	-78.74   	 90.99   	 -61.04		
-75.38   	-79.04   	 90.74   	 -55.95		
-75.99   	-78.43   	 90.52   	 -55.95		
-75.68   	-77.82   	 90.29   	 -55.95		
-74.77   	-77.51   	 90.07   	 -50.86		
-74.46   	-78.74   	 89.87   	 -45.78		
-75.38   	-81.18   	 89.68   	 -45.78		
-77.21   	-84.53   	 89.50   	 -40.69		
-79.35   	-88.81   	 89.34   	 -35.61		
-80.57   	-92.47   	 89.20   	 -30.52		
-81.48   	-94.91   	 89.07   	 -30.52		
-81.79   	-95.83   	 88.95   	 -30.52		
