  I     	  II     	  LVp     	  LVp'		
-81.48   	-60.42   	 77.23   	 -15.26		
-76.29   	-65.31   	 77.17   	 -15.26		
-77.21   	-74.46   	 77.11   	 -15.26		
-79.35   	-84.53   	 77.05   	 -20.35		
-79.65   	-92.47   	 76.97   	 -20.35		
-78.43   	-96.44   	 76.89   	 -15.26		
-77.82   	-95.83   	 76.83   	 -20.35		
-77.82   	-90.94   	 76.74   	 -20.35		
-77.82   	-84.84   	 76.66   	 -15.26		
-75.99   	-80.26   	 76.60   	 -15.26		
-71.41   	-78.43   	 76.54   	 -10.17		
-65.31   	-78.74   	 76.50   	 -10.17		
-60.12   	-79.35   	 76.46   	  -5.09		
-57.98   	-78.13   	 76.44   	  -5.09		
-59.20   	-74.46   	 76.42   	   0.00		
-61.95   	-69.58   	 76.42   	   5.09		
-63.17   	-65.31   	 76.44   	   5.09		
-61.65   	-62.87   	 76.46   	  10.17		
-57.68   	-60.42   	 76.50   	  10.17		
-52.49   	-56.15   	 76.54   	  15.26		
-47.61   	-49.44   	 76.60   	  15.26		
-44.86   	-41.81   	 76.66   	  20.35		
-43.64   	-36.62   	 76.74   	  15.26		
-42.42   	-35.10   	 76.81   	  20.35		
-40.28   	-36.62   	 76.89   	  15.26		
-36.93   	-38.76   	 76.95   	  20.35		
-33.87   	-40.28   	 77.03   	  15.26		
-32.96   	-40.59   	 77.09   	  10.17		
-34.48   	-40.59   	 77.13   	  10.17		
-35.40   	-40.89   	 77.17   	   5.09		
-32.96   	-41.50   	 77.19   	   0.00		
-25.33   	-42.11   	 77.19   	  -5.09		
-14.95   	-43.64   	 77.17   	  -5.09		
 -5.80   	-45.78   	 77.15   	 -10.17		
 -1.53   	-47.00   	 77.11   	 -15.26		
 -1.22   	-45.47   	 77.05   	 -15.26		
 -1.53   	-40.59   	 76.99   	 -20.35		
  0.31   	-34.18   	 76.91   	 -25.43		
  5.49   	-30.21   	 76.81   	 -25.43		
 11.29   	-30.52   	 76.70   	 -25.43		
 15.56   	-33.87   	 76.60   	 -25.43		
 19.23   	-35.10   	 76.50   	 -25.43		
 24.72   	-29.60   	 76.40   	 -20.35		
 32.96   	-18.01   	 76.32   	 -20.35		
 42.42   	 -4.58   	 76.24   	 -15.26		
 50.96   	  6.10   	 76.17   	  -5.09		
 57.07   	 11.29   	 76.15   	  -5.09		
 63.17   	 12.51   	 76.13   	  10.17		
 70.50   	 13.12   	 76.17   	  10.17		
 79.35   	 16.17   	 76.22   	  20.35		
 88.20   	 20.45   	 76.30   	  30.52		
 95.52   	 25.02   	 76.42   	  40.69		
101.32   	 28.08   	 76.58   	  45.78		
107.42   	 30.21   	 76.76   	  55.95		
115.36   	 33.26   	 76.99   	  61.04		
125.73   	 39.98   	 77.23   	  71.21		
137.33   	 50.35   	 77.52   	  71.21		
148.32   	 61.04   	 77.80   	  76.30		
155.94   	 68.97   	 78.11   	  81.38		
159.00   	 71.41   	 78.43   	  81.38		
157.47   	 70.80   	 78.76   	  76.30		
154.42   	 71.72   	 79.06   	  71.21		
153.81   	 78.43   	 79.35   	  66.12		
158.08   	 91.86   	 79.61   	  61.04		
165.71   	107.12   	 79.86   	  55.95		
173.34   	117.49   	 80.08   	  40.69		
176.39   	118.41   	 80.24   	  30.52		
172.73   	110.17   	 80.37   	  20.35		
164.18   	 98.27   	 80.45   	  10.17		
153.81   	 88.81   	 80.49   	   0.00		
144.96   	 83.31   	 80.49   	 -15.26		
137.33   	 79.96   	 80.43   	 -20.35		
128.78   	 74.77   	 80.35   	 -30.52		
116.27   	 65.31   	 80.22   	 -35.61		
 99.18   	 52.19   	 80.08   	 -40.69		
 78.43   	 38.15   	 79.92   	 -50.86		
 57.68   	 23.50   	 79.71   	 -55.95		
 38.76   	  7.63   	 79.49   	 -55.95		
 21.67   	 -9.77   	 79.27   	 -61.04		
  4.88   	-28.99   	 79.02   	 -55.95		
-13.12   	-49.13   	 78.80   	 -61.04		
-32.96   	-70.19   	 78.56   	 -61.04		
-53.10   	-93.38   	 78.31   	 -61.04		
-72.63   	-119.32   	 78.07   	 -61.04		
-90.33   	-145.26   	 77.82   	 -55.95		
-105.29   	-166.32   	 77.60   	 -55.95		
-116.88   	-177.92   	 77.38   	 -55.95		
-124.51   	-179.75   	 77.15   	 -50.86		
-129.39   	-175.78   	 76.95   	 -55.95		
-132.75   	-174.26   	 76.72   	 -50.86		
-136.41   	-180.36   	 76.52   	 -45.78		
-141.60   	-195.01   	 76.34   	 -35.61		
-147.40   	-213.32   	 76.20   	 -20.35		
-152.59   	-229.19   	 76.11   	   0.00		
-155.64   	-236.82   	 76.11   	  30.52		
-155.94   	-235.29   	 76.24   	  55.95		
-154.72   	-228.58   	 76.46   	  86.47		
-153.81   	-223.69   	 76.81   	 106.82		
-153.50   	-224.30   	 77.23   	 127.16		
-153.20   	-230.71   	 77.74   	 137.33		
-152.28   	-238.04   	 78.29   	 127.16		
-150.45   	-241.70   	 78.80   	 111.90		
-149.23   	-239.26   	 79.25   	  86.47		
-149.23   	-233.15   	 79.59   	  45.78		
-150.45   	-226.75   	 79.78   	  -5.09		
-150.76   	-222.17   	 79.76   	 -55.95		
-149.54   	-219.73   	 79.53   	-116.99		
-146.79   	-219.42   	 79.06   	-183.11		
-144.35   	-220.64   	 78.33   	-244.15		
-142.52   	-221.86   	 77.35   	-305.19		
-141.91   	-222.17   	 76.13   	-371.31		
-142.21   	-221.86   	 74.65   	-432.35		
-143.13   	-221.25   	 72.92   	-493.39		
