  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
 -1.83   	-19.53   	 73.51   	 -66.12		 58.35   	 -55.95		
 -5.49   	-20.75   	 73.24   	 -71.21		 58.13   	 -55.95		
 -6.10   	-20.14   	 72.96   	 -71.21		 57.90   	 -50.86		
 -2.14   	-17.40   	 72.68   	 -71.21		 57.70   	 -45.78		
  6.41   	-13.43   	 72.39   	 -71.21		 57.52   	 -50.86		
 15.26   	 -8.85   	 72.11   	 -71.21		 57.31   	 -45.78		
 18.31   	 -5.49   	 71.82   	 -66.12		 57.13   	 -45.78		
 12.21   	 -4.58   	 71.56   	 -71.21		 56.95   	 -45.78		
  0.31   	 -6.71   	 71.27   	 -71.21		 56.76   	 -50.86		
-10.99   	-11.60   	 70.99   	 -71.21		 56.56   	 -45.78		
-14.04   	-15.56   	 70.70   	 -71.21		 56.38   	 -40.69		
 -8.24   	-16.17   	 70.42   	 -66.12		 56.22   	 -35.61		
  0.31   	-13.12   	 70.15   	 -66.12		 56.07   	 -35.61		
  5.19   	 -9.16   	 69.89   	 -66.12		 55.93   	 -40.69		
  4.58   	 -6.71   	 69.62   	 -66.12		 55.77   	 -30.52		
  2.14   	 -5.80   	 69.36   	 -66.12		 55.65   	 -35.61		
  2.44   	 -5.80   	 69.09   	 -61.04		 55.50   	 -30.52		
  7.02   	 -4.58   	 68.85   	 -61.04		 55.38   	 -40.69		
 12.21   	 -3.05   	 68.61   	 -66.12		 55.22   	 -30.52		
 14.65   	 -1.53   	 68.34   	 -55.95		 55.10   	 -25.43		
 13.12   	 -0.31   	 68.12   	 -61.04		 54.99   	 -30.52		
  8.85   	  1.53   	 67.87   	 -61.04		 54.87   	 -30.52		
  4.27   	  4.27   	 67.63   	 -55.95		 54.75   	 -30.52		
  0.31   	  5.80   	 67.41   	 -61.04		 54.63   	 -25.43		
 -3.05   	  4.58   	 67.16   	 -55.95		 54.53   	 -25.43		
 -6.41   	 -0.61   	 66.94   	 -55.95		 54.43   	 -30.52		
 -9.16   	 -7.63   	 66.71   	 -61.04		 54.30   	 -25.43		
 -9.77   	-12.51   	 66.47   	 -50.86		 54.20   	 -30.52		
 -7.63   	-13.12   	 66.27   	 -55.95		 54.08   	 -25.43		
 -2.75   	 -9.16   	 66.04   	 -55.95		 53.98   	 -30.52		
  3.66   	 -4.27   	 65.82   	 -50.86		 53.86   	 -30.52		
  8.24   	 -1.53   	 65.62   	 -50.86		 53.73   	 -30.52		
  8.54   	 -2.44   	 65.41   	 -50.86		 53.61   	 -30.52		
  5.49   	 -5.49   	 65.21   	 -50.86		 53.49   	 -30.52		
  2.44   	 -7.93   	 65.00   	 -50.86		 53.37   	 -30.52		
  1.83   	 -9.16   	 64.80   	 -45.78		 53.24   	 -35.61		
  2.44   	 -9.46   	 64.62   	 -50.86		 53.10   	 -35.61		
  2.75   	 -9.77   	 64.41   	 -50.86		 52.96   	 -30.52		
  0.92   	 -8.85   	 64.21   	 -45.78		 52.84   	 -35.61		
 -1.22   	 -7.02   	 64.03   	 -50.86		 52.70   	 -30.52		
 -0.92   	 -3.36   	 63.82   	 -45.78		 52.57   	 -30.52		
  2.44   	  0.92   	 63.64   	 -45.78		 52.45   	 -35.61		
  5.80   	  6.10   	 63.46   	 -45.78		 52.31   	 -30.52		
  6.71   	 14.65   	 63.28   	 -45.78		 52.19   	 -30.52		
  6.10   	 28.99   	 63.09   	 -45.78		 52.06   	 -30.52		
  6.10   	 47.91   	 62.91   	 -45.78		 51.94   	 -35.61		
  7.93   	 65.92   	 62.73   	 -45.78		 51.80   	 -30.52		
 10.07   	 78.13   	 62.54   	 -45.78		 51.68   	 -40.69		
 10.38   	 80.87   	 62.36   	 -40.69		 51.52   	 -30.52		
  7.93   	 78.43   	 62.20   	 -45.78		 51.39   	 -35.61		
  4.88   	 78.13   	 62.01   	 -40.69		 51.25   	 -40.69		
  5.19   	 86.67   	 61.85   	 -40.69		 51.09   	 -35.61		
  9.77   	104.68   	 61.69   	 -45.78		 50.95   	 -35.61		
 16.48   	126.04   	 61.51   	 -40.69		 50.80   	 -35.61		
 23.50   	143.13   	 61.34   	 -40.69		 50.66   	 -35.61		
 28.99   	151.98   	 61.18   	 -40.69		 50.52   	 -35.61		
 32.65   	153.81   	 61.02   	 -40.69		 50.38   	 -40.69		
 34.79   	152.59   	 60.85   	 -35.61		 50.21   	 -35.61		
 36.32   	151.37   	 60.71   	 -40.69		 50.07   	 -35.61		
 37.54   	151.98   	 60.55   	 -35.61		 49.93   	 -35.61		
 39.06   	155.64   	 60.41   	 -35.61		 49.79   	 -35.61		
 42.72   	163.27   	 60.26   	 -35.61		 49.64   	 -35.61		
 48.83   	173.95   	 60.12   	 -35.61		 49.50   	 -40.69		
 56.15   	181.58   	 59.98   	 -35.61		 49.34   	 -35.61		
 61.34   	179.75   	 59.84   	 -30.52		 49.20   	 -30.52		
 61.04   	166.02   	 59.71   	 -30.52		 49.07   	 -30.52		
 52.19   	140.69   	 59.59   	 -25.43		 48.95   	 -30.52		
 34.48   	108.03   	 59.49   	 -30.52		 48.83   	 -35.61		
 12.82   	 72.63   	 59.37   	 -25.43		 48.69   	 -25.43		
 -5.80   	 38.45   	 59.27   	 -25.43		 48.59   	 -30.52		
-15.87   	  9.46   	 59.17   	 -25.43		 48.46   	 -30.52		
-14.34   	-10.99   	 59.06   	 -25.43		 48.34   	 -35.61		
 -3.97   	-22.28   	 58.96   	 -20.35		 48.20   	 -25.43		
  8.24   	-26.25   	 58.88   	 -25.43		 48.10   	 -30.52		
 17.70   	-25.63   	 58.78   	 -25.43		 47.98   	 -25.43		
 20.45   	-24.11   	 58.68   	 -25.43		 47.87   	 -20.35		
 15.26   	-23.50   	 58.58   	 -25.43		 47.79   	 -20.35		
  5.19   	-25.33   	 58.47   	 -25.43		 47.71   	 -20.35		
 -5.19   	-29.91   	 58.37   	 -25.43		 47.63   	 -30.52		
-12.51   	-36.93   	 58.27   	 -30.52		 47.51   	 -25.43		
-17.40   	-46.39   	 58.15   	 -25.43		 47.41   	 -20.35		
-21.67   	-57.98   	 58.05   	 -30.52		 47.32   	 -20.35		
-25.94   	-68.66   	 57.92   	 -25.43		 47.24   	 -15.26		
-27.47   	-76.60   	 57.82   	 -30.52		 47.18   	 -20.35		
-23.80   	-80.26   	 57.70   	 -25.43		 47.10   	 -10.17		
-15.26   	-80.57   	 57.60   	 -30.52		 47.06   	 -20.35		
 -9.46   	-79.65   	 57.48   	 -25.43		 46.98   	 -20.35		
-12.21   	-76.29   	 57.38   	 -35.61		 46.90   	 -25.43		
-18.62   	-58.29   	 57.23   	 -30.52		 46.80   	 -15.26		
-12.51   	 -3.36   	 57.11   	 -35.61		 46.73   	 -25.43		
 24.11   	112.92   	 56.97   	 -40.69		 46.63   	 -25.43		
100.10   	308.23   	 56.81   	 -40.69		 46.53   	 -25.43		
208.44   	581.67   	 56.64   	 -40.69		 46.43   	 -25.43		
328.06   	892.03   	 56.48   	 -81.38		 46.33   	 -55.95		
474.85   	1227.72(R)	 56.15   	 -35.61		 46.10   	 -25.43		
454.41   	1080.93   	 56.01   	 -35.61		 46.00   	 -25.43		
375.06   	726.93   	 55.87   	 -30.52		 45.90   	 -25.43		
267.33   	283.81   	 55.75   	 -30.52		 45.80   	 -20.35		
168.15   	-92.77   	 55.63   	 -25.43		 45.72   	 -25.43		
101.32   	-298.46   	 55.52   	 -20.35		 45.62   	 -20.35		
 67.14   	-323.79   	 55.44   	 -25.43		 45.53   	 -15.26		
 50.66   	-232.85   	 55.34   	 -20.35		 45.47   	 -25.43		
 36.93   	-112.61   	 55.26   	 -20.35		 45.37   	 -20.35		
 19.23   	-32.04   	 55.18   	 -20.35		 45.29   	 -25.43		
 -2.14   	-15.56   	 55.10   	 -20.35		 45.19   	 -20.35		
-21.97   	-47.30   	 55.02   	 -15.26		 45.11   	 -20.35		
-33.87   	-94.30   	 54.95   	 -15.26		 45.03   	 -25.43		
-36.01   	-129.09   	 54.89   	  -5.09		 44.92   	 -25.43		
-30.52   	-140.69   	 54.87(D)	   5.09		 44.82   	 -20.35		
-23.50   	-135.80   	 54.89   	  20.35		 44.74   	  -5.09		
-21.06   	-127.56   	 54.97   	  40.69		 44.72   	 -15.26		
-25.02   	-124.82   	 55.14   	  61.04		 44.66   	 -15.26		
-32.65   	-126.34   	 55.38   	  81.38		 44.60   	 -20.35		
-39.37   	-127.87   	 55.71   	 106.82		 44.52   	 -15.26		
-42.11   	-128.17   	 56.13   	 127.16		 44.46   	  -5.09		
-41.20   	-129.09   	 56.64   	 152.59		 44.44   	 -10.17		
-38.45   	-131.53   	 57.25   	 178.03		 44.39   	 -15.26		
-35.10   	-134.89   	 57.97   	 208.54		 44.33   	 -25.43		
-32.35   	-138.24   	 58.80   	 233.98		 44.23   	 -20.35		
-31.43   	-140.08   	 59.74   	 264.50		 44.15   	 -30.52		
-31.74   	-138.24   	 60.79   	 300.10		 44.03   	 -35.61		
-33.57   	-132.45   	 61.99   	 320.45		 43.89   	 -10.17		
-36.01   	-124.82   	 63.28   	 340.79		 43.85   	 -30.52		
-37.84   	-119.63   	 64.64   	 350.97		 43.72   	 -25.43		
-37.54   	-120.85   	 66.04   	 345.88		 43.62(D)	  10.17		
-33.87   	-127.26   	 67.43   	 330.62		 43.66   	  15.26		
-28.08   	-134.58   	 68.75   	 305.19		 43.72   	  25.43		
-23.19   	-138.85   	 69.97   	 279.75		 43.82   	  45.78		
-23.19   	-139.16   	 71.09   	 244.15		 44.01   	  71.21		
-28.69   	-137.63   	 72.06   	 208.54		 44.29   	 116.99		
-36.62   	-137.33   	 72.90   	 178.03		 44.76   	 172.94		
-42.72   	-139.16   	 73.61   	 147.51		 45.45   	 269.58		
-44.25   	-140.99   	 74.20   	 122.07		 46.53   	 391.66		
-41.81   	-139.77   	 74.69   	  96.64		 48.10   	 488.30		
-38.15   	-135.50   	 75.08   	  86.47		 50.05   	 569.68		
-36.32   	-130.31   	 75.42   	  86.47		 52.33   	 584.94		
-37.54   	-128.17   	 75.77   	 106.82		 54.67   	 544.25		
-42.11   	-131.53   	 76.20   	 122.07		 56.85   	 493.39		
-48.22   	-137.63   	 76.68   	 152.59		 58.82   	 462.87		
-52.80   	-140.99   	 77.29   	 183.11		 60.67   	 447.61		
-53.41   	-137.02   	 78.03   	 208.54		 62.46   	 432.35		
-49.13   	-125.43   	 78.86   	 228.89		 64.19   	 437.43		
-42.11   	-111.69   	 79.78   	 249.24		 65.94   	 442.52		
-37.23   	-103.45   	 80.77   	 259.41		 67.71   	 437.43		
-35.71   	-102.84   	 81.81   	 274.67		 69.46   	 427.26		
-35.71   	-105.90   	 82.91   	 284.84		 71.17   	 447.61		
-35.40   	-107.12   	 84.05   	 289.93		 72.96   	 478.13		
-33.87   	-103.45   	 85.21   	 300.10		 74.87   	 462.87		
-33.26   	-97.66   	 86.41   	 305.19		 76.72   	 427.26		
-36.93   	-93.99   	 87.63   	 295.01		 78.43   	 417.09		
-45.47   	-93.99   	 88.81   	 284.84		 80.10   	 432.35		
-54.02   	-94.30   	 89.95   	 259.41		 81.83   	 442.52		
-57.37   	-90.03   	 90.99   	 233.98		 83.60   	 427.26		
-54.02   	-80.57   	 91.92   	 208.54		 85.31   	 396.74		
-47.30   	-68.66   	 92.76   	 183.11		 86.90   	 381.48		
-42.11   	-60.42   	 93.49   	 157.68		 88.42   	 345.88		
-43.64   	-58.90   	 94.12   	 137.33		 89.81   	 325.53		
-50.66   	-62.26   	 94.67   	 132.25		 91.11   	 305.19		
-59.51   	-64.39   	 95.20   	 122.07		 92.33   	 279.75		
-66.83   	-60.73   	 95.69   	 116.99		 93.45   	 259.41		
-71.41   	-51.27   	 96.15   	 122.07		 94.49   	 233.98		
-72.63   	-38.76   	 96.64   	 122.07		 95.42   	 193.29		
-71.41   	-28.69   	 97.13   	 122.07		 96.19   	 183.11		
-68.36   	-24.41   	 97.62   	 111.90		 96.93   	 178.03		
-64.70   	-25.33   	 98.07   	 101.73		 97.64   	 152.59		
-61.65   	-28.08   	 98.47   	  91.56		 98.25   	 116.99		
-60.42   	-28.08   	 98.84   	  76.30		 98.72   	  91.56		
-61.04   	-22.89   	 99.15   	  66.12		 99.08   	  76.30		
-62.26   	-12.21   	 99.41   	  55.95		 99.39   	  50.86		
-61.95   	 -0.92   	 99.63   	  45.78		 99.59   	  20.35		
-59.81   	  7.32   	 99.82   	  40.69		 99.67   	  35.61		
-55.85   	 10.68   	 99.98   	  30.52		 99.82   	   5.09		
-51.88   	 10.07   	100.10   	  10.17		 99.84(S)	 -35.61		
-49.13   	  9.16   	100.14(S)	   0.00		 99.69   	 -76.30		
-46.39   	 10.07   	100.14   	 -25.43		 99.39   	 -96.64		
-39.98   	 12.21   	100.04   	 -45.78		 99.00   	 -81.38		
-28.08   	 13.73   	 99.86   	 -66.12		 98.68   	 -71.21		
-11.60   	 13.43   	 99.59   	 -91.56		 98.39   	 -96.64		
  4.27   	 12.51   	 99.23   	-106.82		 98.01   	-142.42		
 14.34   	 13.73   	 98.80   	-127.16		 97.44   	-162.77		
 16.48   	 18.92   	 98.29   	-142.42		 96.78   	-152.59		
 13.73   	 26.25   	 97.72   	-157.68		 96.17   	-142.42		
  9.77   	 32.96   	 97.09   	-162.77		 95.60   	-152.59		
  7.32   	 34.18   	 96.44   	-172.94		 94.99   	-178.03		
  7.02   	 28.99   	 95.75   	-183.11		 94.28   	-213.63		
  8.85   	 21.67   	 95.01   	-188.20		 93.43   	-228.89		
 10.68   	 17.70   	 94.26   	-193.29		 92.51   	-223.80		
 11.90   	 18.92   	 93.49   	-193.29		 91.62   	-223.80		
 11.60   	 23.50   	 92.72   	-188.20		 90.72   	-228.89		
  9.77   	 25.63   	 91.96   	-178.03		 89.81   	-254.32		
  6.10   	 21.36   	 91.25   	-167.85		 88.79   	-264.50		
  1.83   	 11.29   	 90.58   	-147.51		 87.73   	-274.67		
 -2.75   	  0.00   	 89.99   	-132.25		 86.63   	-269.58		
 -4.88   	 -5.19   	 89.46   	-116.99		 85.55   	-274.67		
 -2.75   	 -1.22   	 88.99   	 -96.64		 84.46   	-269.58		
  3.97   	  8.85   	 88.61   	 -91.56		 83.38   	-284.84		
 12.51   	 19.53   	 88.24   	 -86.47		 82.24   	-279.75		
 18.01   	 24.11   	 87.89   	 -81.38		 81.12   	-284.84		
 16.48   	 19.53   	 87.57   	 -91.56		 79.98   	-289.93		
  9.16   	  9.16   	 87.20   	 -91.56		 78.82   	-274.67		
  1.22   	 -0.92   	 86.84   	 -96.64		 77.72   	-264.50		
 -2.14   	 -5.80   	 86.45   	 -96.64		 76.66   	-239.06		
 -0.61   	 -4.88   	 86.06   	-101.73		 75.71   	-218.72		
  3.05   	 -0.31   	 85.66   	-101.73		 74.83   	-178.03		
  5.19   	  3.66   	 85.25   	 -96.64		 74.12   	-157.68		
  4.88   	  4.58   	 84.86   	 -91.56		 73.49   	-167.85		
  4.27   	  1.83   	 84.50   	 -81.38		 72.82   	-178.03		
  4.58   	 -2.44   	 84.17   	 -76.30		 72.11   	-178.03		
  4.27   	 -6.41   	 83.87   	 -76.30		 71.39   	-172.94		
  2.14   	 -9.46   	 83.56   	 -71.21		 70.70   	-167.85		
 -2.14   	-12.21   	 83.28   	 -71.21		 70.03   	-152.59		
 -6.10   	-15.26   	 82.99   	 -71.21		 69.42   	-157.68		
 -8.24   	-16.48   	 82.71   	 -71.21		 68.79   	-152.59		
 -6.71   	-13.73   	 82.42   	 -71.21		 68.18   	-147.51		
 -2.44   	 -6.71   	 82.14   	 -71.21		 67.59   	-137.33		
  2.14   	  0.61   	 81.85   	 -76.30		 67.04   	-137.33		
  5.49   	  2.75   	 81.55   	 -71.21		 66.49   	-132.25		
  7.32   	 -1.22   	 81.26   	 -71.21		 65.96   	-122.07		
  7.32   	 -8.24   	 80.98   	 -66.12		 65.47   	-122.07		
  4.27   	-12.21   	 80.71   	 -66.12		 64.98   	-116.99		
  0.31   	-10.68   	 80.45   	 -66.12		 64.52   	-111.90		
 -2.75   	 -2.75   	 80.18   	 -61.04		 64.07   	-101.73		
 -2.44   	 10.38   	 79.94   	 -66.12		 63.66   	 -96.64		
  1.83   	 28.69   	 79.67   	 -66.12		 63.28   	 -86.47		
  8.24   	 50.66   	 79.41   	 -71.21		 62.93   	 -76.30		
 13.12   	 71.72   	 79.12   	 -71.21		 62.62   	 -96.64		
 14.95   	 86.98   	 78.84   	 -71.21		 62.24   	 -96.64		
 14.04   	 93.38   	 78.56   	 -71.21		 61.85   	 -66.12		
 12.51   	 93.38   	 78.27   	 -76.30		 61.59   	 -61.04		
 11.90   	 92.47   	 77.97   	 -76.30		 61.34   	 -66.12		
 11.90   	 94.91   	 77.66   	 -71.21		 61.08   	 -76.30		
 12.51   	101.62   	 77.38   	 -76.30		 60.77   	 -81.38		
 14.95   	110.47   	 77.07   	 -66.12		 60.45   	 -71.21		
 19.84   	120.24   	 76.81   	 -71.21		 60.16   	 -55.95		
 28.99   	130.31   	 76.52   	 -71.21		 59.94   	 -55.95		
 41.20   	138.85   	 76.24   	 -66.12		 59.71   	 -66.12		
 52.19   	143.74   	 75.97   	 -66.12		 59.45   	 -71.21		
 57.68   	143.74   	 75.71   	 -66.12		 59.17   	 -61.04		
 56.15   	140.99   	 75.44   	 -66.12		 58.92   	 -20.35		
 50.05   	139.47   	 75.18   	 -66.12		 58.84   	 -30.52		
 43.64   	142.52   	 74.91   	 -71.21		 58.72   	 -71.21		
 40.28   	148.62   	 74.63   	 -66.12		 58.43   	 -76.30		
 40.28   	151.98   	 74.36   	 -66.12		 58.13   	 -61.04		
 40.28   	147.09   	 74.10   	 -66.12		 57.88   	 -30.52		
 36.32   	130.92   	 73.83   	 -71.21		 57.76   	 -25.43		
 27.77   	103.45   	 73.55   	 -61.04		 57.66   	 -40.69		
 17.09   	 68.97   	 73.31   	 -66.12		 57.50   	 -45.78		
  9.16   	 34.79   	 73.04   	 -61.04		 57.31   	 -50.86		
  4.88   	  7.02   	 72.80   	 -66.12		 57.11   	 -45.78		
  1.83   	-13.73   	 72.53   	 -61.04		 56.93   	 -35.61		
 -4.88   	-30.52   	 72.29   	 -55.95		 56.79   	 -30.52		
-14.65   	-44.86   	 72.06   	 -61.04		 56.66   	 -35.61		
-22.28   	-56.15   	 71.82   	 -61.04		 56.52   	 -45.78		
-22.58   	-60.42   	 71.58   	 -66.12		 56.34   	 -40.69		
-13.73   	-56.15   	 71.31   	 -61.04		 56.17   	 -35.61		
 -2.75   	-49.13   	 71.07   	 -61.04		 56.03   	 -30.52		
  1.53   	-47.00   	 70.82   	 -66.12		 55.91   	 -30.52		
 -3.05   	-51.57   	 70.56   	 -61.04		 55.79   	 -35.61		
-10.99   	-57.98   	 70.32   	 -66.12		 55.65   	 -30.52		
-15.87   	-59.51   	 70.05   	 -66.12		 55.52   	 -35.61		
-16.48   	-54.93   	 69.79   	 -61.04		 55.38   	 -30.52		
-15.56   	-50.05   	 69.54   	 -66.12		 55.26   	 -25.43		
-18.01   	-53.41   	 69.28   	 -66.12		 55.16   	 -25.43		
-25.02   	-68.66   	 69.01   	 -61.04		 55.06   	 -35.61		
-32.35   	-89.42   	 68.77   	 -66.12		 54.91   	 -35.61		
-35.10   	-106.51   	 68.50   	 -61.04		 54.77   	 -30.52		
-32.96   	-111.69   	 68.26   	 -66.12		 54.65   	 -25.43		
-28.99   	-101.01   	 68.00   	 -66.12		 54.55   	 -30.52		
-25.02   	-75.07   	 67.73   	 -66.12		 54.43   	 -30.52		
-16.48   	-28.08   	 67.47   	 -71.21		 54.30   	 -35.61		
  9.77   	 55.85   	 67.18   	 -66.12		 54.16   	 -35.61		
 69.58   	202.03   	 66.92   	 -66.12		 54.02   	 -30.52		
167.85   	428.77   	 66.65   	 -71.21		 53.90   	 -40.69		
290.83   	721.74   	 66.37   	 -66.12		 53.73   	 -35.61		
404.36   	1004.03   	 66.10   	-127.16		 53.59   	 -66.12		
449.83   	1094.67(R)	 65.59   	 -61.04		 53.33   	 -35.61		
360.11   	801.39   	 65.35   	 -61.04		 53.18   	 -35.61		
236.82   	376.59   	 65.11   	 -55.95		 53.04   	 -35.61		
133.36   	-18.31   	 64.88   	 -61.04		 52.90   	 -30.52		
 82.40   	-253.91   	 64.64   	 -55.95		 52.78   	 -30.52		
 77.51   	-301.21   	 64.41   	 -55.95		 52.65   	 -35.61		
 84.84   	-220.64   	 64.19   	 -55.95		 52.51   	 -35.61		
 71.41   	-107.42   	 63.97   	 -61.04		 52.37   	 -35.61		
 31.74   	-33.57   	 63.72   	 -55.95		 52.23   	 -30.52		
-14.95   	-18.92   	 63.50   	 -55.95		 52.11   	 -30.52		
-44.56   	-43.64   	 63.28   	 -55.95		 51.98   	 -35.61		
-47.91   	-77.21   	 63.05   	 -50.86		 51.84   	 -30.52		
-36.01   	-102.84   	 62.85   	 -45.78		 51.72   	 -30.52		
-26.25   	-117.49   	 62.67   	 -35.61		 51.60   	 -35.61		
-27.77   	-125.43   	 62.52   	 -35.61		 51.45   	 -30.52		
-36.01   	-130.31   	 62.38   	 -25.43		 51.33   	 -25.43		
-41.20   	-132.45   	 62.28   	 -20.35		 51.23   	 -30.52		
-36.93   	-128.78   	 62.20   	 -10.17		 51.11   	 -30.52		
-25.94   	-119.63   	 62.16   	  -5.09		 50.99   	 -40.69		
-17.40   	-110.47   	 62.14   	  10.17		 50.82   	 -35.61		
-18.62   	-108.03   	 62.18   	  30.52		 50.68   	 -40.69		
-28.38   	-113.83   	 62.30   	  45.78		 50.52   	 -40.69		
-39.98   	-123.90   	 62.48   	  66.12		 50.36   	 -50.86		
-46.08   	-132.45   	 62.75   	  96.64		 50.15   	 -40.69		
-45.47   	-137.02   	 63.13   	 122.07		 49.99   	 -45.78		
-40.89   	-137.94   	 63.62   	 147.51		 49.81   	 -40.69		
-35.10   	-137.02   	 64.21   	 172.94		 49.64   	 -40.69		
-30.82   	-135.80   	 64.90   	 198.37		 49.48   	 -35.61		
-28.38   	-133.97   	 65.70   	 218.72		 49.34   	 -30.52		
-27.77   	-130.92   	 66.57   	 244.15		 49.22   	 -15.26		
-30.21   	-126.65   	 67.55   	 254.32		 49.16   	  -5.09		
-33.87   	-122.38   	 68.57   	 269.58		 49.14(D)	   5.09		
-35.40   	-119.63   	 69.64   	 274.67		 49.16   	  10.17		
-33.87   	-119.63   	 70.74   	 269.58		 49.20   	   0.00		
-30.82   	-123.29   	 71.82   	 264.50		 49.20   	  10.17		
-28.99   	-129.09   	 72.88   	 254.32		 49.24   	  35.61		
-32.04   	-134.28   	 73.90   	 244.15		 49.38   	  61.04		
-38.15   	-136.41   	 74.87   	 233.98		 49.62   	 111.90		
-43.64   	-133.97   	 75.81   	 213.63		 50.07   	 183.11		
-45.47   	-129.39   	 76.66   	 203.46		 50.80   	 254.32		
-43.33   	-125.12   	 77.48   	 198.37		 51.82   	 340.79		
-39.06   	-122.38   	 78.27   	 188.20		 53.18   	 376.40		
-36.32   	-120.85   	 79.02   	 188.20		 54.69   	 406.92		
-36.62   	-118.41   	 79.78   	 178.03		 56.32   	 401.83		
-39.06   	-115.66   	 80.49   	 183.11		 57.92   	 391.66		
-42.72   	-114.75   	 81.22   	 172.94		 59.49   	 396.74		
-45.47   	-117.49   	 81.91   	 162.77		 61.08   	 386.57		
-45.17   	-122.38   	 82.56   	 157.68		 62.62   	 381.48		
-41.81   	-125.43   	 83.19   	 147.51		 64.15   	 366.22		
-37.54   	-122.68   	 83.78   	 137.33		 65.62   	 356.05		
-34.48   	-114.44   	 84.33   	 132.25		 67.04   	 361.14		
-33.87   	-103.76   	 84.86   	 137.33		 68.48   	 381.48		
-35.10   	-95.52   	 85.41   	 142.42		 70.01   	 391.66		
-36.93   	-90.94   	 85.98   	 147.51		 71.58   	 386.57		
-38.45   	-88.20   	 86.57   	 157.68		 73.12   	 391.66		
-40.89   	-85.14   	 87.20   	 162.77		 74.69   	 391.66		
-45.17   	-79.65   	 87.85   	 162.77		 76.26   	 381.48		
-49.74   	-72.94   	 88.50   	 157.68		 77.78   	 371.31		
-51.57   	-66.53   	 89.13   	 157.68		 79.27   	 361.14		
-49.44   	-62.56   	 89.77   	 152.59		 80.71   	 345.88		
-45.47   	-61.04   	 90.38   	 142.42		 82.10   	 335.71		
-43.33   	-60.12   	 90.95   	 137.33		 83.44   	 320.45		
-47.00   	-57.68   	 91.50   	 132.25		 84.72   	 289.93		
-55.54   	-50.66   	 92.02   	 137.33		 85.88   	 274.67		
-63.78   	-39.37   	 92.57   	 132.25		 86.98   	 264.50		
-67.14   	-27.16   	 93.10   	 132.25		 88.04   	 239.06		
-64.39   	-19.23   	 93.63   	 127.16		 88.99   	 228.89		
-58.90   	-17.40   	 94.14   	 122.07		 89.91   	 198.37		
-55.24   	-19.84   	 94.63   	 106.82		 90.70   	 178.03		
-54.32   	-21.06   	 95.06   	  91.56		 91.41   	 167.85		
-53.71   	-16.17   	 95.42   	  81.38		 92.09   	 142.42		
-51.27   	 -5.80   	 95.75   	  66.12		 92.65   	 122.07		
-47.30   	  4.27   	 96.01   	  50.86		 93.14   	  86.47		
-43.95   	  8.85   	 96.22   	  35.61		 93.49   	  66.12		
-43.33   	  7.63   	 96.36   	  30.52		 93.75   	  66.12		
-45.78   	  4.27   	 96.48   	  15.26		 94.02   	  45.78		
-47.30   	  3.36   	 96.54   	   5.09		 94.20   	  25.43		
-43.95   	  6.41   	 96.56(S)	  -5.09		 94.30   	  25.43		
-33.87   	 10.99   	 96.54   	 -20.35		 94.40   	  30.52		
-19.53   	 14.65   	 96.46   	 -30.52		 94.53(S)	 -45.78		
 -6.41   	 16.48   	 96.34   	 -40.69		 94.34   	-106.82		
  0.61   	 18.92   	 96.17   	 -61.04		 93.92   	 -30.52		
  2.14   	 22.89   	 95.93   	 -71.21		 93.79   	  40.69		
  2.14   	 27.47   	 95.65   	 -81.38		 93.96   	 -20.35		
  3.97   	 30.82   	 95.32   	-101.73		 93.88   	-116.99		
  7.63   	 30.82   	 94.91   	-116.99		 93.41   	-178.03		
  8.24   	 26.55   	 94.45   	-137.33		 92.70   	-167.85		
  3.66   	 20.75   	 93.90   	-147.51		 92.02   	-116.99		
 -2.75   	 14.95   	 93.31   	-162.77		 91.56   	-122.07		
 -7.93   	 11.60   	 92.65   	-172.94		 91.07   	-203.46		
 -8.24   	 10.99   	 91.96   	-188.20		 90.25   	-228.89		
 -4.58   	 13.43   	 91.21   	-193.29		 89.34   	-172.94		
  1.22   	 16.78   	 90.44   	-193.29		 88.65   	 -91.56		
  6.10   	 19.53   	 89.66   	-188.20		 88.28   	-147.51		
  8.85   	 21.36   	 88.91   	-178.03		 87.69   	-279.75		
  8.54   	 21.97   	 88.20   	-162.77		 86.57   	-350.97		
  3.97   	 21.67   	 87.55   	-142.42		 85.17   	-300.10		
 -2.75   	 19.53   	 86.98   	-127.16		 83.97   	-213.63		
 -8.54   	 14.65   	 86.47   	-111.90		 83.11   	-183.11		
-12.51   	  7.32   	 86.02   	-101.73		 82.38   	-244.15		
-14.34   	 -0.61   	 85.62   	 -91.56		 81.40   	-300.10		
-14.95   	 -5.80   	 85.25   	 -81.38		 80.20   	-325.53		
-12.51   	 -3.97   	 84.92   	 -76.30		 78.90   	-289.93		
 -6.41   	  4.27   	 84.62   	 -76.30		 77.74   	-254.32		
  1.22   	 14.95   	 84.31   	 -66.12		 76.72   	-254.32		
  7.63   	 21.97   	 84.05   	 -71.21		 75.71   	-259.41		
  9.46   	 21.06   	 83.76   	 -66.12		 74.67   	-239.06		
  5.80   	 12.82   	 83.50   	 -66.12		 73.71   	-178.03		
 -0.61   	  2.44   	 83.23   	 -66.12		 73.00   	-132.25		
 -6.41   	 -4.27   	 82.97   	 -66.12		 72.47   	-137.33		
