  I     	  II     	  AO     	  AO'		  FAC     	  FAC'		
 18.31   	-14.65   	 87.95   	 -81.38		 73.39   	-152.59		
 10.38   	-16.48   	 87.63   	 -76.30		 72.78   	-132.25		
  7.63   	-15.56   	 87.32   	 -76.30		 72.25   	-137.33		
  9.16   	-11.90   	 87.02   	 -76.30		 71.70   	-157.68		
 12.21   	 -7.63   	 86.71   	 -71.21		 71.07   	-167.85		
 14.04   	 -4.88   	 86.43   	 -66.12		 70.40   	-157.68		
 14.04   	 -5.49   	 86.16   	 -71.21		 69.77   	-116.99		
 14.04   	 -8.24   	 85.88   	 -61.04		 69.30   	-111.90		
 14.34   	-12.82   	 85.64   	 -71.21		 68.85   	-111.90		
 13.73   	-17.09   	 85.35   	 -71.21		 68.40   	-132.25		
 12.82   	-20.45   	 85.07   	 -71.21		 67.87   	-116.99		
 12.82   	-21.97   	 84.78   	 -81.38		 67.41   	 -96.64		
 14.65   	-22.89   	 84.46   	 -81.38		 67.02   	-101.73		
 16.78   	-23.80   	 84.13   	 -86.47		 66.61   	-137.33		
 15.26   	-25.63   	 83.78   	 -81.38		 66.06   	-111.90		
  9.77   	-27.77   	 83.46   	 -86.47		 65.62   	 -76.30		
  3.66   	-27.77   	 83.11   	 -81.38		 65.31   	 -66.12		
  3.36   	-24.41   	 82.79   	 -81.38		 65.05   	 -76.30		
 10.68   	-18.31   	 82.46   	 -76.30		 64.74   	 -91.56		
 20.75   	-11.90   	 82.16   	 -76.30		 64.37   	-106.82		
 25.33   	 -6.71   	 81.85   	 -71.21		 63.95   	 -81.38		
 22.89   	 -4.27   	 81.57   	 -71.21		 63.62   	 -66.12		
 16.48   	 -4.88   	 81.28   	 -76.30		 63.36   	 -40.69		
 11.29   	 -7.93   	 80.98   	 -76.30		 63.19   	 -45.78		
  8.85   	-12.82   	 80.67   	 -76.30		 63.01   	 -61.04		
  7.32   	-17.70   	 80.37   	 -81.38		 62.77   	 -71.21		
  6.10   	-19.53   	 80.04   	 -81.38		 62.48   	 -66.12		
  6.71   	-17.70   	 79.71   	 -86.47		 62.22   	 -55.95		
  9.77   	-13.43   	 79.37   	 -81.38		 61.99   	 -45.78		
 14.34   	 -9.46   	 79.04   	 -76.30		 61.81   	 -40.69		
 16.78   	 -7.63   	 78.74   	 -81.38		 61.65   	 -45.78		
 15.87   	 -7.93   	 78.41   	 -71.21		 61.46   	 -40.69		
 14.04   	 -9.77   	 78.13   	 -71.21		 61.30   	 -40.69		
