  I     	  II     	  LV     	  LV'		  FA     	  FA'		
-459.29   	-83.01   	 91.62   	 249.24		 67.04   	 -20.35		
-451.97   	-80.26   	 92.61   	 218.72		 66.96   	 -15.26		
-444.95   	-77.21   	 93.49   	 193.29		 66.90   	 -20.35		
-437.93   	-73.85   	 94.26   	 167.85		 66.82   	 -20.35		
-427.86   	-69.89   	 94.93   	 142.42		 66.73   	 -15.26		
-422.06   	-69.58   	 95.50   	 122.07		 66.67   	 -20.35		
-414.73   	-68.36   	 95.99   	 101.73		 66.59   	 -15.26		
-404.97   	-65.31   	 96.40   	  91.56		 66.53   	 -10.17		
-397.95   	-63.48   	 96.76   	 116.99		 66.49   	 -10.17		
-389.10   	-61.95   	 97.23   	 162.77		 66.45   	  -5.09		
-380.55   	-59.20   	 97.88   	 239.06		 66.43   	   0.00		
-374.15   	-55.54   	 98.84   	 300.10		 66.43   	  15.26		
-364.38   	-53.10   	100.04   	 345.88		 66.49   	  25.43		
-354.31   	-49.44   	101.42   	 350.97		 66.59   	  40.69		
-344.24   	-46.69   	102.83   	 315.36		 66.75   	  66.12		
-332.64   	-45.47   	104.09   	 239.06		 67.02   	  96.64		
-321.35   	-42.11   	105.05   	 142.42		 67.41   	 132.25		
-310.06   	-39.37   	105.62   	  45.78		 67.93   	 178.03		
-297.55   	-36.62   	105.80   	 -50.86		 68.65   	 228.89		
-283.20   	-31.74   	105.59   	-116.99		 69.56   	 295.01		
-267.03   	-27.77   	105.13   	-162.77		 70.74   	 356.05		
-248.11   	-21.36   	104.48   	-183.11		 72.17   	 417.09		
-228.27   	-14.65   	103.74   	-183.11		 73.83   	 467.95		
-209.05   	 -8.85   	103.01   	-167.85		 75.71   	 503.56		
-184.94   	  0.92   	102.34   	-147.51		 77.72   	 513.73		
-161.44   	  9.77   	101.75   	-122.07		 79.78   	 503.56		
-135.50   	 21.36   	101.26   	-106.82		 81.79   	 467.95		
-107.42   	 36.01   	100.83   	 -91.56		 83.66   	 432.35		
-81.18   	 47.30   	100.47   	 -96.64		 85.39   	 391.66		
-54.93   	 60.73   	100.08   	-111.90		 86.96   	 356.05		
-26.86   	 75.38   	 99.63   	-147.51		 88.38   	 315.36		
  1.83   	 87.28   	 99.04   	-193.29		 89.64   	 289.93		
 29.91   	101.62   	 98.27   	-254.32		 90.80   	 264.50		
 55.54   	116.27   	 97.25   	-325.53		 91.86   	 233.98		
 78.74   	128.78   	 95.95   	-396.74		 92.80   	 213.63		
 97.96   	143.13   	 94.36   	-462.87		 93.65   	 188.20		
112.61   	157.17   	 92.51   	-534.08		 94.40   	 167.85		
127.56   	171.51   	 90.38   	-595.11		 95.08   	 142.42		
135.50   	184.94   	 88.00   	-640.89		 95.65   	 127.16		
139.16   	196.84   	 85.43   	-681.58		 96.15   	 101.73		
136.72   	206.30   	 82.71   	-701.93		 96.56   	  81.38		
126.34   	212.71   	 79.90   	-707.02		 96.89   	  61.04		
109.25   	215.15   	 77.07   	-686.67		 97.13   	  40.69		
 83.31   	213.32   	 74.32   	-661.24		 97.29   	  20.35		
 54.63   	211.49   	 71.68   	-620.55		 97.37(S)	   0.00		
 19.84   	205.38   	 69.20   	-564.60		 97.37   	 -20.35		
-18.62   	199.58   	 66.94   	-488.30		 97.29   	 -35.61		
-57.07   	194.70   	 64.98   	-391.66		 97.15   	 -50.86		
-104.06   	184.33   	 63.42   	-274.67		 96.95   	 -66.12		
-152.89   	174.56   	 62.32   	-183.11		 96.68   	 -81.38		
