  I     	  LVp     	  LVp'		  AO     	  AO'		
-62.87   	119.65   	-320.45		 97.94   	 -55.95		
-68.05   	118.37   	-350.97		 97.72   	 -55.95		
-73.55   	116.97   	-376.40		 97.50   	 -45.78		
-79.65   	115.46   	-401.83		 97.31   	 -45.78		
-84.53   	113.86   	-406.92		 97.13   	 -40.69		
-86.36   	112.23   	-401.83		 96.97   	 -40.69		
-84.53   	110.62   	-391.66		 96.81   	 -35.61		
-79.65   	109.05   	-376.40		 96.66   	 -40.69		
-73.24   	107.55   	-366.22		 96.50   	 -35.61		
-67.14   	106.08   	-376.40		 96.36   	 -35.61		
-63.78   	104.58   	-406.92		 96.22   	 -35.61		
-63.78   	102.95   	-462.87		 96.07   	 -35.61		
-67.44   	101.10   	-534.08		 95.93   	 -30.52		
-73.24   	 98.96   	-620.55		 95.81   	 -35.61		
-77.51   	 96.48   	-712.10		 95.67   	 -35.61		
-79.04   	 93.63   	-768.05		 95.52   	 -40.69		
-78.13   	 90.56   	-808.75		 95.36   	 -55.95		
-75.99   	 87.32   	-844.35		 95.14   	 -61.04		
-74.46   	 83.95   	-885.04		 94.89   	 -76.30		
-74.16   	 80.41   	-966.43		 94.59   	 -91.56		
-75.07   	 76.54   	-1078.33		 94.22   	-111.90		
-75.99   	 72.23   	-1190.23		 93.77   	-132.25		
-75.99   	 67.47   	-1307.22		 93.24   	-147.51		
-74.77   	 62.24   	-1373.34		 92.65   	-167.85		
-72.33   	 56.74   	-1393.69		 91.98   	-183.11		
-69.89   	 51.17   	-1342.82		 91.25   	-188.20		
-68.36   	 45.80   	-1241.09		 90.50   	-188.20		
-68.66   	 40.83   	-1098.67		 89.75   	-183.11		
-69.89   	 36.44   	-925.73		 89.01   	-178.03		
-70.80   	 32.74   	-762.97		 88.30   	-167.85		
-69.58   	 29.68   	-625.63		 87.63   	-147.51		
-66.53   	 27.18   	-523.90		 87.04   	-127.16		
-63.17   	 25.09   	-462.87		 86.53   	-106.82		
-61.95   	 23.23   	-437.43		 86.10   	 -86.47		
-63.17   	 21.49   	-427.26		 85.76   	 -66.12		
-65.31   	 19.78   	-427.26		 85.49   	 -45.78		
-66.53   	 18.07   	-422.18		 85.31   	 -30.52		
-65.61   	 16.38   	-396.74		 85.19   	 -10.17		
-63.17   	 14.79   	-356.05		 85.15   	   0.00		
-60.42   	 13.37   	-305.19		 85.15   	  15.26		
-57.37   	 12.15   	-244.15		 85.21   	  25.43		
-54.93   	 11.17   	-183.11		 85.31   	  35.61		
-54.63   	 10.44   	-127.16		 85.45   	  45.78		
-57.68   	  9.93   	 -86.47		 85.64   	  45.78		
-63.17   	  9.58   	 -50.86		 85.82   	  55.95		
-67.75   	  9.38   	 -35.61		 86.04   	  55.95		
-68.66   	  9.24   	 -25.43		 86.27   	  61.04		
-65.00   	  9.14   	 -15.26		 86.51   	  55.95		
-60.73   	  9.07   	 -10.17		 86.73   	  61.04		
-59.20   	  9.03   	  -5.09		 86.98   	  50.86		
-61.65   	  9.01(D)	  10.17		 87.18   	  55.95		
-65.61   	  9.05   	  20.35		 87.41   	  50.86		
-68.66   	  9.14   	  45.78		 87.61   	  45.78		
-68.97   	  9.32   	  66.12		 87.79   	  40.69		
-66.53   	  9.58   	  86.47		 87.95   	  40.69		
-63.17   	  9.93   	 111.90		 88.12   	  35.61		
-59.51   	 10.38   	 132.25		 88.26   	  30.52		
-57.68   	 10.91   	 142.42		 88.38   	  25.43		
-58.29   	 11.48   	 147.51		 88.48   	  25.43		
-61.34   	 12.07   	 147.51		 88.59   	  20.35		
-64.70   	 12.66   	 127.16		 88.67   	  20.35		
-65.92   	 13.16   	 106.82		 88.75   	  10.17		
