  I     	  LVp     	  LVp'		  AO     	  AO'		
-41.50   	 56.46   	1281.79		 77.13   	 -45.78		
-48.52   	 61.59   	1358.08		 76.95   	 -40.69		
-51.57   	 67.02   	1388.60		 76.79   	 -35.61		
-49.13   	 72.57   	1347.91		 76.64   	 -30.52		
-44.25   	 77.97   	1261.44		 76.52   	 -25.43		
-39.67   	 83.01   	1134.28		 76.42   	 -15.26		
-36.93   	 87.55   	1002.03		 76.36   	  -5.09		
-35.71   	 91.56   	 890.13		 76.34(D)	  10.17		
-34.79   	 95.12   	 813.83		 76.38   	  30.52		
-32.96   	 98.37   	 773.14		 76.50   	  50.86		
-29.30   	101.46   	 768.05		 76.70   	  81.38		
-23.19   	104.54   	 783.31		 77.03   	 101.73		
-16.78   	107.67   	 798.57		 77.44   	 132.25		
-11.60   	110.86   	 808.75		 77.97   	 157.68		
 -8.85   	114.10   	 788.40		 78.60   	 188.20		
 -7.32   	117.25   	 752.79		 79.35   	 208.54		
 -5.80   	120.26   	 686.67		 80.18   	 233.98		
 -3.36   	123.01   	 615.46		 81.12   	 249.24		
  0.61   	125.47   	 544.25		 82.12   	 264.50		
  6.10   	127.65   	 498.47		 83.17   	 264.50		
 12.82   	129.64   	 462.87		 84.23   	 274.67		
 20.45   	131.49   	 462.87		 85.33   	 269.58		
 28.08   	133.35   	 467.95		 86.41   	 264.50		
 35.10   	135.22   	 467.95		 87.47   	 254.32		
 40.59   	137.09   	 452.69		 88.48   	 249.24		
 46.08   	138.90   	 412.00		 89.48   	 239.06		
 52.80   	140.55   	 350.97		 90.44   	 223.80		
 61.95   	141.95   	 284.84		 91.33   	 208.54		
 72.94   	143.09   	 233.98		 92.17   	 203.46		
 84.53   	144.03   	 208.54		 92.98   	 198.37		
 95.52   	144.86   	 223.80		 93.77   	 198.37		
104.06   	145.76   	 254.32		 94.57   	 193.29		
110.78   	146.77   	 289.93		 95.34   	 203.46		
117.49   	147.93   	 320.45		 96.15   	 198.37		
126.04   	149.22   	 335.71		 96.95   	 208.54		
135.50   	150.56   	 315.36		 97.78   	 203.46		
144.35   	151.82   	 269.58		 98.60   	 208.54		
149.23   	152.90   	 198.37		 99.43   	 198.37		
148.32   	153.69   	 106.82		100.22   	 193.29		
142.21   	154.12(S)	  -5.09		101.00   	 178.03		
133.36   	154.10   	-101.73		101.71   	 162.77		
123.60   	153.69   	-198.37		102.36   	 142.42		
113.22   	152.90   	-259.41		102.93   	 122.07		
101.62   	151.86   	-295.01		103.42   	  91.56		
 87.89   	150.68   	-300.10		103.78   	  71.21		
 73.24   	149.48   	-284.84		104.07   	  50.86		
 58.29   	148.34   	-249.24		104.27   	  35.61		
 43.64   	147.34   	-218.72		104.41   	  20.35		
 29.30   	146.47   	-203.46		104.50   	  10.17		
 14.95   	145.66   	-188.20		104.54   	  10.17		
  1.83   	144.90   	-198.37		104.58   	   5.09		
 -9.77   	144.11   	-208.54		104.60   	   5.09		
-19.53   	143.28   	-228.89		104.62   	  15.26		
-28.38   	142.36   	-249.24		104.68   	  10.17		
-37.23   	141.36   	-264.50		104.72   	  15.26		
-45.17   	140.30   	-269.58		104.78   	  20.35		
-51.88   	139.23   	-279.75		104.86   	  20.35		
-57.37   	138.11   	-284.84		104.94   	  25.43		
-62.26   	136.97   	-305.19		105.05   	  25.43		
-68.05   	135.75   	-330.62		105.15   	  25.43		
-73.85   	134.42   	-366.22		105.25   	  25.43		
-78.74   	132.96   	-386.57		105.35   	  25.43		
-81.48   	131.41   	-406.92		105.45   	  25.43		
-81.48   	129.79   	-417.09		105.55   	  20.35		
-79.35   	128.12   	-406.92		105.64   	  15.26		
-76.29   	126.49   	-396.74		105.70   	  10.17		
-73.85   	124.90   	-381.48		105.74   	   5.09		
-74.16   	123.38   	-376.40		105.76(S)	   0.00		
-77.51   	121.87   	-386.57		105.76   	 -10.17		
-82.09   	120.33   	-412.00		105.72   	 -10.17		
-85.14   	118.68   	-457.78		105.68   	 -15.26		
-84.53   	116.85   	-503.56		105.62   	 -20.35		
-80.26   	114.83   	-559.51		105.53   	 -20.35		
-74.16   	112.59   	-600.20		105.45   	 -30.52		
-68.36   	110.19   	-645.98		105.33   	 -35.61		
-64.39   	107.61   	-676.50		105.19   	 -40.69		
-63.48   	104.90   	-707.02		105.03   	 -45.78		
-65.31   	102.07   	-732.45		104.84   	 -61.04		
-68.66   	 99.15   	-768.05		104.60   	 -71.21		
-70.19   	 96.07   	-818.92		104.31   	 -81.38		
-69.27   	 92.80   	-900.30		103.99   	 -96.64		
-65.92   	 89.20   	-1017.29		103.60   	-111.90		
-62.56   	 85.13   	-1154.62		103.15   	-132.25		
-61.34   	 80.51   	-1291.96		102.62   	-142.42		
-61.95   	 75.34   	-1393.69		102.05   	-157.68		
-62.87   	 69.77   	-1439.47		101.42   	-172.94		
-62.26   	 64.01   	-1424.21		100.73   	-178.03		
-60.12   	 58.31   	-1342.82		100.02   	-188.20		
-57.07   	 52.94   	-1215.66		 99.27   	-188.20		
-54.93   	 48.08   	-1063.07		 98.51   	-183.11		
-54.63   	 43.82   	-900.30		 97.78   	-178.03		
-56.15   	 40.22   	-762.97		 97.07   	-172.94		
-59.20   	 37.17   	-661.24		 96.38   	-152.59		
-61.34   	 34.53   	-595.11		 95.77   	-142.42		
-61.65   	 32.15   	-544.25		 95.20   	-127.16		
-59.81   	 29.97   	-523.90		 94.69   	-106.82		
-57.98   	 27.87   	-493.39		 94.26   	 -96.64		
-57.98   	 25.90   	-467.95		 93.88   	 -76.30		
-59.81   	 24.03   	-417.09		 93.57   	 -61.04		
-62.87   	 22.36   	-366.22		 93.33   	 -45.78		
-66.22   	 20.90   	-300.10		 93.14   	 -35.61		
-68.36   	 19.69   	-239.06		 93.00   	 -20.35		
-69.58   	 18.74   	-320.45		 92.92   	   0.00		
-68.97   	 17.46   	-106.82		 92.92   	  10.17		
-66.83   	 17.03   	 -91.56		 92.96   	  15.26		
-64.39   	 16.66   	 -86.47		 93.02   	  20.35		
-63.17   	 16.32   	 -86.47		 93.10   	  30.52		
-64.39   	 15.97   	 -91.56		 93.22   	  25.43		
-66.83   	 15.61   	 -86.47		 93.33   	  30.52		
-68.66   	 15.26   	 -86.47		 93.45   	  30.52		
-67.44   	 14.91   	 -71.21		 93.57   	  25.43		
-63.48   	 14.63   	 -55.95		 93.67   	  25.43		
-59.51   	 14.40   	 -40.69		 93.77   	  20.35		
-58.29   	 14.24   	 -15.26		 93.86   	  20.35		
-59.81   	 14.18(D)	   0.00		 93.94   	  10.17		
-61.95   	 14.18   	  15.26		 93.98   	  10.17		
-62.87   	 14.24   	  30.52		 94.02   	   0.00		
-61.65   	 14.36   	  30.52		 94.02   	   0.00		
-59.81   	 14.49   	  40.69		 94.02   	  -5.09		
-59.20   	 14.65   	  35.61		 94.00   	 -15.26		
-59.81   	 14.79   	  40.69		 93.94   	 -15.26		
-60.42   	 14.95   	  45.78		 93.88   	 -15.26		
-60.42   	 15.14   	  45.78		 93.81   	 -25.43		
-60.12   	 15.32   	  50.86		 93.71   	 -30.52		
-60.42   	 15.52   	  55.95		 93.59   	 -30.52		
-61.65   	 15.75   	  55.95		 93.47   	 -35.61		
-62.56   	 15.97   	  61.04		 93.33   	 -35.61		
-62.26   	 16.22   	  50.86		 93.18   	 -40.69		
-59.81   	 16.42   	  50.86		 93.02   	 -40.69		
-57.07   	 16.62   	  45.78		 92.86   	 -45.78		
-55.54   	 16.81   	  35.61		 92.68   	 -50.86		
-56.46   	 16.95   	  30.52		 92.47   	 -45.78		
-58.90   	 17.07   	  30.52		 92.29   	 -50.86		
-60.73   	 17.19   	  20.35		 92.09   	 -55.95		
-60.73   	 17.27   	  25.43		 91.86   	 -50.86		
-58.90   	 17.38   	  20.35		 91.66   	 -50.86		
-56.46   	 17.46   	  20.35		 91.45   	 -55.95		
-54.02   	 17.54   	  15.26		 91.23   	 -50.86		
-51.88   	 17.60   	  15.26		 91.03   	 -55.95		
-50.35   	 17.66   	  15.26		 90.80   	 -55.95		
-50.66   	 17.72   	  10.17		 90.58   	 -55.95		
-52.19   	 17.76   	   5.09		 90.36   	 -55.95		
-54.32   	 17.78   	  10.17		 90.13   	 -55.95		
-54.32   	 17.82   	   5.09		 89.91   	 -61.04		
-50.35   	 17.84   	  10.17		 89.66   	 -61.04		
-43.33   	 17.88   	  10.17		 89.42   	 -61.04		
-36.01   	 17.92   	  15.26		 89.18   	 -55.95		
-31.13   	 17.99   	  15.26		 88.95   	 -61.04		
-30.21   	 18.05   	  15.26		 88.71   	 -61.04		
-30.82   	 18.11   	  15.26		 88.46   	 -61.04		
-29.60   	 18.17   	  10.17		 88.22   	 -61.04		
-24.72   	 18.21   	  10.17		 87.98   	 -61.04		
-16.48   	 18.25   	   5.09		 87.73   	 -61.04		
 -7.32   	 18.27   	   5.09		 87.49   	 -55.95		
  1.53   	 18.29   	   0.00		 87.26   	 -61.04		
  9.77   	 18.29   	   0.00		 87.02   	 -55.95		
 19.23   	 18.29   	   0.00		 86.80   	 -55.95		
 30.21   	 18.29   	  -5.09		 86.57   	 -61.04		
 40.89   	 18.27   	   0.00		 86.33   	 -55.95		
 47.61   	 18.27   	  -5.09		 86.10   	 -61.04		
 48.22   	 18.25   	  -5.09		 85.86   	 -61.04		
 43.64   	 18.23   	 -15.26		 85.62   	 -61.04		
 36.32   	 18.17   	 -10.17		 85.37   	 -61.04		
 29.30   	 18.13   	 -20.35		 85.13   	 -66.12		
 23.80   	 18.05   	 -15.26		 84.86   	 -61.04		
 19.23   	 17.99   	 -15.26		 84.62   	 -66.12		
 12.51   	 17.92   	 -15.26		 84.35   	 -66.12		
  0.31   	 17.86   	 -10.17		 84.09   	 -66.12		
-18.31   	 17.82   	  -5.09		 83.82   	 -66.12		
-40.28   	 17.80   	   0.00		 83.56   	 -61.04		
-59.51   	 17.80   	   5.09		 83.32   	 -66.12		
-68.97   	 17.82   	  10.17		 83.05   	 -66.12		
-67.14   	 17.86   	   5.09		 82.79   	 -66.12		
-59.81   	 17.88   	  10.17		 82.52   	 -66.12		
-54.93   	 17.92   	   5.09		 82.26   	 -61.04		
-56.46   	 17.94   	   0.00		 82.01   	 -66.12		
-62.87   	 17.94   	  -5.09		 81.75   	 -61.04		
-68.36   	 17.92   	  -5.09		 81.51   	 -66.12		
-68.05   	 17.90   	 -10.17		 81.24   	 -66.12		
-62.87   	 17.86   	   0.00		 80.98   	 -61.04		
-57.07   	 17.86   	  -5.09		 80.73   	 -66.12		
-54.02   	 17.84   	   5.09		 80.47   	 -66.12		
-53.71   	 17.86   	   5.09		 80.20   	 -61.04		
-54.63   	 17.88   	  15.26		 79.96   	 -66.12		
-54.93   	 17.94   	  20.35		 79.69   	 -61.04		
-55.24   	 18.03   	  35.61		 79.45   	 -61.04		
-57.98   	 18.17   	  40.69		 79.21   	 -61.04		
-66.83   	 18.33   	  55.95		 78.96   	 -55.95		
-83.01   	 18.56   	  61.04		 78.74   	 -50.86		
-104.37   	 18.80   	  66.12		 78.53   	 -50.86		
-126.65   	 19.06   	  61.04		 78.33   	 -45.78		
-143.43   	 19.31   	  61.04		 78.15   	 -45.78		
-148.93   	 19.55   	  45.78		 77.97   	 -40.69		
-135.80   	 19.74   	  35.61		 77.80   	 -40.69		
-91.25   	 19.88   	  20.35		 77.64   	 -40.69		
 -0.61   	 19.96   	   5.09		 77.48   	 -35.61		
145.26   	 19.98   	 -10.17		 77.33   	 -35.61		
342.71   	 19.94   	 -20.35		 77.19   	 -30.52		
561.83   	 19.86   	 -30.52		 77.07   	 -35.61		
743.71   	 19.74   	 -35.61		 76.93   	 -30.52		
822.45(R)	 19.59   	 -25.43		 76.81   	 -35.61		
763.86   	 19.49(E)	  -5.09		 76.66   	 -30.52		
595.40   	 19.47   	  20.35		 76.54   	 -25.43		
398.86   	 19.55   	  61.04		 76.44   	 -25.43		
264.28   	 19.80   	 106.82		 76.34   	 -20.35		
230.10   	 20.22   	 152.59		 76.26   	 -20.35		
263.06   	 20.83   	 203.46		 76.17   	 -10.17		
293.88   	 21.65   	 254.32		 76.13   	 -10.17		
272.22   	 22.67   	 310.27		 76.09   	  -5.09		
195.31   	 23.91   	 386.57		 76.07   	  -5.09		
 95.52   	 25.45   	 473.04		 76.05   	  -5.09		
  8.85   	 27.34   	 559.51		 76.03   	  -5.09		
-44.86   	 29.58   	 656.15		 76.01   	  -5.09		
-63.78   	 32.21   	 752.79		 75.99   	 -10.17		
-56.76   	 35.22   	 834.18		 75.95   	 -10.17		
-37.84   	 38.56   	 935.91		 75.91   	 -20.35		
-22.28   	 42.30   	1027.46		 75.83   	 -25.43		
-19.84   	 46.41   	1119.02		 75.73   	 -25.43		
-29.60   	 50.88   	1205.49		 75.63   	 -35.61		
-41.20   	 55.71   	1256.35		 75.48   	 -35.61		
-45.17   	 60.73   	1261.44		 75.34   	 -35.61		
-38.76   	 65.78   	1225.83		 75.20   	 -40.69		
-27.16   	 70.68   	1144.45		 75.04   	 -30.52		
-17.70   	 75.26   	1052.90		 74.91   	 -25.43		
-14.04   	 79.47   	 961.34		 74.81   	 -15.26		
-14.95   	 83.32   	 895.22		 74.75(D)	   0.00		
-16.78   	 86.90   	 859.61		 74.75   	  20.35		
-16.17   	 90.34   	 859.61		 74.83   	  45.78		
-11.60   	 93.77   	 885.04		 75.01   	  71.21		
 -4.58   	 97.31   	 915.56		 75.30   	 101.73		
  2.14   	100.98   	 925.73		 75.71   	 132.25		
  7.02   	104.68   	 915.56		 76.24   	 167.85		
 10.99   	108.34   	 874.87		 76.91   	 193.29		
 14.95   	111.84   	 813.83		 77.68   	 223.80		
 19.53   	115.10   	 742.62		 78.58   	 249.24		
 24.41   	118.07   	 661.24		 79.57   	 264.50		
 28.38   	120.71   	 600.20		 80.63   	 279.75		
 32.65   	123.11   	 544.25		 81.75   	 289.93		
 38.45   	125.29   	 503.56		 82.91   	 295.01		
 46.39   	127.30   	 488.30		 84.09   	 295.01		
 56.76   	129.26   	 467.95		 85.27   	 295.01		
 68.05   	131.13   	 447.61		 86.45   	 284.84		
 78.43   	132.92   	 427.26		 87.59   	 274.67		
 87.89   	134.63   	 386.57		 88.69   	 264.50		
 97.05   	136.17   	 340.79		 89.75   	 244.15		
106.81   	137.54   	 289.93		 90.72   	 233.98		
118.10   	138.70   	 244.15		 91.66   	 213.63		
129.70   	139.67   	 208.54		 92.51   	 198.37		
140.38   	140.51   	 178.03		 93.31   	 183.11		
150.15   	141.22   	 172.94		 94.04   	 172.94		
159.61   	141.91   	 162.77		 94.73   	 157.68		
170.29   	142.56   	 162.77		 95.36   	 142.42		
182.80   	143.21   	 162.77		 95.93   	 137.33		
195.62   	143.87   	 152.59		 96.48   	 127.16		
206.60   	144.48   	 132.25		 96.99   	 116.99		
211.79   	145.00   	  96.64		 97.46   	 116.99		
209.96   	145.39   	  30.52		 97.92   	 111.90		
201.72   	145.51(S)	 -40.69		 98.37   	 106.82		
190.12   	145.35   	-122.07		 98.80   	 106.82		
177.00   	144.86   	-198.37		 99.23   	  96.64		
163.27   	144.07   	-264.50		 99.61   	  91.56		
147.71   	143.01   	-310.27		 99.98   	  81.38		
128.78   	141.77   	-320.45		100.30   	  61.04		
108.03   	140.49   	-320.45		100.55   	  50.86		
 87.89   	139.21   	-310.27		100.75   	  35.61		
 69.58   	137.96   	-289.93		100.89   	  15.26		
 52.19   	136.81   	-279.75		100.96(S)	   0.00		
 34.18   	135.69   	-259.41		100.96   	 -15.26		
 14.95   	134.65   	-254.32		100.89   	 -20.35		
 -4.27   	133.63   	-259.41		100.81   	 -30.52		
-21.67   	132.59   	-264.50		100.69   	 -30.52		
-35.40   	131.54   	-284.84		100.57   	 -30.52		
-45.78   	130.40   	-310.27		100.45   	 -25.43		
-53.10   	129.16   	-320.45		100.35   	 -25.43		
-58.29   	127.87   	-325.53		100.24   	 -25.43		
-62.56   	126.57   	-315.36		100.14   	 -20.35		
-68.36   	125.31   	-289.93		100.06   	 -15.26		
-75.68   	124.15   	-264.50		100.00   	 -20.35		
-83.01   	123.09   	-249.24		 99.92   	 -10.17		
-87.59   	122.10   	-259.41		 99.88   	 -10.17		
-87.89   	121.06   	-284.84		 99.84   	 -10.17		
-84.84   	119.92   	-335.71		 99.80   	  -5.09		
-82.09   	118.58   	-391.66		 99.78   	  -5.09		
-82.09   	117.01   	-442.52		 99.76   	  -5.09		
-84.84   	115.24   	-483.21		 99.74   	 -10.17		
-87.89   	113.31   	-508.65		 99.69   	 -15.26		
-89.42   	111.27   	-518.82		 99.63   	 -20.35		
-87.89   	109.20   	-523.90		 99.55   	 -25.43		
-85.75   	107.10   	-539.16		 99.45   	 -30.52		
-84.53   	104.94   	-564.60		 99.33   	 -35.61		
-84.84   	102.69   	-610.37		 99.19   	 -40.69		
-85.14   	100.24   	-661.24		 99.02   	 -50.86		
-83.62   	 97.60   	-727.36		 98.82   	 -55.95		
-79.04   	 94.69   	-778.23		 98.60   	 -66.12		
-74.16   	 91.58   	-834.18		 98.33   	 -71.21		
-72.33   	 88.24   	-890.13		 98.05   	 -91.56		
-74.46   	 84.68   	-956.25		 97.68   	-101.73		
-78.13   	 80.85   	-1047.81		 97.27   	-116.99		
-80.57   	 76.66   	-1154.62		 96.81   	-132.25		
-80.26   	 72.04   	-1256.35		 96.28   	-147.51		
-78.13   	 67.02   	-1337.74		 95.69   	-162.77		
-75.07   	 61.67   	-1383.51		 95.04   	-172.94		
-72.02   	 56.13   	-1388.60		 94.34   	-178.03		
-69.27   	 50.58   	-1347.91		 93.63   	-183.11		
-66.83   	 45.19   	-1276.70		 92.90   	-183.11		
-65.92   	 40.08   	-1190.23		 92.17   	-183.11		
-67.44   	 35.32   	-1098.67		 91.43   	-172.94		
-70.19   	 30.93   	-1027.46		 90.74   	-167.85		
-72.02   	 26.82   	-951.17		 90.07   	-157.68		
-71.41   	 23.01   	-890.13		 89.44   	-147.51		
-68.66   	 19.45   	-813.83		 88.85   	-132.25		
-65.31   	 16.20   	-732.45		 88.32   	-122.07		
-64.39   	 13.27   	-635.81		 87.83   	-101.73		
-66.22   	 10.72   	-518.82		 87.43   	 -86.47		
-71.41   	  8.65   	-406.92		 87.08   	 -66.12		
-77.51   	  7.02   	-300.10		 86.82   	 -50.86		
-81.48   	  5.82   	-198.37		 86.61   	 -25.43		
-81.48   	  5.03   	-132.25		 86.51   	  -5.09		
-78.13   	  4.50   	 -81.38		 86.49   	  10.17		
-74.16   	  4.17   	 -61.04		 86.53   	  30.52		
-71.41   	  3.93   	 -45.78		 86.65   	  50.86		
-70.50   	  3.74   	 -50.86		 86.86   	  55.95		
-69.89   	  3.54   	 -45.78		 87.08   	  71.21		
-68.36   	  3.36   	 -40.69		 87.36   	  76.30		
-66.83   	  3.19   	 -20.35		 87.67   	  81.38		
-67.75   	  3.11(D)	   5.09		 88.00   	  81.38		
-71.72   	  3.13   	  35.61		 88.32   	  81.38		
-76.60   	  3.28   	  66.12		 88.65   	  76.30		
-79.04   	  3.54   	  96.64		 88.95   	  71.21		
-77.21   	  3.93   	 122.07		 89.24   	  66.12		
-71.72   	  4.42   	 132.25		 89.50   	  50.86		
-66.22   	  4.94   	 137.33		 89.70   	  45.78		
-62.87   	  5.49   	 142.42		 89.89   	  35.61		
-62.87   	  6.06   	 137.33		 90.03   	  20.35		
-66.22   	  6.61   	 132.25		 90.11   	  15.26		
-70.19   	  7.14   	 132.25		 90.17   	   5.09		
-72.94   	  7.67   	 122.07		 90.19   	   0.00		
-71.72   	  8.16   	 122.07		 90.19   	  -5.09		
-67.44   	  8.65   	 116.99		 90.17   	 -15.26		
-63.17   	  9.11   	 116.99		 90.11   	 -15.26		
-61.65   	  9.58   	 106.82		 90.05   	 -20.35		
-64.09   	 10.01   	 101.73		 89.97   	 -20.35		
-68.66   	 10.42   	  91.56		 89.89   	 -25.43		
-71.72   	 10.78   	  86.47		 89.79   	 -30.52		
-69.89   	 11.13   	  81.38		 89.66   	 -30.52		
-64.70   	 11.45   	  76.30		 89.54   	 -30.52		
-59.81   	 11.76   	  71.21		 89.42   	 -35.61		
-58.59   	 12.04   	  61.04		 89.28   	 -35.61		
-62.26   	 12.29   	  55.95		 89.13   	 -35.61		
-67.44   	 12.51   	  50.86		 88.99   	 -40.69		
-70.19   	 12.72   	  40.69		 88.83   	 -40.69		
-67.75   	 12.88   	  30.52		 88.67   	 -45.78		
-61.04   	 13.00   	  30.52		 88.48   	 -50.86		
-52.80   	 13.12   	  20.35		 88.28   	 -45.78		
-46.69   	 13.20   	  20.35		 88.10   	 -55.95		
-43.95   	 13.29   	  15.26		 87.87   	 -55.95		
-42.11   	 13.35   	  15.26		 87.65   	 -61.04		
-38.76   	 13.41   	  15.26		 87.41   	 -61.04		
-32.96   	 13.47   	  15.26		 87.16   	 -61.04		
-24.72   	 13.53   	  10.17		 86.92   	 -66.12		
-16.48   	 13.57   	   5.09		 86.65   	 -66.12		
 -8.24   	 13.59   	  10.17		 86.39   	 -71.21		
  0.61   	 13.63   	  10.17		 86.10   	 -71.21		
 11.29   	 13.67   	  15.26		 85.82   	 -71.21		
 23.50   	 13.73   	  20.35		 85.53   	 -71.21		
 35.40   	 13.81   	  25.43		 85.25   	 -66.12		
 43.95   	 13.92   	  25.43		 84.98   	 -66.12		
 46.08   	 14.02   	  30.52		 84.72   	 -66.12		
 41.50   	 14.14   	  25.43		 84.46   	 -61.04		
 32.65   	 14.24   	  20.35		 84.21   	 -55.95		
 21.97   	 14.32   	  15.26		 83.99   	 -45.78		
 12.21   	 14.38   	  -5.09		 83.80   	 -45.78		
  3.36   	 14.36   	 -25.43		 83.62   	 -40.69		
 -6.10   	 14.26   	 -50.86		 83.46   	 -40.69		
-19.23   	 14.06   	 -71.21		 83.30   	 -30.52		
-36.32   	 13.77   	-101.73		 83.17   	 -30.52		
-54.63   	 13.37   	-116.99		 83.05   	 -30.52		
-71.11   	 12.90   	-122.07		 82.93   	 -30.52		
-81.48   	 12.41   	-127.16		 82.81   	 -30.52		
-84.53   	 11.90   	-106.82		 82.69   	 -35.61		
-81.48   	 11.48   	 -91.56		 82.54   	 -40.69		
-75.38   	 11.11   	 -66.12		 82.38   	 -40.69		
-70.50   	 10.84   	 -40.69		 82.22   	 -50.86		
-68.66   	 10.68   	 -25.43		 82.01   	 -50.86		
-71.11   	 10.58   	 -15.26		 81.81   	 -50.86		
-75.38   	 10.52   	 -10.17		 81.61   	 -55.95		
-78.13   	 10.48   	 -10.17		 81.38   	 -55.95		
-77.21   	 10.44   	 -10.17		 81.16   	 -55.95		
-72.63   	 10.40   	 -10.17		 80.94   	 -55.95		
-67.14   	 10.36   	 -10.17		 80.71   	 -50.86		
-63.17   	 10.32   	 -10.17		 80.51   	 -40.69		
-62.56   	 10.27   	  -5.09		 80.35   	 -40.69		
-65.31   	 10.25   	   0.00		 80.18   	 -25.43		
-71.72   	 10.25   	   0.00		 80.08   	 -25.43		
-82.70   	 10.25   	   0.00		 79.98   	 -20.35		
-99.49   	 10.25   	  -5.09		 79.90   	 -10.17		
-119.02   	 10.23   	 -10.17		 79.86   	 -15.26		
-137.94   	 10.19   	 -20.35		 79.80   	 -10.17		
-151.67   	 10.11   	 -25.43		 79.76   	 -15.26		
-157.47   	 10.01   	 -35.61		 79.69   	 -15.26		
-151.37   	  9.87   	 -25.43		 79.63   	 -25.43		
-124.21   	  9.77   	 -20.35		 79.53   	 -30.52		
-62.26   	  9.68   	 -10.17		 79.41   	 -40.69		
 46.69   	  9.64   	  15.26		 79.25   	 -40.69		
201.72   	  9.70   	  40.69		 79.08   	 -50.86		
376.59   	  9.87   	  66.12		 78.88   	 -55.95		
516.66   	 10.13   	  91.56		 78.66   	 -50.86		
559.39   	 10.50   	 116.99		 78.45   	 -55.95		
473.94   	 10.97   	 137.33		 78.23   	 -55.95		
289.61   	 11.52   	 162.77		 78.01   	 -50.86		
 89.11   	 12.17   	 188.20		 77.80   	 -45.78		
-36.62   	 12.92   	 208.54		 77.62   	 -40.69		
-47.91   	 13.75   	 233.98		 77.46   	 -30.52		
 20.75   	 14.69   	 269.58		 77.33   	 -25.43		
 96.74   	 15.77   	 305.19		 77.23   	 -15.26		
124.51   	 16.99   	 345.88		 77.17   	  -5.09		
 96.13   	 18.37   	 391.66		 77.15   	   0.00		
 39.06   	 19.94   	 442.52		 77.15   	  10.17		
-13.43   	 21.71   	 493.39		 77.19   	  10.17		
-44.25   	 23.68   	 539.16		 77.23   	  20.35		
-51.57   	 25.84   	 590.03		 77.31   	  20.35		
-41.81   	 28.20   	 615.46		 77.40   	  20.35		
-23.19   	 30.66   	 645.98		 77.48   	  20.35		
 -6.41   	 33.25   	 656.15		 77.56   	  10.17		
 -0.61   	 35.87   	 661.24		 77.60   	   0.00		
 -5.80   	 38.51   	 656.15		 77.60   	 -15.26		
-13.43   	 41.14   	 661.24		 77.54   	 -25.43		
-14.95   	 43.78   	 681.58		 77.44   	 -45.78		
 -8.85   	 46.51   	 727.36		 77.25   	 -55.95		
  0.00   	 49.42   	 798.57		 77.03   	 -76.30		
  6.10   	 52.61   	 885.04		 76.72   	 -91.56		
  7.93   	 56.15   	 971.51		 76.36   	 -96.64		
  7.63   	 60.04   	1032.55		 75.97   	-106.82		
  7.93   	 64.17   	1057.98		 75.54   	-111.90		
 10.38   	 68.40   	1037.64		 75.10   	-111.90		
 15.56   	 72.55   	 986.77		 74.65   	-106.82		
 22.89   	 76.50   	 915.56		 74.22   	 -96.64		
 29.30   	 80.16   	 849.44		 73.83   	 -76.30		
 34.18   	 83.56   	 803.66		 73.53   	 -55.95		
 36.93   	 86.77   	 773.14		 73.31   	 -30.52		
 39.67   	 89.87   	 768.05		 73.18(D)	   0.00		
 43.95   	 92.94   	 773.14		 73.18   	  30.52		
 51.57   	 96.03   	 783.31		 73.31   	  71.21		
 61.65   	 99.17   	 773.14		 73.59   	 101.73		
 72.63   	102.26   	 747.71		 74.00   	 137.33		
 83.31   	105.25   	 707.02		 74.55   	 167.85		
 92.16   	108.08   	 651.07		 75.22   	 198.37		
 97.66   	110.68   	 595.11		 76.01   	 218.72		
101.32   	113.06   	 549.34		 76.89   	 244.15		
106.51   	115.26   	 513.73		 77.86   	 254.32		
115.66   	117.31   	 498.47		 78.88   	 269.58		
129.39   	119.31   	 483.21		 79.96   	 274.67		
145.26   	121.24   	 462.87		 81.06   	 284.84		
159.91   	123.09   	 432.35		 82.20   	 279.75		
170.59   	124.82   	 391.66		 83.32   	 279.75		
178.22   	126.39   	 335.71		 84.44   	 274.67		
185.85   	127.73   	 274.67		 85.53   	 269.58		
194.70   	128.83   	 208.54		 86.61   	 254.32		
204.77   	129.66   	 147.51		 87.63   	 239.06		
215.45   	130.25   	  96.64		 88.59   	 223.80		
225.22   	130.64   	  45.78		 89.48   	 198.37		
232.54   	130.82   	  10.17		 90.27   	 178.03		
237.43   	130.86(S)	 -20.35		 90.99   	 147.51		
238.65   	130.78   	 -55.95		 91.58   	 127.16		
235.29   	130.56   	 -76.30		 92.09   	 101.73		
226.14   	130.25   	-111.90		 92.49   	  76.30		
211.79   	129.81   	-147.51		 92.80   	  50.86		
193.18   	129.22   	-183.11		 93.00   	  30.52		
172.12   	128.48   	-233.98		 93.12   	  10.17		
150.76   	127.55   	-279.75		 93.16   	 -15.26		
129.09   	126.43   	-315.36		 93.10   	 -30.52		
106.81   	125.17   	-340.79		 92.98   	 -50.86		
 85.14   	123.80   	-335.71		 92.78   	 -61.04		
 64.09   	122.46   	-320.45		 92.53   	 -76.30		
 44.86   	121.18   	-289.93		 92.23   	 -81.38		
 26.86   	120.02   	-259.41		 91.90   	 -81.38		
 10.38   	118.98   	-244.15		 91.58   	 -76.30		
 -4.88   	118.01   	-239.06		 91.27   	 -71.21		
