  I     	  II     	  LV     	  LV'		  FA     	  FA'		
116.58   	105.29   	 12.53   	  76.30		 50.40   	 -50.86		
-46.39   	 62.56   	 12.84   	  91.56		 50.19   	 -50.86		
-169.68   	 42.42   	 13.20   	 101.73		 49.99   	 -35.61		
-180.66   	-27.47   	 13.61   	 132.25		 49.85   	 -30.52		
-145.87   	-112.00   	 14.14   	 172.94		 49.73   	 -25.43		
-145.57   	-182.50   	 14.83   	 223.80		 49.62   	 -10.17		
-117.19   	-184.33   	 15.73   	 289.93		 49.58   	  -5.09		
-85.45   	-174.56   	 16.89   	 366.22		 49.56   	  20.35		
-76.90   	-140.69   	 18.35   	 452.69		 49.64   	  25.43		
-72.02   	-93.08   	 20.16   	 564.60		 49.75   	 -96.64		
-77.82   	-68.66   	 22.42   	 681.58		 49.36   	-274.67		
-77.21   	-61.65   	 25.15   	 813.83		 48.26   	-157.68		
-80.26   	-62.26   	 28.40   	 956.25		 47.63   	 193.29		
-85.14   	-73.85   	 32.23   	1103.76		 48.40   	 289.93		
-81.79   	-86.98   	 36.64   	1241.09		 49.56   	 295.01		
-80.87   	-84.53   	 41.61   	1378.43		 50.74   	 569.68		
-86.06   	-80.87   	 47.12   	1485.24		 53.02   	 946.08		
-84.23   	-76.60   	 53.06   	1576.80		 56.81   	1047.81		
-82.70   	-77.82   	 59.37   	1637.84		 61.00   	 951.17		
-80.26   	-78.43   	 65.92   	1663.27		 64.80   	 940.99		
-82.40   	-75.07   	 72.57   	1668.36		 68.57   	 991.86		
-89.11   	-80.57   	 79.25   	1653.10		 72.53   	1098.67		
-82.09   	-86.06   	 85.86   	1602.23		 76.93   	1037.64		
-83.31   	-87.89   	 92.27   	1556.45		 81.08   	 671.41		
-87.89   	-87.28   	 98.49   	1485.24		 83.76   	 498.47		
-85.45   	-86.98   	104.43   	1424.21		 85.76   	 325.53		
-87.59   	-89.11   	110.13   	1358.08		 87.06   	  25.43		
-89.42   	-96.13   	115.56   	1302.13		 87.16   	   0.00		
-88.81   	-95.52   	120.77   	1246.18		 87.16   	 223.80		
-87.59   	-89.72   	125.76   	1185.14		 88.06   	 406.92		
-87.89   	-85.14   	130.50   	1124.11		 89.68   	 478.13		
-87.89   	-76.29   	134.99   	1052.90		 91.60   	 747.71		
-86.98   	-74.77   	139.21   	 966.43		 94.59   	 406.92		
-86.06   	-82.09   	143.07   	 879.96		 96.22   	-457.78		
-85.75   	-91.86   	146.59   	 788.40		 94.38   	-300.10		
-83.62   	-96.74   	149.75   	 712.10		 93.18   	 223.80		
-82.70   	-91.86   	152.59   	 645.98		 94.08   	-259.41		
-80.87   	-84.84   	155.18   	 600.20		 93.04   	-437.43		
-76.29   	-72.02   	157.58   	 569.68		 91.29   	 162.77		
-74.16   	-67.44   	159.86   	 559.51		 91.94   	 391.66		
-69.89   	-68.36   	162.09   	 549.34		 93.51   	 376.40		
-66.22   	-65.00   	164.29   	 539.16		 95.01   	 137.33		
-64.09   	-57.98   	166.45   	 523.90		 95.56   	 111.90		
-56.15   	-49.13   	168.54   	 503.56		 96.01   	 473.04		
-46.39   	-35.40   	170.56   	 467.95		 97.90   	 544.25		
-39.06   	-20.75   	172.43   	 427.26		100.08   	 666.32		
-31.43   	 -9.16   	174.14   	 376.40		102.75   	 930.82		
-23.19   	  8.85   	175.65   	 325.53		106.47   	 727.36		
-12.82   	 25.94   	176.95   	 264.50		109.38   	 437.43		
 -4.58   	 38.76   	178.01   	 203.46		111.13   	 371.31		
  1.83   	 52.80   	178.82   	 142.42		112.61   	  66.12		
 15.56   	 65.61   	179.39   	 101.73		112.88   	-544.25		
 20.75   	 76.29   	179.80   	  61.04		110.70   	-671.41		
 29.30   	 91.25   	180.04   	  45.78		108.02   	 -71.21		
 42.42   	103.76   	180.22   	  35.61		107.73   	   0.00		
 47.61   	108.64   	180.37   	  30.52		107.73   	  55.95		
 49.74   	109.25   	180.49   	  20.35		107.95   	 854.52		
 59.20   	108.64   	180.57   	   5.09		111.37   	 696.84		
 59.51   	109.25   	180.59(S)	 -20.35		114.16   	 147.51		
 63.48   	113.83   	180.51   	 -61.04		114.75   	 116.99		
 67.14   	118.41   	180.26   	-111.90		115.22   	  66.12		
 60.73   	118.71   	179.82   	-162.77		115.48   	 -91.56		
 58.29   	112.61   	179.17   	-223.80		115.12   	 -15.26		
 52.80   	101.32   	178.27   	-274.67		115.06   	 193.29		
 43.95   	 91.25   	177.17   	-315.36		115.83(S)	 -50.86		
 42.42   	 81.79   	175.91   	-356.05		115.63   	-300.10		
 32.04   	 63.17   	174.49   	-371.31		114.42   	 -66.12		
 19.23   	 45.17   	173.00   	-396.74		114.16   	  71.21		
 10.07   	 25.33   	171.41   	-406.92		114.45   	-111.90		
 -5.49   	 -0.31   	169.79   	-412.00		114.00   	-254.32		
-12.82   	-15.56   	168.14   	-422.18		112.98   	-172.94		
-16.48   	-28.69   	166.45   	-432.35		112.29   	-172.94		
-24.41   	-46.08   	164.72   	-437.43		111.60   	 -91.56		
-32.35   	-62.26   	162.97   	-457.78		111.23   	 396.74		
-42.11   	-75.07   	161.14   	-478.13		112.82   	 508.65		
-46.69   	-84.84   	159.23   	-498.47		114.85   	-147.51		
-54.02   	-98.88   	157.23   	-528.99		114.26   	-534.08		
-51.57   	-102.23   	155.12   	-554.42		112.13   	-193.29		
-53.41   	-106.20   	152.90   	-579.86		111.35   	  20.35		
-58.29   	-112.61   	150.58   	-605.29		111.43   	 -96.64		
-58.90   	-111.69   	148.16   	-640.89		111.05   	-172.94		
-61.65   	-113.83   	145.59   	-661.24		110.36   	-447.61		
-59.20   	-118.71   	142.95   	-696.84		108.57   	-554.42		
-57.07   	-124.51   	140.16   	-727.36		106.35   	-178.03		
-59.81   	-130.31   	137.25   	-762.97		105.64   	 -96.64		
-58.90   	-129.39   	134.20   	-793.49		105.25   	-422.18		
-62.56   	-126.65   	131.03   	-834.18		103.56   	-600.20		
-66.53   	-121.77   	127.69   	-859.61		101.16   	-615.46		
-63.78   	-113.83   	124.25   	-895.22		 98.70   	-676.50		
-64.39   	-107.42   	120.67   	-910.47		 95.99   	-762.97		
-63.17   	-112.00   	117.03   	-935.91		 92.94   	-671.41		
-62.56   	-116.27   	113.29   	-946.08		 90.25   	-427.26		
-62.56   	-118.10   	109.50   	-961.34		 88.54   	-417.09		
