  I     	  II     	  LV     	  LV'		  AO     	  AO'		
 20.14   	  3.97   	 68.55   	-259.41		 78.17   	 366.22		
 38.76   	-18.92   	 67.51   	-1281.79		 79.63   	-595.11		
 55.24   	-43.95   	 62.38   	-1266.53		 77.25   	-808.75		
 67.44   	-60.73   	 57.31   	-656.15		 74.02   	  35.61		
 73.85   	-65.00   	 54.69   	-254.32		 74.16   	  10.17		
 73.85   	-61.04   	 53.67   	 361.14		 74.20   	-742.62		
 70.19   	-56.76   	 55.12   	1154.62		 71.23   	-437.43		
 65.61   	-56.46   	 59.74   	1663.27		 69.48   	 213.63		
 63.48   	-58.90   	 66.39   	1668.36		 70.34   	 127.16		
 64.09   	-61.34   	 73.06   	1103.76		 70.84   	 -10.17		
 68.05   	-62.26   	 77.48   	 218.72		 70.80   	 101.73		
 73.55   	-62.56   	 78.35   	-569.68		 71.21   	  40.69		
 78.74   	-61.65   	 76.07   	-905.39		 71.37   	 -50.86		
 83.01   	-59.81   	 72.45   	-757.88		 71.17   	 111.90		
 86.06   	-56.46   	 69.42   	-239.06		 71.62   	 233.98		
 88.81   	-52.49   	 68.46   	 361.14		 72.55   	 208.54		
 92.47   	-49.74   	 69.91   	 630.72		 73.39   	 111.90		
 96.74   	-48.22   	 72.43   	 478.13		 73.83   	 -50.86		
101.32   	-47.00   	 74.34   	 142.42		 73.63   	-198.37		
106.20   	-44.86   	 74.91   	-213.63		 72.84   	-167.85		
111.69   	-41.50   	 74.06   	-513.73		 72.17   	 -91.56		
118.10   	-37.23   	 72.00   	-656.15		 71.80   	-137.33		
125.73   	-32.65   	 69.38   	-569.68		 71.25   	-152.59		
134.28   	-27.47   	 67.10   	-401.83		 70.64   	-111.90		
142.52   	-21.36   	 65.49   	-401.83		 70.19   	-239.06		
149.54   	-13.43   	 63.89   	-406.92		 69.24   	-371.31		
156.25   	 -3.05   	 62.26   	-233.98		 67.75   	-218.72		
162.05   	  9.77   	 61.32   	  15.26		 66.88   	 -81.38		
167.54   	 24.72   	 61.38   	 274.67		 66.55   	 -35.61		
172.42   	 40.59   	 62.48   	 473.04		 66.41   	 167.85		
176.09   	 57.07   	 64.37   	 366.22		 67.08   	 300.10		
177.92   	 74.77   	 65.84   	  -5.09		 68.28   	  81.38		
177.61   	 94.30   	 65.82   	-366.22		 68.61   	-178.03		
175.48   	115.66   	 64.35   	-610.37		 67.89   	-193.29		
171.20   	137.33   	 61.91   	-732.45		 67.12   	-198.37		
