  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-16.48   	2417.30   	 14.26   	  66.12		 27.79   	 -76.30		
-17.09   	2155.76   	 14.53   	  50.86		 27.49   	 -50.86		
-19.53   	2466.43   	 14.73   	  40.69		 27.28   	 -35.61		
-21.36   	2847.29   	 14.89   	  30.52		 27.14   	 -15.26		
-20.45   	2902.22   	 15.02   	  25.43		 27.08   	  -5.09		
-17.40   	2627.56   	 15.12   	  20.35		 27.06   	   0.00		
-13.73   	2272.95   	 15.20   	  20.35		 27.06   	   5.09		
-10.07   	1993.41   	 15.28   	  25.43		 27.08   	   0.00		
 -6.10   	1763.00   	 15.38   	  25.43		 27.08   	 -10.17		
 -1.53   	1557.31   	 15.48   	  35.61		 27.04   	 -20.35		
  1.22   	1373.60   	 15.63   	  35.61		 26.96   	 -30.52		
 -1.53   	1205.75   	 15.77   	  40.69		 26.84   	 -40.69		
-11.29   	1005.25   	 15.93   	  45.78		 26.67   	 -50.86		
-28.38   	672.61   	 16.11   	  50.86		 26.47   	 -50.86		
-49.44   	240.48   	 16.32   	  55.95		 26.27   	 -55.95		
-70.19   	-46.69   	 16.54   	  50.86		 26.04   	 -55.95		
-86.67   	 35.40   	 16.74   	  50.86		 25.82   	 -50.86		
-96.44   	417.79   	 16.95   	  50.86		 25.62   	 -45.78		
-99.49   	897.83   	 17.15   	  40.69		 25.43   	 -35.61		
-98.88   	1300.66   	 17.31   	  40.69		 25.29   	 -35.61		
-97.35   	1478.88   	 17.48   	  35.61		 25.15   	 -20.35		
-96.74   	1457.21   	 17.62   	  25.43		 25.07   	 -20.35		
-97.05   	1313.48   	 17.72   	  25.43		 24.98   	 -10.17		
-97.05   	1087.65   	 17.82   	  25.43		 24.94   	  -5.09		
-96.44   	923.46   	 17.92   	  25.43		 24.92   	  -5.09		
-95.52   	945.43   	 18.03   	  30.52		 24.90   	   0.00		
-94.30   	1131.59   	 18.15   	  30.52		 24.90   	  -5.09		
-93.38   	1386.41   	 18.27   	  40.69		 24.88   	  -5.09		
-92.47   	1566.47   	 18.43   	  50.86		 24.86   	 -15.26		
-91.55   	1612.24   	 18.64   	  61.04		 24.80   	 -20.35		
-91.25   	1566.16   	 18.88   	  71.21		 24.72   	 -25.43		
-93.08   	1450.20   	 19.17   	  71.21		 24.62   	 -35.61		
-99.49   	1269.53   	 19.45   	  81.38		 24.48   	 -40.69		
-112.00   	998.54   	 19.78   	  76.30		 24.31   	 -45.78		
-130.62   	624.39   	 20.08   	  76.30		 24.13   	 -35.61		
-153.20   	221.25   	 20.39   	  66.12		 23.99   	 -35.61		
-175.17   	-114.44   	 20.65   	  66.12		 23.85   	 -20.35		
-190.12   	-371.70   	 20.92   	  55.95		 23.76   	 -15.26		
-189.51   	-552.37   	 21.14   	  55.95		 23.70   	  -5.09		
-159.61   	-515.14   	 21.36   	  50.86		 23.68   	   0.00		
-83.31   	-87.28   	 21.57   	  45.78		 23.68   	   5.09		
 50.66   	714.11   	 21.75   	  50.86		 23.70   	  10.17		
242.00   	1614.99   	 21.95   	  45.78		 23.74   	  10.17		
466.00   	2191.47   	 22.14   	  50.86		 23.78   	   5.09		
668.95   	2191.77   	 22.34   	  50.86		 23.80   	   5.09		
783.08   	1741.33   	 22.54   	  50.86		 23.82   	   0.00		
762.63   	1242.68   	 22.75   	  61.04		 23.82   	  -5.09		
619.81   	1134.64   	 22.99   	  71.21		 23.80   	 -15.26		
