  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-11.90   	-85.45   	 13.18   	  96.64		 98.76   	-111.90		
 -2.75   	-55.54   	 13.57   	 111.90		 98.31   	-106.82		
  6.41   	-28.99   	 14.02   	 132.25		 97.88   	-116.99		
 14.34   	-10.68   	 14.55   	 142.42		 97.42   	-116.99		
 20.45   	 -1.83   	 15.12   	 147.51		 96.95   	-127.16		
 24.41   	 -0.61   	 15.71   	 147.51		 96.44   	-132.25		
 25.94   	 -2.75   	 16.30   	 137.33		 95.91   	-142.42		
 24.72   	 -7.32   	 16.85   	 116.99		 95.34   	-147.51		
 20.75   	-17.09   	 17.31   	 101.73		 94.75   	-152.59		
 12.21   	-38.45   	 17.72   	  71.21		 94.14   	-157.68		
 -0.61   	-73.24   	 18.01   	  45.78		 93.51   	-157.68		
-16.17   	-116.58   	 18.19   	  15.26		 92.88   	-152.59		
-31.13   	-157.47   	 18.25   	  -5.09		 92.27   	-147.51		
-42.42   	-184.33   	 18.23   	 -20.35		 91.68   	-137.33		
-47.91   	-194.09   	 18.15   	 -25.43		 91.13   	-132.25		
-49.13   	-194.09   	 18.05   	 -30.52		 90.60   	-111.90		
-48.52   	-195.01   	 17.92   	 -25.43		 90.15   	-106.82		
-48.22   	-205.38   	 17.82   	 -20.35		 89.72   	 -86.47		
-48.83   	-224.61   	 17.74   	 -20.35		 89.38   	 -81.38		
-49.44   	-247.19   	 17.66   	 -20.35		 89.05   	 -66.12		
-49.74   	-264.59   	 17.58   	 -30.52		 88.79   	 -55.95		
-49.13   	-273.74   	 17.46   	 -35.61		 88.57   	 -45.78		
-47.30   	-275.57   	 17.31   	 -50.86		 88.38   	 -40.69		
-44.86   	-273.13   	 17.11   	 -66.12		 88.22   	 -30.52		
-41.81   	-268.55   	 16.85   	 -71.21		 88.10   	 -30.52		
-39.06   	-262.76   	 16.56   	 -71.21		 87.98   	 -20.35		
-37.54   	-256.65   	 16.28   	 -61.04		 87.89   	 -20.35		
-36.32   	-250.55   	 16.03   	 -45.78		 87.81   	 -20.35		
-35.10   	-245.36   	 15.85   	 -20.35		 87.73   	 -25.43		
-32.65   	-243.23   	 15.77   	  10.17		 87.63   	 -30.52		
-29.60   	-244.75   	 15.81   	  40.69		 87.51   	 -35.61		
