  I     	  II     	  AO     	  AO'		  AO     	  AO'		
 25.02   	  5.49   	109.89   	 -50.86		114.20   	-264.50		
 24.41   	  7.93   	109.68   	 -40.69		113.14   	-233.98		
 23.50   	  7.93   	109.52   	 -45.78		112.21   	-203.46		
 24.41   	  5.80   	109.34   	 -55.95		111.39   	-178.03		
 24.11   	  7.63   	109.11   	 -66.12		110.68   	-147.51		
 25.02   	  6.41   	108.85   	 -86.47		110.09   	-122.07		
 25.63   	  4.27   	108.50   	 -96.64		109.60   	-106.82		
 25.02   	  3.97   	108.12   	-106.82		109.18   	 -81.38		
 23.80   	  3.36   	107.69   	-106.82		108.85   	 -71.21		
 23.19   	  4.27   	107.26   	-106.82		108.57   	 -61.04		
 23.19   	  3.36   	106.84   	 -96.64		108.32   	 -55.95		
 25.63   	  4.88   	106.45   	 -86.47		108.10   	 -50.86		
 26.25   	  3.36   	106.10   	 -76.30		107.89   	 -50.86		
 27.77   	  0.00   	105.80   	 -66.12		107.69   	 -55.95		
 26.55   	 -3.66   	105.53   	 -66.12		107.47   	 -61.04		
 25.63   	 -9.16   	105.27   	 -71.21		107.22   	 -61.04		
 25.33   	 -8.24   	104.98   	 -76.30		106.98   	 -71.21		
 21.97   	 -8.54   	104.68   	 -86.47		106.69   	 -81.38		
 21.97   	 -6.71   	104.33   	 -96.64		106.37   	 -81.38		
 22.28   	 -6.71   	103.95   	-106.82		106.04   	 -91.56		
 21.36   	 -7.63   	103.52   	-111.90		105.68   	 -96.64		
 23.50   	-11.60   	103.07   	-122.07		105.29   	 -96.64		
 21.97   	-10.99   	102.58   	-116.99		104.90   	-101.73		
 21.97   	-10.99   	102.12   	-122.07		104.50   	-106.82		
 19.23   	-15.56   	101.63   	-116.99		104.07   	-106.82		
 15.26   	-18.92   	101.16   	-111.90		103.64   	-106.82		
 15.56   	-23.50   	100.71   	-106.82		103.21   	-111.90		
 14.04   	-24.11   	100.28   	-101.73		102.77   	-111.90		
 13.43   	-22.28   	 99.88   	-101.73		102.32   	-106.82		
 18.01   	-15.56   	 99.47   	-106.82		101.89   	-111.90		
 18.62   	-14.65   	 99.04   	-101.73		101.44   	-111.90		
 19.23   	-16.78   	 98.64   	-111.90		101.00   	-116.99		
 18.01   	-18.62   	 98.19   	-116.99		100.53   	-111.90		
 18.01   	-21.06   	 97.72   	-122.07		100.08   	-116.99		
 18.92   	-17.40   	 97.23   	-122.07		 99.61   	-111.90		
 21.67   	 -8.24   	 96.74   	-122.07		 99.17   	-111.90		
 27.16   	  7.32   	 96.26   	-122.07		 98.72   	-116.99		
 34.18   	 30.52   	 95.77   	-116.99		 98.25   	-111.90		
