  I     	  II     	  AOp     	  AOp'		  AO     	  AO'		
 -3.97   	-77.21   	 54.63   	 -25.43		 56.76   	 -25.43		
 -6.10   	-75.99   	 54.53   	 -15.26		 56.66   	 -20.35		
 -7.32   	-74.16   	 54.47   	 -20.35		 56.58   	 -25.43		
 -7.32   	-72.33   	 54.38   	 -20.35		 56.48   	 -20.35		
 -6.10   	-71.11   	 54.30   	 -20.35		 56.40   	 -20.35		
 -5.19   	-70.80   	 54.22   	 -15.26		 56.32   	 -20.35		
 -4.58   	-70.50   	 54.16   	 -20.35		 56.24   	 -20.35		
 -4.27   	-69.58   	 54.08   	 -20.35		 56.15   	 -20.35		
 -3.66   	-67.44   	 54.00   	 -20.35		 56.07   	 -20.35		
 -3.05   	-65.00   	 53.92   	 -20.35		 55.99   	 -20.35		
 -2.75   	-62.87   	 53.83   	 -20.35		 55.91   	 -25.43		
 -3.66   	-62.26   	 53.75   	 -25.43		 55.81   	 -20.35		
 -5.49   	-63.78   	 53.65   	 -20.35		 55.73   	 -20.35		
 -7.63   	-66.53   	 53.57   	 -25.43		 55.65   	 -20.35		
 -9.16   	-68.97   	 53.47   	 -25.43		 55.56   	 -25.43		
 -9.16   	-70.19   	 53.37   	 -25.43		 55.46   	 -20.35		
 -7.63   	-69.27   	 53.27   	 -25.43		 55.38   	 -30.52		
 -5.80   	-67.44   	 53.16   	 -25.43		 55.26   	 -25.43		
 -4.58   	-65.31   	 53.06   	 -25.43		 55.16   	 -25.43		
 -4.27   	-63.17   	 52.96   	 -25.43		 55.06   	 -30.52		
 -4.88   	-61.34   	 52.86   	 -25.43		 54.93   	 -35.61		
 -5.49   	-59.81   	 52.76   	 -25.43		 54.79   	 -30.52		
 -5.49   	-58.59   	 52.65   	 -25.43		 54.67   	 -30.52		
 -4.88   	-57.68   	 52.55   	 -25.43		 54.55   	 -35.61		
 -4.27   	-57.07   	 52.45   	 -25.43		 54.40   	 -35.61		
 -3.66   	-57.07   	 52.35   	 -25.43		 54.26   	 -30.52		
 -3.97   	-57.07   	 52.25   	 -20.35		 54.14   	 -35.61		
