  I     	  II     	  AOp     	  AOp'		
-76.90   	-128.78   	 90.60   	-223.80		
-79.04   	-133.06   	 89.70   	-172.94		
-80.57   	-135.19   	 89.01   	-127.16		
-82.40   	-135.19   	 88.50   	 -96.64		
-83.92   	-133.36   	 88.12   	 -61.04		
-84.53   	-131.23   	 87.87   	 -35.61		
-84.23   	-130.31   	 87.73   	   0.00		
-83.92   	-131.23   	 87.73   	  40.69		
-85.45   	-133.36   	 87.89   	  86.47		
-88.50   	-134.89   	 88.24   	 132.25		
-91.55   	-133.97   	 88.77   	 172.94		
-93.08   	-131.84   	 89.46   	 213.63		
-92.16   	-129.70   	 90.32   	 239.06		
-90.03   	-129.39   	 91.27   	 264.50		
-89.42   	-130.31   	 92.33   	 279.75		
-91.25   	-130.92   	 93.45   	 279.75		
-94.60   	-129.39   	 94.57   	 279.75		
-97.96   	-126.04   	 95.69   	 269.58		
-100.10   	-122.68   	 96.76   	 254.32		
-100.71   	-122.99   	 97.78   	 233.98		
-100.10   	-127.87   	 98.72   	 213.63		
-98.27   	-135.50   	 99.57   	 183.11		
-96.74   	-142.21   	100.30   	 152.59		
-94.91   	-144.04   	100.92   	 111.90		
-93.99   	-140.69   	101.36   	  66.12		
-93.38   	-135.19   	101.63   	  15.26		
-92.77   	-130.92   	101.69   	 -35.61		
-92.47   	-128.78   	101.55   	 -91.56		
-93.99   	-127.56   	101.18   	-142.42		
-97.35   	-125.12   	100.61   	-193.29		
-101.62   	-122.38   	 99.84   	-228.89		
-104.37   	-121.15   	 98.92   	-264.50		
-104.37   	-122.68   	 97.86   	-279.75		
-101.32   	-125.73   	 96.74   	-284.84		
-96.13   	-127.56   	 95.60   	-289.93		
-90.94   	-125.43   	 94.45   	-284.84		
-87.28   	-120.24   	 93.31   	-274.67		
-86.06   	-115.36   	 92.21   	-259.41		
-87.28   	-114.14   	 91.17   	-244.15		
-90.64   	-117.80   	 90.19   	-233.98		
-93.99   	-124.21   	 89.26   	-213.63		
-95.83   	-130.00   	 88.40   	-198.37		
-94.30   	-132.14   	 87.61   	-183.11		
-90.94   	-130.31   	 86.88   	-162.77		
-87.89   	-127.26   	 86.23   	-137.33		
-86.98   	-125.12   	 85.68   	-111.90		
-88.81   	-124.51   	 85.23   	 -96.64		
-91.25   	-124.21   	 84.84   	 -86.47		
-92.47   	-121.77   	 84.50   	 -76.30		
-91.55   	-116.88   	 84.19   	 -86.47		
-89.11   	-111.69   	 83.85   	 -96.64		
-85.14   	-108.34   	 83.46   	-111.90		
-79.96   	-105.90   	 83.01   	-116.99		
-73.55   	-100.40   	 82.54   	-116.99		
-65.61   	-87.89   	 82.07   	-106.82		
-57.37   	-67.14   	 81.65   	 -81.38		
-49.44   	-43.03   	 81.32   	 -55.95		
-42.11   	-22.89   	 81.10   	 -20.35		
-35.10   	-13.73   	 81.02   	  10.17		
-28.99   	-17.40   	 81.06   	  35.61		
-24.41   	-28.38   	 81.20   	  35.61		
-20.14   	-36.32   	 81.34   	  35.61		
-13.12   	-32.96   	 81.48   	  10.17		
 -0.92   	-17.70   	 81.53   	 -25.43		
 15.87   	  2.14   	 81.42   	 -55.95		
 31.74   	 14.04   	 81.20   	 -96.64		
 40.59   	  9.77   	 80.81   	-116.99		
 39.67   	-11.29   	 80.35   	-132.25		
 30.21   	-40.89   	 79.82   	-132.25		
 17.40   	-70.50   	 79.29   	-116.99		
  5.19   	-94.30   	 78.82   	 -91.56		
 -3.97   	-109.56   	 78.45   	 -61.04		
-11.60   	-116.88   	 78.21   	 -25.43		
-19.23   	-117.19   	 78.11   	   5.09		
-28.99   	-113.53   	 78.13   	  30.52		
-42.42   	-111.39   	 78.25   	  61.04		
-58.59   	-115.05   	 78.49   	  66.12		
-76.29   	-126.04   	 78.76   	  66.12		
-92.16   	-141.30   	 79.02   	  50.86		
-103.76   	-155.03   	 79.23   	  25.43		
-110.17   	-161.74   	 79.33   	 -15.26		
-111.69   	-160.22   	 79.27   	 -61.04		
-110.78   	-154.11   	 79.02   	 -91.56		
-110.17   	-149.84   	 78.66   	 -96.64		
-112.30   	-151.06   	 78.27   	 -61.04		
-117.49   	-156.86   	 78.03   	   0.00		
-122.99   	-162.05   	 78.03   	  91.56		
-125.12   	-161.74   	 78.39   	 183.11		
-123.90   	-155.94   	 79.12   	 249.24		
-123.29   	-150.15   	 80.12   	 279.75		
-126.34   	-148.01   	 81.24   	 264.50		
-127.26   	-147.71   	 82.30   	 193.29		
-105.29   	-141.91   	 83.07   	  96.64		
-33.57   	-118.41   	 83.46   	  -5.09		
106.51   	-63.17   	 83.44   	-106.82		
312.50   	 36.01   	 83.01   	-178.03		
556.95   	184.63   	 82.30   	-223.80		
794.37   	372.92   	 81.40   	-249.24		
971.07   	562.74   	 80.41   	-244.15		
1033.33   	694.27   	 79.43   	-228.89		
944.52   	714.11(R)	 78.51   	-203.46		
708.62   	609.74   	 77.70   	-157.68		
381.47   	420.23   	 77.07   	-101.73		
 58.29   	214.84   	 76.66   	 -50.86		
-170.90   	 52.19   	 76.46   	  15.26		
-265.81   	-49.44   	 76.52   	  71.21		
-249.94   	-104.06   	 76.81   	 106.82		
-184.02   	-132.75   	 77.23   	 127.16		
-122.68   	-143.43   	 77.74   	 132.25		
-90.33   	-135.80   	 78.27   	 101.73		
-83.01   	-112.30   	 78.68   	  66.12		
-86.98   	-85.75   	 78.94   	   5.09		
-94.60   	-71.72   	 78.96   	 -50.86		
-103.45   	-75.99   	 78.76   	-111.90		
-112.00   	-92.47   	 78.31   	-167.85		
-117.49   	-108.95   	 77.64   	-213.63		
-118.10   	-117.49   	 76.79   	-249.24		
-115.05   	-118.10   	 75.79   	-274.67		
-111.39   	-115.66   	 74.69   	-274.67		
-108.95   	-113.22   	 73.59   	-269.58		
-108.34   	-110.78   	 72.51   	-239.06		
-107.73   	-106.51   	 71.56   	-198.37		
-105.90   	-99.49   	 70.76   	-132.25		
-103.15   	-90.94   	 70.23   	 -66.12		
-99.79   	-83.62   	 69.97   	  25.43		
-96.44   	-78.74   	 70.07   	 122.07		
-93.38   	-75.99   	 70.56   	 213.63		
-89.72   	-73.85   	 71.41   	 310.27		
-85.75   	-72.33   	 72.65   	 391.66		
-81.18   	-71.41   	 74.22   	 457.78		
-76.90   	-71.11   	 76.05   	 493.39		
-73.24   	-69.58   	 78.03   	 513.73		
-69.58   	-65.92   	 80.08   	 508.65		
-65.61   	-58.90   	 82.12   	 498.47		
-61.04   	-48.83   	 84.11   	 483.21		
-55.24   	-37.54   	 86.04   	 473.04		
-48.52   	-26.86   	 87.93   	 457.78		
-41.50   	-18.31   	 89.77   	 442.52		
-35.10   	-12.51   	 91.54   	 437.43		
-28.69   	 -7.32   	 93.29   	 427.26		
-21.67   	  0.00   	 94.99   	 422.18		
-13.43   	 10.68   	 96.68   	 437.43		
 -3.66   	 23.80   	 98.43   	 462.87		
  6.10   	 35.10   	100.28   	 508.65		
 15.26   	 41.20   	102.32   	 574.77		
 23.19   	 42.72   	104.62   	 645.98		
 30.52   	 44.86   	107.20   	 727.36		
 38.76   	 53.10   	110.11   	 808.75		
 48.52   	 70.80   	113.35   	 869.78		
 60.12   	 95.21   	116.83   	 910.47		
 72.94   	120.24   	120.47   	 935.91		
 85.75   	140.99   	124.21   	 925.73		
 97.35   	155.64   	127.91   	 879.96		
105.59   	166.93   	131.43   	 808.75		
109.86   	178.53   	134.67   	 701.93		
110.78   	191.04   	137.48   	 584.94		
109.86   	202.64   	139.82   	 442.52		
109.56   	212.40   	141.59   	 295.01		
111.39   	220.64   	142.77   	 157.68		
115.05   	228.27   	143.40   	  20.35		
119.02   	234.07   	143.48   	-101.73		
121.15   	234.68   	143.07   	-203.46		
119.02   	227.05   	142.26   	-284.84		
