  I     	  II     	  AO     	  AO'		
  9.46   	298.77   	 95.73   	-396.74		
 11.29   	315.86   	 94.14   	-381.48		
 14.95   	334.47   	 92.61   	-371.31		
 18.92   	348.51   	 91.13   	-350.97		
 22.58   	355.83   	 89.72   	-340.79		
 26.25   	358.89   	 88.36   	-320.45		
 31.43   	362.24   	 87.08   	-310.27		
 38.15   	368.04   	 85.84   	-300.10		
 45.17   	373.84   	 84.64   	-289.93		
 49.74   	375.06   	 83.48   	-279.75		
 50.66   	367.43   	 82.36   	-269.58		
 47.30   	351.56   	 81.28   	-254.32		
 41.20   	328.98   	 80.26   	-249.24		
 34.18   	301.82   	 79.27   	-228.89		
 27.47   	270.69   	 78.35   	-223.80		
 20.75   	236.51   	 77.46   	-203.46		
 14.65   	202.33   	 76.64   	-188.20		
  8.54   	171.81   	 75.89   	-183.11		
  3.36   	149.84   	 75.16   	-162.77		
 -0.61   	137.33   	 74.51   	-157.68		
 -1.83   	132.14   	 73.88   	-142.42		
 -0.31   	129.70   	 73.31   	-137.33		
  2.44   	126.34   	 72.76   	-122.07		
  3.36   	120.54   	 72.27   	-116.99		
  0.61   	113.53   	 71.80   	-106.82		
 -5.49   	106.51   	 71.37   	 -96.64		
-12.21   	101.32   	 70.99   	 -86.47		
-16.17   	 98.57   	 70.64   	 -76.30		
-16.78   	 97.96   	 70.34   	 -66.12		
-14.95   	 98.57   	 70.07   	 -55.95		
-12.82   	 98.88   	 69.85   	 -45.78		
-11.60   	 98.27   	 69.66   	 -35.61		
-10.38   	 96.74   	 69.52   	 -25.43		
 -8.24   	 95.52   	 69.42   	 -20.35		
 -4.88   	 95.21   	 69.34   	 -15.26		
 -2.75   	 95.21   	 69.28   	 -10.17		
 -3.05   	 95.83   	 69.24   	 -10.17		
 -7.02   	 95.21   	 69.20   	  -5.09		
-13.12   	 90.03   	 69.18   	 -10.17		
-18.92   	 76.29   	 69.14   	 -15.26		
-21.06   	 50.35   	 69.07   	 -15.26		
-13.43   	 16.17   	 69.01   	 -25.43		
 11.60   	-12.51   	 68.91   	 -25.43		
 63.48   	-16.48   	 68.81   	 -30.52		
146.79   	 20.45   	 68.69   	 -35.61		
255.43   	107.42   	 68.55   	 -35.61		
370.79   	242.61   	 68.40   	 -45.78		
468.75   	406.80   	 68.22   	 -45.78		
527.34   	560.61   	 68.04   	 -50.86		
531.01   	652.77(R)	 67.83   	 -50.86		
