  I     	  II     	  LV     	  LV'		  FA     	  FA'		
  0.61   	-35.10   	162.36   	 106.82		165.45   	 676.50		
  7.02   	-25.94   	162.79   	  91.56		168.16   	 498.47		
 11.90   	-15.26   	163.15   	  91.56		170.15   	 330.62		
 14.34   	 -4.88   	163.52   	  91.56		171.47   	 254.32		
 15.26   	  3.66   	163.89   	  96.64		172.49   	 239.06		
 16.48   	 10.99   	164.27   	 106.82		173.45   	 244.15		
 18.01   	 18.31   	164.70   	 111.90		174.42   	 254.32		
 18.92   	 26.25   	165.15   	 127.16		175.44   	 213.63		
 19.53   	 36.01   	165.66   	 132.25		176.30   	 152.59		
 19.84   	 47.00   	166.18   	 137.33		176.91   	 122.07		
 21.36   	 57.07   	166.73   	 147.51		177.40   	 122.07		
 23.19   	 65.31   	167.32   	 142.42		177.88   	 137.33		
 24.41   	 70.50   	167.89   	 137.33		178.43   	 122.07		
 24.41   	 72.02   	168.44   	 127.16		178.92   	  66.12		
 23.80   	 70.19   	168.95   	 106.82		179.19   	   5.09		
 22.89   	 65.92   	169.38   	  86.47		179.21   	 -10.17		
 21.67   	 59.81   	169.72   	  61.04		179.17   	 -15.26		
 19.53   	 51.57   	169.97   	  40.69		179.10   	 -25.43		
 14.95   	 40.89   	170.13   	  15.26		179.00   	 -50.86		
  8.85   	 27.16   	170.19   	 -10.17		178.80   	 -86.47		
  2.75   	 11.90   	170.15   	 -30.52		178.45   	-116.99		
 -1.83   	 -3.05   	170.03   	 -50.86		177.99   	-116.99		
 -4.88   	-15.56   	169.83   	 -71.21		177.52   	 -96.64		
 -7.32   	-24.41   	169.54   	 -91.56		177.13   	-127.16		
-10.38   	-30.82   	169.18   	-106.82		176.62   	-178.03		
-15.26   	-36.32   	168.75   	-127.16		175.91   	-213.63		
-21.67   	-43.03   	168.24   	-142.42		175.06   	-233.98		
-29.30   	-50.96   	167.67   	-162.77		174.12   	-233.98		
-35.40   	-57.98   	167.02   	-183.11		173.18   	-244.15		
-39.06   	-62.56   	166.29   	-203.46		172.21   	-264.50		
-39.37   	-64.09   	165.47   	-228.89		171.15   	-305.19		
-38.76   	-63.17   	164.56   	-259.41		169.93   	-320.45		
-37.84   	-61.65   	163.52   	-284.84		168.65   	-330.62		
