  I     	  II     	  LVp     	  LVp'		
-53.41   	163.88   	  6.43   	 -10.17		
-54.02   	164.18   	  6.39   	  15.26		
-52.49   	165.71   	  6.45   	  30.52		
-48.22   	171.20   	  6.57   	  35.61		
-41.50   	181.88   	  6.71   	  25.43		
-33.57   	198.67   	  6.82   	  20.35		
-25.63   	219.12   	  6.90   	  15.26		
-18.01   	240.17   	  6.96   	   0.00		
-11.29   	257.57   	  6.96   	   0.00		
 -4.88   	268.55   	  6.96   	  10.17		
  0.61   	272.52   	  7.00   	  10.17		
  6.10   	271.91   	  7.04   	  10.17		
 11.60   	270.39   	  7.08   	   0.00		
 17.40   	272.22   	  7.08   	 -10.17		
 24.11   	280.15   	  7.04   	 -10.17		
 32.65   	292.97   	  7.00   	 -15.26		
 42.42   	303.34   	  6.94   	 -10.17		
 51.88   	303.34   	  6.90   	   0.00		
 57.98   	286.25   	  6.90   	   5.09		
 58.90   	255.13   	  6.92   	   0.00		
 54.32   	220.03   	  6.92   	  -5.09		
 46.08   	193.18   	  6.90   	 -15.26		
 36.01   	180.66   	  6.84   	 -25.43		
 25.02   	180.97   	  6.73   	 -20.35		
 11.60   	187.38   	  6.65   	 -20.35		
 -5.19   	191.96   	  6.57   	 -15.26		
-24.41   	189.21   	  6.51   	  20.35		
-42.11   	178.83   	  6.59   	  40.69		
-54.93   	164.79   	  6.75   	  66.12		
-61.34   	152.59   	  7.02   	  91.56		
-62.26   	145.26   	  7.39   	 122.07		
-61.34   	143.74   	  7.87   	 132.25		
-60.12   	145.26   	  8.40   	 147.51		
-59.20   	146.79   	  8.99   	 147.51		
-58.29   	146.79   	  9.58   	 127.16		
-57.07   	146.48   	 10.09   	  76.30		
-55.85   	147.40   	 10.40   	  20.35		
-54.63   	149.54   	 10.48   	 -20.35		
-53.71   	152.59   	 10.40   	 -55.95		
-52.49   	154.72   	 10.17   	 -61.04		
-51.88   	155.03   	  9.93   	 -45.78		
-53.71   	153.81   	  9.75   	 -20.35		
-59.20   	153.50   	  9.66   	  15.26		
-67.14   	158.08   	  9.73(E)	  45.78		
-69.58   	174.56   	  9.91   	  45.78		
-49.44   	212.40   	 10.09   	  50.86		
 15.56   	281.37   	 10.29   	  76.30		
141.91   	387.88   	 10.60   	  86.47		
