  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
 27.47   	 55.85   	 80.20   	-106.82		 78.39   	 -91.56		
 16.48   	 53.71   	 79.78   	-101.73		 78.03   	 -81.38		
 -3.66   	 46.39   	 79.37   	-106.82		 77.70   	 -81.38		
-30.82   	 39.37   	 78.94   	-101.73		 77.38   	 -86.47		
-39.98   	 60.73   	 78.53   	-101.73		 77.03   	 -81.38		
-36.01   	 60.42   	 78.13   	-106.82		 76.70   	 -86.47		
-35.40   	 67.75   	 77.70   	-101.73		 76.36   	-101.73		
-10.68   	 80.57   	 77.29   	-101.73		 75.95   	 -91.56		
 -4.27   	 57.98   	 76.89   	-106.82		 75.58   	 -86.47		
-26.55   	 51.57   	 76.46   	-101.73		 75.24   	 -91.56		
 -8.85   	 57.37   	 76.05   	-101.73		 74.87   	 -91.56		
 12.82   	 53.41   	 75.65   	-101.73		 74.51   	 -81.38		
 10.38   	 58.59   	 75.24   	-101.73		 74.18   	 -91.56		
 -3.66   	 56.15   	 74.83   	-101.73		 73.81   	 -96.64		
-15.56   	 58.29   	 74.42   	-101.73		 73.43   	 -81.38		
-25.33   	 60.12   	 74.02   	-101.73		 73.10   	 -76.30		
-32.65   	 53.71   	 73.61   	-101.73		 72.80   	 -86.47		
-19.84   	 48.52   	 73.20   	-101.73		 72.45   	 -91.56		
 -2.44   	 45.47   	 72.80   	-101.73		 72.09   	 -91.56		
-15.26   	 39.98   	 72.39   	 -96.64		 71.72   	 -91.56		
-30.52   	 39.37   	 72.00   	-101.73		 71.35   	 -86.47		
-21.36   	 64.70   	 71.60   	 -96.64		 71.01   	 -96.64		
-23.19   	 72.63   	 71.21   	 -96.64		 70.62   	-101.73		
 -7.63   	 54.02   	 70.82   	 -96.64		 70.21   	-101.73		
 -1.83   	 37.54   	 70.44   	 -96.64		 69.81   	 -96.64		
-27.47   	  0.92   	 70.05   	 -96.64		 69.42   	-101.73		
-29.91   	-27.47   	 69.66   	 -91.56		 69.01   	 -91.56		
-26.25   	-32.35   	 69.30   	 -96.64		 68.65   	 -50.86		
-29.60   	-36.32   	 68.91   	 -96.64		 68.44   	 -35.61		
-16.48   	-26.25   	 68.52   	 -91.56		 68.30   	-116.99		
-26.86   	-25.63   	 68.16   	 -96.64		 67.83   	-127.16		
-42.42   	-17.09   	 67.77   	 -91.56		 67.32   	 -71.21		
-21.97   	  3.97   	 67.41   	 -91.56		 67.04   	 -76.30		
  3.05   	  9.77   	 67.04   	 -86.47		 66.73   	 -66.12		
 38.45   	 23.50   	 66.69   	 -91.56		 66.47   	 -35.61		
 67.44   	 42.42   	 66.33   	 -81.38		 66.33   	 -66.12		
 69.27   	 52.80   	 66.00   	 -86.47		 66.06   	 -76.30		
 59.81   	 67.44   	 65.66   	 -81.38		 65.76   	 -66.12		
