  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-51.88   	-39.06   	 14.43   	   0.00		 85.90   	-127.16		
-58.59   	-47.00   	 14.43   	   5.09		 85.39   	-122.07		
-49.44   	-54.32   	 14.45   	   0.00		 84.90   	-116.99		
-31.74   	-51.88   	 14.45   	   0.00		 84.44   	-111.90		
-22.28   	-43.64   	 14.45   	  -5.09		 83.99   	-111.90		
-20.75   	-40.59   	 14.43   	  -5.09		 83.54   	-111.90		
-33.87   	-50.35   	 14.40   	   0.00		 83.09   	-106.82		
-49.13   	-56.15   	 14.40   	   0.00		 82.66   	-111.90		
-60.42   	-68.66   	 14.40   	  10.17		 82.22   	-106.82		
-67.14   	-78.74   	 14.45   	  15.26		 81.79   	-101.73		
-67.75   	-81.48   	 14.51   	  25.43		 81.38   	-106.82		
-64.70   	-79.35   	 14.61   	  50.86		 80.96   	 -96.64		
-73.24   	-76.90   	 14.81   	  66.12		 80.57   	 -91.56		
-85.14   	-78.13   	 15.08   	  81.38		 80.20   	 -81.38		
-81.79   	-75.38   	 15.40   	  86.47		 79.88   	 -81.38		
-78.74   	-77.82   	 15.75   	  86.47		 79.55   	 -81.38		
-69.89   	-73.55   	 16.09   	  71.21		 79.23   	 -86.47		
-57.37   	-72.33   	 16.38   	  50.86		 78.88   	 -96.64		
-63.78   	-72.94   	 16.58   	  30.52		 78.49   	-106.82		
-82.09   	-75.99   	 16.70   	  15.26		 78.07   	-116.99		
-62.87   	-75.99   	 16.76   	  -5.09		 77.60   	-122.07		
-69.58   	-82.40   	 16.74   	 -15.26		 77.11   	-127.16		
-82.70   	-75.68   	 16.68   	 -20.35		 76.60   	-127.16		
-76.60   	-71.11   	 16.60   	 -15.26		 76.09   	-132.25		
-85.45   	-68.05   	 16.54   	 -10.17		 75.56   	-132.25		
-81.48   	-62.26   	 16.50   	  -5.09		 75.04   	-122.07		
-60.73   	-57.37   	 16.48   	  10.17		 74.55   	-127.16		
-56.15   	-58.29   	 16.52   	  15.26		 74.04   	-116.99		
-66.22   	-49.44   	 16.58   	  30.52		 73.57   	-111.90		
-98.57   	 -1.83   	 16.70   	  35.61		 73.12   	-106.82		
-153.50   	 54.93   	 16.85   	  40.69		 72.70   	-101.73		
-165.41   	134.89   	 17.01   	  45.78		 72.29   	 -96.64		
-130.31   	223.69   	 17.19   	  45.78		 71.90   	 -91.56		
-44.25   	302.73   	 17.38   	  55.95		 71.54   	 -81.38		
128.48   	378.11   	 17.60   	  61.04		 71.21   	 -81.38		
343.32   	444.34   	 17.84   	  71.21		 70.88   	 -71.21		
594.79   	424.50   	 18.13   	  81.38		 70.60   	 -71.21		
827.03   	174.56   	 18.45   	  91.56		 70.32   	 -66.12		
1021.12   	-233.76   	 18.82   	 101.73		 70.05   	 -61.04		
1119.38   	-715.03   	 19.23   	 116.99		 69.81   	 -61.04		
1048.89   	-1124.57   	 19.69   	 122.07		 69.56   	 -61.04		
928.34   	-1292.42   	 20.18   	 127.16		 69.32   	 -55.95		
793.15   	-1342.16(R)	 20.69(E)	 137.33		 69.09   	 -55.95		
643.62   	-1318.05   	 21.24   	 147.51		 68.87   	 -55.95		
556.95   	-1226.50   	 21.83   	 162.77		 68.65   	 -61.04		
471.80   	-1081.85   	 22.48   	 188.20		 68.40   	 -55.95		
342.41   	-776.37   	 23.23   	 223.80		 68.18   	 -61.04		
207.21   	-448.30   	 24.13   	 269.58		 67.93   	 -66.12		
 78.74   	-210.88   	 25.21   	 340.79		 67.67   	 -61.04		
-14.04   	-83.62   	 26.57   	 422.18		 67.43   	 -66.12		
-55.54   	-80.57   	 28.26   	 534.08		 67.16   	 -66.12		
-72.02   	-62.87   	 30.40   	 661.24		 66.90   	 -61.04		
-71.41   	-37.54   	 33.04   	 793.49		 66.65   	 -55.95		
-73.24   	-38.15   	 36.22   	 940.99		 66.43   	 -45.78		
-82.70   	-25.94   	 39.98   	1073.24		 66.25   	 -30.52		
-92.77   	-32.96   	 44.27   	1190.23		 66.12   	 -20.35		
-94.30   	-30.52   	 49.03   	1291.96		 66.04   	   5.09		
-88.50   	-11.60   	 54.20   	1358.08		 66.06   	  20.35		
-93.99   	 -1.53   	 59.63   	1408.95		 66.14   	  45.78		
-94.91   	 -7.93   	 65.27   	1429.29		 66.33   	  66.12		
-89.42   	-13.12   	 70.99   	1434.38		 66.59   	  86.47		
-93.99   	 -7.02   	 76.72   	1434.38		 66.94   	 106.82		
-88.20   	  3.36   	 82.46   	1419.12		 67.36   	 132.25		
-92.77   	  8.85   	 88.14   	1403.86		 67.89   	 147.51		
