  I     	  II     	  AOp     	  AOp'		
-105.59   	-86.98   	 95.16   	-111.90		
-113.83   	-99.79   	 94.71   	-111.90		
-120.24   	-108.64   	 94.26   	-116.99		
-118.41   	-108.03   	 93.79   	-111.90		
-108.34   	-101.01   	 93.35   	-116.99		
-95.83   	-93.38   	 92.88   	-116.99		
-87.59   	-90.03   	 92.41   	-116.99		
-86.06   	-90.33   	 91.94   	-116.99		
-89.11   	-92.16   	 91.47   	-116.99		
-94.91   	-95.21   	 91.01   	-122.07		
-100.10   	-98.27   	 90.52   	-122.07		
-101.62   	-99.18   	 90.03   	-127.16		
-98.57   	-95.52   	 89.52   	-122.07		
-89.11   	-83.01   	 89.03   	-127.16		
-74.46   	-60.73   	 88.52   	-122.07		
-59.20   	-33.26   	 88.04   	-127.16		
-47.91   	 -7.02   	 87.53   	-127.16		
-41.20   	 13.43   	 87.02   	-127.16		
-35.71   	 26.55   	 86.51   	-122.07		
-25.63   	 34.18   	 86.02   	-127.16		
 -8.85   	 40.89   	 85.51   	-122.07		
  7.63   	 47.61   	 85.03   	-116.99		
 13.12   	 51.27   	 84.56   	-116.99		
  1.53   	 48.83   	 84.09   	-116.99		
-21.36   	 39.67   	 83.62   	-111.90		
-39.67   	 28.38   	 83.17   	-106.82		
-41.20   	 20.45   	 82.75   	-101.73		
-23.50   	 18.31   	 82.34   	-101.73		
  2.75   	 18.31   	 81.93   	-101.73		
 23.19   	 14.65   	 81.53   	 -91.56		
 28.99   	  3.05   	 81.16   	 -96.64		
 20.14   	-17.40   	 80.77   	 -86.47		
  1.22   	-41.20   	 80.43   	 -91.56		
-20.75   	-62.56   	 80.06   	 -81.38		
-39.67   	-77.21   	 79.74   	 -86.47		
-54.02   	-84.23   	 79.39   	 -86.47		
-65.61   	-88.50   	 79.04   	 -81.38		
-78.43   	-96.44   	 78.72   	 -81.38		
-92.47   	-110.17   	 78.39   	 -86.47		
-104.98   	-127.56   	 78.05   	 -81.38		
-110.78   	-140.69   	 77.72   	 -81.38		
-107.42   	-144.65   	 77.40   	 -86.47		
-97.66   	-139.77   	 77.05   	 -81.38		
-87.28   	-130.62   	 76.72   	 -86.47		
-76.29   	-120.85   	 76.38   	 -81.38		
-60.42   	-108.64   	 76.05   	 -86.47		
-31.13   	-88.20   	 75.71   	 -81.38		
 12.21   	-56.15   	 75.38   	 -81.38		
 57.37   	-13.12   	 75.06   	 -81.38		
 90.33   	 41.20   	 74.73   	 -76.30		
108.34   	117.19   	 74.42   	 -81.38		
128.48   	230.10   	 74.10   	 -76.30		
181.27   	387.57   	 73.79   	 -76.30		
286.56   	574.34   	 73.49   	 -76.30		
437.32   	755.31   	 73.18   	 -71.21		
603.03   	893.55   	 72.90   	 -76.30		
747.68   	970.15   	 72.59   	 -66.12		
845.34   	983.58(R)	 72.33   	 -71.21		
883.18   	939.33   	 72.04   	 -66.12		
857.24   	842.90   	 71.78   	 -66.12		
