  I     	  II     	  AOp     	  AOp'		
431.21   	-896.00   	 89.62   	-330.62		
373.23   	-1136.47   	 88.30   	-361.14		
312.19   	-1330.26   	 86.86   	-366.22		
259.09   	-1458.13   	 85.39   	-356.05		
227.05   	-1524.05   	 83.97   	-325.53		
222.47   	-1538.39   	 82.66   	-284.84		
238.34   	-1506.65   	 81.53   	-233.98		
255.74   	-1432.19   	 80.59   	-198.37		
257.87   	-1324.77   	 79.80   	-167.85		
240.17   	-1202.09   	 79.12   	-127.16		
211.49   	-1081.24   	 78.62   	 -81.38		
182.80   	-965.58   	 78.29   	 -15.26		
159.30   	-841.06   	 78.23   	  66.12		
138.85   	-694.89   	 78.49   	 147.51		
118.10   	-529.48   	 79.08   	 218.72		
 96.13   	-364.38   	 79.96   	 279.75		
 70.50   	-223.08   	 81.08   	 335.71		
 37.23   	-116.27   	 82.42   	 376.40		
 -6.71   	-37.23   	 83.93   	 401.83		
-58.29   	 26.55   	 85.53   	 417.09		
-106.51   	 78.74   	 87.20   	 406.92		
-139.47   	116.27   	 88.83   	 366.22		
-151.06   	136.72   	 90.29   	 305.19		
-147.09   	143.74   	 91.52   	 244.15		
-139.16   	145.57   	 92.49   	 198.37		
-136.11   	148.93   	 93.29   	 167.85		
-138.55   	155.33   	 93.96   	 162.77		
-142.21   	162.05   	 94.61   	 188.20		
-142.21   	166.93   	 95.36   	 208.54		
-137.33   	169.07   	 96.19   	 239.06		
-132.14   	169.68   	 97.15   	 254.32		
-130.62   	169.98   	 98.17   	 259.41		
-133.36   	170.90   	 99.21   	 259.41		
-137.33   	174.56   	100.24   	 264.50		
-139.16   	182.19   	101.30   	 284.84		
-137.33   	192.26   	102.44   	 310.27		
-134.58   	201.72   	103.68   	 350.97		
-133.36   	207.52   	105.09   	 376.40		
-134.28   	209.66   	106.59   	 386.57		
-135.19   	210.27   	108.14   	 381.48		
-133.36   	213.32   	109.66   	 345.88		
-128.48   	220.34   	111.05   	 305.19		
-122.99   	230.41   	112.27   	 269.58		
-120.85   	240.48   	113.35   	 249.24		
-123.29   	248.41   	114.34   	 249.24		
-127.87   	254.21   	115.34   	 259.41		
-131.23   	260.01   	116.38   	 289.93		
-131.84   	267.33   	117.54   	 315.36		
-129.70   	278.02   	118.80   	 350.97		
-127.26   	290.83   	120.20   	 381.48		
-127.26   	301.82   	121.73   	 839.26		
-131.23   	315.25   	125.09   	 452.69		
-127.26   	324.71   	126.90   	 478.13		
-116.88   	339.97   	128.81   	 498.47		
-103.15   	359.50   	130.80   	 523.90		
-92.77   	375.98   	132.90   	 544.25		
-90.64   	384.52   	135.08   	 554.42		
-94.60   	387.57   	137.29   	 539.16		
-97.35   	390.63   	139.45   	 503.56		
-93.69   	398.56   	141.46   	 452.69		
-83.92   	409.24   	143.28   	 391.66		
-72.94   	417.79   	144.84   	 345.88		
-64.70   	422.36   	146.23   	 305.19		
-58.59   	425.42   	147.45   	 279.75		
-51.57   	429.08   	148.57   	 259.41		
-44.25   	432.74   	149.60   	 233.98		
-37.84   	432.74   	150.54   	 198.37		
-32.04   	426.94   	151.33   	 167.85		
-24.41   	416.87   	152.00   	 132.25		
-13.12   	404.97   	152.53   	 101.73		
 -0.92   	393.37   	152.94   	  71.21		
  7.93   	380.55   	153.22   	  45.78		
 10.38   	363.16   	153.41   	  20.35		
  6.71   	339.66   	153.49(S)	   0.00		
  1.53   	309.75   	153.49   	 -30.52		
 -1.22   	277.10   	153.37   	 -55.95		
 -0.92   	244.45   	153.14   	 -76.30		
  0.61   	215.76   	152.84   	-106.82		
  1.22   	191.04   	152.41   	-127.16		
 -0.92   	168.76   	151.90   	-152.59		
 -5.80   	147.09   	151.29   	-167.85		
-11.29   	124.82   	150.62   	-183.11		
-15.56   	102.84   	149.89   	-203.46		
-18.62   	 81.48   	149.07   	-218.72		
-23.19   	 60.73   	148.20   	-233.98		
-29.91   	 40.28   	147.26   	-254.32		
-38.15   	 21.36   	146.25   	-274.67		
-45.17   	  5.49   	145.15   	-295.01		
-48.83   	 -5.80   	143.97   	-315.36		
-50.35   	-13.73   	142.71   	-335.71		
-51.57   	-19.84   	141.36   	-356.05		
-52.49   	-24.11   	139.94   	-376.40		
-51.57   	-25.63   	138.43   	-391.66		
-48.22   	-24.41   	136.87   	-401.83		
-44.56   	-22.89   	135.26   	-406.92		
-42.72   	-23.80   	133.63   	-396.74		
-45.17   	-28.38   	132.04   	-361.14		
-50.05   	-34.79   	130.60   	-310.27		
-54.63   	-39.98   	129.36   	-249.24		
-57.07   	-41.81   	128.36   	-188.20		
-57.37   	-40.89   	127.61   	-132.25		
-56.46   	-38.45   	127.08   	 -96.64		
-54.63   	-36.32   	126.69   	 -76.30		
-52.49   	-36.01   	126.39   	 -81.38		
-50.35   	-37.23   	126.06   	 -91.56		
-49.74   	-37.84   	125.70   	-106.82		
-51.27   	-35.40   	125.27   	-127.16		
-54.32   	-29.30   	124.76   	-127.16		
-56.46   	-20.45   	124.25   	-122.07		
-56.15   	-12.82   	123.76   	-111.90		
-53.71   	 -8.54   	123.32   	 -96.64		
-50.96   	 -7.63   	122.93   	 -86.47		
-51.27   	 -8.54   	122.58   	 -81.38		
-54.63   	 -9.46   	122.26   	 -81.38		
-57.98   	 -7.93   	121.93   	 -86.47		
-59.20   	 -3.36   	121.59   	 -96.64		
-56.76   	  4.27   	121.20   	 -96.64		
-53.41   	 13.73   	120.81   	-101.73		
-50.35   	 23.80   	120.41   	 -96.64		
-48.83   	 32.04   	120.02   	 -86.47		
-48.83   	 37.23   	119.67   	 -81.38		
-49.74   	 39.06   	119.35   	 -71.21		
-51.88   	 39.06   	119.06   	 -66.12		
-54.63   	 38.15   	118.80   	 -66.12		
-55.54   	 39.37   	118.53   	 -66.12		
-52.19   	 45.17   	118.27   	 -76.30		
-46.39   	 54.93   	117.96   	 -76.30		
-40.59   	 67.14   	117.66   	 -86.47		
-37.23   	 79.35   	117.31   	 -91.56		
-36.32   	 89.42   	116.95   	 -91.56		
-35.40   	 98.27   	116.58   	 -96.64		
-31.43   	107.73   	116.19   	 -96.64		
-23.80   	120.24   	115.81   	 -96.64		
-15.87   	135.50   	115.42   	-101.73		
-10.07   	153.81   	115.01   	-101.73		
 -8.54   	173.65   	114.61   	-101.73		
-11.29   	193.79   	114.20   	-106.82		
-15.26   	212.40   	113.77   	-101.73		
-16.78   	227.36   	113.37   	-106.82		
-12.21   	237.73   	112.94   	-106.82		
 -0.92   	242.92   	112.51   	-111.90		
 14.34   	242.00   	112.06   	-111.90		
 26.86   	234.99   	111.62   	-111.90		
 31.43   	221.56   	111.17   	-116.99		
 25.94   	204.16   	110.70   	-111.90		
 14.34   	185.55   	110.25   	-111.90		
  2.75   	165.71   	109.81   	-106.82		
 -5.80   	139.47   	109.38   	-101.73		
-13.73   	103.15   	108.97   	-101.73		
-24.41   	 57.07   	108.57   	-101.73		
-37.54   	 11.29   	108.16   	-101.73		
-49.74   	-23.80   	107.75   	-101.73		
-56.15   	-42.72   	107.34   	-101.73		
-56.15   	-50.35   	106.94   	-101.73		
-51.88   	-54.93   	106.53   	-101.73		
-47.30   	-61.95   	106.12   	-101.73		
-44.56   	-71.41   	105.72   	 -96.64		
-43.33   	-80.26   	105.33   	-101.73		
-43.33   	-85.45   	104.92   	-101.73		
-43.95   	-87.59   	104.52   	-101.73		
-45.17   	-88.81   	104.11   	 -96.64		
-46.08   	-91.55   	103.72   	 -96.64		
-44.86   	-95.52   	103.34   	 -91.56		
-42.11   	-99.18   	102.97   	 -86.47		
-39.37   	-100.71   	102.62   	 -81.38		
-36.93   	-99.18   	102.30   	 -76.30		
-36.01   	-95.21   	101.99   	 -71.21		
-36.93   	-92.47   	101.71   	 -71.21		
-39.06   	-93.99   	101.42   	 -71.21		
-42.72   	-100.10   	101.14   	 -61.04		
-46.39   	-107.42   	100.89   	 -66.12		
-48.83   	-111.39   	100.63   	 -61.04		
-47.61   	-108.64   	100.39   	 -61.04		
-41.20   	-96.74   	100.14   	 -61.04		
-30.82   	-79.04   	 99.90   	 -71.21		
-19.23   	-59.81   	 99.61   	 -81.38		
 -8.85   	-43.33   	 99.29   	 -86.47		
 -0.61   	-31.13   	 98.94   	 -96.64		
  7.93   	-22.58   	 98.56   	-101.73		
 21.67   	-12.21   	 98.15   	-101.73		
 45.47   	  5.49   	 97.74   	-101.73		
 79.65   	 34.79   	 97.33   	 -96.64		
122.38   	 74.77   	 96.95   	 -96.64		
171.20   	116.27   	 96.56   	 -91.56		
224.00   	140.38   	 96.19   	 -96.64		
278.63   	127.87   	 95.81   	 -96.64		
332.64   	 71.72   	 95.42   	 -96.64		
382.69   	-14.95   	 95.04   	-101.73		
425.72   	-104.37   	 94.63   	-101.73		
459.59   	-175.78   	 94.22   	 -96.64		
483.70   	-234.99   	 93.83   	 -96.64		
495.91(R)	-312.81   	 93.45   	 -86.47		
494.08   	-445.25   	 93.10   	 -86.47		
475.46   	-647.89   	 92.76   	 -71.21		
438.23   	-898.13   	 92.47   	 -71.21		
383.91   	-1148.38   	 92.19   	 -61.04		
321.04   	-1353.45   	 91.94   	 -55.95		
264.89   	-1487.73   	 91.72   	 -50.86		
231.32   	-1549.68   	 91.52   	 -40.69		
226.44   	-1553.04   	 91.35   	 -35.61		
239.56   	-1510.62   	 91.21   	 -25.43		
253.60   	-1430.36   	 91.11   	 -25.43		
253.91   	-1321.72   	 91.01   	 -25.43		
238.65   	-1199.04   	 90.91   	 -15.26		
216.67   	-1076.36   	 90.84   	 -20.35		
195.62   	-956.42   	 90.76   	 -20.35		
174.87   	-830.38   	 90.68   	 -20.35		
151.06   	-687.56   	 90.60   	 -20.35		
122.68   	-529.79   	 90.52   	 -15.26		
 93.08   	-374.15   	 90.46   	 -20.35		
 64.70   	-241.09   	 90.38   	 -15.26		
 33.57   	-138.85   	 90.32   	 -20.35		
 -5.19   	-59.51   	 90.23   	 -15.26		
-51.57   	  7.63   	 90.17   	 -25.43		
-97.66   	 65.00   	 90.07   	 -20.35		
-130.31   	106.81   	 89.99   	 -30.52		
-142.21   	130.00   	 89.87   	 -30.52		
-137.63   	139.16   	 89.75   	 -35.61		
-127.56   	144.04   	 89.60   	 -30.52		
-122.68   	151.06   	 89.48   	 -25.43		
-126.65   	158.08   	 89.38   	 -15.26		
-135.80   	161.44   	 89.32(D)	   5.09		
-143.43   	158.69   	 89.34   	  35.61		
-144.96   	153.81   	 89.48   	  81.38		
-140.69   	152.28   	 89.81   	 137.33		
-133.97   	156.56   	 90.36   	 203.46		
-127.87   	166.02   	 91.17   	 274.67		
-124.51   	177.00   	 92.27   	 345.88		
-124.51   	185.55   	 93.65   	 412.00		
-126.04   	191.04   	 95.30   	 462.87		
-126.95   	194.70   	 97.15   	 503.56		
-126.34   	199.28   	 99.17   	 523.90		
-124.21   	205.69   	101.26   	 534.08		
-122.68   	212.40   	103.40   	 534.08		
-123.60   	217.59   	105.53   	 518.82		
-126.34   	220.64   	107.61   	 498.47		
-129.09   	223.69   	109.60   	 488.30		
-129.39   	229.49   	111.56   	 473.04		
-126.65   	238.95   	113.45   	 462.87		
-122.68   	250.85   	115.30   	 462.87		
-121.15   	261.23   	117.15   	 467.95		
-122.68   	267.64   	119.02   	 473.04		
-126.65   	271.00   	120.92   	 488.30		
-130.31   	273.74   	122.87   	 488.30		
-130.62   	280.46   	124.82   	 488.30		
-126.65   	294.19   	126.77   	 483.21		
-119.32   	314.94   	128.71   	 473.04		
