  I     	  II     	  LVp     	  LVp'		
-62.26   	-96.13   	 61.08   	-681.58		
-63.48   	-88.50   	 58.35   	-707.02		
-66.53   	-80.57   	 55.52   	-712.10		
-70.19   	-79.65   	 52.68   	-722.28		
-73.24   	-87.28   	 49.79   	-722.28		
-74.77   	-97.35   	 46.90   	-701.93		
-75.38   	-103.45   	 44.09   	-681.58		
-75.99   	-103.45   	 41.36   	-651.07		
-77.51   	-100.40   	 38.76   	-610.37		
-79.65   	-99.18   	 36.32   	-579.86		
-81.79   	-103.15   	 34.00   	-534.08		
-83.92   	-112.92   	 31.86   	-498.47		
-85.45   	-126.34   	 29.87   	-457.78		
-85.75   	-138.85   	 28.04   	-417.09		
-85.45   	-146.48   	 26.37   	-381.48		
-84.84   	-146.48   	 24.84   	-345.88		
-84.53   	-138.24   	 23.46   	-310.27		
-83.92   	-126.65   	 22.22   	-284.84		
-82.70   	-117.19   	 21.08   	-259.41		
-81.18   	-112.92   	 20.04   	-239.06		
-79.35   	-112.92   	 19.08   	-208.54		
-79.35   	-113.53   	 18.25   	-188.20		
-82.09   	-112.00   	 17.50   	-162.77		
-86.36   	-108.03   	 16.85   	-127.16		
-88.50   	-102.54   	 16.34   	 -96.64		
-85.75   	-98.27   	 15.95   	 -66.12		
-77.51   	-95.21   	 15.69   	 -40.69		
-67.75   	-92.16   	 15.52   	 -25.43		
-61.65   	-86.98   	 15.42   	 -20.35		
-60.42   	-76.90   	 15.34   	 -15.26		
-59.81   	-59.51   	 15.28   	 -20.35		
-54.02   	-36.01   	 15.20   	 -30.52		
-40.28   	-10.07   	 15.08   	 -30.52		
-22.89   	 11.60   	 14.95   	 -30.52		
 -9.16   	 25.33   	 14.83   	 -25.43		
 -3.36   	 32.04   	 14.73   	  -5.09		
 -3.66   	 35.71   	 14.71   	  10.17		
 -3.66   	 40.59   	 14.75   	  40.69		
  0.92   	 48.83   	 14.91   	  61.04		
  9.77   	 57.98   	 15.16   	  81.38		
 19.53   	 64.39   	 15.48   	 101.73		
 27.16   	 66.22   	 15.89   	 106.82		
 31.13   	 62.56   	 16.32   	  96.64		
 28.99   	 53.10   	 16.70   	  76.30		
 19.53   	 39.37   	 17.01   	  55.95		
  1.53   	 22.89   	 17.23   	  20.35		
-23.19   	  4.27   	 17.31   	  -5.09		
-49.44   	-17.09   	 17.29   	 -30.52		
-71.72   	-41.50   	 17.17   	 -35.61		
-86.36   	-68.97   	 17.03   	 -40.69		
-91.86   	-97.05   	 16.87   	 -20.35		
-90.33   	-120.85   	 16.79   	  -5.09		
-85.75   	-137.63   	 16.76   	  20.35		
-83.31   	-146.18   	 16.85   	  50.86		
-85.14   	-147.71   	 17.05   	  76.30		
-90.64   	-144.96   	 17.35   	 101.73		
-96.13   	-140.69   	 17.76   	 122.07		
-97.96   	-136.72   	 18.25   	 127.16		
-96.44   	-133.36   	 18.76   	 142.42		
-93.08   	-130.62   	 19.33   	 142.42		
-90.33   	-128.17   	 19.90   	 152.59		
-89.11   	-124.82   	 20.51   	 157.68		
-92.16   	-119.32   	 21.14   	 162.77		
-104.68   	-109.56   	 21.79   	 178.03		
-125.12   	-94.60   	 22.50   	 188.20		
-138.85   	-77.51   	 23.26   	 208.54		
-119.02   	-64.70   	 24.09   	 223.80		
-39.67   	-57.98   	 24.98   	 233.98		
101.32   	-48.22   	 25.92   	 228.89		
268.55   	-13.43   	 26.84   	 203.46		
399.78   	 66.83   	 27.65   	 147.51		
443.42   	189.21   	 28.24   	  81.38		
386.66   	321.66   	 28.57   	  -5.09		
262.76   	414.43   	 28.55   	 -76.30		
129.39   	428.77(R)	 28.24   	-137.33		
 32.96   	361.33   	 27.69   	-172.94		
-13.12   	245.36   	 27.00   	-178.03		
-22.89   	128.48   	 26.29   	-147.51		
-19.84   	 49.44   	 25.70   	-101.73		
-21.36   	 18.31   	 25.29(E)	 -30.52		
-35.71   	 15.26   	 25.17   	  35.61		
-65.00   	  7.02   	 25.31   	 111.90		
-109.56   	-31.74   	 25.76   	 178.03		
-162.05   	-103.45   	 26.47   	 233.98		
-205.69   	-181.58   	 27.41   	 289.93		
-223.08   	-231.63   	 28.57   	 325.53		
-206.30   	-236.82   	 29.87   	 356.05		
-164.18   	-207.21   	 31.29   	 381.48		
-119.93   	-170.29   	 32.82   	 391.66		
-93.08   	-149.23   	 34.38   	 391.66		
-87.28   	-148.01   	 35.95   	 396.74		
-92.77   	-155.33   	 37.54   	 396.74		
-97.35   	-159.61   	 39.12   	 391.66		
-95.83   	-158.39   	 40.69   	 396.74		
-91.86   	-156.25   	 42.28   	 401.83		
-90.64   	-156.25   	 43.89   	 417.09		
-93.38   	-155.94   	 45.55   	 427.26		
-96.13   	-151.67   	 47.26   	 447.61		
-95.21   	-144.04   	 49.05   	 473.04		
-90.64   	-137.33   	 50.95   	 503.56		
-85.45   	-137.02   	 52.96   	 549.34		
-81.48   	-143.43   	 55.16   	 625.63		
-80.87   	-152.89   	 57.66   	 722.28		
-83.31   	-158.69   	 60.55   	 824.00		
-87.59   	-157.78   	 63.85   	 910.47		
-91.86   	-152.28   	 67.49   	 951.17		
-93.99   	-145.87   	 71.29   	 930.82		
-91.86   	-142.52   	 75.01   	 854.52		
-85.14   	-141.60   	 78.43   	 722.28		
-77.51   	-140.99   	 81.32   	 569.68		
-71.72   	-138.24   	 83.60   	 412.00		
-71.11   	-134.89   	 85.25   	 274.67		
-75.99   	-132.14   	 86.35   	 162.77		
-83.92   	-130.00   	 87.00   	 101.73		
-90.33   	-126.65   	 87.41   	  71.21		
-92.47   	-121.77   	 87.69   	  76.30		
-89.11   	-116.58   	 88.00   	 101.73		
-83.31   	-114.44   	 88.40   	 127.16		
-77.82   	-117.80   	 88.91   	 157.68		
-75.68   	-126.65   	 89.54   	 183.11		
-78.43   	-137.33   	 90.27   	 193.29		
-86.06   	-146.18   	 91.05   	 188.20		
-97.05   	-150.76   	 91.80   	 167.85		
-108.95   	-149.54   	 92.47   	 137.33		
-119.02   	-144.04   	 93.02   	 106.82		
-124.82   	-137.33   	 93.45   	  66.12		
-126.95   	-132.45   	 93.71   	  35.61		
-127.87   	-130.62   	 93.86   	   5.09		
-130.31   	-131.53   	 93.88(S)	 -15.26		
-135.19   	-133.67   	 93.81   	 -30.52		
-141.60   	-135.50   	 93.69   	 -35.61		
-148.62   	-137.02   	 93.55   	 -35.61		
-155.03   	-138.55   	 93.41   	 -30.52		
-161.13   	-138.55   	 93.29   	 -20.35		
-166.93   	-134.28   	 93.20   	 -15.26		
-171.81   	-124.51   	 93.14   	 -10.17		
-175.78   	-110.78   	 93.10   	   0.00		
-177.92   	-96.44   	 93.10   	   0.00		
-176.70   	-85.75   	 93.10   	 -10.17		
-171.51   	-78.74   	 93.06   	 -20.35		
-160.83   	-72.63   	 92.98   	 -30.52		
-144.96   	-64.09   	 92.86   	 -45.78		
-126.65   	-51.57   	 92.68   	 -55.95		
-108.64   	-36.62   	 92.45   	 -76.30		
-93.69   	-23.50   	 92.15   	-101.73		
-80.26   	-13.73   	 91.74   	-122.07		
-64.70   	 -6.10   	 91.25   	-142.42		
-45.17   	  1.83   	 90.68   	-147.51		
-23.19   	 11.29   	 90.09   	-137.33		
 -4.27   	 19.84   	 89.54   	-111.90		
  6.41   	 22.89   	 89.09   	 -81.38		
  7.02   	 18.31   	 88.77   	 -55.95		
  2.44   	  9.46   	 88.54   	 -55.95		
 -1.53   	  2.44   	 88.32   	 -81.38		
 -2.14   	  0.61   	 88.00   	-127.16		
  0.00   	  2.14   	 87.49   	-213.63		
  1.83   	  1.22   	 86.63   	-305.19		
  0.92   	 -6.10   	 85.41   	-401.83		
 -2.75   	-19.23   	 83.80   	-488.30		
 -7.32   	-32.65   	 81.85   	-554.42		
 -9.77   	-40.89   	 79.63   	-600.20		
 -8.85   	-41.20   	 77.23   	-630.72		
 -5.80   	-35.10   	 74.71   	-645.98		
 -3.05   	-26.55   	 72.13   	-661.24		
 -3.05   	-20.14   	 69.48   	-666.32		
 -7.32   	-18.01   	 66.82   	-651.07		
-13.73   	-20.14   	 64.21   	-645.98		
-18.31   	-24.11   	 61.63   	-630.72		
-18.92   	-26.55   	 59.10   	-615.46		
-15.56   	-26.86   	 56.64   	-610.37		
-11.90   	-26.55   	 54.20   	-610.37		
-11.29   	-27.77   	 51.76   	-600.20		
-14.95   	-31.13   	 49.36   	-600.20		
-21.67   	-36.01   	 46.96   	-584.94		
-28.08   	-40.89   	 44.62   	-569.68		
-31.43   	-44.86   	 42.34   	-544.25		
-31.13   	-48.22   	 40.16   	-523.90		
-30.21   	-50.35   	 38.07   	-488.30		
-30.52   	-48.52   	 36.11   	-467.95		
-32.35   	-41.81   	 34.24   	-442.52		
-32.65   	-32.35   	 32.47   	-412.00		
-28.38   	-25.33   	 30.82   	-386.57		
-19.84   	-25.63   	 29.28   	-356.05		
-12.82   	-34.18   	 27.85   	-320.45		
-13.12   	-48.83   	 26.57   	-284.84		
-22.89   	-63.48   	 25.43   	-244.15		
-36.93   	-72.94   	 24.46   	-213.63		
-48.22   	-74.46   	 23.60   	-188.20		
-50.66   	-67.44   	 22.85   	-172.94		
-43.95   	-54.93   	 22.16   	-162.77		
-32.96   	-40.28   	 21.51   	-167.85		
-23.19   	-28.08   	 20.83   	-167.85		
-18.31   	-20.45   	 20.16   	-167.85		
-19.23   	-17.70   	 19.49   	-167.85		
