  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-177.31   	 81.48   	150.95   	-264.50		114.12   	 111.90		
-151.67   	 61.65   	149.89   	-284.84		114.57   	 101.73		
-125.12   	 41.81   	148.75   	-310.27		114.97   	  96.64		
-99.18   	 22.58   	147.51   	-330.62		115.36   	  91.56		
-74.77   	  5.19   	146.18   	-350.97		115.73   	  86.47		
-53.71   	-10.07   	144.78   	-376.40		116.07   	  71.21		
-36.01   	-22.28   	143.28   	-401.83		116.36   	  66.12		
-22.28   	-31.13   	141.67   	-432.35		116.62   	  50.86		
-11.29   	-38.15   	139.94   	-462.87		116.83   	  40.69		
 -1.83   	-43.95   	138.09   	-503.56		116.99   	  20.35		
  5.80   	-49.74   	136.07   	-539.16		117.07   	   0.00		
 12.21   	-56.15   	133.92   	-584.94		117.07   	 -25.43		
 16.17   	-62.56   	131.58   	-620.55		116.97   	 -45.78		
 18.62   	-66.83   	129.09   	-671.41		116.78   	 -76.30		
 20.45   	-69.58   	126.41   	-712.10		116.48   	-106.82		
 22.28   	-71.41   	123.56   	-757.88		116.05   	-132.25		
 24.41   	-72.63   	120.53   	-798.57		115.52   	-162.77		
 25.63   	-73.85   	117.33   	-849.44		114.87   	-188.20		
 25.94   	-74.46   	113.94   	-890.13		114.12   	-203.46		
 25.33   	-73.85   	110.38   	-930.82		113.31   	-223.80		
 24.41   	-72.63   	106.65   	-961.34		112.41   	-228.89		
 23.80   	-71.41   	102.81   	-996.94		111.49   	-228.89		
 24.11   	-70.80   	 98.82   	-1017.29		110.58   	-223.80		
 24.41   	-70.19   	 94.75   	-1032.55		109.68   	-213.63		
 25.02   	-68.97   	 90.62   	-1037.64		108.83   	-203.46		
 25.33   	-67.44   	 86.47   	-1042.72		108.02   	-178.03		
 25.63   	-65.00   	 82.30   	-1032.55		107.30   	-157.68		
 25.33   	-62.56   	 78.17   	-1022.38		106.67   	-137.33		
 24.11   	-60.42   	 74.08   	-1007.12		106.12   	-116.99		
 22.58   	-58.90   	 70.05   	-981.68		105.66   	 -96.64		
 21.06   	-57.68   	 66.12   	-961.34		105.27   	 -81.38		
 20.45   	-55.85   	 62.28   	-940.99		104.94   	 -76.30		
 20.75   	-53.41   	 58.51   	-925.73		104.64   	 -61.04		
 21.36   	-50.96   	 54.81   	-900.30		104.39   	 -66.12		
 21.67   	-48.83   	 51.21   	-879.96		104.13   	 -61.04		
 21.36   	-47.91   	 47.69   	-854.52		103.89   	 -66.12		
 19.84   	-48.83   	 44.27   	-818.92		103.62   	 -66.12		
 18.31   	-50.35   	 41.00   	-778.23		103.36   	 -66.12		
 16.48   	-50.66   	 37.88   	-727.36		103.09   	 -71.21		
 15.56   	-49.44   	 34.97   	-656.15		102.81   	 -66.12		
 15.56   	-47.30   	 32.35   	-590.03		102.54   	 -66.12		
 15.87   	-46.39   	 29.99   	-518.82		102.28   	 -61.04		
 16.48   	-47.30   	 27.91   	-447.61		102.03   	 -55.95		
 16.78   	-49.74   	 26.12   	-386.57		101.81   	 -50.86		
 16.78   	-51.88   	 24.58   	-330.62		101.61   	 -45.78		
 16.48   	-52.19   	 23.26   	-284.84		101.42   	 -45.78		
 17.09   	-51.27   	 22.12   	-254.32		101.24   	 -35.61		
 18.31   	-50.05   	 21.10   	-233.98		101.10   	 -35.61		
 18.92   	-49.44   	 20.16   	-218.72		100.96   	 -30.52		
 18.92   	-50.35   	 19.29   	-203.46		100.83   	 -40.69		
 17.40   	-51.88   	 18.47   	-203.46		100.67   	 -35.61		
 15.87   	-53.10   	 17.66   	-193.29		100.53   	 -40.69		
 14.95   	-54.02   	 16.89   	-178.03		100.37   	 -45.78		
 15.26   	-53.71   	 16.17   	-172.94		100.18   	 -50.86		
