  I     	  II     	  LV     	  LV'		
 -4.27   	-160.22   	 25.88   	 -71.21		
 -6.10   	-151.98   	 25.60   	 -45.78		
 -6.41   	-147.09   	 25.41   	 -30.52		
 -5.19   	-147.09   	 25.29   	 -20.35		
 -0.61   	-146.48   	 25.21   	 -10.17		
 10.07   	-134.28   	 25.17   	 -15.26		
 26.25   	-105.90   	 25.11   	 -20.35		
 43.64   	-65.92   	 25.03   	 -30.52		
 55.85   	-25.02   	 24.90   	 -45.78		
 57.98   	  7.63   	 24.72   	 -50.86		
 50.35   	 27.77   	 24.52   	 -61.04		
 40.89   	 35.40   	 24.27   	 -55.95		
 38.45   	 32.65   	 24.05   	 -45.78		
 46.69   	 23.19   	 23.87   	 -35.61		
 62.87   	 10.99   	 23.72   	 -15.26		
 78.13   	  1.53   	 23.66   	   5.09		
 84.84   	 -1.53   	 23.68   	  30.52		
 78.74   	 -1.53   	 23.80   	  35.61		
 62.87   	 -7.02   	 23.95   	  45.78		
 46.39   	-25.63   	 24.13   	  35.61		
 37.84   	-54.93   	 24.27   	  15.26		
 43.03   	-85.14   	 24.33   	 -10.17		
 57.98   	-103.76   	 24.29   	 -40.69		
 69.89   	-106.81   	 24.13   	 -66.12		
 65.92   	-102.84   	 23.87   	 -76.30		
 39.67   	-104.06   	 23.56   	 -71.21		
 -0.31   	-116.88   	 23.28   	 -50.86		
-35.71   	-137.63   	 23.07   	 -20.35		
-49.44   	-155.64   	 22.99   	  10.17		
-38.15   	-164.49   	 23.03   	  30.52		
-13.12   	-164.18   	 23.15   	  55.95		
  7.63   	-160.83   	 23.38   	  55.95		
 11.29   	-159.30   	 23.60   	  61.04		
  0.61   	-161.44   	 23.85   	  55.95		
-12.21   	-166.93   	 24.07   	  50.86		
-17.09   	-176.70   	 24.27   	  55.95		
-11.29   	-189.21   	 24.50   	  61.04		
 -2.44   	-197.45   	 24.74   	  76.30		
  2.14   	-194.40   	 25.05   	  91.56		
  0.31   	-180.97   	 25.41   	 106.82		
 -6.41   	-168.76   	 25.84   	 116.99		
-14.95   	-169.68   	 26.31   	 132.25		
-22.89   	-186.77   	 26.84   	 132.25		
-30.21   	-207.82   	 27.37   	 132.25		
-34.18   	-216.67   	 27.89   	 116.99		
-32.35   	-208.44   	 28.36   	 106.82		
-25.63   	-193.18   	 28.79   	  91.56		
-18.62   	-184.94   	 29.16   	  81.38		
