  I     	  II     	  AO     	  AO'		  AO     	  AO'		
-26.25   	-86.06   	 65.41   	 -30.52		 66.75   	 -10.17		
-26.55   	-86.36   	 65.29   	 -35.61		 66.71   	 -10.17		
-27.16   	-87.89   	 65.15   	 -25.43		 66.67   	 -10.17		
-27.77   	-89.72   	 65.05   	 -25.43		 66.63   	 -10.17		
-27.77   	-90.64   	 64.94   	 -25.43		 66.59   	 -10.17		
-27.47   	-90.64   	 64.84   	 -15.26		 66.55   	 -15.26		
-27.16   	-90.33   	 64.78   	 -20.35		 66.49   	 -15.26		
-26.86   	-90.03   	 64.70   	 -15.26		 66.43   	 -15.26		
-27.16   	-89.42   	 64.64   	 -15.26		 66.37   	 -20.35		
-27.77   	-89.11   	 64.58   	 -15.26		 66.29   	 -25.43		
-28.08   	-88.50   	 64.52   	 -20.35		 66.18   	 -25.43		
-28.08   	-87.89   	 64.44   	 -20.35		 66.08   	 -25.43		
-27.77   	-87.28   	 64.35   	 -20.35		 65.98   	 -35.61		
-27.47   	-87.28   	 64.27   	 -30.52		 65.84   	 -35.61		
-27.16   	-86.67   	 64.15   	 -30.52		 65.70   	 -35.61		
-26.86   	-83.31   	 64.03   	 -30.52		 65.55   	 -40.69		
-26.25   	-75.38   	 63.91   	 -25.43		 65.39   	 -45.78		
-25.02   	-61.34   	 63.80   	 -30.52		 65.21   	 -45.78		
-23.50   	-41.81   	 63.68   	 -30.52		 65.03   	 -45.78		
-22.28   	-19.23   	 63.56   	 -25.43		 64.84   	 -45.78		
-21.67   	  2.44   	 63.46   	 -25.43		 64.66   	 -50.86		
-21.97   	 18.92   	 63.36   	 -20.35		 64.46   	 -50.86		
-22.89   	 28.38   	 63.28   	 -25.43		 64.25   	 -50.86		
-23.80   	 33.57   	 63.17   	 -25.43		 64.05   	 -45.78		
-24.11   	 38.76   	 63.07   	 -25.43		 63.87   	 -50.86		
-23.50   	 47.00   	 62.97   	 -25.43		 63.66   	 -45.78		
-21.97   	 56.76   	 62.87   	 -30.52		 63.48   	 -45.78		
-20.14   	 62.56   	 62.75   	 -30.52		 63.30   	 -50.86		
-18.62   	 59.20   	 62.62   	 -35.61		 63.09   	 -40.69		
-17.40   	 46.39   	 62.48   	 -30.52		 62.93   	 -45.78		
-15.87   	 30.21   	 62.36   	 -35.61		 62.75   	 -45.78		
-14.34   	 20.45   	 62.22   	 -40.69		 62.56   	 -40.69		
-11.60   	 21.97   	 62.05   	 -35.61		 62.40   	 -40.69		
 -8.24   	 32.35   	 61.91   	 -35.61		 62.24   	 -40.69		
 -5.19   	 41.81   	 61.77   	 -40.69		 62.08   	 -40.69		
 -2.75   	 40.59   	 61.61   	 -35.61		 61.91   	 -35.61		
 -1.83   	 25.33   	 61.46   	 -35.61		 61.77   	 -35.61		
 -2.75   	  2.14   	 61.32   	 -40.69		 61.63   	 -35.61		
 -5.49   	-18.92   	 61.16   	 -35.61		 61.49   	 -30.52		
-10.07   	-30.82   	 61.02   	 -35.61		 61.36   	 -35.61		
-16.78   	-36.32   	 60.87   	 -30.52		 61.22   	 -30.52		
-24.72   	-43.03   	 60.75   	 -35.61		 61.10   	 -30.52		
-32.04   	-56.46   	 60.61   	 -40.69		 60.98   	 -30.52		
-37.23   	-77.21   	 60.45   	 -35.61		 60.85   	 -30.52		
-39.06   	-98.27   	 60.30   	 -35.61		 60.73   	 -30.52		
-38.15   	-113.83   	 60.16   	 -40.69		 60.61   	 -30.52		
-35.71   	-121.77   	 60.00   	 -40.69		 60.49   	 -30.52		
-33.87   	-125.12   	 59.84   	 -35.61		 60.37   	 -30.52		
-32.96   	-127.56   	 59.69   	 -40.69		 60.24   	 -30.52		
-32.35   	-129.70   	 59.53   	 -40.69		 60.12   	 -25.43		
-32.04   	-130.62   	 59.37   	 -35.61		 60.02   	 -25.43		
-32.35   	-129.39   	 59.23   	 -35.61		 59.92   	 -25.43		
-32.96   	-126.34   	 59.08   	 -35.61		 59.82   	 -25.43		
-33.57   	-123.29   	 58.94   	 -30.52		 59.71   	 -20.35		
-34.18   	-121.15   	 58.82   	 -20.35		 59.63   	 -20.35		
