  I     	  II     	  LVp     	  LVp'		  CH2     	  CH2'		
-17.09   	-58.90   	 12.98   	-213.63		 77.90   	-106.82		
-47.91   	-93.99   	 12.13   	-188.20		 77.48   	-127.16		
-59.20   	-91.86   	 11.37   	-172.94		 76.97   	-137.33		
-56.15   	-83.62   	 10.68   	-142.42		 76.42   	-142.42		
-43.64   	-88.50   	 10.11   	-127.16		 75.85   	-111.90		
-29.60   	-79.96   	  9.60   	-106.82		 75.40   	 -45.78		
-25.33   	-83.01   	  9.18   	 -91.56		 75.22   	  -5.09		
-25.02   	-86.67   	  8.81   	 -71.21		 75.20   	  10.17		
-32.35   	-90.64   	  8.52   	 -55.95		 75.24   	  -5.09		
-42.72   	-89.11   	  8.30   	 -45.78		 75.22   	 -25.43		
-39.67   	-89.11   	  8.12   	 -35.61		 75.12   	 -61.04		
-43.03   	-91.86   	  7.98   	 -30.52		 74.87   	-127.16		
-35.71   	-85.14   	  7.85   	 -20.35		 74.36   	-178.03		
-24.41   	-89.42   	  7.77   	 -25.43		 73.65   	-188.20		
-32.65   	-91.25   	  7.67   	 -20.35		 72.90   	-167.85		
-36.01   	-93.38   	  7.59   	 -15.26		 72.23   	-142.42		
-42.11   	-102.84   	  7.53   	 -20.35		 71.66   	 -96.64		
-48.83   	-117.80   	  7.45   	 -15.26		 71.27   	 -61.04		
-38.76   	-123.90   	  7.39   	 -15.26		 71.03   	 -50.86		
-27.16   	-108.34   	  7.32   	 -15.26		 70.82   	 -55.95		
-18.62   	-96.74   	  7.26   	 -10.17		 70.60   	 -81.38		
-14.95   	-81.18   	  7.22   	 -10.17		 70.27   	 -91.56		
-24.72   	-65.61   	  7.18   	 -10.17		 69.91   	 -96.64		
-37.54   	-82.40   	  7.14   	 -10.17		 69.52   	 -91.56		
-46.39   	-106.81   	  7.10   	  -5.09		 69.16   	 -91.56		
-49.44   	-114.44   	  7.08   	   0.00		 68.79   	 -86.47		
-40.89   	-114.44   	  7.08   	   0.00		 68.44   	 -76.30		
-38.45   	-108.34   	  7.08   	   0.00		 68.14   	 -76.30		
-39.37   	-103.45   	  7.08   	   0.00		 67.83   	 -76.30		
-47.61   	-114.14   	  7.08   	   0.00		 67.53   	 -76.30		
-51.88   	-133.06   	  7.08   	   5.09		 67.22   	 -86.47		
-48.52   	-156.56   	  7.10   	   5.09		 66.88   	 -91.56		
-50.96   	-177.31   	  7.12   	   5.09		 66.51   	-101.73		
-38.76   	-177.00   	  7.14   	   5.09		 66.10   	-101.73		
-31.13   	-180.36   	  7.16   	   5.09		 65.70   	 -86.47		
-27.47   	-171.81   	  7.18   	   5.09		 65.35   	 -76.30		
-34.79   	-155.03   	  7.20   	  10.17		 65.05   	 -71.21		
-43.95   	-151.37   	  7.24   	  15.26		 64.76   	 -71.21		
-42.72   	-140.38   	  7.30   	  10.17		 64.48   	 -66.12		
-29.60   	-139.47   	  7.34   	  20.35		 64.21   	 -61.04		
 14.65   	-122.99   	  7.43   	  20.35		 63.97   	 -61.04		
 54.02   	-91.86   	  7.51   	  20.35		 63.72   	 -55.95		
 50.96   	-78.74   	  7.59   	  20.35		 63.50   	 -61.04		
 40.89   	-55.85   	  7.67   	  25.43		 63.26   	 -76.30		
  7.02   	-51.57   	  7.77   	  30.52		 62.95   	 -76.30		
-20.14   	-81.79   	  7.89   	  25.43		 62.64   	 -86.47		
-14.95   	-93.08   	  8.00   	  25.43		 62.30   	 -91.56		
 -7.32   	-111.69   	  8.10   	  30.52		 61.93   	 -76.30		
 -0.61   	-124.51   	  8.22   	  25.43		 61.63   	 -76.30		
-15.87   	-117.19   	  8.32   	  35.61		 61.32   	 -76.30		
-39.37   	-109.56   	  8.46   	  30.52		 61.02   	 -66.12		
-45.78   	-98.57   	  8.59   	  40.69		 60.75   	 -45.78		
-47.00   	-93.38   	  8.75   	  40.69		 60.57   	 -45.78		
-28.69   	-95.52   	  8.91   	  50.86		 60.39   	 -25.43		
-12.21   	-94.30   	  9.11   	  50.86		 60.28   	  -5.09		
-20.45   	-97.96   	  9.32   	  55.95		 60.26   	 -10.17		
-33.87   	-99.18   	  9.54   	  61.04		 60.22   	 -15.26		
-42.72   	-94.91   	  9.79   	  61.04		 60.16   	   0.00		
-39.67   	-84.53   	 10.03   	  61.04		 60.16   	 -15.26		
-25.33   	-80.26   	 10.27   	  66.12		 60.10   	 -40.69		
-13.12   	-83.31   	 10.54   	  61.04		 59.94   	 -50.86		
 -5.80   	-91.25   	 10.78   	  55.95		 59.74   	 -50.86		
 -4.58   	-95.52   	 11.01   	  55.95		 59.53   	 -81.38		
-10.38   	-100.71   	 11.23   	  50.86		 59.21   	-122.07		
-20.14   	-90.94   	 11.43   	  50.86		 58.72   	-142.42		
-30.21   	-79.65   	 11.64   	  45.78		 58.15   	-127.16		
-36.32   	-76.60   	 11.82   	  40.69		 57.64   	 -96.64		
-35.10   	-74.77   	 11.98   	  45.78		 57.25   	 -71.21		
-28.38   	-71.72   	 12.17   	  40.69		 56.97   	 -55.95		
-19.84   	-69.89   	 12.33   	  40.69		 56.74   	 -30.52		
-16.78   	-66.83   	 12.49   	  40.69		 56.62   	 -10.17		
-25.63   	-72.02   	 12.66   	  45.78		 56.58   	   0.00		
-23.19   	-75.68   	 12.84   	  55.95		 56.58   	 -15.26		
-18.31   	-75.38   	 13.06   	  61.04		 56.52   	 -40.69		
-18.31   	-77.82   	 13.31   	  71.21		 56.36   	 -20.35		
-14.95   	-70.80   	 13.59   	  76.30		 56.28   	  30.52		
-19.84   	-67.75   	 13.90   	  86.47		 56.40   	  45.78		
-31.13   	-77.51   	 14.24   	  91.56		 56.58   	  25.43		
-30.21   	-78.74   	 14.61   	  86.47		 56.68   	  -5.09		
 -4.27   	-58.59   	 14.95   	  81.38		 56.66   	 -61.04		
 12.21   	-57.68   	 15.28   	  66.12		 56.42   	-137.33		
  9.46   	-48.22   	 15.54   	  50.86		 55.87   	-188.20		
  3.05   	-41.50   	 15.75   	  40.69		 55.12   	-203.46		
-25.02   	-63.48   	 15.91   	  20.35		 54.30   	-198.37		
-37.54   	-67.75   	 15.99   	  10.17		 53.51   	-218.72		
-18.01   	-53.10   	 16.03   	  -5.09		 52.63   	-228.89		
 -6.41   	-47.91   	 16.01   	 -10.17		 51.72   	-172.94		
 -1.53   	-45.78   	 15.97   	 -15.26		 51.03   	 -81.38		
 -0.61   	-35.71   	 15.91   	 -10.17		 50.70   	  10.17		
 -7.32   	-35.10   	 15.87   	  -5.09		 50.74   	  96.64		
-23.50   	-38.45   	 15.85   	   5.09		 51.13   	 147.51		
-41.81   	-36.62   	 15.87(E)	  15.26		 51.72   	 142.42		
-50.05   	-27.47   	 15.93   	  20.35		 52.29   	  96.64		
-44.86   	-14.04   	 16.01   	  35.61		 52.68   	  66.12		
-10.68   	 17.09   	 16.15   	  40.69		 52.94   	  25.43		
 49.44   	 70.50   	 16.32   	  45.78		 53.04   	 -35.61		
126.65   	141.91   	 16.50   	  50.86		 52.90   	 -76.30		
236.82   	243.23   	 16.70   	  55.95		 52.59   	-101.73		
389.10   	364.07   	 16.93   	  50.86		 52.19   	-106.82		
585.63   	550.84   	 17.13   	  50.86		 51.76   	 -86.47		
798.65   	782.47   	 17.33   	 101.73		 51.41   	 -81.38		
924.68   	1034.24(R)	 17.74   	  45.78		 51.09   	 -30.52		
830.99   	939.94   	 17.92   	  50.86		 50.97   	 -10.17		
601.81   	698.55   	 18.13   	  50.86		 50.93   	   0.00		
331.73   	446.47   	 18.33   	  55.95		 50.93   	  -5.09		
134.28   	215.15   	 18.56   	  66.12		 50.91   	 -15.26		
-21.97   	 65.00   	 18.82   	  76.30		 50.84   	 -15.26		
-119.32   	-67.75   	 19.13   	 101.73		 50.78   	 -20.35		
-126.95   	-141.91   	 19.53   	 127.16		 50.70   	 -10.17		
-101.01   	-151.98   	 20.04   	 157.68		 50.66   	   5.09		
-100.10   	-154.42   	 20.67   	 198.37		 50.68   	  15.26		
-64.09   	-108.95   	 21.46   	 249.24		 50.74   	  30.52		
-26.55   	-111.39   	 22.46   	 310.27		 50.86   	   5.09		
-25.02   	-144.96   	 23.70   	 381.48		 50.88   	 -91.56		
-21.06   	-126.34   	 25.23   	 462.87		 50.52   	-137.33		
-25.02   	-83.01   	 27.08   	 554.42		 49.97   	  20.35		
-28.69   	-52.80   	 29.30   	 666.32		 50.05   	 203.46		
-28.08   	-39.67   	 31.96   	 778.23		 50.86   	 178.03		
-26.55   	-52.80   	 35.08   	 895.22		 51.58   	 289.93		
-31.13   	-65.31   	 38.66   	1022.38		 52.74   	 722.28		
-36.93   	-64.70   	 42.75   	1139.36		 55.63   	1042.72		
-42.72   	-57.07   	 47.30   	1251.27		 59.80   	 956.25		
-35.71   	-51.88   	 52.31   	1342.82		 63.62   	 910.47		
-28.69   	-60.42   	 57.68   	1429.29		 67.26   	1119.02		
-36.01   	-54.32   	 63.40   	1490.33		 71.74   	 956.25		
-49.44   	-49.74   	 69.36   	1531.02		 75.56   	 742.62		
-57.07   	-54.63   	 75.48   	1551.37		 78.53   	 788.40		
-46.39   	-60.73   	 81.69   	1546.28		 81.69   	 635.81		
-41.81   	-79.96   	 87.87   	1525.93		 84.23   	 356.05		
-30.82   	-78.13   	 93.98   	1490.33		 85.66   	 488.30		
-25.63   	-65.61   	 99.94   	1434.38		 87.61   	 437.43		
-34.79   	-68.36   	105.68   	1383.51		 89.36   	-172.94		
-24.72   	-68.05   	111.21   	1317.39		 88.67   	-259.41		
-19.23   	-68.36   	116.48   	1256.35		 87.63   	 305.19		
-27.47   	-73.55   	121.51   	1200.40		 88.85   	 406.92		
-24.41   	-73.24   	126.31   	1144.45		 90.48   	 442.52		
-27.16   	-72.63   	130.88   	1088.50		 92.25   	 564.60		
-28.69   	-72.33   	135.24   	1042.72		 94.51   	 483.21		
-39.06   	-72.33   	139.41   	 981.68		 96.44   	 513.73		
-56.15   	-84.53   	143.34   	 935.91		 98.49   	 427.26		
-53.71   	-72.33   	147.08   	 874.87		100.20   	 447.61		
-39.06   	-59.20   	150.58   	 829.09		101.99   	-127.16		
-12.51   	-52.80   	153.90   	 788.40		101.48   	-747.71		
 12.82   	-36.93   	157.05   	 742.62		 98.49   	 442.52		
 14.34   	-40.89   	160.02   	 701.93		100.26   	 839.26		
 -0.31   	-55.54   	162.83   	 676.50		103.62   	-172.94		
 -9.77   	-51.88   	165.53   	 640.89		102.93   	 310.27		
  4.88   	-31.43   	168.10   	 605.29		104.17   	 737.54		
 11.90   	-22.58   	170.52   	 574.77		107.12   	-116.99		
 11.29   	-11.29   	172.82   	 539.16		106.65   	-178.03		
 19.53   	  0.31   	174.97   	 503.56		105.94   	 666.32		
 15.56   	  5.49   	176.99   	 467.95		108.61   	 386.57		
  8.54   	 18.31   	178.86   	 442.52		110.15   	-178.03		
 18.62   	 33.26   	180.63   	 422.18		109.44   	 437.43		
 40.59   	 56.76   	182.32   	 401.83		111.19   	 874.87		
 54.63   	 71.41   	183.93   	 376.40		114.69   	 737.54		
 77.82   	 84.84   	185.43   	 361.14		117.64   	 879.96		
 93.08   	104.06   	186.88   	 330.62		121.16   	1052.90		
 92.77   	112.30   	188.20   	 305.19		125.37   	 462.87		
 82.09   	111.69   	189.42   	 269.58		127.22   	-615.46		
 91.25   	122.07   	190.50   	 228.89		124.76   	-768.05		
103.45   	122.99   	191.41   	 188.20		121.69   	-518.82		
103.45   	122.07   	192.17   	 152.59		119.61   	-630.72		
141.91   	151.06   	192.78   	 111.90		117.09   	 -96.64		
139.16   	146.18   	193.22   	  76.30		116.70   	 864.70		
113.22   	150.45   	193.53   	  45.78		120.16   	1012.20		
115.05   	177.00   	193.71   	  15.26		124.21   	 605.29		
 77.82   	151.67   	193.77(S)	 -15.26		126.63   	 620.55		
 75.07   	147.40   	193.71   	 -45.78		129.11   	 442.52		
 95.21   	145.57   	193.53   	 -81.38		130.88   	  71.21		
 93.99   	113.83   	193.20   	-116.99		131.17   	-172.94		
 94.60   	 97.05   	192.74   	-157.68		130.48   	 -45.78		
 78.43   	 85.45   	192.11   	-198.37		130.29   	-361.14		
 65.00   	 77.51   	191.31   	-233.98		128.85   	-620.55		
 57.98   	 65.00   	190.38   	-269.58		126.37   	-356.05		
 37.84   	 46.69   	189.30   	-300.10		124.94   	-142.42		
 30.52   	 32.04   	188.10   	-320.45		124.37   	 -86.47		
 20.75   	  4.88   	186.82   	-335.71		124.03   	 208.54		
 16.17   	-16.78   	185.47   	-345.88		124.86   	 167.85		
 31.74   	-19.23   	184.09   	-345.88		125.53   	 147.51		
 37.23   	-30.52   	182.71   	-350.97		126.12   	 340.79		
 17.40   	-34.18   	181.30   	-350.97		127.49   	  91.56		
 -7.32   	-35.40   	179.90   	-356.05		127.85   	 300.10		
-22.58   	-48.52   	178.47   	-361.14		129.05   	 142.42		
-25.02   	-49.44   	177.03   	-371.31		129.62   	-183.11		
-11.90   	-60.73   	175.54   	-386.57		128.89   	 -35.61		
  0.92   	-72.94   	174.00   	-406.92		128.75   	-381.48		
-13.73   	-68.66   	172.37   	-427.26		127.22   	-356.05		
-18.01   	-70.19   	170.66   	-457.78		125.80   	-137.33		
 -8.54   	-60.73   	168.83   	-488.30		125.25   	-590.03		
 -0.31   	-63.48   	166.88   	-518.82		122.89   	-239.06		
 22.58   	-65.61   	164.80   	-549.34		121.93   	  -5.09		
 14.34   	-69.89   	162.60   	-590.03		121.91   	-762.97		
-14.65   	-76.90   	160.24   	-620.55		118.86   	-696.84		
-17.70   	-64.09   	157.76   	-656.15		116.07   	-106.82		
-21.36   	-61.95   	155.14   	-686.67		115.65   	-315.36		
-11.60   	-61.65   	152.39   	-722.28		114.38   	-498.47		
 -7.02   	-61.04   	149.50   	-752.79		112.39   	-172.94		
-17.09   	-63.48   	146.49   	-778.23		111.70   	-315.36		
-16.17   	-56.76   	143.38   	-803.66		110.44   	-676.50		
 -6.41   	-42.72   	140.16   	-834.18		107.73   	-488.30		
  4.58   	-40.89   	136.83   	-854.52		105.78   	-259.41		
  4.58   	-52.80   	133.41   	-879.96		104.74   	-315.36		
  1.22   	-48.22   	129.89   	-905.39		103.48   	-483.21		
-18.62   	-58.59   	126.27   	-930.82		101.55   	-666.32		
-26.55   	-65.61   	122.54   	-956.25		 98.88   	-793.49		
 -3.05   	-39.98   	118.72   	-976.60		 95.71   	-722.28		
 -6.41   	-40.59   	114.81   	-1007.12		 92.82   	-412.00		
-20.14   	-47.61   	110.78   	-1027.46		 91.17   	-157.68		
-20.14   	-37.84   	106.67   	-1042.72		 90.54   	 -91.56		
-28.99   	-45.17   	102.50   	-1063.07		 90.17   	 -20.35		
-29.91   	-49.44   	 98.25   	-1068.15		 90.09   	  55.95		
