  I     	  II     	  AOp     	  AOp'		  FA     	  FA'		
  1.53   	-31.13   	 72.29   	 -71.21		 68.12   	 -50.86		
  7.32   	 10.07   	 72.00   	 -66.12		 67.91   	 -66.12		
  8.24   	 48.83   	 71.74   	 -71.21		 67.65   	 -66.12		
  4.88   	 63.78   	 71.45   	 -66.12		 67.39   	 -45.78		
  0.31   	 49.74   	 71.19   	 -71.21		 67.20   	 -20.35		
 -0.31   	 21.36   	 70.91   	 -66.12		 67.12   	 -20.35		
  4.27   	  0.61   	 70.64   	 -71.21		 67.04   	 -50.86		
 10.38   	 -2.14   	 70.36   	 -66.12		 66.84   	 -66.12		
 11.90   	  4.58   	 70.09   	 -71.21		 66.57   	 -66.12		
  7.63   	  4.27   	 69.81   	 -66.12		 66.31   	 -55.95		
  1.22   	 -7.93   	 69.54   	 -71.21		 66.08   	 -45.78		
 -0.61   	-21.67   	 69.26   	 -66.12		 65.90   	 -55.95		
  3.66   	-22.58   	 68.99   	 -66.12		 65.68   	 -61.04		
 10.07   	 -7.32   	 68.73   	 -66.12		 65.43   	 -81.38		
 11.60   	 13.73   	 68.46   	 -71.21		 65.11   	 -61.04		
  5.80   	 24.72   	 68.18   	 -61.04		 64.86   	  40.69		
 -2.75   	 21.06   	 67.93   	 -66.12		 65.03   	   5.09		
 -7.32   	 10.07   	 67.67   	 -66.12		 65.05   	-111.90		
 -4.27   	  6.41   	 67.41   	 -61.04		 64.60   	-122.07		
  4.27   	 16.78   	 67.16   	 -61.04		 64.11   	 -50.86		
 12.21   	 36.93   	 66.92   	 -61.04		 63.91   	  -5.09		
 14.65   	 51.57   	 66.67   	 -61.04		 63.89   	 -10.17		
 11.90   	 49.13   	 66.43   	 -55.95		 63.85   	 -45.78		
  7.63   	 30.82   	 66.21   	 -55.95		 63.66   	 -66.12		
  7.02   	 15.26   	 65.98   	 -55.95		 63.40   	 -61.04		
 11.60   	 25.33   	 65.76   	 -55.95		 63.15   	 -45.78		
 19.23   	 70.80   	 65.53   	 -50.86		 62.97   	 -40.69		
 24.72   	136.41   	 65.33   	 -55.95		 62.81   	 -30.52		
 25.94   	191.35   	 65.11   	 -50.86		 62.69   	 -25.43		
 23.50   	213.01   	 64.90   	 -50.86		 62.58   	 -40.69		
 21.97   	203.55   	 64.70   	 -50.86		 62.42   	 -61.04		
 25.33   	183.11   	 64.50   	 -45.78		 62.18   	 -45.78		
 34.48   	172.73   	 64.31   	 -50.86		 61.99   	 -10.17		
 44.56   	175.78   	 64.11   	 -50.86		 61.95   	 -15.26		
 50.35   	181.58   	 63.91   	 -45.78		 61.89   	 -40.69		
 49.13   	180.66   	 63.72   	 -45.78		 61.73   	 -40.69		
 43.03   	174.56   	 63.54   	 -40.69		 61.57   	 -40.69		
 36.62   	171.51   	 63.38   	 -45.78		 61.40   	 -55.95		
 33.26   	177.00   	 63.19   	 -40.69		 61.18   	 -45.78		
