  I     	  II     	  LVp     	  LVp'		
-28.08   	-17.09   	  7.00   	   5.09		
-26.25   	  2.44   	  7.02   	  10.17		
-28.69   	 13.43   	  7.06   	  10.17		
-32.65   	 19.23   	  7.10   	   5.09		
-33.57   	 26.55   	  7.12   	  10.17		
-28.99   	 40.89   	  7.16   	   5.09		
-19.53   	 62.56   	  7.18   	   5.09		
 -9.46   	 84.84   	  7.20   	   5.09		
 -2.75   	100.71   	  7.22   	   5.09		
 -0.61   	107.73   	  7.24   	  10.17		
 -1.22   	107.42   	  7.28   	   0.00		
 -1.83   	103.15   	  7.28   	   5.09		
 -0.92   	 97.05   	  7.30   	   5.09		
  1.53   	 88.81   	  7.32   	   5.09		
  2.75   	 76.90   	  7.34   	   5.09		
 -0.61   	 59.81   	  7.37   	   5.09		
-10.38   	 36.62   	  7.39   	   5.09		
-25.33   	  7.02   	  7.41   	   5.09		
-40.59   	-27.77   	  7.43   	  10.17		
-50.96   	-63.78   	  7.47   	   5.09		
-53.71   	-95.21   	  7.49   	   5.09		
-50.66   	-118.10   	  7.51   	  10.17		
-46.69   	-131.53   	  7.55   	  15.26		
-46.08   	-138.24   	  7.61   	  10.17		
-50.35   	-142.21   	  7.65   	  15.26		
-57.68   	-146.18   	  7.71   	  15.26		
-64.09   	-150.76   	  7.77   	  20.35		
-67.75   	-155.03   	  7.85   	  25.43		
-67.14   	-157.78   	  7.96   	  20.35		
-62.87   	-157.47   	  8.04   	  25.43		
-56.15   	-153.81   	  8.14   	  25.43		
-49.44   	-149.54   	  8.24   	  30.52		
-47.30   	-148.62   	  8.36   	  25.43		
-51.88   	-152.89   	  8.46   	  30.52		
-60.73   	-160.52   	  8.59   	  25.43		
-68.97   	-166.63   	  8.69   	  25.43		
-72.02   	-166.93   	  8.79   	  25.43		
-70.80   	-162.35   	  8.89   	  20.35		
-70.19   	-157.78   	  8.97   	  20.35		
-75.38   	-158.39   	  9.05   	  10.17		
-85.75   	-166.93   	  9.09   	  10.17		
-92.77   	-182.19   	  9.14   	  10.17		
-83.62   	-196.23   	  9.18   	   0.00		
-47.61   	-194.40   	  9.18   	   0.00		
 18.01   	-159.00   	  9.18   	   0.00		
106.81   	-74.77   	  9.18   	   0.00		
202.64   	 59.51   	  9.18   	  -5.09		
283.51   	224.61   	  9.16   	   0.00		
326.23   	377.81   	  9.16   	   5.09		
310.36   	467.22(R)	  9.18   	  10.17		
228.27   	453.19   	  9.22   	  15.26		
 92.47   	331.42   	  9.28   	  20.35		
-59.51   	141.30   	  9.36   	  30.52		
-180.36   	-48.22   	  9.48   	  40.69		
-234.68   	-175.78   	  9.64   	  50.86		
-219.73   	-217.59   	  9.85   	  61.04		
-164.18   	-195.31   	 10.09   	  86.47		
-108.95   	-153.20   	 10.44   	 106.82		
-78.74   	-125.73   	 10.86   	 132.25		
-72.94   	-122.68   	 11.39   	 162.77		
-76.29   	-132.14   	 12.04   	 208.54		
-75.68   	-138.55   	 12.88   	 254.32		
-68.97   	-135.80   	 13.90   	 310.27		
-62.26   	-128.48   	 15.14   	 376.40		
-59.81   	-122.07   	 16.64   	 437.43		
-60.42   	-119.63   	 18.39   	 508.65		
-60.73   	-119.32   	 20.43   	 579.86		
-58.90   	-119.02   	 22.75   	 640.89		
