  I     	  II     	  FA     	  FA'		  LV     	  LV'		
-65.31   	-77.82   	 68.10   	 -35.61		 14.22   	 310.27		
-63.17   	-54.93   	 67.95   	 -40.69		 15.46   	 376.40		
-57.37   	-43.33   	 67.79   	 -40.69		 16.97   	 462.87		
-53.10   	-44.25   	 67.63   	 -40.69		 18.82   	 544.25		
-51.27   	-52.49   	 67.47   	 -45.78		 21.00   	 635.81		
-47.91   	-60.42   	 67.28   	 -45.78		 23.54   	 722.28		
-41.20   	-62.87   	 67.10   	 -50.86		 26.43   	 813.83		
-32.96   	-60.73   	 66.90   	 -50.86		 29.68   	 890.13		
-29.30   	-58.29   	 66.69   	 -55.95		 33.25   	 956.25		
-31.13   	-58.90   	 66.47   	 -50.86		 37.07   	1002.03		
-35.71   	-62.56   	 66.27   	 -55.95		 41.08   	1032.55		
-40.59   	-67.75   	 66.04   	 -55.95		 45.21   	1032.55		
-43.03   	-69.89   	 65.82   	 -50.86		 49.34   	1022.38		
-43.33   	-69.58   	 65.62   	 -50.86		 53.43   	 996.94		
-42.72   	-68.66   	 65.41   	 -50.86		 57.42   	 956.25		
-40.89   	-69.27   	 65.21   	 -45.78		 61.24   	 910.47		
-37.84   	-69.27   	 65.03   	 -40.69		 64.88   	 859.61		
-34.18   	-65.61   	 64.86   	 -40.69		 68.32   	 813.83		
-31.43   	-57.37   	 64.70   	 -30.52		 71.58   	 778.23		
-31.13   	-48.22   	 64.58   	 -35.61		 74.69   	 737.54		
-32.96   	-44.56   	 64.44   	 -25.43		 77.64   	 712.10		
-34.79   	-48.22   	 64.33   	 -20.35		 80.49   	 686.67		
-35.40   	-57.07   	 64.25   	 -15.26		 83.23   	 666.32		
-35.10   	-65.92   	 64.19(D)	   0.00		 85.90   	 640.89		
-34.79   	-69.27   	 64.19   	  30.52		 88.46   	 620.55		
-34.18   	-64.70   	 64.31   	  66.12		 90.95   	 595.11		
-32.04   	-54.32   	 64.58   	 132.25		 93.33   	 564.60		
-26.55   	-41.81   	 65.11   	 223.80		 95.58   	 534.08		
-18.01   	-31.13   	 66.00   	 320.45		 97.72   	 498.47		
-10.38   	-26.25   	 67.28   	 432.35		 99.71   	 467.95		
 -7.32   	-28.08   	 69.01   	 528.99		101.59   	 427.26		
 -9.16   	-32.65   	 71.13   	 605.29		103.30   	 401.83		
-13.43   	-35.10   	 73.55   	 661.24		104.90   	 371.31		
-15.26   	-32.35   	 76.20   	 686.67		106.39   	 340.79		
-11.29   	-25.02   	 78.94   	 707.02		107.75   	 320.45		
 -2.75   	-17.40   	 81.77   	 701.93		109.03   	 300.10		
  6.41   	-14.04   	 84.58   	 696.84		110.23   	 279.75		
 12.82   	-14.95   	 87.36   	 676.50		111.35   	 259.41		
 16.17   	-16.48   	 90.07   	 661.24		112.39   	 249.24		
 17.40   	-15.26   	 92.72   	 640.89		113.39   	 233.98		
 18.01   	-10.68   	 95.28   	 620.55		114.32   	 228.89		
 19.53   	 -4.27   	 97.76   	 600.20		115.24   	 218.72		
 21.67   	  2.14   	100.16   	 579.86		116.11   	 218.72		
 24.72   	  7.32   	102.48   	 554.42		116.99   	 218.72		
 28.69   	 12.21   	104.70   	 534.08		117.86   	 213.63		
 34.18   	 17.09   	106.84   	 508.65		118.72   	 208.54		
 40.89   	 20.45   	108.87   	 483.21		119.55   	 203.46		
 48.22   	 23.19   	110.80   	 457.78		120.37   	 198.37		
 55.54   	 28.08   	112.63   	 427.26		121.16   	 188.20		
 63.17   	 38.76   	114.34   	 406.92		121.91   	 178.03		
 70.80   	 54.63   	115.97   	 381.48		122.62   	 172.94		
 76.60   	 70.80   	117.50   	 361.14		123.32   	 162.77		
 79.96   	 80.57   	118.94   	 335.71		123.97   	 162.77		
 83.31   	 83.01   	120.28   	 320.45		124.62   	 157.68		
 89.42   	 83.31   	121.57   	 305.19		125.25   	 157.68		
 98.88   	 87.59   	122.79   	 279.75		125.88   	 157.68		
109.25   	 97.96   	123.91   	 269.58		126.51   	 152.59		
115.97   	110.78   	124.98   	 249.24		127.12   	 142.42		
115.05   	120.54   	125.98   	 228.89		127.69   	 132.25		
107.42   	125.12   	126.90   	 208.54		128.22   	 122.07		
 96.74   	126.04   	127.73   	 198.37		128.71   	 106.82		
 86.06   	123.29   	128.52   	 178.03		129.13   	  91.56		
 77.51   	117.49   	129.24   	 157.68		129.50   	  76.30		
 71.72   	109.56   	129.87   	 147.51		129.81   	  66.12		
 67.14   	100.71   	130.46   	 127.16		130.07   	  61.04		
 62.87   	 92.47   	130.97   	 116.99		130.31   	  50.86		
 55.54   	 84.53   	131.43   	  96.64		130.52   	  40.69		
 43.03   	 74.16   	131.82   	  81.38		130.68   	  35.61		
 26.25   	 60.12   	132.15   	  71.21		130.82   	  20.35		
  7.93   	 43.33   	132.43   	  55.95		130.90   	   5.09		
 -8.85   	 26.55   	132.65   	  40.69		130.93(S)	 -10.17		
-20.75   	 11.90   	132.82   	  30.52		130.88   	 -20.35		
-27.47   	  0.61   	132.94   	  15.26		130.80   	 -35.61		
-31.13   	 -8.85   	133.00   	   5.09		130.66   	 -45.78		
-33.87   	-17.40   	133.02(S)	  -5.09		130.48   	 -61.04		
-36.01   	-24.72   	133.00   	 -15.26		130.23   	 -71.21		
-38.45   	-31.13   	132.94   	 -30.52		129.95   	 -76.30		
-39.67   	-36.32   	132.82   	 -35.61		129.64   	 -91.56		
-39.37   	-39.37   	132.67   	 -50.86		129.28   	-106.82		
-37.84   	-39.67   	132.47   	 -61.04		128.85   	-116.99		
-36.32   	-37.84   	132.23   	 -71.21		128.38   	-132.25		
-36.32   	-36.01   	131.94   	 -86.47		127.85   	-152.59		
-37.23   	-34.79   	131.60   	 -91.56		127.24   	-172.94		
-38.76   	-36.32   	131.23   	-106.82		126.55   	-203.46		
-41.20   	-40.28   	130.80   	-122.07		125.74   	-228.89		
-43.64   	-44.25   	130.31   	-127.16		124.82   	-264.50		
-46.39   	-46.08   	129.81   	-147.51		123.76   	-310.27		
-48.22   	-45.47   	129.22   	-152.59		122.52   	-356.05		
-48.83   	-42.72   	128.61   	-172.94		121.10   	-417.09		
-45.47   	-39.98   	127.91   	-183.11		119.43   	-473.04		
-39.37   	-39.37   	127.18   	-203.46		117.54   	-539.16		
-33.87   	-41.20   	126.37   	-218.72		115.38   	-610.37		
-32.96   	-42.72   	125.49   	-233.98		112.94   	-696.84		
-37.84   	-42.42   	124.56   	-259.41		110.15   	-778.23		
-44.86   	-39.67   	123.52   	-274.67		107.04   	-869.78		
-49.13   	-35.40   	122.42   	-300.10		103.56   	-951.17		
-47.61   	-31.74   	121.22   	-320.45		 99.76   	-1027.46		
-43.33   	-30.52   	119.94   	-345.88		 95.65   	-1078.33		
-42.11   	-32.04   	118.55   	-361.14		 91.33   	-1124.11		
-46.39   	-36.62   	117.11   	-381.48		 86.84   	-1149.54		
-51.88   	-42.11   	115.58   	-401.83		 82.24   	-1149.54		
-51.57   	-45.17   	113.98   	-406.92		 77.64   	-1144.45		
-44.25   	-43.64   	112.35   	-406.92		 73.06   	-1124.11		
-33.26   	-37.54   	110.72   	-401.83		 68.57   	-1093.59		
-25.94   	-29.60   	109.11   	-381.48		 64.19   	-1057.98		
-26.86   	-24.72   	107.59   	-366.22		 59.96   	-1022.38		
-32.65   	-25.02   	106.12   	-335.71		 55.87   	-986.77		
-38.15   	-29.30   	104.78   	-315.36		 51.92   	-940.99		
-38.45   	-34.18   	103.52   	-289.93		 48.16   	-895.22		
-33.57   	-35.10   	102.36   	-264.50		 44.58   	-849.44		
-26.86   	-31.13   	101.30   	-249.24		 41.18   	-803.66		
-22.89   	-25.02   	100.30   	-223.80		 37.97   	-752.79		
-23.19   	-20.75   	 99.41   	-213.63		 34.95   	-696.84		
-26.25   	-20.14   	 98.56   	-198.37		 32.17   	-640.89		
-29.60   	-23.80   	 97.76   	-183.11		 29.60   	-595.11		
-29.60   	-29.60   	 97.03   	-178.03		 27.22   	-544.25		
-26.86   	-34.18   	 96.32   	-167.85		 25.05   	-503.56		
-23.50   	-36.32   	 95.65   	-162.77		 23.03   	-462.87		
-23.80   	-36.01   	 94.99   	-152.59		 21.18   	-427.26		
-27.77   	-35.10   	 94.38   	-152.59		 19.47   	-396.74		
-33.26   	-35.71   	 93.77   	-147.51		 17.88   	-366.22		
-36.93   	-38.76   	 93.18   	-142.42		 16.42   	-330.62		
-37.54   	-43.95   	 92.61   	-137.33		 15.10   	-295.01		
-36.32   	-49.13   	 92.06   	-132.25		 13.92   	-264.50		
-34.79   	-51.27   	 91.54   	-132.25		 12.86   	-228.89		
-33.87   	-49.13   	 91.01   	-127.16		 11.94   	-198.37		
-32.04   	-45.17   	 90.50   	-127.16		 11.15   	-167.85		
-28.99   	-42.11   	 89.99   	-116.99		 10.48   	-147.51		
-26.86   	-43.64   	 89.52   	-122.07		  9.89   	-122.07		
-27.77   	-48.83   	 89.03   	-111.90		  9.40   	-106.82		
-33.26   	-53.10   	 88.59   	-111.90		  8.97   	 -91.56		
-41.20   	-53.41   	 88.14   	-106.82		  8.61   	 -71.21		
-46.69   	-50.05   	 87.71   	-106.82		  8.32   	 -61.04		
-47.30   	-47.91   	 87.28   	-101.73		  8.08   	 -50.86		
-43.33   	-50.35   	 86.88   	 -96.64		  7.87   	 -35.61		
-38.76   	-56.15   	 86.49   	 -91.56		  7.73   	 -30.52		
-38.15   	-61.65   	 86.12   	 -91.56		  7.61   	 -20.35		
-41.81   	-63.48   	 85.76   	 -91.56		  7.53   	 -20.35		
-45.47   	-60.42   	 85.39   	 -86.47		  7.45   	 -15.26		
-43.95   	-56.15   	 85.05   	 -86.47		  7.39   	 -10.17		
-37.54   	-54.32   	 84.70   	 -81.38		  7.34   	 -15.26		
-29.30   	-54.93   	 84.37   	 -81.38		  7.28   	 -15.26		
-26.55   	-57.37   	 84.05   	 -81.38		  7.22   	 -15.26		
-31.13   	-59.81   	 83.72   	 -76.30		  7.16   	 -15.26		
-38.76   	-58.90   	 83.42   	 -76.30		  7.10   	 -15.26		
-42.11   	-52.80   	 83.11   	 -76.30		  7.04   	 -15.26		
-38.15   	-41.81   	 82.81   	 -76.30		  6.98   	 -15.26		
-29.60   	-28.69   	 82.50   	 -76.30		  6.92   	 -10.17		
-24.11   	-17.40   	 82.20   	 -76.30		  6.88   	  -5.09		
-26.25   	-12.21   	 81.89   	 -71.21		  6.86   	   0.00		
-32.96   	-12.51   	 81.61   	 -71.21		  6.86   	  -5.09		
-36.93   	-14.34   	 81.32   	 -71.21		  6.84(D)	   5.09		
-34.18   	-14.34   	 81.04   	 -71.21		  6.86   	   5.09		
-26.25   	-10.68   	 80.75   	 -71.21		  6.88   	  10.17		
-17.09   	 -4.27   	 80.47   	 -66.12		  6.92   	  10.17		
 -9.46   	  3.66   	 80.20   	 -66.12		  6.96   	  10.17		
 -2.75   	 12.21   	 79.94   	 -66.12		  7.00   	  15.26		
  4.58   	 20.45   	 79.67   	 -66.12		  7.06   	  15.26		
 12.82   	 26.86   	 79.41   	 -66.12		  7.12   	  20.35		
 19.23   	 28.08   	 79.15   	 -66.12		  7.20   	  20.35		
 21.36   	 22.89   	 78.88   	 -61.04		  7.28   	  20.35		
 19.23   	 13.12   	 78.64   	 -66.12		  7.37   	  20.35		
 14.65   	  0.92   	 78.37   	 -61.04		  7.45   	  20.35		
  9.16   	 -9.77   	 78.13   	 -55.95		  7.53   	  20.35		
  3.97   	-17.40   	 77.90   	 -61.04		  7.61   	  15.26		
 -1.22   	-21.36   	 77.66   	 -55.95		  7.67   	  15.26		
 -5.19   	-23.19   	 77.44   	 -55.95		  7.73   	  15.26		
 -8.85   	-27.77   	 77.21   	 -61.04		  7.79   	  10.17		
-12.82   	-39.06   	 76.97   	 -50.86		  7.83   	  15.26		
-18.92   	-57.37   	 76.76   	 -55.95		  7.89   	  10.17		
-27.47   	-77.51   	 76.54   	 -55.95		  7.93   	  15.26		
-37.84   	-91.86   	 76.32   	 -50.86		  8.00   	  15.26		
-46.08   	-95.21   	 76.11   	 -55.95		  8.06   	  20.35		
-50.35   	-91.25   	 75.89   	 -50.86		  8.14   	  20.35		
-50.66   	-86.67   	 75.69   	 -50.86		  8.22   	  30.52		
-49.74   	-86.98   	 75.48   	 -50.86		  8.34   	  30.52		
-49.74   	-91.55   	 75.28   	 -50.86		  8.46   	  40.69		
-50.96   	-95.52   	 75.08   	 -50.86		  8.63   	  40.69		
-51.57   	-94.91   	 74.87   	 -45.78		  8.79   	  45.78		
-50.66   	-91.25   	 74.69   	 -50.86		  8.97   	  45.78		
-49.44   	-89.11   	 74.49   	 -45.78		  9.16   	  50.86		
-50.96   	-92.16   	 74.30   	 -50.86		  9.36   	  45.78		
-56.76   	-97.96   	 74.10   	 -45.78		  9.54   	  50.86		
-63.17   	-102.54   	 73.92   	 -45.78		  9.75   	  50.86		
-66.22   	-101.93   	 73.73   	 -45.78		  9.95   	  50.86		
-64.09   	-96.44   	 73.55   	 -50.86		 10.15   	  45.78		
-59.81   	-90.03   	 73.35   	 -45.78		 10.34   	  45.78		
-58.59   	-87.28   	 73.16   	 -45.78		 10.52   	  50.86		
-65.00   	-89.72   	 72.98   	 -50.86		 10.72   	  45.78		
-78.13   	-93.69   	 72.78   	 -45.78		 10.91   	  40.69		
-90.03   	-88.50   	 72.59   	 -45.78		 11.07   	  45.78		
-88.81   	-60.73   	 72.41   	 -50.86		 11.25   	  40.69		
-61.95   	 -5.49   	 72.21   	 -45.78		 11.41   	  40.69		
 -0.61   	 70.19   	 72.02   	 -45.78		 11.58   	  45.78		
 96.13   	149.23   	 71.84   	 -45.78		 11.76   	  45.78		
217.29   	218.81   	 71.66   	 -40.69		 11.94   	  50.86		
342.41   	283.20   	 71.50   	 -45.78		 12.15   	  55.95		
444.95   	360.41   	 71.31   	 -45.78		 12.37   	  61.04		
498.66   	457.15   	 71.13   	 -45.78		 12.61   	  55.95		
482.18   	547.79   	 70.95   	 -40.69		 12.84   	  61.04		
390.01   	589.60(R)	 70.78   	 -45.78		 13.08(E)	  61.04		
239.56   	547.49   	 70.60   	 -45.78		 13.33   	  61.04		
 70.80   	422.06   	 70.42   	 -45.78		 13.57   	  61.04		
-67.75   	257.26   	 70.23   	 -45.78		 13.81   	  66.12		
-142.21   	107.42   	 70.05   	 -40.69		 14.08   	  76.30		
-149.84   	  2.75   	 69.89   	 -45.78		 14.38   	  96.64		
-116.58   	-54.93   	 69.70   	 -40.69		 14.77   	 127.16		
-77.82   	-80.57   	 69.54   	 -40.69		 15.28   	 162.77		
-55.85   	-89.11   	 69.38   	 -40.69		 15.93   	 208.54		
-52.19   	-86.98   	 69.22   	 -45.78		 16.76   	 269.58		
-57.37   	-75.68   	 69.03   	 -40.69		 17.84   	 335.71		
-62.26   	-59.81   	 68.87   	 -40.69		 19.19   	 406.92		
-63.78   	-47.00   	 68.71   	 -45.78		 20.81   	 488.30		
-62.26   	-43.03   	 68.52   	 -45.78		 22.77   	 569.68		
-58.90   	-46.69   	 68.34   	 -45.78		 25.05   	 661.24		
-54.93   	-54.32   	 68.16   	 -50.86		 27.69   	 752.79		
-52.49   	-62.56   	 67.95   	 -50.86		 30.70   	 834.18		
-53.41   	-69.27   	 67.75   	 -55.95		 34.04   	 910.47		
-56.15   	-73.24   	 67.53   	 -55.95		 37.68   	 971.51		
-58.59   	-75.07   	 67.30   	 -61.04		 41.57   	1017.29		
-56.46   	-74.16   	 67.06   	 -55.95		 45.64   	1032.55		
-49.13   	-69.27   	 66.84   	 -55.95		 49.77   	1027.46		
-40.28   	-62.26   	 66.61   	 -55.95		 53.88   	1007.12		
-34.18   	-56.76   	 66.39   	 -50.86		 57.90   	 966.43		
-34.79   	-55.54   	 66.18   	 -50.86		 61.77   	 925.73		
-42.42   	-59.81   	 65.98   	 -45.78		 65.47   	 874.87		
-52.80   	-66.53   	 65.80   	 -40.69		 68.97   	 824.00		
-58.59   	-71.11   	 65.64   	 -35.61		 72.27   	 783.31		
-55.85   	-69.89   	 65.49   	 -35.61		 75.40   	 742.62		
-45.17   	-62.56   	 65.35   	 -25.43		 78.37   	 712.10		
-32.96   	-53.10   	 65.25   	 -25.43		 81.22   	 681.58		
-25.94   	-45.78   	 65.15   	 -10.17		 83.95   	 661.24		
-24.72   	-42.72   	 65.11(D)	   0.00		 86.59   	 640.89		
-24.72   	-43.33   	 65.11   	  20.35		 89.16   	 620.55		
-23.19   	-45.78   	 65.19   	  61.04		 91.64   	 595.11		
-20.14   	-47.00   	 65.43   	 122.07		 94.02   	 564.60		
-18.31   	-46.08   	 65.92   	 193.29		 96.28   	 539.16		
-19.53   	-44.25   	 66.69   	 295.01		 98.43   	 513.73		
-22.58   	-43.33   	 67.87   	 396.74		100.49   	 473.04		
-24.41   	-43.03   	 69.46   	 498.47		102.38   	 447.61		
-23.19   	-42.11   	 71.45   	 579.86		104.17   	 412.00		
-20.75   	-37.84   	 73.77   	 640.89		105.82   	 386.57		
-19.23   	-30.82   	 76.34   	 681.58		107.36   	 356.05		
-19.23   	-22.89   	 79.06   	 696.84		108.79   	 330.62		
-18.62   	-17.09   	 81.85   	 707.02		110.11   	 310.27		
-14.65   	-14.34   	 84.68   	 701.93		111.35   	 289.93		
 -6.41   	-13.43   	 87.49   	 696.84		112.51   	 279.75		
  4.58   	-11.90   	 90.27   	 676.50		113.63   	 264.50		
 14.65   	 -8.85   	 92.98   	 666.32		114.69   	 254.32		
 20.75   	 -4.27   	 95.65   	 645.98		115.71   	 249.24		
 21.97   	  0.92   	 98.23   	 630.72		116.70   	 239.06		
 21.36   	  6.41   	100.75   	 615.46		117.66   	 233.98		
 20.14   	 11.90   	103.21   	 600.20		118.60   	 233.98		
 19.84   	 18.01   	105.62   	 579.86		119.53   	 233.98		
 22.89   	 25.63   	107.93   	 554.42		120.47   	 233.98		
 30.82   	 34.79   	110.15   	 534.08		121.40   	 223.80		
 42.11   	 43.64   	112.29   	 503.56		122.30   	 223.80		
 54.32   	 50.05   	114.30   	 473.04		123.19   	 208.54		
 64.09   	 53.71   	116.19   	 447.61		124.03   	 203.46		
 70.19   	 54.63   	117.99   	 422.18		124.84   	 198.37		
 73.55   	 56.76   	119.67   	 391.66		125.64   	 193.29		
 77.21   	 62.26   	121.24   	 371.31		126.41   	 193.29		
 81.48   	 71.72   	122.73   	 345.88		127.18   	 193.29		
 86.36   	 81.79   	124.11   	 325.53		127.95   	 188.20		
 90.94   	 91.86   	125.41   	 305.19		128.71   	 183.11		
 96.13   	100.40   	126.63   	 284.84		129.44   	 167.85		
101.01   	107.42   	127.77   	 264.50		130.11   	 152.59		
104.68   	112.30   	128.83   	 244.15		130.72   	 137.33		
106.20   	116.88   	129.81   	 233.98		131.27   	 116.99		
107.73   	121.46   	130.74   	 213.63		131.74   	  96.64		
110.78   	126.04   	131.60   	 193.29		132.13   	  86.47		
112.92   	129.70   	132.37   	 183.11		132.47   	  76.30		
109.86   	129.39   	133.10   	 162.77		132.78   	  61.04		
 97.66   	122.68   	133.75   	 147.51		133.02   	  61.04		
 78.13   	110.78   	134.34   	 132.25		133.26   	  55.95		
 57.07   	 97.96   	134.87   	 116.99		133.49   	  50.86		
 39.06   	 86.06   	135.34   	  96.64		133.69   	  50.86		
 25.02   	 73.85   	135.73   	  81.38		133.90   	  45.78		
 14.95   	 59.20   	136.05   	  66.12		134.08   	  40.69		
  7.93   	 41.81   	136.32   	  50.86		134.24   	  25.43		
  2.75   	 25.02   	136.52   	  40.69		134.34   	  15.26		
 -1.83   	 11.90   	136.68   	  25.43		134.40(S)	   0.00		
 -8.85   	  2.75   	136.78   	  10.17		134.40   	 -10.17		
-19.53   	 -5.19   	136.83(S)	  -5.09		134.36   	 -30.52		
-32.04   	-14.95   	136.81   	 -15.26		134.24   	 -45.78		
-43.03   	-26.55   	136.74   	 -25.43		134.06   	 -55.95		
-50.35   	-37.84   	136.64   	 -40.69		133.83   	 -71.21		
-53.71   	-45.78   	136.48   	 -55.95		133.55   	 -81.38		
-53.71   	-49.74   	136.26   	 -61.04		133.22   	 -91.56		
-50.96   	-51.57   	136.01   	 -76.30		132.86   	-106.82		
-47.00   	-53.10   	135.71   	 -81.38		132.43   	-127.16		
-43.95   	-54.02   	135.38   	 -96.64		131.92   	-142.42		
-43.95   	-53.41   	134.99   	-106.82		131.35   	-167.85		
-46.08   	-50.05   	134.57   	-116.99		130.68   	-188.20		
-46.39   	-43.64   	134.10   	-127.16		129.93   	-218.72		
-43.33   	-37.84   	133.59   	-137.33		129.05   	-249.24		
-39.98   	-36.32   	133.04   	-152.59		128.06   	-295.01		
-39.67   	-40.59   	132.43   	-162.77		126.88   	-335.71		
-43.64   	-49.13   	131.78   	-178.03		125.53   	-381.48		
-48.22   	-56.76   	131.07   	-193.29		124.01   	-437.43		
-47.91   	-58.90   	130.29   	-203.46		122.26   	-493.39		
-43.03   	-55.54   	129.48   	-223.80		120.28   	-554.42		
-38.76   	-49.13   	128.59   	-239.06		118.07   	-620.55		
-39.98   	-42.72   	127.63   	-259.41		115.58   	-691.76		
-46.08   	-39.67   	126.59   	-274.67		112.82   	-773.14		
-53.41   	-40.28   	125.49   	-295.01		109.72   	-864.70		
-56.15   	-43.33   	124.31   	-320.45		106.27   	-946.08		
-53.41   	-47.00   	123.03   	-340.79		102.48   	-1022.38		
-47.30   	-49.13   	121.67   	-361.14		 98.39   	-1088.50		
-41.50   	-48.22   	120.22   	-376.40		 94.04   	-1134.28		
-37.84   	-44.56   	118.72   	-396.74		 89.50   	-1154.62		
-36.32   	-39.67   	117.13   	-406.92		 84.88   	-1164.80		
-37.54   	-35.71   	115.50   	-417.09		 80.22   	-1149.54		
-40.28   	-32.96   	113.83   	-412.00		 75.63   	-1119.02		
-43.33   	-31.43   	112.19   	-401.83		 71.15   	-1088.50		
-44.86   	-31.43   	110.58   	-381.48		 66.80   	-1047.81		
-43.33   	-31.13   	109.05   	-361.14		 62.60   	-1007.12		
-38.76   	-30.82   	107.61   	-335.71		 58.58   	-966.43		
-32.65   	-30.52   	106.27   	-310.27		 54.71   	-935.91		
-26.86   	-30.21   	105.03   	-284.84		 50.97   	-890.13		
-22.58   	-30.52   	103.89   	-259.41		 47.41   	-854.52		
-20.75   	-30.52   	102.85   	-244.15		 43.99   	-808.75		
-21.97   	-29.30   	101.87   	-223.80		 40.75   	-757.88		
-26.55   	-27.47   	100.98   	-213.63		 37.72   	-707.02		
-34.18   	-27.77   	100.12   	-198.37		 34.89   	-651.07		
-42.72   	-32.04   	 99.33   	-193.29		 32.29   	-600.20		
-47.91   	-39.37   	 98.56   	-183.11		 29.89   	-549.34		
-47.00   	-45.17   	 97.82   	-178.03		 27.69   	-508.65		
-41.20   	-46.69   	 97.11   	-172.94		 25.66   	-467.95		
-34.18   	-43.64   	 96.42   	-172.94		 23.78   	-432.35		
-30.82   	-41.50   	 95.73   	-162.77		 22.05   	-401.83		
-32.35   	-43.95   	 95.08   	-157.68		 20.45   	-371.31		
-35.40   	-49.13   	 94.45   	-157.68		 18.96   	-340.79		
-36.01   	-53.10   	 93.81   	-152.59		 17.60   	-310.27		
-33.26   	-51.57   	 93.20   	-142.42		 16.36   	-274.67		
-29.91   	-46.39   	 92.63   	-142.42		 15.26   	-244.15		
-30.21   	-43.03   	 92.06   	-137.33		 14.28   	-208.54		
-35.71   	-45.78   	 91.52   	-132.25		 13.45   	-183.11		
-42.42   	-51.88   	 90.99   	-127.16		 12.72   	-147.51		
-44.86   	-57.07   	 90.48   	-127.16		 12.13   	-127.16		
-42.72   	-58.29   	 89.97   	-116.99		 11.62   	-101.73		
-38.76   	-56.15   	 89.50   	-116.99		 11.21   	 -86.47		
-37.23   	-55.85   	 89.03   	-111.90		 10.86   	 -71.21		
-40.89   	-59.51   	 88.59   	-106.82		 10.58   	 -61.04		
-46.39   	-63.78   	 88.16   	-101.73		 10.34   	 -45.78		
-50.05   	-64.39   	 87.75   	-101.73		 10.15   	 -45.78		
-49.13   	-60.73   	 87.34   	 -96.64		  9.97   	 -30.52		
-45.78   	-55.85   	 86.96   	 -96.64		  9.85   	 -30.52		
-42.72   	-54.32   	 86.57   	 -91.56		  9.73   	 -25.43		
-41.81   	-57.68   	 86.21   	 -86.47		  9.62   	 -20.35		
-42.11   	-62.87   	 85.86   	 -86.47		  9.54   	 -20.35		
-42.72   	-66.22   	 85.51   	 -81.38		  9.46   	 -15.26		
-43.03   	-67.75   	 85.19   	 -81.38		  9.40   	 -20.35		
-43.03   	-68.36   	 84.86   	 -76.30		  9.32   	 -15.26		
-44.56   	-66.22   	 84.56   	 -81.38		  9.26   	 -20.35		
-46.39   	-57.98   	 84.23   	 -76.30		  9.18   	 -15.26		
-45.78   	-41.20   	 83.93   	 -71.21		  9.11   	 -20.35		
-39.67   	-18.31   	 83.64   	 -76.30		  9.03   	 -15.26		
-28.38   	  3.97   	 83.34   	 -71.21		  8.97   	 -15.26		
-16.48   	 17.40   	 83.05   	 -76.30		  8.91   	  -5.09		
-10.68   	 19.23   	 82.75   	 -71.21		  8.89   	  -5.09		
-13.73   	 11.29   	 82.46   	 -71.21		  8.87(D)	   5.09		
-22.28   	 -1.53   	 82.18   	 -71.21		  8.89   	   5.09		
-29.30   	-13.43   	 81.89   	 -71.21		  8.91   	  10.17		
-28.38   	-18.31   	 81.61   	 -71.21		  8.95   	  15.26		
-19.84   	-12.82   	 81.32   	 -71.21		  9.01   	  15.26		
 -9.77   	  1.22   	 81.04   	 -66.12		  9.07   	  10.17		
 -4.27   	 17.70   	 80.77   	 -71.21		  9.11   	  15.26		
 -3.05   	 28.69   	 80.49   	 -66.12		  9.18   	  10.17		
 -1.22   	 28.99   	 80.22   	 -71.21		  9.22   	  10.17		
  6.10   	 19.53   	 79.94   	 -66.12		  9.26   	  10.17		
 19.53   	  6.41   	 79.67   	 -66.12		  9.30   	   5.09		
 32.65   	 -5.19   	 79.41   	 -66.12		  9.32   	   5.09		
 37.54   	-13.12   	 79.15   	 -61.04		  9.34   	   5.09		
 30.82   	-19.23   	 78.90   	 -66.12		  9.36   	   0.00		
 15.87   	-25.33   	 78.64   	 -61.04		  9.36   	   0.00		
 -0.31   	-33.87   	 78.39   	 -61.04		  9.36   	   0.00		
-13.12   	-45.17   	 78.15   	 -61.04		  9.36   	   0.00		
-21.36   	-57.37   	 77.90   	 -66.12		  9.36   	   0.00		
-27.16   	-68.36   	 77.64   	 -61.04		  9.36   	   0.00		
-32.65   	-76.29   	 77.40   	 -61.04		  9.36   	   5.09		
-37.84   	-81.18   	 77.15   	 -61.04		  9.38   	   5.09		
-42.72   	-84.84   	 76.91   	 -61.04		  9.40   	  10.17		
-46.39   	-90.33   	 76.66   	 -61.04		  9.44   	  15.26		
-49.13   	-97.66   	 76.42   	 -61.04		  9.50   	  15.26		
-51.57   	-104.68   	 76.17   	 -61.04		  9.56   	  25.43		
-54.63   	-108.64   	 75.93   	 -61.04		  9.66   	  25.43		
-57.68   	-108.95   	 75.69   	 -55.95		  9.77   	  35.61		
-58.59   	-105.59   	 75.46   	 -55.95		  9.91   	  35.61		
-57.37   	-101.01   	 75.24   	 -55.95		 10.05   	  45.78		
-56.15   	-98.57   	 75.01   	 -55.95		 10.23   	  40.69		
-57.37   	-99.79   	 74.79   	 -55.95		 10.40   	  50.86		
-61.65   	-104.98   	 74.57   	 -50.86		 10.60   	  45.78		
-66.22   	-111.69   	 74.36   	 -55.95		 10.78   	  45.78		
-67.14   	-115.97   	 74.14   	 -50.86		 10.97   	  40.69		
-63.17   	-115.36   	 73.94   	 -50.86		 11.13   	  45.78		
-56.76   	-110.47   	 73.73   	 -55.95		 11.31   	  40.69		
-52.19   	-104.06   	 73.51   	 -50.86		 11.48   	  35.61		
-54.63   	-100.10   	 73.31   	 -55.95		 11.62   	  35.61		
