  I     	  II     	  FA     	  FA'		  LV     	  LV'		
-32.96   	-22.58   	 97.78   	-172.94		 26.80   	-488.30		
-29.91   	-24.41   	 97.09   	-167.85		 24.84   	-447.61		
-25.02   	-23.80   	 96.42   	-162.77		 23.05   	-412.00		
-21.97   	-23.19   	 95.77   	-157.68		 21.40   	-376.40		
-23.19   	-24.72   	 95.14   	-152.59		 19.90   	-350.97		
-26.86   	-28.08   	 94.53   	-147.51		 18.49   	-320.45		
-28.38   	-31.74   	 93.94   	-147.51		 17.21   	-284.84		
-26.25   	-33.87   	 93.35   	-137.33		 16.07   	-254.32		
-23.80   	-34.79   	 92.80   	-132.25		 15.06   	-223.80		
-24.41   	-34.79   	 92.27   	-132.25		 14.16   	-198.37		
-29.60   	-34.48   	 91.74   	-127.16		 13.37   	-162.77		
-36.01   	-33.87   	 91.23   	-122.07		 12.72   	-142.42		
-38.45   	-34.48   	 90.74   	-122.07		 12.15   	-116.99		
-35.10   	-36.62   	 90.25   	-111.90		 11.68   	-101.73		
-28.99   	-39.06   	 89.81   	-116.99		 11.27   	 -81.38		
-24.72   	-39.37   	 89.34   	-106.82		 10.95   	 -71.21		
-24.72   	-36.93   	 88.91   	-106.82		 10.66   	 -61.04		
-27.77   	-32.96   	 88.48   	-101.73		 10.42   	 -55.95		
-32.04   	-31.74   	 88.08   	-101.73		 10.19   	 -45.78		
-35.40   	-36.32   	 87.67   	 -96.64		 10.01   	 -40.69		
-36.01   	-44.86   	 87.28   	 -91.56		  9.85   	 -30.52		
-35.40   	-51.88   	 86.92   	 -91.56		  9.73   	 -30.52		
-35.40   	-52.49   	 86.55   	 -86.47		  9.60   	 -20.35		
-37.54   	-46.69   	 86.21   	 -86.47		  9.52   	 -20.35		
-42.11   	-37.84   	 85.86   	 -81.38		  9.44   	 -15.26		
-46.08   	-32.04   	 85.53   	 -81.38		  9.38   	 -20.35		
-46.69   	-30.82   	 85.21   	 -81.38		  9.30   	 -10.17		
-42.11   	-32.96   	 84.88   	 -76.30		  9.26   	 -15.26		
-34.18   	-33.57   	 84.58   	 -76.30		  9.20   	 -15.26		
-27.47   	-29.60   	 84.27   	 -76.30		  9.14   	 -15.26		
-25.63   	-20.14   	 83.97   	 -76.30		  9.07   	  -5.09		
-27.16   	 -5.80   	 83.66   	 -71.21		  9.05   	 -10.17		
-27.16   	 10.38   	 83.38   	 -71.21		  9.01   	   0.00		
