  I     	  II     	  AO     	  AO'		
-81.79   	-136.11   	 92.63   	 -91.56		
-80.57   	-135.50   	 92.27   	 -86.47		
-77.82   	-129.39   	 91.92   	 -86.47		
-74.77   	-119.32   	 91.58   	 -81.38		
-72.33   	-108.34   	 91.25   	 -76.30		
-71.11   	-100.10   	 90.95   	 -81.38		
-70.50   	-95.83   	 90.62   	 -76.30		
-69.58   	-94.30   	 90.32   	 -76.30		
-66.83   	-92.77   	 90.01   	 -71.21		
-62.56   	-89.11   	 89.72   	 -76.30		
-56.76   	-80.26   	 89.42   	 -71.21		
-50.05   	-66.83   	 89.13   	 -71.21		
-43.03   	-50.66   	 88.85   	 -71.21		
-36.62   	-35.40   	 88.57   	 -71.21		
-31.13   	-23.19   	 88.28   	 -76.30		
-25.94   	-14.34   	 87.98   	 -66.12		
-21.36   	 -6.41   	 87.71   	 -71.21		
-18.31   	 -0.61   	 87.43   	 -71.21		
-18.31   	  0.61   	 87.14   	 -71.21		
-22.58   	 -4.27   	 86.86   	 -66.12		
-29.60   	-14.04   	 86.59   	 -66.12		
-36.32   	-25.94   	 86.33   	 -71.21		
-40.89   	-38.15   	 86.04   	 -66.12		
-43.03   	-53.41   	 85.78   	 -61.04		
-47.30   	-73.55   	 85.53   	 -66.12		
-56.46   	-97.05   	 85.27   	 -66.12		
-69.89   	-117.80   	 85.00   	 -66.12		
-83.92   	-130.62   	 84.74   	 -61.04		
-93.69   	-135.80   	 84.50   	 -66.12		
-96.74   	-137.33   	 84.23   	 -61.04		
-95.52   	-140.08   	 83.99   	 -61.04		
-93.99   	-144.96   	 83.74   	 -66.12		
-93.99   	-151.67   	 83.48   	 -61.04		
-96.13   	-157.78   	 83.23   	 -61.04		
-98.27   	-162.05   	 82.99   	 -61.04		
-99.79   	-164.79   	 82.75   	 -61.04		
-100.40   	-165.41   	 82.50   	 -55.95		
-101.01   	-165.41   	 82.28   	 -61.04		
-101.62   	-164.79   	 82.03   	 -55.95		
-102.23   	-164.49   	 81.81   	 -61.04		
-102.84   	-164.79   	 81.57   	 -61.04		
-103.76   	-165.41   	 81.32   	 -55.95		
-106.51   	-166.02   	 81.10   	 -61.04		
-111.69   	-162.96   	 80.85   	 -61.04		
-118.41   	-148.32   	 80.61   	 -61.04		
-121.15   	-110.78   	 80.37   	 -61.04		
-107.73   	-44.25   	 80.12   	 -61.04		
-57.98   	 46.08   	 79.88   	 -66.12		
 49.13   	145.87   	 79.61   	 -66.12		
224.91   	240.48   	 79.35   	 -61.04		
458.98   	324.71   	 79.10   	 -66.12		
714.11   	404.97   	 78.84   	-137.33		
1058.35   	542.30(R)	 78.29   	 -66.12		
1048.58   	540.16   	 78.03   	 -66.12		
901.18   	449.52   	 77.76   	 -66.12		
656.43   	278.32   	 77.50   	 -66.12		
384.83   	 75.38   	 77.23   	 -66.12		
158.08   	-92.77   	 76.97   	 -61.04		
 18.31   	-182.80   	 76.72   	 -66.12		
-35.10   	-193.79   	 76.46   	 -66.12		
-36.32   	-154.72   	 76.20   	 -61.04		
-24.41   	-101.32   	 75.95   	 -61.04		
-21.67   	-56.46   	 75.71   	 -61.04		
-28.69   	-30.82   	 75.46   	 -66.12		
-37.23   	-23.80   	 75.20   	 -61.04		
-41.50   	-30.21   	 74.95   	 -66.12		
-42.72   	-41.20   	 74.69   	 -61.04		
-43.64   	-50.05   	 74.45   	 -66.12		
-45.78   	-53.10   	 74.18   	 -66.12		
-48.22   	-52.19   	 73.92   	 -61.04		
-50.35   	-50.66   	 73.67   	 -61.04		
-51.57   	-50.05   	 73.43   	 -61.04		
-52.49   	-49.44   	 73.18   	 -55.95		
