  I     	  II     	  AOp     	  AOp'		  AO     	  AO'		
-31.13   	-35.10   	 92.45   	-101.73		 93.22   	 -30.52		
-31.74   	-37.23   	 92.04   	 -91.56		 93.10   	 -30.52		
-31.74   	-40.89   	 91.68   	 -91.56		 92.98   	 -30.52		
-31.43   	-46.39   	 91.31   	 -81.38		 92.86   	 -30.52		
-32.35   	-52.80   	 90.99   	 -81.38		 92.74   	 -40.69		
-34.48   	-57.37   	 90.66   	 -81.38		 92.57   	 -45.78		
-36.93   	-58.90   	 90.34   	 -81.38		 92.39   	 -61.04		
-37.84   	-56.46   	 90.01   	 -81.38		 92.15   	 -66.12		
-36.01   	-51.57   	 89.68   	 -81.38		 91.88   	 -81.38		
-32.04   	-46.08   	 89.36   	 -81.38		 91.56   	 -96.64		
-28.08   	-41.81   	 89.03   	 -86.47		 91.17   	-106.82		
-26.25   	-39.67   	 88.69   	 -91.56		 90.74   	-116.99		
-26.86   	-39.98   	 88.32   	 -96.64		 90.27   	-132.25		
-28.08   	-41.50   	 87.93   	 -91.56		 89.75   	-137.33		
-28.99   	-43.64   	 87.57   	 -96.64		 89.20   	-147.51		
-28.69   	-45.78   	 87.18   	 -96.64		 88.61   	-152.59		
-28.08   	-47.61   	 86.80   	 -96.64		 88.00   	-157.68		
-28.08   	-48.83   	 86.41   	 -91.56		 87.36   	-162.77		
-29.30   	-48.52   	 86.04   	 -91.56		 86.71   	-162.77		
-30.52   	-46.69   	 85.68   	 -86.47		 86.06   	-162.77		
-30.82   	-43.03   	 85.33   	 -86.47		 85.41   	-157.68		
-29.30   	-39.98   	 84.98   	 -86.47		 84.78   	-162.77		
-27.47   	-39.06   	 84.64   	 -81.38		 84.13   	-157.68		
-26.25   	-41.50   	 84.31   	 -81.38		 83.50   	-157.68		
-26.25   	-46.08   	 83.99   	 -81.38		 82.87   	-157.68		
-27.16   	-49.74   	 83.66   	 -81.38		 82.24   	-152.59		
-26.86   	-49.74   	 83.34   	 -81.38		 81.63   	-152.59		
-25.94   	-46.69   	 83.01   	 -86.47		 81.02   	-152.59		
-25.02   	-42.42   	 82.66   	 -91.56		 80.41   	-147.51		
-25.94   	-40.28   	 82.30   	 -91.56		 79.82   	-152.59		
-28.08   	-41.20   	 81.93   	 -91.56		 79.21   	-147.51		
-30.21   	-44.25   	 81.57   	-101.73		 78.62   	-142.42		
-30.82   	-47.00   	 81.16   	 -96.64		 78.05   	-142.42		
-29.91   	-47.61   	 80.77   	-106.82		 77.48   	-142.42		
-28.08   	-45.17   	 80.35   	-101.73		 76.91   	-137.33		
-26.86   	-40.59   	 79.94   	-101.73		 76.36   	-137.33		
-25.63   	-36.32   	 79.53   	-106.82		 75.81   	-127.16		
-23.80   	-34.18   	 79.10   	-101.73		 75.30   	-127.16		
-21.67   	-35.71   	 78.70   	-101.73		 74.79   	-116.99		
-20.45   	-40.59   	 78.29   	 -96.64		 74.32   	-111.90		
-21.06   	-46.39   	 77.90   	 -96.64		 73.88   	-106.82		
-23.50   	-50.96   	 77.52   	 -96.64		 73.45   	-101.73		
-26.25   	-52.49   	 77.13   	 -96.64		 73.04   	 -91.56		
-28.08   	-51.27   	 76.74   	 -91.56		 72.68   	 -91.56		
-28.38   	-49.74   	 76.38   	 -86.47		 72.31   	 -81.38		
-27.77   	-48.52   	 76.03   	 -86.47		 71.98   	 -76.30		
-26.86   	-48.22   	 75.69   	 -86.47		 71.68   	 -71.21		
-26.55   	-47.91   	 75.34   	 -76.30		 71.39   	 -61.04		
-26.55   	-46.39   	 75.04   	 -81.38		 71.15   	 -61.04		
-26.86   	-44.25   	 74.71   	 -76.30		 70.91   	 -50.86		
-26.55   	-43.03   	 74.40   	 -71.21		 70.70   	 -50.86		
-25.94   	-43.64   	 74.12   	 -66.12		 70.50   	 -40.69		
-24.41   	-44.86   	 73.86   	 -66.12		 70.34   	 -35.61		
-23.19   	-45.47   	 73.59   	 -61.04		 70.19   	 -30.52		
-22.58   	-44.86   	 73.35   	 -61.04		 70.07   	 -25.43		
-23.19   	-43.33   	 73.10   	 -61.04		 69.97   	 -20.35		
-24.72   	-43.33   	 72.86   	 -55.95		 69.89   	 -15.26		
-26.25   	-45.47   	 72.63   	 -50.86		 69.83   	 -15.26		
-26.86   	-49.44   	 72.43   	 -55.95		 69.77   	 -10.17		
-26.25   	-52.49   	 72.21   	 -55.95		 69.73   	  -5.09		
-24.41   	-51.88   	 71.98   	 -50.86		 69.70   	  -5.09		
-21.97   	-47.00   	 71.78   	 -55.95		 69.68   	  -5.09		
-19.53   	-40.59   	 71.56   	 -55.95		 69.66   	  -5.09		
-19.23   	-35.40   	 71.33   	 -61.04		 69.64   	 -10.17		
-21.36   	-34.18   	 71.09   	 -55.95		 69.60   	 -10.17		
-25.94   	-36.93   	 70.86   	 -61.04		 69.56   	 -10.17		
-29.91   	-42.11   	 70.62   	 -61.04		 69.52   	 -15.26		
-31.43   	-46.69   	 70.38   	 -61.04		 69.46   	 -20.35		
-29.30   	-48.52   	 70.13   	 -66.12		 69.38   	 -20.35		
-25.94   	-47.00   	 69.87   	 -61.04		 69.30   	 -30.52		
-23.50   	-43.03   	 69.62   	 -61.04		 69.18   	 -30.52		
-24.41   	-39.37   	 69.38   	 -55.95		 69.05   	 -30.52		
-27.16   	-37.84   	 69.16   	 -50.86		 68.93   	 -35.61		
-29.30   	-39.06   	 68.95   	 -50.86		 68.79   	 -40.69		
-29.60   	-42.11   	 68.75   	 -45.78		 68.63   	 -40.69		
-26.55   	-43.03   	 68.57   	 -35.61		 68.46   	 -45.78		
-20.45   	-38.76   	 68.42   	 -35.61		 68.28   	 -45.78		
-13.12   	-28.08   	 68.28   	 -35.61		 68.10   	 -50.86		
 -6.71   	-11.90   	 68.14   	 -30.52		 67.89   	 -50.86		
 -3.36   	  5.80   	 68.02   	 -30.52		 67.69   	 -55.95		
 -3.36   	 20.75   	 67.89   	 -35.61		 67.47   	 -55.95		
 -4.88   	 30.82   	 67.75   	 -40.69		 67.24   	 -61.04		
 -4.88   	 34.79   	 67.59   	 -40.69		 67.00   	 -61.04		
 -1.53   	 34.48   	 67.43   	 -50.86		 66.75   	 -66.12		
  3.66   	 32.04   	 67.22   	 -50.86		 66.49   	 -66.12		
  8.24   	 31.74   	 67.02   	 -55.95		 66.23   	 -66.12		
 10.99   	 37.54   	 66.80   	 -61.04		 65.96   	 -71.21		
 12.51   	 51.27   	 66.55   	 -66.12		 65.68   	 -71.21		
 14.34   	 69.58   	 66.29   	 -71.21		 65.39   	 -71.21		
 17.09   	 85.75   	 66.00   	 -71.21		 65.11   	 -71.21		
 21.06   	 93.38   	 65.72   	 -71.21		 64.82   	 -76.30		
 26.55   	 90.94   	 65.43   	 -66.12		 64.52   	 -71.21		
 32.96   	 82.40   	 65.17   	 -71.21		 64.23   	 -76.30		
 39.98   	 75.07   	 64.88   	 -71.21		 63.93   	 -71.21		
 47.00   	 73.85   	 64.60   	 -66.12		 63.64   	 -66.12		
 52.49   	 77.82   	 64.33   	 -66.12		 63.38   	 -71.21		
 56.46   	 82.40   	 64.07   	 -61.04		 63.09   	 -61.04		
 57.98   	 81.48   	 63.82   	 -61.04		 62.85   	 -66.12		
 56.76   	 73.24   	 63.58   	 -55.95		 62.58   	 -61.04		
 52.49   	 58.59   	 63.36   	 -55.95		 62.34   	 -55.95		
 45.47   	 39.67   	 63.13   	 -50.86		 62.12   	 -61.04		
 36.32   	 21.06   	 62.93   	 -55.95		 61.87   	 -50.86		
 25.02   	  6.41   	 62.71   	 -50.86		 61.67   	 -55.95		
 11.60   	 -5.49   	 62.50   	 -45.78		 61.44   	 -50.86		
 -3.36   	-16.48   	 62.32   	 -50.86		 61.24   	 -45.78		
-16.48   	-29.30   	 62.12   	 -45.78		 61.06   	 -50.86		
-25.63   	-44.25   	 61.93   	 -50.86		 60.85   	 -50.86		
-28.69   	-58.59   	 61.73   	 -45.78		 60.65   	 -45.78		
-27.77   	-69.89   	 61.55   	 -50.86		 60.47   	 -45.78		
-27.16   	-77.51   	 61.34   	 -45.78		 60.28   	 -45.78		
-29.30   	-82.40   	 61.16   	 -45.78		 60.10   	 -45.78		
-32.96   	-85.75   	 60.98   	 -45.78		 59.92   	 -45.78		
-36.01   	-86.67   	 60.79   	 -45.78		 59.74   	 -45.78		
-37.23   	-84.23   	 60.61   	 -45.78		 59.55   	 -40.69		
-37.23   	-79.65   	 60.43   	 -40.69		 59.39   	 -35.61		
