  I     	  II     	  LV     	  LV'		
104.37   	 73.85   	 80.24   	-834.18		
 97.96   	 69.89   	 76.91   	-834.18		
 86.98   	 58.59   	 73.57   	-839.26		
 81.18   	 46.39   	 70.21   	-839.26		
 84.23   	 39.98   	 66.86   	-834.18		
 89.72   	 40.89   	 63.52   	-824.00		
 90.64   	 44.25   	 60.22   	-818.92		
 86.06   	 47.00   	 56.95   	-808.75		
 80.87   	 49.74   	 53.71   	-798.57		
 81.79   	 52.49   	 50.52   	-773.14		
 93.08   	 54.02   	 47.43   	-762.97		
105.90   	 49.74   	 44.37   	-737.54		
109.25   	 37.23   	 41.42   	-717.19		
 98.27   	 20.75   	 38.56   	-701.93		
 75.38   	  8.54   	 35.75   	-676.50		
 50.35   	  7.02   	 33.04   	-661.24		
 36.62   	 15.26   	 30.40   	-635.81		
 40.28   	 27.47   	 27.85   	-615.46		
 53.41   	 35.71   	 25.39   	-584.94		
 61.95   	 36.32   	 23.05   	-559.51		
 59.81   	 29.60   	 20.81   	-523.90		
 49.74   	 20.75   	 18.72   	-498.47		
 42.42   	 14.34   	 16.72   	-457.78		
 46.39   	 14.95   	 14.89   	-432.35		
 58.59   	 24.72   	 13.16   	-401.83		
 67.75   	 40.28   	 11.56   	-376.40		
 66.22   	 54.93   	 10.05   	-350.97		
 57.68   	 59.81   	  8.65   	-330.62		
 51.88   	 51.27   	  7.32   	-305.19		
 56.76   	 32.35   	  6.10   	-279.75		
 72.33   	 13.12   	  4.98   	-259.41		
 88.81   	  4.27   	  3.95   	-233.98		
 93.99   	  7.93   	  3.01   	-208.54		
 83.92   	 17.09   	  2.18   	-188.20		
 65.61   	 23.19   	  1.42   	-162.77		
 51.57   	 23.19   	  0.77   	-142.42		
 53.10   	 20.45   	  0.20   	-132.25		
 69.58   	 21.06   	 -0.33   	-116.99		
 88.50   	 27.16   	 -0.79   	-106.82		
 94.91   	 33.26   	 -1.22   	-101.73		
 82.40   	 33.26   	 -1.63   	 -91.56		
 57.98   	 25.33   	 -1.99   	 -86.47		
 36.93   	 11.90   	 -2.34   	 -81.38		
 29.30   	 -0.92   	 -2.67   	 -81.38		
 34.48   	 -9.16   	 -2.99   	 -76.30		
 42.42   	-11.60   	 -3.30   	 -76.30		
 44.56   	-10.38   	 -3.60   	 -71.21		
 38.76   	-10.07   	 -3.89   	 -66.12		
 29.91   	-14.04   	 -4.15   	 -61.04		
 25.33   	-22.28   	 -4.39   	 -50.86		
 28.99   	-28.08   	 -4.60   	 -40.69		
 39.06   	-24.11   	 -4.76   	 -35.61		
 51.88   	 -9.16   	 -4.90   	 -20.35		
 60.12   	  7.63   	 -4.98   	 -20.35		
 58.90   	 12.82   	 -5.07   	 -15.26		
 50.66   	  1.22   	 -5.13   	 -10.17		
 43.95   	-18.01   	 -5.17   	 -15.26		
 44.25   	-30.21   	 -5.23   	 -10.17		
 49.74   	-28.69   	 -5.27   	 -10.17		
 51.88   	-19.53   	 -5.31   	 -10.17		
 44.86   	-16.17   	 -5.35   	   0.00		
 32.96   	-26.55   	 -5.35   	   0.00		
 25.94   	-46.39   	 -5.35   	  10.17		
 28.99   	-65.00   	 -5.31   	  15.26		
 39.37   	-72.33   	 -5.25   	  20.35		
 47.30   	-65.31   	 -5.17   	  20.35		
 47.91   	-48.52   	 -5.09   	  25.43		
 43.64   	-28.99   	 -4.98   	  20.35		
 39.06   	-12.82   	 -4.90   	  15.26		
 36.93   	 -3.05   	 -4.84   	  15.26		
 36.32   	  1.83   	 -4.78   	   5.09		
 35.40   	  3.66   	 -4.76   	   5.09		
 32.96   	  3.36   	 -4.74   	   5.09		
 30.82   	  1.22   	 -4.72   	   5.09		
 32.04   	 -1.22   	 -4.70   	   5.09		
 38.15   	 -0.92   	 -4.68   	  10.17		
 47.61   	  5.49   	 -4.64   	  15.26		
 56.46   	 19.23   	 -4.58   	  15.26		
 60.12   	 35.71   	 -4.52   	  15.26		
 57.07   	 47.61   	 -4.46   	  20.35		
 49.13   	 49.74   	 -4.37   	  15.26		
 39.67   	 41.81   	 -4.31   	  15.26		
 33.57   	 31.13   	 -4.25   	  10.17		
 35.10   	 29.91   	 -4.21   	   5.09		
 45.17   	 45.17   	 -4.19   	  10.17		
 59.20   	 74.77   	 -4.15   	   5.09		
 70.19   	104.98   	 -4.13   	  10.17		
 73.24   	118.71   	 -4.09   	  10.17		
 71.72   	108.64   	 -4.05   	  10.17		
 73.85   	 81.79   	 -4.01   	  15.26		
 83.62   	 53.71   	 -3.95   	  10.17		
 93.38   	 34.79   	 -3.91   	  15.26		
 88.50   	 25.33   	 -3.85   	  15.26		
 63.48   	 16.48   	 -3.78   	  15.26		
 26.55   	 -0.61   	 -3.72   	  15.26		
 -6.41   	-28.99   	 -3.66   	  10.17		
-21.67   	-65.00   	 -3.62   	  15.26		
-20.14   	-99.49   	 -3.56   	  15.26		
-14.34   	-125.43   	 -3.50   	  15.26		
-16.17   	-140.99   	 -3.44   	  15.26		
-26.55   	-147.71   	 -3.38   	  15.26		
-37.54   	-149.84   	 -3.32   	  10.17		
-40.59   	-151.67   	 -3.28   	  15.26		
-34.18   	-155.03   	 -3.21   	  15.26		
-21.97   	-159.30   	 -3.15   	  15.26		
-11.29   	-164.18   	 -3.09   	  15.26		
 -6.71   	-168.76   	 -3.03   	  15.26		
 -8.54   	-169.68   	 -2.97   	  15.26		
-13.12   	-164.79   	 -2.91   	  15.26		
-17.09   	-156.56   	 -2.85   	  10.17		
-17.40   	-151.98   	 -2.81   	   5.09		
-15.56   	-156.86   	 -2.79   	   5.09		
-15.87   	-172.12   	 -2.77   	   5.09		
