  I     	  II     	  AOp     	  AOp'		  FA     	  FA'		
  6.10   	-57.37   	 70.76   	 -86.47		 71.54   	 -50.86		
  7.63   	-52.80   	 70.42   	 -81.38		 71.33   	 -50.86		
  8.85   	-48.83   	 70.09   	 -81.38		 71.13   	 -50.86		
  9.46   	-45.17   	 69.77   	 -81.38		 70.93   	 -55.95		
 10.07   	-42.11   	 69.44   	 -81.38		 70.70   	 -55.95		
 10.07   	-40.28   	 69.11   	 -81.38		 70.48   	 -61.04		
  9.77   	-39.37   	 68.79   	 -86.47		 70.23   	 -61.04		
  9.16   	-39.37   	 68.44   	 -86.47		 69.99   	 -61.04		
  8.85   	-39.37   	 68.10   	 -86.47		 69.75   	 -61.04		
  8.85   	-39.06   	 67.75   	 -91.56		 69.50   	 -61.04		
  8.54   	-39.06   	 67.39   	 -91.56		 69.26   	 -66.12		
  8.24   	-39.98   	 67.02   	 -86.47		 68.99   	 -66.12		
  7.93   	-40.89   	 66.67   	 -91.56		 68.73   	 -66.12		
  7.63   	-41.20   	 66.31   	 -86.47		 68.46   	 -66.12		
  8.24   	-40.28   	 65.96   	 -86.47		 68.20   	 -66.12		
  8.85   	-38.76   	 65.62   	 -81.38		 67.93   	 -71.21		
  9.16   	-37.54   	 65.29   	 -76.30		 67.65   	 -66.12		
  8.54   	-38.15   	 64.98   	 -76.30		 67.39   	 -71.21		
  7.02   	-39.98   	 64.68   	 -76.30		 67.10   	 -66.12		
  5.19   	-41.81   	 64.37   	 -71.21		 66.84   	 -71.21		
  4.88   	-42.72   	 64.09   	 -71.21		 66.55   	 -71.21		
  5.80   	-42.42   	 63.80   	 -71.21		 66.27   	 -76.30		
  7.63   	-41.20   	 63.52   	 -71.21		 65.96   	 -71.21		
  9.16   	-40.59   	 63.23   	 -71.21		 65.68   	 -76.30		
  9.46   	-41.50   	 62.95   	 -66.12		 65.37   	 -71.21		
  8.24   	-43.64   	 62.69   	 -71.21		 65.09   	 -76.30		
  6.41   	-46.39   	 62.40   	 -66.12		 64.78   	 -71.21		
  4.88   	-48.83   	 62.14   	 -71.21		 64.50   	 -76.30		
  4.27   	-50.05   	 61.85   	 -66.12		 64.19   	 -71.21		
  4.27   	-50.35   	 61.59   	 -61.04		 63.91   	 -76.30		
  3.66   	-50.35   	 61.34   	 -66.12		 63.60   	 -71.21		
  2.14   	-50.96   	 61.08   	 -61.04		 63.32   	 -76.30		
  0.61   	-52.49   	 60.83   	 -61.04		 63.01   	 -71.21		
 -0.31   	-54.63   	 60.59   	 -61.04		 62.73   	 -71.21		
  0.31   	-56.76   	 60.35   	 -55.95		 62.44   	 -66.12		
  1.22   	-57.68   	 60.12   	 -61.04		 62.18   	 -71.21		
  2.14   	-57.37   	 59.88   	 -55.95		 61.89   	 -71.21		
  1.83   	-57.07   	 59.65   	 -55.95		 61.61   	 -66.12		
  0.61   	-57.37   	 59.43   	 -61.04		 61.34   	 -66.12		
 -0.61   	-59.51   	 59.19   	 -55.95		 61.08   	 -66.12		
 -0.92   	-62.56   	 58.96   	 -55.95		 60.81   	 -66.12		
 -0.31   	-65.31   	 58.74   	 -61.04		 60.55   	 -66.12		
  0.31   	-66.53   	 58.49   	 -55.95		 60.28   	 -61.04		
  0.92   	-67.14   	 58.27   	 -61.04		 60.04   	 -66.12		
  0.92   	-67.44   	 58.03   	 -61.04		 59.78   	 -61.04		
  0.31   	-68.36   	 57.78   	 -61.04		 59.53   	 -61.04		
 -0.61   	-69.58   	 57.54   	 -55.95		 59.29   	 -55.95		
 -0.61   	-70.80   	 57.31   	 -61.04		 59.06   	 -61.04		
  0.00   	-70.80   	 57.07   	 -55.95		 58.82   	 -55.95		
  1.22   	-69.58   	 56.85   	 -61.04		 58.60   	 -61.04		
  2.75   	-68.36   	 56.60   	 -55.95		 58.35   	 -50.86		
  3.66   	-67.44   	 56.38   	 -55.95		 58.15   	 -55.95		
  3.66   	-67.75   	 56.15   	 -50.86		 57.92   	 -55.95		
  3.36   	-68.97   	 55.95   	 -55.95		 57.70   	 -55.95		
  3.36   	-69.89   	 55.73   	 -50.86		 57.48   	 -50.86		
  3.97   	-69.27   	 55.52   	 -50.86		 57.27   	 -50.86		
  5.49   	-67.14   	 55.32   	 -45.78		 57.07   	 -50.86		
  7.02   	-64.70   	 55.14   	 -50.86		 56.87   	 -55.95		
  7.93   	-62.26   	 54.93   	 -45.78		 56.64   	 -45.78		
  7.93   	-60.42   	 54.75   	 -50.86		 56.46   	 -50.86		
  7.32   	-58.90   	 54.55   	 -45.78		 56.26   	 -50.86		
  7.02   	-57.37   	 54.36   	 -45.78		 56.05   	 -50.86		
  7.02   	-56.46   	 54.18   	 -45.78		 55.85   	 -50.86		
  6.71   	-56.15   	 54.00   	 -45.78		 55.65   	 -45.78		
  6.10   	-56.46   	 53.81   	 -45.78		 55.46   	 -45.78		
  5.49   	-57.07   	 53.63   	 -40.69		 55.28   	 -50.86		
  5.19   	-57.07   	 53.47   	 -40.69		 55.08   	 -45.78		
  4.88   	-56.15   	 53.31   	 -45.78		 54.89   	 -45.78		
  5.19   	-54.32   	 53.12   	 -35.61		 54.71   	 -45.78		
  5.49   	-52.49   	 52.98   	 -40.69		 54.53   	 -50.86		
  5.80   	-51.27   	 52.82   	 -35.61		 54.32   	 -40.69		
  5.49   	-50.35   	 52.68   	 -35.61		 54.16   	 -45.78		
  4.88   	-50.05   	 52.53   	 -35.61		 53.98   	 -45.78		
  4.27   	-49.74   	 52.39   	 -35.61		 53.79   	 -45.78		
  4.27   	-49.74   	 52.25   	 -30.52		 53.61   	 -45.78		
  3.97   	-50.35   	 52.13   	 -30.52		 53.43   	 -40.69		
  3.66   	-51.27   	 52.00   	 -35.61		 53.27   	 -40.69		
  3.05   	-51.88   	 51.86   	 -30.52		 53.10   	 -45.78		
  2.14   	-51.88   	 51.74   	 -35.61		 52.92   	 -40.69		
  1.53   	-50.96   	 51.60   	 -30.52		 52.76   	 -40.69		
  1.53   	-49.44   	 51.47   	 -35.61		 52.59   	 -40.69		
  2.44   	-48.52   	 51.33   	 -30.52		 52.43   	 -40.69		
  3.36   	-47.61   	 51.21   	 -35.61		 52.27   	 -40.69		
  4.27   	-47.00   	 51.07   	 -35.61		 52.11   	 -40.69		
  4.58   	-46.39   	 50.93   	 -30.52		 51.94   	 -40.69		
  3.97   	-45.47   	 50.80   	 -30.52		 51.78   	 -40.69		
  3.36   	-44.86   	 50.68   	 -30.52		 51.62   	 -35.61		
  3.05   	-43.95   	 50.56   	 -30.52		 51.47   	 -40.69		
  3.36   	-43.03   	 50.44   	 -25.43		 51.31   	 -35.61		
  3.97   	-42.11   	 50.34   	 -30.52		 51.17   	 -35.61		
  3.97   	-41.50   	 50.21   	 -30.52		 51.03   	 -40.69		
  3.66   	-41.81   	 50.09   	 -25.43		 50.86   	 -35.61		
  2.75   	-43.03   	 49.99   	 -30.52		 50.72   	 -35.61		
  2.44   	-44.25   	 49.87   	 -25.43		 50.58   	 -35.61		
  2.14   	-44.86   	 49.77   	 -30.52		 50.44   	 -30.52		
  1.53   	-44.86   	 49.64   	 -25.43		 50.32   	 -35.61		
  0.61   	-43.64   	 49.54   	 -30.52		 50.17   	 -35.61		
  0.61   	-41.20   	 49.42   	 -25.43		 50.03   	 -30.52		
  1.53   	-35.71   	 49.32   	 -25.43		 49.91   	 -35.61		
  3.66   	-25.02   	 49.22   	 -25.43		 49.77   	 -30.52		
  6.10   	 -6.41   	 49.11   	 -25.43		 49.64   	 -35.61		
  7.63   	 19.53   	 49.01   	 -25.43		 49.50   	 -30.52		
  6.71   	 49.44   	 48.91   	 -25.43		 49.38   	 -30.52		
  4.58   	 76.90   	 48.81   	 -20.35		 49.26   	 -30.52		
  2.44   	 97.35   	 48.73   	 -25.43		 49.14   	 -30.52		
  1.53   	108.64   	 48.63   	 -30.52		 49.01   	 -30.52		
  1.53   	113.22   	 48.50   	 -25.43		 48.89   	 -30.52		
  1.83   	113.53   	 48.40   	 -25.43		 48.77   	 -30.52		
  1.53   	110.78   	 48.30   	 -25.43		 48.65   	 -30.52		
  1.53   	102.84   	 48.20   	 -25.43		 48.52   	 -30.52		
  1.53   	 88.20   	 48.10   	 -20.35		 48.40   	 -30.52		
  1.83   	 69.58   	 48.02   	 -25.43		 48.28   	 -30.52		
  2.44   	 52.19   	 47.91   	 -20.35		 48.16   	 -25.43		
  3.05   	 41.81   	 47.83   	 -20.35		 48.06   	 -30.52		
  5.49   	 42.11   	 47.75   	 -15.26		 47.93   	 -30.52		
 10.99   	 48.22   	 47.69   	 -25.43		 47.81   	 -30.52		
 20.75   	 52.49   	 47.59   	 -20.35		 47.69   	 -30.52		
 32.35   	 49.74   	 47.51   	 -25.43		 47.57   	 -25.43		
 41.50   	 41.81   	 47.41   	 -25.43		 47.47   	 -30.52		
 44.25   	 35.40   	 47.30   	 -25.43		 47.34   	 -30.52		
 38.45   	 36.32   	 47.20   	 -30.52		 47.22   	 -25.43		
 26.55   	 42.72   	 47.08   	 -30.52		 47.12   	 -30.52		
 12.82   	 44.86   	 46.96   	 -35.61		 47.00   	 -25.43		
  0.92   	 32.65   	 46.82   	 -30.52		 46.90   	 -30.52		
 -7.02   	  3.05   	 46.69   	 -30.52		 46.77   	 -30.52		
-10.68   	-36.32   	 46.57   	 -30.52		 46.65   	 -25.43		
-10.99   	-74.16   	 46.45   	 -30.52		 46.55   	 -30.52		
 -9.77   	-100.10   	 46.33   	 -25.43		 46.43   	 -25.43		
 -9.16   	-112.00   	 46.23   	 -30.52		 46.33   	 -30.52		
 -9.46   	-113.53   	 46.10   	 -25.43		 46.21   	 -25.43		
-10.38   	-112.00   	 46.00   	 -30.52		 46.10   	 -25.43		
-10.38   	-112.00   	 45.88   	 -25.43		 46.00   	 -30.52		
 -9.77   	-115.05   	 45.78   	 -30.52		 45.88   	 -25.43		
 -8.54   	-119.32   	 45.66   	 -25.43		 45.78   	 -25.43		
 -7.93   	-121.77   	 45.55   	 -30.52		 45.68   	 -30.52		
 -7.32   	-121.46   	 45.43   	 -25.43		 45.55   	 -25.43		
 -7.02   	-118.41   	 45.33   	 -25.43		 45.45   	 -25.43		
 -6.10   	-115.36   	 45.23   	 -25.43		 45.35   	 -25.43		
 -5.19   	-113.83   	 45.13   	 -25.43		 45.25   	 -25.43		
 -4.58   	-114.14   	 45.03   	 -20.35		 45.15   	 -25.43		
 -3.05   	-114.75   	 44.94   	 -20.35		 45.05   	 -20.35		
  0.00   	-113.53   	 44.86   	 -20.35		 44.96   	 -25.43		
  6.71   	-109.25   	 44.78   	 -20.35		 44.86   	 -20.35		
 19.53   	-97.66   	 44.70   	 -15.26		 44.78   	 -25.43		
 39.98   	-72.02   	 44.64   	 -15.26		 44.68   	 -20.35		
 67.14   	-25.02   	 44.58   	 -15.26		 44.60   	 -25.43		
 98.57   	 55.54   	 44.52   	 -15.26		 44.50   	 -20.35		
133.67   	193.18   	 44.46   	 -15.26		 44.41   	 -20.35		
174.26   	421.14   	 44.39   	 -10.17		 44.33   	 -20.35		
224.00   	771.48   	 44.35   	 -15.26		 44.25   	 -15.26		
280.46   	1242.07   	 44.29   	 -10.17		 44.19   	 -20.35		
330.51   	1763.31   	 44.25   	 -10.17		 44.11   	 -20.35		
354.00   	2203.37   	 44.21   	 -15.26		 44.03   	 -20.35		
334.47   	2420.04(R)	 44.15   	 -10.17		 43.95   	 -15.26		
272.22   	2325.74   	 44.11   	 -15.26		 43.89   	 -20.35		
184.02   	1932.68   	 44.05   	 -10.17		 43.80   	 -15.26		
 94.60   	1347.35   	 44.01   	 -15.26		 43.74   	 -20.35		
 22.89   	725.71   	 43.95   	 -15.26		 43.66   	 -15.26		
-25.63   	209.35   	 43.89   	 -10.17		 43.60   	 -20.35		
-53.41   	-119.63   	 43.85   	 -15.26		 43.52   	 -15.26		
-65.00   	-255.74   	 43.78   	 -15.26		 43.46   	 -15.26		
-63.78   	-259.70   	 43.72   	 -15.26		 43.40   	 -15.26		
-52.49   	-218.81   	 43.66   	 -10.17		 43.34   	 -20.35		
-36.93   	-197.45   	 43.62   	 -15.26		 43.26   	 -15.26		
-24.11   	-212.71   	 43.56   	 -15.26		 43.19   	 -15.26		
-18.62   	-244.45   	 43.50   	 -15.26		 43.13   	 -15.26		
-20.45   	-265.50   	 43.44   	 -15.26		 43.07   	 -15.26		
-25.63   	-265.81   	 43.38   	 -20.35		 43.01   	 -15.26		
-28.99   	-254.52   	 43.30   	 -15.26		 42.95   	 -20.35		
-28.99   	-245.36   	 43.23   	 -15.26		 42.87   	 -15.26		
-26.25   	-243.53   	 43.17   	 -15.26		 42.81   	 -15.26		
-24.11   	-246.28   	 43.11   	 -10.17		 42.75   	 -15.26		
-24.11   	-248.11   	 43.07   	   0.00		 42.69   	 -20.35		
-25.33   	-247.50   	 43.07   	  15.26		 42.60   	 -15.26		
-26.55   	-244.75   	 43.13   	  25.43		 42.54   	 -15.26		
-26.86   	-240.48   	 43.23   	  45.78		 42.48   	 -15.26		
-26.55   	-236.82   	 43.42   	  71.21		 42.42   	 -15.26		
-26.25   	-233.76   	 43.70   	 101.73		 42.36   	 -20.35		
-26.25   	-232.24   	 44.11   	 122.07		 42.28   	 -15.26		
-26.55   	-231.63   	 44.60   	 157.68		 42.22   	 -15.26		
-26.55   	-230.71   	 45.23   	 183.11		 42.16   	 -15.26		
-26.25   	-229.19   	 45.96   	 213.63		 42.10   	 -15.26		
-25.94   	-227.36   	 46.82   	 233.98		 42.03   	 -15.26		
-26.25   	-224.61   	 47.75   	 254.32		 41.97   	 -15.26		
-26.86   	-221.56   	 48.77   	 274.67		 41.91   	 -10.17		
-27.77   	-217.90   	 49.87   	 279.75		 41.87   	  -5.09		
-28.38   	-214.84   	 50.99   	 295.01		 41.85   	   0.00		
-28.69   	-213.01   	 52.17   	 295.01		 41.85   	  15.26		
-28.69   	-211.79   	 53.35   	 305.19		 41.91   	  25.43		
-28.99   	-211.18   	 54.57   	 305.19		 42.01   	  45.78		
-29.30   	-209.96   	 55.79   	 310.27		 42.20   	  66.12		
-29.91   	-208.44   	 57.03   	 315.36		 42.46   	  91.56		
-30.21   	-205.99   	 58.29   	 325.53		 42.83   	 122.07		
-30.21   	-203.55   	 59.59   	 330.62		 43.32   	 142.42		
-30.82   	-201.42   	 60.92   	 340.79		 43.89   	 172.94		
-31.74   	-199.89   	 62.28   	 345.88		 44.58   	 193.29		
-32.35   	-198.97   	 63.66   	 345.88		 45.35   	 218.72		
-32.96   	-197.75   	 65.05   	 340.79		 46.23   	 239.06		
-33.26   	-195.62   	 66.41   	 330.62		 47.18   	 254.32		
-33.57   	-192.57   	 67.73   	 310.27		 48.20   	 264.50		
-34.48   	-189.51   	 68.97   	 289.93		 49.26   	 269.58		
-35.10   	-186.16   	 70.13   	 269.58		 50.34   	 279.75		
-36.32   	-183.41   	 71.21   	 249.24		 51.45   	 284.84		
-37.23   	-181.27   	 72.21   	 223.80		 52.59   	 284.84		
-38.15   	-179.44   	 73.10   	 208.54		 53.73   	 279.75		
-39.06   	-178.53   	 73.94   	 193.29		 54.85   	 274.67		
