  I     	  II     	  FA     	  FA'		  AOp     	  AOp'		
 59.51   	 22.28   	125.94   	 447.61		112.13   	 310.27		
 58.59   	 24.41   	127.73   	 417.09		113.37   	 315.36		
 63.78   	 30.21   	129.40   	 386.57		114.63   	 325.53		
 73.55   	 37.84   	130.95   	 366.22		115.93   	 325.53		
 82.70   	 44.25   	132.41   	 330.62		117.23   	 330.62		
 88.20   	 47.91   	133.73   	 310.27		118.55   	 320.45		
 92.16   	 52.19   	134.97   	 274.67		119.84   	 315.36		
 97.96   	 60.42   	136.07   	 249.24		121.10   	 300.10		
105.29   	 72.63   	137.07   	 223.80		122.30   	 274.67		
110.78   	 83.62   	137.96   	 193.29		123.40   	 254.32		
109.56   	 88.20   	138.74   	 167.85		124.41   	 228.89		
100.40   	 85.75   	139.41   	 142.42		125.33   	 213.63		
 86.36   	 78.74   	139.98   	 122.07		126.18   	 188.20		
 74.77   	 72.02   	140.47   	  96.64		126.94   	 183.11		
 70.19   	 69.89   	140.85   	  81.38		127.67   	 167.85		
 70.50   	 71.41   	141.18   	  66.12		128.34   	 167.85		
 70.80   	 72.02   	141.44   	  45.78		129.01   	 157.68		
 64.70   	 67.44   	141.63   	  35.61		129.64   	 162.77		
 50.66   	 55.24   	141.77   	  25.43		130.29   	 157.68		
 30.52   	 35.40   	141.87   	  15.26		130.93   	 147.51		
  9.16   	 14.34   	141.93   	   5.09		131.52   	 137.33		
 -9.46   	 -1.83   	141.95(S)	  -5.09		132.06   	 116.99		
-22.89   	-11.90   	141.93   	 -15.26		132.53   	 101.73		
-30.21   	-19.23   	141.87   	 -30.52		132.94   	  76.30		
-31.13   	-27.47   	141.75   	 -35.61		133.24   	  55.95		
-28.08   	-38.15   	141.61   	 -50.86		133.47   	  35.61		
-24.41   	-47.91   	141.40   	 -61.04		133.61   	  10.17		
-25.33   	-52.80   	141.16   	 -76.30		133.65(S)	   0.00		
-32.04   	-52.19   	140.85   	 -86.47		133.65   	 -15.26		
-40.28   	-48.52   	140.51   	-101.73		133.59   	 -25.43		
-43.95   	-45.47   	140.10   	-122.07		133.49   	 -35.61		
-40.59   	-44.56   	139.61   	-127.16		133.35   	 -40.69		
-32.04   	-45.47   	139.10   	-147.51		133.18   	 -45.78		
-25.94   	-47.61   	138.51   	-152.59		133.00   	 -55.95		
-28.08   	-50.66   	137.90   	-167.85		132.78   	 -66.12		
-37.23   	-53.10   	137.23   	-183.11		132.51   	 -81.38		
-45.17   	-53.10   	136.50   	-188.20		132.19   	-106.82		
-46.39   	-51.88   	135.75   	-203.46		131.76   	-122.07		
-42.11   	-52.19   	134.93   	-218.72		131.27   	-152.59		
