  I     	  II     	  FA     	  FA'		  AOp     	  AOp'		
-28.69   	-18.62   	 82.75   	 -71.21		 85.82   	 -76.30		
-28.38   	-16.78   	 82.46   	 -76.30		 85.51   	 -71.21		
-30.21   	-19.53   	 82.16   	 -71.21		 85.23   	 -66.12		
-31.74   	-25.94   	 81.87   	 -71.21		 84.96   	 -66.12		
-29.91   	-30.82   	 81.59   	 -76.30		 84.70   	 -71.21		
-24.11   	-27.77   	 81.28   	 -76.30		 84.41   	 -71.21		
-14.65   	-12.82   	 80.98   	 -76.30		 84.13   	 -71.21		
 -4.58   	  9.77   	 80.67   	 -76.30		 83.85   	 -76.30		
  6.41   	 29.60   	 80.37   	 -76.30		 83.54   	 -76.30		
 16.78   	 35.71   	 80.06   	 -76.30		 83.23   	 -86.47		
 25.02   	 25.02   	 79.76   	 -76.30		 82.89   	 -86.47		
 29.60   	  3.66   	 79.45   	 -71.21		 82.54   	 -96.64		
 29.30   	-18.31   	 79.17   	 -76.30		 82.16   	 -91.56		
 24.72   	-32.35   	 78.86   	 -71.21		 81.79   	 -96.64		
 19.53   	-35.71   	 78.58   	 -71.21		 81.40   	-101.73		
 18.01   	-32.04   	 78.29   	 -66.12		 81.00   	-101.73		
 19.53   	-26.86   	 78.03   	 -71.21		 80.59   	-101.73		
 19.84   	-25.33   	 77.74   	 -66.12		 80.18   	-101.73		
 13.73   	-30.21   	 77.48   	 -66.12		 79.78   	 -96.64		
 -1.22   	-42.72   	 77.21   	 -66.12		 79.39   	 -96.64		
-21.06   	-61.65   	 76.95   	 -61.04		 79.00   	 -91.56		
-37.54   	-83.01   	 76.70   	 -61.04		 78.64   	 -86.47		
-46.08   	-101.93   	 76.46   	 -55.95		 78.29   	 -76.30		
-47.91   	-113.83   	 76.24   	 -55.95		 77.99   	 -76.30		
-47.61   	-116.58   	 76.01   	 -55.95		 77.68   	 -66.12		
-48.52   	-113.53   	 75.79   	 -61.04		 77.42   	 -61.04		
-51.88   	-109.56   	 75.54   	 -61.04		 77.17   	 -61.04		
-54.32   	-108.95   	 75.30   	 -61.04		 76.93   	 -55.95		
-54.63   	-112.30   	 75.06   	 -66.12		 76.70   	 -66.12		
-53.71   	-118.10   	 74.79   	 -71.21		 76.44   	 -66.12		
-54.32   	-122.07   	 74.51   	 -66.12		 76.17   	 -71.21		
-58.29   	-121.77   	 74.24   	 -71.21		 75.89   	 -86.47		
-63.78   	-117.80   	 73.96   	 -66.12		 75.54   	 -91.56		
-67.44   	-112.92   	 73.69   	 -61.04		 75.18   	 -96.64		
-64.70   	-108.95   	 73.45   	 -61.04		 74.79   	 -96.64		
-55.85   	-107.12   	 73.20   	 -61.04		 74.40   	 -96.64		
-46.08   	-108.34   	 72.96   	 -55.95		 74.02   	 -86.47		
-41.81   	-112.00   	 72.74   	 -50.86		 73.67   	 -71.21		
-47.30   	-116.58   	 72.53   	 -50.86		 73.39   	 -50.86		
-61.95   	-120.54   	 72.33   	 -50.86		 73.18   	 -30.52		
-79.35   	-119.02   	 72.13   	 -45.78		 73.06   	 -15.26		
-89.72   	-101.62   	 71.94   	 -45.78		 73.00   	  10.17		
-82.40   	-59.81   	 71.76   	 -40.69		 73.04   	  15.26		
-47.00   	  6.71   	 71.60   	 -40.69		 73.10   	  25.43		
 23.80   	 88.20   	 71.43   	 -40.69		 73.20   	  20.35		
129.70   	168.15   	 71.27   	 -40.69		 73.29   	  10.17		
259.40   	237.73   	 71.11   	 -40.69		 73.33   	   0.00		
391.24   	303.96   	 70.95   	 -35.61		 73.33   	 -20.35		
497.13   	383.30   	 70.80   	 -40.69		 73.24   	 -40.69		
546.26   	474.55   	 70.64   	 -35.61		 73.08   	 -61.04		
513.61   	549.32   	 70.50   	 -35.61		 72.84   	 -76.30		
398.25   	570.68(R)	 70.36   	 -35.61		 72.53   	 -91.56		
226.14   	514.83   	 70.21   	 -30.52		 72.17   	 -96.64		
 46.69   	389.40   	 70.09   	 -35.61		 71.78   	-106.82		
-88.81   	233.15   	 69.95   	 -30.52		 71.35   	-101.73		
-151.67   	 89.11   	 69.83   	 -30.52		 70.95   	-101.73		
-150.76   	-19.84   	 69.70   	 -30.52		 70.54   	 -86.47		
-118.10   	-88.20   	 69.58   	 -30.52		 70.19   	 -81.38		
-84.84   	-119.63   	 69.46   	 -30.52		 69.87   	 -66.12		
-67.44   	-125.12   	 69.34   	 -35.61		 69.60   	 -61.04		
-65.31   	-116.88   	 69.20   	 -35.61		 69.36   	 -45.78		
-69.27   	-104.98   	 69.05   	 -40.69		 69.18   	 -45.78		
-70.80   	-95.21   	 68.89   	 -45.78		 68.99   	 -45.78		
-66.83   	-88.20   	 68.71   	 -50.86		 68.81   	 -40.69		
-57.98   	-81.48   	 68.50   	 -55.95		 68.65   	 -45.78		
-47.30   	-73.24   	 68.28   	 -55.95		 68.46   	 -50.86		
-40.59   	-68.66   	 68.06   	 -61.04		 68.26   	 -50.86		
-40.89   	-72.63   	 67.81   	 -66.12		 68.06   	 -55.95		
-47.30   	-84.53   	 67.55   	 -71.21		 67.83   	 -55.95		
-53.41   	-96.74   	 67.26   	 -66.12		 67.61   	 -55.95		
-54.02   	-100.10   	 67.00   	 -71.21		 67.39   	 -45.78		
-48.22   	-91.86   	 66.71   	 -66.12		 67.20   	 -40.69		
-42.11   	-78.74   	 66.45   	 -71.21		 67.04   	 -20.35		
-40.89   	-69.89   	 66.16   	 -66.12		 66.96(D)	   5.09		
-45.47   	-70.50   	 65.90   	 -61.04		 66.98   	  30.52		
-51.57   	-78.43   	 65.66   	 -55.95		 67.10   	  61.04		
-53.71   	-88.20   	 65.43   	 -50.86		 67.34   	  96.64		
-50.35   	-93.69   	 65.23   	 -50.86		 67.73   	 132.25		
-45.78   	-94.30   	 65.03   	 -40.69		 68.26   	 178.03		
-43.64   	-90.64   	 64.86   	 -35.61		 68.97   	 208.54		
-42.72   	-83.62   	 64.72   	 -30.52		 69.81   	 244.15		
-39.98   	-74.46   	 64.60   	 -20.35		 70.78   	 279.75		
-34.79   	-67.75   	 64.52   	  -5.09		 71.90   	 300.10		
-30.52   	-67.75   	 64.50(D)	  20.35		 73.10   	 330.62		
-31.13   	-73.85   	 64.58   	  66.12		 74.42   	 345.88		
-36.93   	-80.87   	 64.84   	 132.25		 75.81   	 361.14		
-40.28   	-83.62   	 65.37   	 218.72		 77.25   	 371.31		
-35.10   	-79.35   	 66.25   	 320.45		 78.74   	 381.48		
-21.06   	-69.27   	 67.53   	 422.18		 80.26   	 381.48		
 -5.80   	-58.29   	 69.22   	 513.73		 81.79   	 381.48		
  0.61   	-50.35   	 71.27   	 595.11		 83.32   	 381.48		
 -4.88   	-47.61   	 73.65   	 656.15		 84.84   	 371.31		
-18.01   	-49.13   	 76.28   	 696.84		 86.33   	 376.40		
-28.38   	-52.19   	 79.06   	 732.45		 87.83   	 366.22		
-28.38   	-53.10   	 81.99   	 747.71		 89.30   	 366.22		
-18.62   	-49.44   	 84.98   	 757.88		 90.76   	 366.22		
 -4.27   	-42.11   	 88.02   	 757.88		 92.23   	 366.22		
  6.10   	-34.79   	 91.05   	 752.79		 93.69   	 371.31		
  9.46   	-30.52   	 94.06   	 752.79		 95.18   	 366.22		
  8.54   	-30.52   	 97.07   	 737.54		 96.64   	 376.40		
  8.85   	-32.96   	100.02   	 722.28		 98.15   	 381.48		
 13.12   	-33.57   	102.91   	 701.93		 99.67   	 381.48		
 21.67   	-29.30   	105.72   	 681.58		101.20   	 391.66		
 31.43   	-19.84   	108.44   	 656.15		102.77   	 396.74		
 39.37   	 -8.54   	111.07   	 625.63		104.35   	 406.92		
 44.25   	 -0.61   	113.57   	 595.11		105.98   	 406.92		
 47.91   	  2.14   	115.95   	 564.60		107.61   	 412.00		
 50.66   	  1.83   	118.21   	 534.08		109.26   	 406.92		
 53.71   	  2.44   	120.35   	 498.47		110.88   	 401.83		
 57.07   	  6.71   	122.34   	 467.95		112.49   	 386.57		
 61.34   	 14.95   	124.21   	 432.35		114.04   	 366.22		
 65.31   	 24.11   	125.94   	 401.83		115.50   	 350.97		
 68.66   	 32.65   	127.55   	 371.31		116.91   	 325.53		
 71.72   	 41.50   	129.03   	 340.79		118.21   	 300.10		
 75.38   	 49.44   	130.40   	 310.27		119.41   	 279.75		
 81.48   	 56.46   	131.64   	 284.84		120.53   	 254.32		
 90.33   	 61.34   	132.78   	 259.41		121.55   	 228.89		
100.10   	 64.09   	133.81   	 233.98		122.46   	 213.63		
107.73   	 67.75   	134.75   	 208.54		123.32   	 193.29		
109.86   	 74.16   	135.58   	 188.20		124.09   	 183.11		
105.59   	 81.79   	136.34   	 167.85		124.82   	 172.94		
 96.13   	 87.28   	137.01   	 147.51		125.51   	 162.77		
 84.53   	 86.06   	137.60   	 127.16		126.16   	 157.68		
 73.85   	 78.13   	138.11   	 106.82		126.80   	 147.51		
 65.92   	 67.44   	138.53   	  91.56		127.39   	 142.42		
 60.12   	 59.20   	138.90   	  71.21		127.95   	 137.33		
 52.80   	 54.02   	139.19   	  55.95		128.50   	 127.16		
 40.89   	 48.22   	139.41   	  40.69		129.01   	 122.07		
 24.72   	 38.76   	139.57   	  25.43		129.50   	 106.82		
  7.02   	 25.33   	139.67   	  10.17		129.93   	  96.64		
 -7.02   	 11.60   	139.71(S)	  -5.09		130.31   	  81.38		
-14.34   	  0.00   	139.69   	 -15.26		130.64   	  66.12		
-16.78   	 -9.46   	139.63   	 -30.52		130.90   	  55.95		
-17.70   	-19.53   	139.51   	 -40.69		131.13   	  45.78		
-20.45   	-30.82   	139.35   	 -50.86		131.31   	  25.43		
-25.33   	-41.81   	139.14   	 -61.04		131.41   	  15.26		
-30.82   	-48.52   	138.90   	 -71.21		131.47(S)	   0.00		
-34.79   	-48.83   	138.62   	 -81.38		131.47   	 -10.17		
-37.54   	-44.86   	138.29   	 -91.56		131.43   	 -25.43		
-39.06   	-40.28   	137.92   	-101.73		131.33   	 -40.69		
-40.28   	-38.15   	137.52   	-111.90		131.17   	 -50.86		
-40.28   	-39.67   	137.07   	-127.16		130.97   	 -66.12		
-37.84   	-43.33   	136.56   	-137.33		130.70   	 -81.38		
-31.74   	-45.17   	136.01   	-152.59		130.38   	 -91.56		
-23.50   	-44.56   	135.40   	-162.77		130.01   	-106.82		
-17.70   	-43.64   	134.75   	-178.03		129.58   	-127.16		
-20.75   	-45.17   	134.04   	-188.20		129.07   	-142.42		
-33.26   	-50.96   	133.29   	-208.54		128.50   	-167.85		
-48.22   	-58.59   	132.45   	-228.89		127.83   	-188.20		
-56.46   	-61.95   	131.54   	-239.06		127.08   	-208.54		
-51.88   	-57.37   	130.58   	-259.41		126.25   	-239.06		
-36.62   	-47.30   	129.54   	-279.75		125.29   	-259.41		
-20.14   	-38.15   	128.42   	-300.10		124.25   	-279.75		
-12.21   	-35.40   	127.22   	-320.45		123.13   	-305.19		
-16.48   	-39.06   	125.94   	-345.88		121.91   	-310.27		
-28.99   	-43.64   	124.56   	-371.31		120.67   	-320.45		
-39.06   	-43.95   	123.07   	-391.66		119.39   	-320.45		
-39.98   	-39.98   	121.51   	-417.09		118.11   	-315.36		
-32.35   	-34.48   	119.84   	-432.35		116.85   	-305.19		
-22.89   	-31.43   	118.11   	-447.61		115.63   	-289.93		
-18.62   	-30.82   	116.32   	-452.69		114.47   	-279.75		
-21.97   	-31.13   	114.51   	-452.69		113.35   	-264.50		
-27.77   	-30.82   	112.70   	-437.43		112.29   	-254.32		
-29.60   	-29.91   	110.95   	-417.09		111.27   	-239.06		
-25.94   	-29.30   	109.28   	-391.66		110.31   	-233.98		
-19.84   	-28.69   	107.71   	-361.14		109.38   	-218.72		
-14.34   	-26.25   	106.27   	-330.62		108.50   	-218.72		
-10.99   	-21.67   	104.94   	-305.19		107.63   	-203.46		
-10.07   	-17.70   	103.72   	-274.67		106.82   	-198.37		
-11.90   	-19.23   	102.62   	-254.32		106.02   	-188.20		
-17.09   	-27.47   	101.61   	-233.98		105.27   	-183.11		
-23.50   	-38.76   	100.67   	-218.72		104.54   	-167.85		
-28.69   	-45.78   	 99.80   	-198.37		103.87   	-162.77		
-28.99   	-43.33   	 99.00   	-188.20		103.21   	-157.68		
-24.72   	-32.65   	 98.25   	-178.03		102.58   	-147.51		
-18.31   	-22.89   	 97.54   	-172.94		101.99   	-142.42		
-13.73   	-22.28   	 96.85   	-167.85		101.42   	-137.33		
-14.04   	-32.65   	 96.17   	-157.68		100.87   	-137.33		
-17.70   	-47.91   	 95.54   	-157.68		100.33   	-137.33		
-21.36   	-58.29   	 94.91   	-152.59		 99.78   	-137.33		
-22.58   	-56.76   	 94.30   	-147.51		 99.23   	-137.33		
-20.14   	-45.17   	 93.71   	-142.42		 98.68   	-137.33		
-16.17   	-32.04   	 93.14   	-142.42		 98.13   	-142.42		
-13.73   	-26.86   	 92.57   	-142.42		 97.56   	-142.42		
-14.04   	-32.65   	 92.00   	-132.25		 96.99   	-137.33		
-15.87   	-44.86   	 91.47   	-127.16		 96.44   	-137.33		
-17.70   	-54.93   	 90.97   	-122.07		 95.89   	-132.25		
-19.53   	-58.29   	 90.48   	-122.07		 95.36   	-127.16		
-22.28   	-56.15   	 89.99   	-111.90		 94.85   	-127.16		
-25.33   	-53.10   	 89.54   	-111.90		 94.34   	-116.99		
-27.16   	-53.41   	 89.09   	-106.82		 93.88   	-116.99		
-26.55   	-57.37   	 88.67   	-106.82		 93.41   	-111.90		
-23.80   	-61.65   	 88.24   	 -96.64		 92.96   	-111.90		
-20.45   	-63.48   	 87.85   	 -96.64		 92.51   	-106.82		
-19.23   	-62.87   	 87.47   	 -91.56		 92.09   	-101.73		
-19.84   	-61.04   	 87.10   	 -91.56		 91.68   	-106.82		
-22.89   	-59.20   	 86.73   	 -81.38		 91.25   	-101.73		
-27.47   	-58.29   	 86.41   	 -86.47		 90.84   	-101.73		
-32.35   	-56.76   	 86.06   	 -76.30		 90.44   	-101.73		
-34.48   	-56.15   	 85.76   	 -76.30		 90.03   	-101.73		
-32.35   	-56.46   	 85.45   	 -76.30		 89.62   	-101.73		
-25.94   	-58.29   	 85.15   	 -76.30		 89.22   	-101.73		
-18.92   	-58.90   	 84.84   	 -71.21		 88.81   	-101.73		
-14.04   	-54.32   	 84.56   	 -71.21		 88.40   	-106.82		
-12.51   	-41.81   	 84.27   	 -71.21		 87.98   	-101.73		
-12.82   	-23.80   	 83.99   	 -71.21		 87.57   	-101.73		
-12.82   	 -6.71   	 83.70   	 -71.21		 87.16   	-101.73		
-10.38   	  2.75   	 83.42   	 -71.21		 86.75   	 -96.64		
 -7.02   	  3.05   	 83.13   	 -66.12		 86.37   	 -96.64		
 -4.27   	 -3.66   	 82.87   	 -71.21		 85.98   	 -91.56		
 -4.27   	-12.21   	 82.58   	 -71.21		 85.62   	 -86.47		
 -7.02   	-18.62   	 82.30   	 -71.21		 85.27   	 -81.38		
 -9.46   	-17.40   	 82.01   	 -76.30		 84.94   	 -76.30		
 -6.10   	 -7.63   	 81.71   	 -71.21		 84.64   	 -81.38		
  2.44   	  8.54   	 81.42   	 -71.21		 84.31   	 -76.30		
 12.51   	 23.19   	 81.14   	 -71.21		 84.01   	 -76.30		
 18.92   	 28.69   	 80.85   	 -66.12		 83.70   	 -76.30		
 19.84   	 21.06   	 80.59   	 -66.12		 83.40   	 -81.38		
 19.23   	  4.27   	 80.33   	 -66.12		 83.07   	 -81.38		
 21.67   	-14.04   	 80.06   	 -61.04		 82.75   	 -81.38		
 27.16   	-27.77   	 79.82   	 -61.04		 82.42   	 -81.38		
 29.91   	-33.87   	 79.57   	 -61.04		 82.10   	 -81.38		
 25.94   	-33.57   	 79.33   	 -55.95		 81.77   	 -76.30		
 17.40   	-30.52   	 79.10   	 -55.95		 81.46   	 -81.38		
 10.07   	-29.91   	 78.88   	 -55.95		 81.14   	 -76.30		
  7.32   	-37.54   	 78.66   	 -55.95		 80.83   	 -76.30		
  5.80   	-53.71   	 78.43   	 -55.95		 80.53   	 -76.30		
  0.92   	-72.63   	 78.21   	 -55.95		 80.22   	 -71.21		
-10.68   	-87.28   	 77.99   	 -55.95		 79.94   	 -71.21		
-23.50   	-95.52   	 77.76   	 -55.95		 79.65   	 -66.12		
-30.82   	-100.40   	 77.54   	 -50.86		 79.39   	 -61.04		
-29.30   	-104.98   	 77.33   	 -55.95		 79.15   	 -66.12		
-23.80   	-108.95   	 77.11   	 -55.95		 78.88   	 -55.95		
-21.67   	-108.34   	 76.89   	 -55.95		 78.66   	 -55.95		
-26.86   	-102.84   	 76.66   	 -50.86		 78.43   	 -55.95		
-36.01   	-97.35   	 76.46   	 -50.86		 78.21   	 -55.95		
-42.11   	-98.57   	 76.26   	 -50.86		 77.99   	 -55.95		
-41.81   	-105.90   	 76.05   	 -50.86		 77.76   	 -50.86		
-37.84   	-113.83   	 75.85   	 -50.86		 77.56   	 -55.95		
-36.62   	-115.36   	 75.65   	 -50.86		 77.33   	 -55.95		
-40.28   	-108.95   	 75.44   	 -55.95		 77.11   	 -55.95		
-46.69   	-98.57   	 75.22   	 -50.86		 76.89   	 -61.04		
-50.96   	-91.55   	 75.01   	 -55.95		 76.64   	 -55.95		
-50.35   	-92.77   	 74.79   	 -50.86		 76.42   	 -66.12		
-48.52   	-101.62   	 74.59   	 -50.86		 76.15   	 -61.04		
-50.66   	-110.17   	 74.38   	 -50.86		 75.91   	 -61.04		
-58.59   	-109.25   	 74.18   	 -45.78		 75.67   	 -61.04		
-67.14   	-88.50   	 74.00   	 -45.78		 75.42   	 -61.04		
-65.00   	-41.20   	 73.81   	 -45.78		 75.18   	 -61.04		
-37.84   	 26.55   	 73.63   	 -35.61		 74.93   	 -50.86		
 23.50   	100.71   	 73.49   	 -40.69		 74.73   	 -55.95		
119.93   	167.24   	 73.33   	 -35.61		 74.51   	 -45.78		
240.48   	221.25   	 73.18   	 -35.61		 74.32   	 -45.78		
364.07   	275.57   	 73.04   	 -30.52		 74.14   	 -40.69		
465.09   	352.78   	 72.92   	 -35.61		 73.98   	 -40.69		
518.80   	460.21   	 72.78   	 -35.61		 73.81   	 -40.69		
503.54   	570.07   	 72.63   	 -40.69		 73.65   	 -35.61		
413.21   	633.24(R)	 72.47   	 -35.61		 73.51   	 -40.69		
262.76   	609.13   	 72.33   	 -40.69		 73.35   	 -40.69		
 91.25   	488.89   	 72.17   	 -40.69		 73.18   	 -45.78		
-51.88   	312.19   	 72.00   	 -40.69		 73.00   	 -50.86		
-128.48   	139.16   	 71.84   	 -40.69		 72.80   	 -55.95		
-133.97   	 10.68   	 71.68   	 -45.78		 72.57   	 -55.95		
-96.74   	-61.95   	 71.50   	 -40.69		 72.35   	 -66.12		
-55.54   	-91.86   	 71.33   	 -45.78		 72.09   	 -66.12		
-36.01   	-99.49   	 71.15   	 -40.69		 71.82   	 -66.12		
-39.67   	-99.49   	 70.99   	 -45.78		 71.56   	 -71.21		
-51.27   	-93.69   	 70.80   	 -45.78		 71.27   	 -66.12		
-56.15   	-82.70   	 70.62   	 -45.78		 71.01   	 -71.21		
-50.96   	-70.50   	 70.44   	 -50.86		 70.72   	 -61.04		
-42.11   	-63.48   	 70.23   	 -50.86		 70.48   	 -61.04		
-37.23   	-66.53   	 70.03   	 -50.86		 70.23   	 -55.95		
-39.37   	-79.04   	 69.83   	 -55.95		 70.01   	 -50.86		
-44.86   	-93.69   	 69.60   	 -61.04		 69.81   	 -40.69		
-48.22   	-102.54   	 69.36   	 -55.95		 69.64   	 -40.69		
-47.00   	-102.84   	 69.14   	 -61.04		 69.48   	 -30.52		
-42.42   	-96.44   	 68.89   	 -61.04		 69.36   	 -20.35		
-39.06   	-88.20   	 68.65   	 -55.95		 69.28   	 -10.17		
-39.37   	-82.70   	 68.42   	 -61.04		 69.24(D)	   0.00		
-41.50   	-79.96   	 68.18   	 -55.95		 69.24   	  20.35		
-43.03   	-80.26   	 67.95   	 -50.86		 69.32   	  45.78		
-42.42   	-83.01   	 67.75   	 -50.86		 69.50   	  76.30		
-40.59   	-87.28   	 67.55   	 -45.78		 69.81   	 101.73		
-38.76   	-91.25   	 67.36   	 -40.69		 70.21   	 142.42		
-36.93   	-93.69   	 67.20   	 -40.69		 70.78   	 178.03		
-32.96   	-93.08   	 67.04   	 -30.52		 71.50   	 208.54		
-26.55   	-89.11   	 66.92   	 -25.43		 72.33   	 249.24		
-19.84   	-83.01   	 66.82   	 -10.17		 73.33   	 274.67		
-15.87   	-75.68   	 66.77(D)	   5.09		 74.42   	 300.10		
-15.87   	-70.19   	 66.80   	  40.69		 75.63   	 320.45		
-19.53   	-68.97   	 66.96   	  86.47		 76.91   	 340.79		
-24.72   	-72.63   	 67.30   	 152.59		 78.27   	 345.88		
-28.08   	-78.43   	 67.91   	 249.24		 79.65   	 356.05		
-26.86   	-79.96   	 68.91   	 350.97		 81.08   	 356.05		
-19.53   	-74.16   	 70.32   	 447.61		 82.50   	 361.14		
 -9.16   	-63.17   	 72.11   	 544.25		 83.95   	 350.97		
 -1.53   	-54.02   	 74.28   	 620.55		 85.35   	 350.97		
 -1.83   	-52.80   	 76.76   	 681.58		 86.75   	 356.05		
 -9.77   	-58.90   	 79.49   	 727.36		 88.18   	 350.97		
-19.53   	-65.61   	 82.40   	 752.79		 89.58   	 361.14		
-24.41   	-65.92   	 85.41   	 773.14		 91.03   	 366.22		
-20.45   	-58.59   	 88.50   	 778.23		 92.49   	 381.48		
 -8.85   	-48.83   	 91.62   	 773.14		 94.02   	 386.57		
  4.58   	-41.50   	 94.71   	 773.14		 95.56   	 406.92		
 14.95   	-38.76   	 97.80   	 757.88		 97.19   	 412.00		
 20.75   	-36.93   	100.83   	 742.62		 98.84   	 422.18		
 22.58   	-31.13   	103.80   	 722.28		100.53   	 427.26		
 22.58   	-22.28   	106.69   	 701.93		102.24   	 427.26		
 23.50   	-14.34   	109.50   	 671.41		103.95   	 422.18		
 26.25   	-11.60   	112.19   	 645.98		105.64   	 422.18		
 30.21   	-14.04   	114.77   	 605.29		107.32   	 412.00		
 36.32   	-15.87   	117.19   	 579.86		108.97   	 406.92		
 44.56   	-10.99   	119.51   	 544.25		110.60   	 391.66		
 54.02   	  2.14   	121.69   	 508.65		112.17   	 376.40		
 62.56   	 17.40   	123.72   	 483.21		113.67   	 366.22		
 67.75   	 28.08   	125.66   	 447.61		115.14   	 345.88		
 68.97   	 30.52   	127.45   	 427.26		116.52   	 335.71		
 70.19   	 28.08   	129.16   	 391.66		117.86   	 320.45		
 75.07   	 26.86   	130.72   	 366.22		119.15   	 310.27		
 84.53   	 31.13   	132.19   	 340.79		120.39   	 289.93		
 94.60   	 41.20   	133.55   	 315.36		121.55   	 284.84		
100.71   	 53.10   	134.81   	 289.93		122.69   	 269.58		
101.32   	 62.56   	135.97   	 269.58		123.76   	 259.41		
 99.49   	 68.66   	137.05   	 244.15		124.80   	 244.15		
 98.88   	 72.63   	138.03   	 223.80		125.78   	 239.06		
 99.49   	 75.68   	138.92   	 203.46		126.73   	 223.80		
 98.88   	 78.74   	139.73   	 178.03		127.63   	 213.63		
 96.74   	 82.70   	140.45   	 162.77		128.48   	 203.46		
 93.38   	 87.28   	141.10   	 142.42		129.30   	 188.20		
 90.03   	 89.42   	141.67   	 122.07		130.05   	 172.94		
 84.23   	 86.67   	142.16   	 106.82		130.74   	 162.77		
 72.94   	 76.90   	142.58   	  91.56		131.39   	 152.59		
 56.15   	 61.65   	142.95   	  81.38		132.00   	 137.33		
 36.93   	 44.25   	143.28   	  61.04		132.55   	 132.25		
 21.06   	 29.91   	143.52   	  50.86		133.08   	 122.07		
 11.90   	 19.84   	143.72   	  40.69		133.57   	 116.99		
  6.10   	 12.51   	143.89   	  25.43		134.04   	 111.90		
 -0.92   	  3.05   	143.99   	  10.17		134.49   	 106.82		
-10.07   	 -9.77   	144.03(S)	  -5.09		134.91   	  91.56		
-18.31   	-25.02   	144.01   	 -20.35		135.28   	  86.47		
-22.58   	-39.37   	143.93   	 -40.69		135.63   	  66.12		
-23.80   	-48.52   	143.76   	 -45.78		135.89   	  55.95		
-25.33   	-52.19   	143.58   	 -61.04		136.11   	  35.61		
-30.52   	-53.10   	143.34   	 -66.12		136.26   	  20.35		
-36.62   	-54.32   	143.07   	 -76.30		136.34   	   5.09		
-39.67   	-57.37   	142.77   	 -86.47		136.36(S)	 -10.17		
-37.54   	-60.73   	142.42   	-101.73		136.32   	 -20.35		
-34.18   	-62.87   	142.01   	-111.90		136.24   	 -30.52		
-34.48   	-62.26   	141.57   	-127.16		136.11   	 -40.69		
-39.37   	-61.04   	141.06   	-137.33		135.95   	 -55.95		
-44.25   	-61.34   	140.51   	-157.68		135.73   	 -71.21		
-43.64   	-64.70   	139.88   	-167.85		135.44   	 -86.47		
-37.23   	-70.19   	139.21   	-183.11		135.10   	-106.82		
-30.52   	-73.55   	138.47   	-203.46		134.67   	-127.16		
-28.38   	-72.33   	137.66   	-213.63		134.16   	-152.59		
-31.13   	-67.44   	136.81   	-239.06		133.55   	-167.85		
-35.40   	-61.95   	135.85   	-254.32		132.88   	-198.37		
-36.93   	-58.29   	134.83   	-274.67		132.08   	-218.72		
-35.40   	-56.15   	133.73   	-295.01		131.21   	-254.32		
-34.48   	-53.71   	132.55   	-315.36		130.19   	-289.93		
-35.40   	-50.05   	131.29   	-335.71		129.03   	-315.36		
-36.01   	-47.00   	129.95   	-361.14		127.77   	-340.79		
-32.96   	-47.61   	128.50   	-381.48		126.41   	-366.22		
-26.55   	-52.80   	126.98   	-401.83		124.94   	-376.40		
-21.06   	-60.12   	125.37   	-417.09		123.44   	-376.40		
-20.75   	-63.78   	123.70   	-422.18		121.93   	-366.22		
-26.55   	-61.95   	122.01   	-427.26		120.47   	-356.05		
-33.57   	-56.15   	120.30   	-432.35		119.04   	-330.62		
-36.93   	-49.74   	118.58   	-432.35		117.72   	-310.27		
-34.79   	-45.17   	116.85   	-432.35		116.48   	-289.93		
-31.13   	-43.33   	115.12   	-422.18		115.32   	-279.75		
-29.91   	-41.50   	113.43   	-401.83		114.20   	-259.41		
-32.04   	-38.45   	111.82   	-381.48		113.16   	-254.32		
-35.40   	-36.01   	110.29   	-350.97		112.15   	-239.06		
-36.32   	-35.71   	108.89   	-325.53		111.19   	-228.89		
-32.65   	-38.15   	107.59   	-300.10		110.27   	-208.54		
-26.25   	-40.28   	106.39   	-279.75		109.44   	-193.29		
-20.75   	-39.67   	105.27   	-259.41		108.67   	-167.85		
-18.01   	-36.93   	104.23   	-239.06		108.00   	-157.68		
-18.62   	-34.79   	103.28   	-233.98		107.36   	-137.33		
-21.97   	-37.84   	102.34   	-223.80		106.82   	-132.25		
-26.86   	-46.08   	101.44   	-213.63		106.29   	-137.33		
-31.74   	-55.54   	100.59   	-213.63		105.74   	-132.25		
-35.40   	-60.73   	 99.74   	-203.46		105.21   	-142.42		
-36.01   	-60.42   	 98.92   	-203.46		104.64   	-142.42		
-34.18   	-58.59   	 98.11   	-188.20		104.07   	-152.59		
-32.04   	-59.81   	 97.35   	-183.11		103.46   	-152.59		
-30.82   	-64.39   	 96.62   	-172.94		102.85   	-152.59		
-30.82   	-67.75   	 95.93   	-162.77		102.24   	-157.68		
-29.91   	-64.09   	 95.28   	-152.59		101.61   	-167.85		
-27.16   	-53.71   	 94.67   	-142.42		100.94   	-167.85		
-22.58   	-43.33   	 94.10   	-142.42		100.26   	-172.94		
-18.92   	-41.50   	 93.53   	-137.33		 99.57   	-172.94		
-19.84   	-49.74   	 92.98   	-132.25		 98.88   	-172.94		
-25.94   	-62.26   	 92.45   	-127.16		 98.19   	-167.85		
-33.26   	-70.19   	 91.94   	-122.07		 97.52   	-152.59		
-37.84   	-70.50   	 91.45   	-122.07		 96.91   	-142.42		
-39.37   	-66.53   	 90.97   	-111.90		 96.34   	-127.16		
