  I     	  II     	  LV     	  LV'		
-19.23   	 20.14   	 26.33   	-473.04		
-18.62   	 21.67   	 24.44   	-452.69		
-18.92   	 22.58   	 22.62   	-442.52		
-20.14   	 22.28   	 20.85   	-422.18		
-21.97   	 20.75   	 19.17   	-406.92		
-23.50   	 18.31   	 17.54   	-381.48		
-23.19   	 16.17   	 16.01   	-356.05		
-21.67   	 14.95   	 14.59   	-325.53		
-19.84   	 14.65   	 13.29   	-300.10		
-18.62   	 15.26   	 12.09   	-264.50		
-18.62   	 15.56   	 11.03   	-233.98		
-18.31   	 15.56   	 10.09   	-203.46		
-17.70   	 15.56   	  9.28   	-178.03		
-15.87   	 15.56   	  8.57   	-152.59		
-13.73   	 15.87   	  7.96   	-137.33		
-12.21   	 16.78   	  7.41   	-122.07		
-10.99   	 18.31   	  6.92   	-106.82		
 -9.46   	 20.45   	  6.49   	 -96.64		
 -7.93   	 22.28   	  6.10   	 -86.47		
 -6.71   	 23.50   	  5.76   	 -76.30		
 -6.10   	 24.41   	  5.45   	 -71.21		
 -5.80   	 27.77   	  5.17   	 -55.95		
 -4.88   	 36.62   	  4.94   	 -45.78		
 -2.44   	 52.80   	  4.76   	 -35.61		
  1.53   	 74.77   	  4.62   	 -25.43		
  6.10   	 97.35   	  4.52   	 -15.26		
 10.07   	114.44   	  4.46   	 -10.17		
 13.12   	122.99   	  4.42(D)	   0.00		
 14.65   	124.21   	  4.42   	   5.09		
 15.26   	122.07   	  4.44   	  10.17		
 14.65   	122.07   	  4.48   	  10.17		
 14.34   	126.95   	  4.52   	  10.17		
 15.26   	134.89   	  4.56   	   5.09		
 17.70   	141.60   	  4.58   	  10.17		
 21.36   	143.74   	  4.62   	   5.09		
 25.63   	140.38   	  4.64   	  10.17		
 29.60   	133.97   	  4.68   	   5.09		
 34.18   	128.17   	  4.70   	   5.09		
 39.98   	123.90   	  4.72   	   5.09		
 47.61   	118.10   	  4.74   	   5.09		
 56.76   	105.90   	  4.76   	  10.17		
 65.00   	 84.84   	  4.80   	   5.09		
 70.80   	 56.76   	  4.82   	  10.17		
 73.24   	 28.38   	  4.86   	  10.17		
 72.02   	  8.24   	  4.90   	  10.17		
 66.53   	  1.22   	  4.94   	  10.17		
 58.59   	  6.71   	  4.98   	  10.17		
 49.44   	 18.62   	  5.03   	  10.17		
