  I     	  II     	  LV     	  LV'		  FA     	  FA'		
 59.81   	 87.28   	114.79   	 559.51		 74.75   	 -30.52		
 61.95   	 86.36   	117.03   	 381.48		 74.63   	 -35.61		
 66.83   	 87.89   	118.55   	 167.85		 74.49   	 -25.43		
 70.19   	 86.06   	119.23   	 -45.78		 74.38   	 -25.43		
 69.58   	 84.53   	119.04   	-223.80		 74.28   	 -20.35		
 70.80   	 83.92   	118.15   	-345.88		 74.20   	 -10.17		
 70.80   	 81.79   	116.76   	-381.48		 74.16   	  -5.09		
 71.72   	 79.96   	115.24   	-345.88		 74.14   	   5.09		
 69.27   	 77.21   	113.86   	-244.15		 74.16   	  15.26		
 68.66   	 75.07   	112.88   	-106.82		 74.22   	  40.69		
 68.36   	 71.11   	112.45   	  25.43		 74.38   	  71.21		
 66.53   	 68.97   	112.55   	 142.42		 74.67   	 127.16		
 65.92   	 65.31   	113.12   	 228.89		 75.18   	 198.37		
 65.31   	 59.51   	114.04   	 274.67		 75.97   	 310.27		
 63.48   	 57.37   	115.14   	 264.50		 77.21   	 447.61		
 62.56   	 51.27   	116.19   	 203.46		 79.00   	 615.46		
 61.65   	 45.78   	117.01   	 111.90		 81.46   	 757.88		
 60.12   	 39.98   	117.46   	   0.00		 84.50   	 869.78		
 57.98   	 34.48   	117.46   	 -86.47		 87.98   	 900.30		
 54.93   	 28.08   	117.11   	-142.42		 91.58   	 879.96		
 52.19   	 19.84   	116.54   	-142.42		 95.10   	 813.83		
 51.27   	 16.48   	115.97   	 -86.47		 98.35   	 722.28		
 47.91   	  8.24   	115.63   	  15.26		101.24   	 640.89		
 43.64   	  1.22   	115.69   	 132.25		103.80   	 590.03		
 39.67   	 -5.19   	116.22   	 233.98		106.16   	 554.42		
 34.18   	-14.34   	117.15   	 264.50		108.38   	 534.08		
 30.52   	-21.06   	118.21   	 239.06		110.52   	 523.90		
 27.16   	-30.21   	119.17   	 147.51		112.61   	 508.65		
 26.25   	-35.10   	119.76   	  15.26		114.65   	 498.47		
 23.80   	-39.37   	119.82   	-142.42		116.64   	 478.13		
 24.72   	-43.03   	119.25   	-284.84		118.55   	 462.87		
 26.55   	-44.86   	118.11   	-386.57		120.41   	 447.61		
 27.47   	-47.91   	116.56   	-442.52		122.20   	 417.09		
 31.13   	-49.44   	114.79   	-432.35		123.87   	 391.66		
 34.18   	-50.66   	113.06   	-371.31		125.43   	 350.97		
 40.28   	-48.83   	111.58   	-274.67		126.84   	 310.27		
 49.44   	-44.86   	110.48   	-178.03		128.08   	 264.50		
 60.12   	-40.28   	109.77   	-106.82		129.13   	 218.72		
 73.55   	-33.57   	109.34   	 -61.04		130.01   	 172.94		
 88.20   	-25.63   	109.09   	 -55.95		130.70   	 122.07		
103.15   	-15.56   	108.87   	 -76.30		131.19   	  81.38		
117.80   	 -5.49   	108.57   	-132.25		131.52   	  40.69		
133.97   	  7.93   	108.04   	-193.29		131.68(S)	   0.00		
152.89   	 23.80   	107.26   	-249.24		131.68   	 -40.69		
168.46   	 38.76   	106.27   	-305.19		131.52   	 -71.21		
185.55   	 57.98   	105.05   	-361.14		131.23   	-101.73		
202.94   	 76.29   	103.60   	-401.83		130.82   	-132.25		
213.62   	 92.77   	101.99   	-427.26		130.29   	-152.59		
224.61   	108.95   	100.28   	-432.35		129.68   	-172.94		
231.02   	120.85   	 98.56   	-417.09		128.99   	-193.29		
233.15   	132.45   	 96.89   	-376.40		128.22   	-203.46		
232.85   	140.69   	 95.38   	-305.19		127.41   	-213.63		
236.51   	149.23   	 94.16   	-228.89		126.55   	-223.80		
237.43   	156.86   	 93.24   	-239.06		125.66   	-233.98		
238.95   	162.35   	 92.29   	-376.40		124.72   	-233.98		
245.06   	169.07   	 90.78   	-635.81		123.78   	-239.06		
244.75   	173.65   	 88.24   	-940.99		122.83   	-244.15		
245.36   	177.31   	 84.48   	-1230.92		121.85   	-239.06		
246.28   	180.05   	 79.55   	-1444.55		120.89   	-239.06		
246.58   	181.88   	 73.77   	-1551.37		119.94   	-239.06		
248.72   	182.80   	 67.57   	-1541.19		118.98   	-233.98		
250.85   	184.33   	 61.40   	-1434.38		118.05   	-239.06		
254.52   	185.85   	 55.67   	-1251.27		117.09   	-239.06		
254.52   	184.63   	 50.66   	-1022.38		116.13   	-233.98		
254.21   	184.94   	 46.57   	-793.49		115.20   	-239.06		
256.04   	183.72   	 43.40   	-600.20		114.24   	-239.06		
256.96   	182.19   	 41.00   	-462.87		113.29   	-233.98		
260.01   	180.36   	 39.15   	-386.57		112.35   	-239.06		
260.93   	177.92   	 37.60   	-381.48		111.39   	-244.15		
261.23   	177.31   	 36.07   	-437.43		110.42   	-244.15		
259.70   	173.65   	 34.32   	-508.65		109.44   	-244.15		
257.57   	172.73   	 32.29   	-584.94		108.46   	-244.15		
258.48   	173.34   	 29.95   	-635.81		107.49   	-244.15		
259.70   	171.51   	 27.41   	-640.89		106.51   	-239.06		
259.40   	169.98   	 24.84   	-590.03		105.55   	-228.89		
260.93   	169.68   	 22.48   	-498.47		104.64   	-213.63		
263.98   	169.68   	 20.49   	-376.40		103.78   	-203.46		
263.37   	169.07   	 18.98   	-244.15		102.97   	-178.03		
264.59   	169.07   	 18.01   	-116.99		102.26   	-152.59		
266.11   	170.29   	 17.54   	 -20.35		101.65   	-127.16		
264.59   	167.54   	 17.46   	  50.86		101.14   	-106.82		
263.98   	166.02   	 17.66   	  76.30		100.71   	 -86.47		
