  I     	  II     	  AOp     	  AOp'		
-16.17   	-16.78   	116.89   	-132.25		
-12.21   	-14.95   	116.36   	-157.68		
-12.82   	-14.65   	115.73   	-167.85		
-17.09   	-16.17   	115.06   	-178.03		
-22.28   	-17.09   	114.34   	-183.11		
-24.41   	-14.04   	113.61   	-188.20		
-21.67   	 -5.19   	112.86   	-183.11		
-14.65   	 10.07   	112.13   	-193.29		
 -6.41   	 28.38   	111.35   	-198.37		
  0.00   	 46.08   	110.56   	-208.54		
  2.75   	 59.51   	109.72   	-208.54		
  1.83   	 66.83   	108.89   	-218.72		
  1.22   	 70.19   	108.02   	-223.80		
  3.97   	 73.85   	107.12   	-228.89		
 11.90   	 82.09   	106.21   	-228.89		
 23.80   	 97.05   	105.29   	-233.98		
 37.54   	118.71   	104.35   	-233.98		
 49.13   	142.82   	103.42   	-244.15		
 56.76   	164.49   	102.44   	-244.15		
 61.34   	180.05   	101.46   	-244.15		
 63.78   	188.29   	100.49   	-249.24		
 66.53   	191.04   	 99.49   	-244.15		
 70.50   	192.87   	 98.51   	-228.89		
 75.68   	196.53   	 97.60   	-218.72		
 80.87   	201.72   	 96.72   	-193.29		
 84.84   	205.69   	 95.95   	-172.94		
 86.67   	205.69   	 95.26   	-152.59		
 87.28   	201.72   	 94.65   	-122.07		
 86.06   	193.79   	 94.16   	-101.73		
 81.48   	179.75   	 93.75   	 -76.30		
 68.66   	156.56   	 93.45   	 -55.95		
 44.56   	121.46   	 93.22   	 -30.52		
 11.60   	 76.29   	 93.10   	 -10.17		
-21.36   	 28.69   	 93.06   	  10.17		
-44.25   	-13.12   	 93.10   	  25.43		
-51.57   	-43.64   	 93.20   	  40.69		
-47.00   	-63.48   	 93.37   	  40.69		
-39.06   	-75.07   	 93.53   	  45.78		
-34.79   	-81.79   	 93.71   	  35.61		
-36.01   	-86.06   	 93.86   	  25.43		
-39.98   	-88.81   	 93.96   	  15.26		
-44.25   	-91.86   	 94.02   	  10.17		
-47.91   	-95.83   	 94.06   	  -5.09		
-51.57   	-100.40   	 94.04   	 -15.26		
-54.32   	-104.68   	 93.98   	 -25.43		
-55.24   	-108.03   	 93.88   	 -40.69		
-54.02   	-109.56   	 93.71   	-137.33		
-48.52   	-109.56   	 93.16   	-106.82		
-46.69   	-107.42   	 92.74   	-132.25		
-46.08   	-103.76   	 92.21   	-157.68		
-46.39   	-98.88   	 91.58   	-178.03		
-47.00   	-94.30   	 90.86   	-178.03		
-47.30   	-90.33   	 90.15   	-162.77		
-46.69   	-88.20   	 89.50   	-137.33		
-45.78   	-87.59   	 88.95   	 -91.56		
