  I     	  II     	  LV     	  LV'		  FA     	  FA'		
232.24   	491.94   	 11.07   	 -61.04		 81.57   	 -61.04		
232.85   	493.47   	 10.82   	   5.09		 81.32   	 -55.95		
234.38   	491.33   	 10.84   	  76.30		 81.10   	 -55.95		
237.73   	497.74   	 11.15   	 127.16		 80.87   	 -55.95		
242.92   	499.88   	 11.66   	 152.59		 80.65   	 -55.95		
245.97   	503.23   	 12.27   	 147.51		 80.43   	 -55.95		
248.72   	509.64   	 12.86   	 116.99		 80.20   	 -55.95		
243.23   	507.51   	 13.33   	  81.38		 79.98   	 -55.95		
234.38   	504.76   	 13.65   	  45.78		 79.76   	 -55.95		
230.71   	503.54   	 13.84   	  25.43		 79.53   	 -55.95		
233.46   	507.51   	 13.94   	  10.17		 79.31   	 -55.95		
235.90   	512.39   	 13.98   	  20.35		 79.08   	 -50.86		
243.53   	517.27   	 14.06   	  40.69		 78.88   	 -50.86		
256.96   	523.68   	 14.22   	  55.95		 78.68   	 -50.86		
268.55   	527.34   	 14.45   	  71.21		 78.47   	 -45.78		
282.90   	533.75   	 14.73   	  76.30		 78.29   	 -45.78		
299.38   	538.33   	 15.04   	  76.30		 78.11   	 -45.78		
307.62   	544.43   	 15.34   	  55.95		 77.92   	 -40.69		
315.25   	547.49   	 15.56   	  40.69		 77.76   	 -35.61		
324.71   	550.84   	 15.73   	  15.26		 77.62   	 -40.69		
332.95   	557.56   	 15.79   	  -5.09		 77.46   	 -35.61		
333.86   	562.74   	 15.77   	 -35.61		 77.31   	 -40.69		
337.52   	569.76   	 15.63   	 -45.78		 77.15   	 -35.61		
347.90   	581.05   	 15.44   	 -66.12		 77.01   	 -35.61		
364.69   	590.82   	 15.18   	 -66.12		 76.87   	 -35.61		
386.05   	598.14   	 14.91   	 -71.21		 76.72   	 -35.61		
406.49   	605.16   	 14.63   	 -61.04		 76.58   	 -35.61		
405.88   	603.33   	 14.38   	 -55.95		 76.44   	 -30.52		
393.98   	601.20   	 14.16   	 -40.69		 76.32   	 -35.61		
391.85   	611.88   	 14.00   	 -30.52		 76.17   	 -35.61		
391.54   	629.58   	 13.88   	 -15.26		 76.03   	 -30.52		
405.58   	652.16   	 13.81   	   0.00		 75.91   	 -35.61		
417.79   	668.95   	 13.81   	  10.17		 75.77   	 -30.52		
410.46   	666.81   	 13.86   	  15.26		 75.65   	 -35.61		
404.66   	653.08   	 13.92   	  25.43		 75.50   	 -30.52		
387.57   	641.17   	 14.02   	  25.43		 75.38   	 -30.52		
366.82   	639.34   	 14.12   	  20.35		 75.26   	 -30.52		
351.26   	643.31   	 14.20   	  20.35		 75.14   	 -30.52		
322.88   	632.02   	 14.28   	  10.17		 75.01   	 -25.43		
292.66   	600.59   	 14.32   	  10.17		 74.91   	 -25.43		
270.08   	562.74   	 14.36   	  10.17		 74.81   	 -20.35		
253.30   	535.28   	 14.40   	  20.35		 74.73   	 -20.35		
234.07   	521.24   	 14.49   	  40.69		 74.65   	 -20.35		
220.03   	527.95   	 14.65   	  61.04		 74.57   	 -15.26		
213.62   	528.87   	 14.89   	  96.64		 74.51   	 -20.35		
204.77   	521.55   	 15.28   	 127.16		 74.42   	 -15.26		
204.16   	519.10   	 15.79   	 167.85		 74.36   	 -20.35		
206.60   	517.27   	 16.46   	 188.20		 74.28   	 -20.35		
201.72   	525.82   	 17.21   	 193.29		 74.20   	 -25.43		
192.57   	528.87   	 17.99   	 183.11		 74.10   	 -30.52		
192.26   	528.87   	 18.72   	 162.77		 73.98   	 -30.52		
191.04   	529.79   	 19.37   	 142.42		 73.86   	 -35.61		
193.48   	531.01   	 19.94   	 116.99		 73.71   	 -40.69		
202.03   	534.06   	 20.41   	 101.73		 73.55   	 -35.61		
204.47   	536.50   	 20.81   	  96.64		 73.41   	 -40.69		
207.82   	539.86   	 21.20   	 101.73		 73.24   	 -35.61		
206.30   	533.75   	 21.61   	 106.82		 73.10   	 -40.69		
208.74   	534.06   	 22.03   	 106.82		 72.94   	 -35.61		
210.88   	534.67   	 22.46   	 116.99		 72.80   	 -35.61		
212.10   	533.75   	 22.93   	 111.90		 72.65   	 -35.61		
213.01   	535.28   	 23.38   	 106.82		 72.51   	 -35.61		
209.35   	531.62   	 23.80   	  96.64		 72.37   	 -35.61		
205.38   	531.62   	 24.19   	  86.47		 72.23   	 -35.61		
197.14   	530.70   	 24.54   	  91.56		 72.09   	 -35.61		
191.35   	529.48   	 24.90   	  91.56		 71.94   	 -40.69		
177.61   	520.32   	 25.27   	  96.64		 71.78   	 -40.69		
174.56   	499.57   	 25.66   	  86.47		 71.62   	 -40.69		
209.05   	477.29   	 26.00   	  66.12		 71.45   	 -40.69		
266.42   	462.65   	 26.27   	  30.52		 71.29   	 -45.78		
350.95   	472.72   	 26.39   	 -20.35		 71.11   	 -40.69		
458.37   	524.29   	 26.31   	 -81.38		 70.95   	 -45.78		
554.81   	601.81   	 25.98   	-137.33		 70.76   	 -45.78		
657.96   	702.51   	 25.43   	-183.11		 70.58   	 -45.78		
777.28   	832.21   	 24.70   	-208.54		 70.40   	 -45.78		
849.61   	986.02   	 23.87   	-198.37		 70.21   	 -45.78		
919.19   	1148.99   	 23.07   	-167.85		 70.03   	 -40.69		
961.30(R)	1268.31   	 22.40   	-106.82		 69.87   	 -45.78		
848.08   	1207.89   	 21.97   	 -35.61		 69.68   	 -35.61		
614.93   	959.47   	 21.83   	  35.61		 69.54   	 -35.61		
361.33   	617.68   	 21.97   	  96.64		 69.40   	 -30.52		
 97.66   	217.29   	 22.36   	 127.16		 69.28   	 -30.52		
-60.73   	-92.16   	 22.87   	 152.59		 69.16   	 -30.52		
 -1.22   	-215.45   	 23.48   	 157.68		 69.03   	 -25.43		
113.53   	-301.51   	 24.11   	 172.94		 68.93   	 -30.52		
115.36   	-320.74   	 24.80   	 203.46		 68.81   	 -30.52		
136.72   	-257.57   	 25.62   	 244.15		 68.69   	 -30.52		
104.06   	-193.18   	 26.59   	 325.53		 68.57   	 -35.61		
-11.29   	-123.60   	 27.89   	 412.00		 68.42   	 -30.52		
-53.41   	-55.24   	 29.54   	 523.90		 68.30   	 -35.61		
-93.38   	-23.50   	 31.64   	 645.98		 68.16   	 -35.61		
-128.48   	-28.38   	 34.22   	 762.97		 68.02   	 -35.61		
-155.33   	-28.38   	 37.27   	 859.61		 67.87   	 -30.52		
-160.83   	-33.57   	 40.71   	 940.99		 67.75   	 -35.61		
-177.61   	-26.55   	 44.48   	 986.77		 67.61   	 -30.52		
-216.98   	-23.19   	 48.42   	 996.94		 67.49   	 -30.52		
-251.16   	-26.55   	 52.41   	 996.94		 67.36   	 -35.61		
-250.24   	 -6.71   	 56.40   	 996.94		 67.22   	 -30.52		
-226.44   	 14.65   	 60.39   	1068.15		 67.10   	 -35.61		
-197.45   	 43.64   	 64.66   	1236.01		 66.96   	 -30.52		
-143.74   	 95.21   	 69.60   	1475.07		 66.84   	 -35.61		
-84.23   	159.00   	 75.50   	1668.36		 66.69   	 -35.61		
-38.45   	230.10   	 82.18   	1719.22		 66.55   	 -30.52		
 19.53   	300.60   	 89.05   	1546.28		 66.43   	 -35.61		
 60.73   	363.16   	 95.24   	1169.88		 66.29   	 -35.61		
 78.13   	406.19   	 99.92   	 676.50		 66.14   	 -35.61		
 98.88   	431.52   	102.62   	 198.37		 66.00   	 -40.69		
108.34   	444.64   	103.42   	-142.42		 65.84   	 -30.52		
118.71   	456.85   	102.85   	-274.67		 65.72   	 -30.52		
126.65   	463.56   	101.75   	-172.94		 65.59   	 -30.52		
129.70   	467.22   	101.06   	  96.64		 65.47   	 -25.43		
131.23   	470.28   	101.44   	 427.26		 65.37   	 -25.43		
130.00   	469.36   	103.15   	 717.19		 65.27   	 -25.43		
131.84   	469.06   	106.02   	 879.96		 65.17   	 -20.35		
135.50   	470.28   	109.54   	 869.78		 65.09   	 -25.43		
137.33   	469.97   	113.02   	 732.45		 64.98   	 -25.43		
139.16   	467.53   	115.95   	 508.65		 64.88   	 -25.43		
139.16   	466.31   	117.99   	 254.32		 64.78   	 -25.43		
137.94   	461.43   	119.00   	  50.86		 64.68   	 -25.43		
136.72   	460.21   	119.21   	 -81.38		 64.58   	 -20.35		
134.58   	457.15   	118.88   	-106.82		 64.50   	 -20.35		
134.28   	454.71   	118.45   	 -20.35		 64.41   	 -15.26		
135.19   	455.32   	118.37   	 142.42		 64.35   	  -5.09		
133.36   	451.66   	118.94   	 335.71		 64.33   	  10.17		
134.28   	451.36   	120.28   	 478.13		 64.37   	  25.43		
130.62   	445.56   	122.20   	 513.73		 64.48   	  55.95		
127.87   	440.98   	124.25   	 457.78		 64.70   	 101.73		
126.34   	437.62   	126.08   	 330.62		 65.11   	 172.94		
125.12   	433.96   	127.41   	 193.29		 65.80   	 264.50		
123.29   	429.99   	128.18   	  96.64		 66.86   	 366.22		
122.07   	425.42   	128.57   	  71.21		 68.32   	 473.04		
120.54   	421.45   	128.85   	 142.42		 70.21   	 569.68		
117.19   	414.43   	129.42   	 259.41		 72.49   	 630.72		
112.61   	407.71   	130.46   	 391.66		 75.01   	 666.32		
110.17   	401.61   	132.02   	 498.47		 77.68   	 671.41		
