  I     	  II     	  LV     	  LV'		  AO     	  AO'		
-121.46   	-36.93   	213.55   	-345.88		160.10   	 106.82		
-121.46   	-40.59   	212.17   	-376.40		160.53   	  86.47		
-121.77   	-41.20   	210.66   	-417.09		160.87   	  66.12		
-128.48   	-43.95   	208.99   	-457.78		161.14   	  50.86		
-121.46   	-46.39   	207.16   	-503.56		161.34   	  30.52		
-112.00   	-46.08   	205.15   	-569.68		161.46   	  10.17		
-110.17   	-41.50   	202.87   	-635.81		161.50   	 -15.26		
-100.40   	-49.44   	200.32   	-712.10		161.44   	 -35.61		
-93.08   	-47.61   	197.48   	-788.40		161.30   	 -66.12		
-98.57   	-51.57   	194.32   	-859.61		161.04   	 -91.56		
-104.98   	-57.98   	190.88   	-930.82		160.67   	-122.07		
-112.92   	-56.46   	187.16   	-996.94		160.18   	-157.68		
-108.03   	-58.90   	183.17   	-1052.90		159.55   	-193.29		
-110.17   	-59.51   	178.96   	-1119.02		158.78   	-228.89		
-111.08   	-57.98   	174.49   	-1164.80		157.86   	-274.67		
-103.15   	-63.78   	169.83   	-1210.58		156.76   	-310.27		
-108.34   	-75.07   	164.98   	-1251.27		155.52   	-350.97		
-106.20   	-77.51   	159.98   	-1286.87		154.12   	-391.66		
-82.70   	-72.33   	154.83   	-1322.48		152.55   	-427.26		
-45.47   	-41.81   	149.54   	-1347.91		150.84   	-452.69		
-21.36   	  7.63   	144.15   	-1393.69		149.03   	-483.21		
 16.78   	 92.77   	138.58   	-1429.29		147.10   	-503.56		
 52.49   	216.98   	132.86   	-1475.07		145.09   	-513.73		
 77.82   	359.80   	126.96   	-1525.93		143.03   	-523.90		
123.29   	562.44   	120.85   	-1566.63		140.94   	-523.90		
182.80   	809.02   	114.59   	-1597.15		138.84   	-523.90		
207.82   	1026.00   	108.20   	-1602.23		136.74   	-518.82		
198.06   	1212.46   	101.79   	-1597.15		134.67   	-503.56		
 20.45   	1281.13   	 95.40   	-1561.54		132.65   	-493.39		
-384.83   	1182.86   	 89.16   	-1505.59		130.68   	-478.13		
-738.53   	967.10   	 83.13   	-1429.29		128.77   	-457.78		
-1025.70   	712.59   	 77.42   	-1347.91		126.94   	-437.43		
-1157.84   	468.44   	 72.02   	-1261.44		125.19   	-422.18		
-987.24   	357.36   	 66.98   	-1164.80		123.50   	-401.83		
-837.71   	329.59   	 62.32   	-1073.24		121.89   	-381.48		
-760.80   	326.54   	 58.03   	-986.77		120.37   	-366.22		
-643.62   	317.38   	 54.08   	-900.30		118.90   	-350.97		
-533.45   	229.19   	 50.48   	-818.92		117.50   	-335.71		
-419.92   	126.34   	 47.20   	-737.54		116.15   	-320.45		
-310.97   	 43.95   	 44.25   	-645.98		114.87   	-305.19		
-257.57   	-12.21   	 41.67   	-554.42		113.65   	-295.01		
-254.52   	-30.21   	 39.45   	-457.78		112.47   	-284.84		
-259.70   	-22.58   	 37.62   	-350.97		111.33   	-274.67		
-258.18   	-25.33   	 36.22   	-233.98		110.23   	-259.41		
-236.82   	-36.62   	 35.28   	-111.90		109.20   	-254.32		
