  I     	  II     	  LV     	  LV'		  AO     	  AO'		
 -7.93   	-15.56   	106.43   	-152.59		104.88   	 167.85		
-12.82   	-22.89   	105.82   	-569.68		105.55   	  45.78		
-16.48   	-29.30   	103.54   	-681.58		105.74   	-254.32		
-18.01   	-35.71   	100.81   	-564.60		104.72   	-350.97		
-18.92   	-44.56   	 98.56   	-340.79		103.32   	-127.16		
-19.84   	-57.68   	 97.19   	-254.32		102.81   	 -55.95		
-21.06   	-71.41   	 96.17   	-284.84		102.58   	-310.27		
-21.36   	-80.87   	 95.04   	-315.36		101.34   	-371.31		
-19.84   	-81.48   	 93.77   	-488.30		 99.86   	-162.77		
-18.01   	-74.46   	 91.82   	-727.36		 99.21   	-233.98		
-17.40   	-65.61   	 88.91   	-824.00		 98.27   	-437.43		
-18.62   	-61.34   	 85.62   	-885.04		 96.52   	-401.83		
-20.75   	-63.48   	 82.07   	-1108.85		 94.91   	-442.52		
-22.58   	-70.19   	 77.64   	-1373.34		 93.14   	-635.81		
-22.58   	-77.21   	 72.15   	-1017.29		 90.60   	-539.16		
-21.36   	-82.09   	 68.08   	-630.72		 88.44   	 -50.86		
-20.14   	-84.53   	 65.55   	-1052.90		 88.24   	 193.29		
-20.14   	-84.53   	 61.34   	-1683.61		 89.01   	 111.90		
-20.75   	-83.31   	 54.61   	-2166.83		 89.46   	  55.95		
-21.97   	-83.62   	 45.94   	-1993.89		 89.68   	-569.68		
-22.58   	-86.98   	 37.97   	-879.96		 87.41   	-630.72		
-21.36   	-92.77   	 34.45   	 -81.38		 84.88   	 595.11		
-18.62   	-96.44   	 34.12   	  81.38		 87.26   	 808.75		
-16.48   	-95.83   	 34.45   	  71.21		 90.50   	 -71.21		
-16.78   	-91.25   	 34.73   	-132.25		 90.21   	 -66.12		
-20.75   	-86.36   	 34.20   	-462.87		 89.95   	 340.79		
-26.86   	-83.62   	 32.35   	-645.98		 91.31   	  81.38		
-30.82   	-81.18   	 29.77   	-707.02		 91.64   	-223.80		
-30.82   	-76.90   	 26.94   	-712.10		 90.74   	 -81.38		
-27.77   	-71.41   	 24.09   	-707.02		 90.42   	 -45.78		
-24.41   	-69.58   	 21.26   	-666.32		 90.23   	-244.15		
-22.89   	-75.07   	 18.60   	-422.18		 89.26   	-198.37		
-23.80   	-85.45   	 16.91   	-152.59		 88.46   	 116.99		
-25.33   	-93.38   	 16.30   	 -55.95		 88.93   	 172.94		
-25.63   	-92.16   	 16.07   	-106.82		 89.62   	 -40.69		
-25.02   	-82.09   	 15.65   	-295.01		 89.46   	-162.77		
-25.33   	-71.72   	 14.47   	-442.52		 88.81   	-254.32		
-26.25   	-68.97   	 12.70   	-376.40		 87.79   	-233.98		
-26.86   	-74.16   	 11.19   	-203.46		 86.86   	 -40.69		
-25.02   	-80.26   	 10.38   	 -35.61		 86.69   	  50.86		
-21.06   	-78.74   	 10.23   	  76.30		 86.90   	   5.09		
-17.40   	-69.27   	 10.54   	  81.38		 86.92   	 -30.52		
-16.48   	-58.59   	 10.86   	  71.21		 86.80   	 -91.56		
-18.01   	-55.54   	 11.15   	  86.47		 86.43   	  20.35		
-20.75   	-61.95   	 11.50   	  50.86		 86.51   	  66.12		
-22.28   	-72.02   	 11.70   	 -30.52		 86.77   	-172.94		
-22.89   	-79.35   	 11.58   	-116.99		 86.08   	-178.03		
-24.11   	-80.87   	 11.11   	-127.16		 85.37   	 -20.35		
-25.63   	-75.07   	 10.60   	 -25.43		 85.29   	  25.43		
-25.63   	-65.00   	 10.50   	 142.42		 85.39   	  10.17		
-23.19   	-53.71   	 11.07   	 300.10		 85.43   	  25.43		
-18.62   	-44.56   	 12.27   	 335.71		 85.53   	  61.04		
-14.34   	-42.42   	 13.61   	 269.58		 85.78   	  40.69		
-13.43   	-50.35   	 14.69   	 223.80		 85.94   	  66.12		
-16.48   	-66.22   	 15.58   	 208.54		 86.21   	  96.64		
-22.28   	-83.01   	 16.42   	 122.07		 86.59   	  40.69		
-28.08   	-94.30   	 16.91   	 -25.43		 86.75   	 -45.78		
-30.21   	-96.13   	 16.81   	-167.85		 86.57   	 -96.64		
-28.69   	-88.81   	 16.13   	-244.15		 86.18   	-157.68		
-25.02   	-77.21   	 15.16   	-233.98		 85.55   	-208.54		
-22.89   	-67.44   	 14.22   	-122.07		 84.72   	-122.07		
-23.50   	-63.17   	 13.73   	 -35.61		 84.23   	 -66.12		
-26.86   	-65.00   	 13.59   	  61.04		 83.97   	-111.90		
-30.82   	-69.89   	 13.84   	 310.27		 83.52   	 -30.52		
-32.96   	-73.55   	 15.08   	 554.42		 83.40   	 193.29		
-33.57   	-73.85   	 17.29   	 478.13		 84.17   	 356.05		
-32.65   	-72.02   	 19.21   	 -10.17		 85.59   	   0.00		
-31.43   	-69.58   	 19.17   	-503.56		 85.59   	-645.98		
-30.82   	-67.14   	 17.15   	-498.47		 83.01   	-523.90		
-30.52   	-63.17   	 15.16   	-172.94		 80.92   	  96.64		
-29.91   	-54.32   	 14.47   	 152.59		 81.30   	 274.67		
-28.38   	-37.84   	 15.08   	 264.50		 82.40   	 142.42		
-25.33   	-14.95   	 16.13   	 193.29		 82.97   	 -15.26		
-23.50   	  7.32   	 16.91   	 167.85		 82.91   	-274.67		
-25.33   	 21.36   	 17.58   	 152.59		 81.81   	-157.68		
-30.21   	 26.55   	 18.19   	 122.07		 81.18   	 111.90		
-35.10   	 29.60   	 18.68   	  86.47		 81.63   	  35.61		
-34.48   	 42.11   	 19.02   	 -15.26		 81.77   	-111.90		
-25.94   	 68.36   	 18.96   	-162.77		 81.32   	 -96.64		
-12.51   	101.32   	 18.31   	-218.72		 80.94   	 -71.21		
 -0.92   	126.34   	 17.44   	-162.77		 80.65   	 -81.38		
  4.27   	133.06   	 16.79   	 -55.95		 80.33   	 -91.56		
  3.97   	122.07   	 16.56   	  76.30		 79.96   	 -45.78		
  0.92   	101.01   	 16.87   	 167.85		 79.78   	   0.00		
 -1.53   	 80.87   	 17.54   	 218.72		 79.78   	 -20.35		
 -1.22   	 65.92   	 18.41   	 198.37		 79.69   	 -55.95		
 -0.61   	 50.66   	 19.21   	 152.59		 79.47   	 -50.86		
 -2.14   	 28.99   	 19.82   	 101.73		 79.27   	 -15.26		
 -6.71   	 -0.31   	 20.22   	  71.21		 79.21   	   5.09		
-13.43   	-31.13   	 20.51   	  50.86		 79.23   	 -10.17		
-20.45   	-54.93   	 20.71   	  45.78		 79.19   	 -45.78		
-25.33   	-64.70   	 20.90   	  61.04		 79.00   	 -30.52		
-28.38   	-64.39   	 21.14   	 122.07		 78.88   	  45.78		
-30.52   	-65.31   	 21.63   	 193.29		 79.06   	 152.59		
-33.26   	-74.77   	 22.40   	 269.58		 79.67   	  50.86		
-36.32   	-91.25   	 23.48   	 300.10		 79.88   	 -86.47		
-38.45   	-109.56   	 24.68   	 295.01		 79.53   	 -20.35		
-39.67   	-124.82   	 25.86   	 274.67		 79.45   	  55.95		
-40.59   	-134.89   	 26.96   	 198.37		 79.67   	  35.61		
-42.11   	-142.52   	 27.75   	  20.35		 79.82   	 -35.61		
-44.86   	-148.93   	 27.83   	-116.99		 79.67   	-101.73		
-47.00   	-152.89   	 27.37   	-101.73		 79.27   	 -81.38		
-48.22   	-152.28   	 26.96   	 -66.12		 78.94   	  15.26		
-48.52   	-148.62   	 26.69   	-106.82		 79.00   	 -30.52		
-48.52   	-146.18   	 26.27   	-122.07		 78.88   	-167.85		
-49.44   	-146.79   	 25.78   	 -50.86		 78.21   	-152.59		
-51.27   	-147.71   	 25.57   	   5.09		 77.60   	 -86.47		
-54.93   	-141.30   	 25.60   	  55.95		 77.25   	-172.94		
-60.42   	-124.51   	 25.82   	 127.16		 76.56   	-203.46		
-69.27   	-101.62   	 26.33   	 157.68		 75.75   	-101.73		
-80.26   	-83.31   	 26.96   	 178.03		 75.34   	 -71.21		
-89.11   	-76.90   	 27.67   	 239.06		 75.06   	-122.07		
-88.20   	-73.24   	 28.63   	 356.05		 74.57   	 -45.78		
-67.75   	-50.35   	 30.05   	 412.00		 74.38   	 101.73		
-21.06   	 18.92   	 31.70   	 335.71		 74.79   	  86.47		
 54.02   	144.96   	 33.04   	 223.80		 75.14   	 -45.78		
153.81   	297.55   	 33.94   	 183.11		 74.95   	 -30.52		
268.55   	411.07   	 34.67   	 178.03		 74.83   	  30.52		
379.03   	417.79(R)	 35.38   	  45.78		 74.95   	 -10.17		
458.07   	287.17   	 35.56   	 -76.30		 74.91   	-167.85		
476.68   	 59.81   	 35.26(E)	 218.72		 74.24   	-254.32		
417.79   	-173.34   	 36.13   	 727.36		 73.22   	 -76.30		
290.83   	-329.59   	 39.04   	1256.35		 72.92   	 -20.35		
135.80   	-385.74   	 44.07   	1963.37		 72.84   	-152.59		
  4.88   	-378.11   	 51.92   	2889.10		 72.23   	-127.16		
-65.61   	-359.19   	 63.48   	3199.38		 71.72(D)	 122.07		
-73.85   	-351.26   	 76.28   	2187.17		 72.21   	 295.01		
-47.61   	-338.13   	 85.03   	 879.96		 73.39   	  15.26		
-21.67   	-292.97   	 88.54   	 178.03		 73.45   	-152.59		
-16.78   	-213.01   	 89.26   	  25.43		 72.84   	  66.12		
-30.21   	-127.26   	 89.36   	 386.57		 73.10   	 213.63		
-48.52   	-71.41   	 90.91   	 961.34		 73.96   	 406.92		
-60.42   	-61.04   	 94.75   	1307.22		 75.58   	 701.93		
-62.87   	-83.31   	 99.98   	1536.11		 78.39   	1017.29		
-60.12   	-112.00   	106.12   	1454.72		 82.46   	1363.17		
-57.07   	-125.73   	111.94   	 859.61		 87.91   	1368.26		
-56.46   	-119.32   	115.38   	 147.51		 93.39   	1002.03		
-57.37   	-100.71   	115.97   	-879.96		 97.40   	 691.76		
-57.98   	-82.70   	112.45   	-1698.87		100.16   	 172.94		
-56.76   	-72.33   	105.66   	-1500.50		100.85   	-183.11		
-55.85   	-70.50   	 99.65   	-590.03		100.12   	  86.47		
-57.07   	-74.46   	 97.29   	 579.86		100.47   	 284.84		
-60.73   	-79.35   	 99.61   	1719.22		101.61   	 315.36		
-64.39   	-82.40   	106.49   	2090.53		102.87   	 462.87		
-65.92   	-82.09   	114.85   	1342.82		104.72   	 111.90		
-63.78   	-77.82   	120.22   	 172.94		105.17   	-493.39		
-61.04   	-70.50   	120.92   	-610.37		103.19   	-340.79		
-59.51   	-61.65   	118.47   	-651.07		101.83   	 203.46		
-59.51   	-54.32   	115.87   	-462.87		102.64   	 396.74		
-58.90   	-50.35   	114.02   	-666.32		104.23   	 183.11		
-56.15   	-49.13   	111.35   	-427.26		104.96   	-142.42		
-52.80   	-47.00   	109.64   	 503.56		104.39   	 137.33		
-51.88   	-41.20   	111.66   	1068.15		104.94   	 773.14		
-54.93   	-33.57   	115.93   	1012.20		108.04   	 615.46		
-61.04   	-28.38   	119.98   	 849.44		110.50   	 213.63		
-66.53   	-29.60   	123.38   	 849.44		111.35   	 412.00		
-66.83   	-34.48   	126.77   	 467.95		113.00   	 625.63		
-61.34   	-34.18   	128.65   	-508.65		115.50   	  71.21		
-52.19   	-24.41   	126.61   	-1103.76		115.79   	-518.82		
-44.56   	 -8.54   	122.20   	-798.57		113.71   	-239.06		
-42.42   	  7.02   	119.00   	-289.93		112.76   	 228.89		
-44.56   	 18.62   	117.84   	-203.46		113.67   	 -30.52		
-47.00   	 26.55   	117.03   	 162.77		113.55   	-488.30		
-44.86   	 37.23   	117.68   	 915.56		111.60   	 178.03		
-36.93   	 52.19   	121.34   	1032.55		112.31   	 824.00		
-27.16   	 67.75   	125.47   	 645.98		115.60   	 218.72		
-20.45   	 79.35   	128.06   	  30.52		116.48   	-162.77		
-20.75   	 85.14   	128.18   	-712.10		115.83   	 172.94		
-25.63   	 87.59   	125.33   	-1022.38		116.52   	 116.99		
-29.30   	 92.16   	121.24   	-1073.24		116.99   	-213.63		
-26.86   	100.40   	116.95   	-778.23		116.13   	-228.89		
-17.40   	111.08   	113.83   	  25.43		115.22   	 101.73		
 -5.80   	122.38   	113.94   	 966.43		115.63   	 371.31		
  0.92   	130.31   	117.80   	1475.07		117.11   	 534.08		
  0.31   	135.50   	123.70   	1190.23		119.25   	 534.08		
 -5.49   	140.38   	128.46   	 356.05		121.38   	 142.42		
-10.38   	145.57   	129.89(S)	-483.21		121.95   	-340.79		
 -9.16   	151.67   	127.95   	-910.47		120.59   	-356.05		
 -0.61   	157.47   	124.31   	-869.78		119.17   	 -15.26		
 10.07   	162.96   	120.83   	-625.63		119.10   	 233.98		
 16.17   	164.79   	118.33   	-437.43		120.04   	 233.98		
 14.34   	160.22   	116.58   	 269.58		120.98   	  66.12		
  6.10   	147.40   	117.66   	 976.60		121.24   	  50.86		
 -2.44   	129.09   	121.57   	 645.98		121.44   	 188.20		
 -6.41   	111.08   	124.15   	 -30.52		122.20(S)	 -96.64		
 -6.41   	 97.66   	124.03   	-717.19		121.81   	-656.15		
 -6.71   	 88.20   	121.16   	-946.08		119.19   	-686.67		
-12.21   	 77.21   	117.37   	-239.06		116.44   	 193.29		
-22.28   	 60.12   	116.42   	 457.78		117.21   	 737.54		
-32.65   	 36.01   	118.25   	 488.30		120.16   	 213.63		
-39.37   	  6.41   	120.20   	 228.89		121.02   	-208.54		
-42.42   	-24.41   	121.12   	-183.11		120.18   	 -66.12		
-45.17   	-52.19   	120.39   	-569.68		119.92   	-223.80		
-50.66   	-73.24   	118.11   	-605.29		119.02   	-376.40		
-59.20   	-86.06   	115.69   	-391.66		117.52   	 -25.43		
-68.66   	-93.99   	114.12   	 -66.12		117.42   	 142.42		
-76.29   	-102.84   	113.86   	 218.72		117.99   	  40.69		
-80.57   	-116.58   	114.73   	 -25.43		118.15   	 -30.52		
-81.48   	-132.45   	114.63   	-656.15		118.03   	-366.22		
-79.35   	-142.82   	112.00   	-849.44		116.56   	-661.24		
-76.29   	-144.96   	108.61   	-773.14		113.92   	-320.45		
-74.46   	-141.91   	105.51   	-869.78		112.63   	 -45.78		
-74.46   	-138.55   	102.03   	-874.87		112.45   	-340.79		
-75.68   	-138.85   	 98.53   	-778.23		111.09   	-523.90		
-75.68   	-141.30   	 95.42   	-869.78		108.99   	-447.61		
-72.63   	-142.21   	 91.94   	-1098.67		107.20   	-574.77		
-65.31   	-139.16   	 87.55   	-793.49		104.90   	-651.07		
-55.24   	-131.23   	 84.37   	-218.72		102.30   	 -91.56		
-42.72   	-115.05   	 83.50   	-396.74		101.93   	 406.92		
-25.33   	-84.23   	 81.91   	-1007.12		103.56   	  25.43		
  0.61   	-33.87   	 77.88   	-1658.18		103.66   	 208.54		
 34.48   	 37.23   	 71.25   	-2095.62		104.50   	 401.83		
 72.33   	127.26   	 62.87   	-1861.64		106.10   	-554.42		
105.29   	232.54   	 55.42   	-1190.23		103.89   	-691.76		
120.24   	346.07   	 50.66   	-671.41		101.12   	 188.20		
106.20   	450.74   	 47.98   	-188.20		101.87   	  50.86		
 58.29   	517.27(R)	 47.22(E)	 228.89		102.07   	-315.36		
-19.53   	511.17   	 48.14   	 254.32		100.81   	  45.78		
-111.39   	406.80   	 49.16   	 -50.86		101.00   	 198.37		
-198.67   	214.23   	 48.95   	-310.27		101.79   	-106.82		
-267.94   	-14.04   	 47.71   	-498.47		101.36   	-152.59		
-316.77   	-206.60   	 45.72   	-615.46		100.75   	 -35.61		
-350.04   	-303.65   	 43.26   	-391.66		100.61   	-106.82		
-370.48   	-289.92   	 41.69   	  45.78		100.18   	 -25.43		
-373.84   	-205.99   	 41.87   	 457.78		100.08   	 188.20		
-355.22   	-118.10   	 43.70   	 727.36		100.83   	 203.46		
-314.94   	-76.90   	 46.61   	 590.03		101.65   	  15.26		
-262.45   	-96.44   	 48.97   	 152.59		101.71   	-254.32		
-211.79   	-153.81   	 49.58   	 -96.64		100.69   	-417.09		
-172.73   	-212.71   	 49.20   	   5.09		 99.02   	-264.50		
-147.71   	-251.16   	 49.22   	 300.10		 97.97   	 -10.17		
-134.58   	-270.69   	 50.42   	 645.98		 97.92   	  61.04		
-128.78   	-284.12   	 53.00   	 737.54		 98.17   	  20.35		
-128.78   	-301.21   	 55.95   	 528.99		 98.25   	 -96.64		
-133.67   	-320.43   	 58.07   	 473.04		 97.86   	-228.89		
-140.69   	-330.51   	 59.96   	 539.16		 96.95   	-132.25		
-146.48   	-321.04   	 62.12   	 498.47		 96.42   	 -40.69		
-146.79   	-289.92   	 64.11   	 442.52		 96.26   	-157.68		
-140.08   	-245.67   	 65.88   	 442.52		 95.63   	-239.06		
-127.26   	-202.64   	 67.65   	 569.68		 94.67   	-188.20		
-112.92   	-175.17   	 69.93   	 859.61		 93.92   	 -96.64		
-100.10   	-172.42   	 73.37   	1134.28		 93.53   	  30.52		
-87.89   	-196.84   	 77.90   	1246.18		 93.65   	 116.99		
-73.55   	-239.87   	 82.89   	1149.54		 94.12   	 162.77		
-56.46   	-282.59   	 87.49   	 879.96		 94.77   	 193.29		
-39.06   	-303.65   	 91.01   	 569.68		 95.54   	 162.77		
-26.25   	-289.00   	 93.29   	 361.14		 96.19   	  86.47		
-20.45   	-242.31   	 94.73   	 356.05		 96.54   	  55.95		
-18.92   	-183.72   	 96.15   	 528.99		 96.76   	  96.64		
-18.92   	-137.33   	 98.27   	 508.65		 97.15   	  96.64		
-16.78   	-114.75   	100.30   	 188.20		 97.54   	   0.00		
-13.73   	-112.92   	101.06   	 -61.04		 97.54   	-132.25		
 -9.77   	-120.54   	100.81   	 -86.47		 97.01   	 -55.95		
 -4.58   	-127.87   	100.47   	 137.33		 96.78   	 152.59		
  2.44   	-130.00   	101.02   	 417.09		 97.40   	 325.53		
 10.99   	-126.04   	102.69   	 381.48		 98.70   	 320.45		
 19.23   	-116.58   	104.21   	 162.77		 99.98   	 198.37		
 25.02   	-102.54   	104.86   	 -20.35		100.77   	 193.29		
 28.38   	-86.98   	104.78   	-223.80		101.55   	 132.25		
 29.91   	-74.46   	103.89   	-325.53		102.07   	 -35.61		
 30.52   	-65.61   	102.58   	-289.93		101.93   	 -50.86		
 32.35   	-58.29   	101.42   	-193.29		101.73   	 -15.26		
 36.01   	-52.49   	100.65   	-111.90		101.67   	 -81.38		
 43.64   	-49.44   	100.20   	  55.95		101.34   	 -91.56		
 53.71   	-51.57   	100.43   	 264.50		100.98   	  25.43		
 64.09   	-58.90   	101.48   	 376.40		101.08   	 132.25		
 73.24   	-66.53   	102.99   	 335.71		101.61   	 157.68		
 81.18   	-68.97   	104.33   	 183.11		102.24   	 152.59		
 88.81   	-62.56   	105.07   	 -45.78		102.85   	 127.16		
 98.57   	-46.08   	104.88   	-289.93		103.36   	  45.78		
110.47   	-23.80   	103.72   	-442.52		103.54   	 -45.78		
121.15   	 -1.83   	101.95   	-442.52		103.36   	-101.73		
127.87   	 14.65   	100.18   	-345.88		102.95   	-132.25		
129.09   	 25.02   	 98.80   	-228.89		102.42   	-167.85		
125.73   	 33.26   	 97.88   	-106.82		101.75   	-167.85		
121.15   	 45.78   	 97.46   	  -5.09		101.08   	-116.99		
117.80   	 64.70   	 97.44   	  -5.09		100.61   	 -91.56		
116.58   	 86.98   	 97.42   	-111.90		100.24   	-111.90		
116.27   	107.12   	 96.97   	-269.58		 99.80   	-157.68		
113.53   	123.29   	 95.89   	-417.09		 99.17   	-188.20		
105.90   	135.19   	 94.22   	-523.90		 98.41   	-223.80		
 93.99   	142.52   	 92.13   	-579.86		 97.52   	-269.58		
 81.18   	145.57   	 89.81   	-549.34		 96.44   	-279.75		
 70.19   	143.43   	 87.61   	-437.43		 95.32   	-244.15		
 60.42   	135.80   	 85.86   	-295.01		 94.34   	-183.11		
 48.22   	123.90   	 84.68   	-244.15		 93.61   	-172.94		
 31.43   	109.25   	 83.70   	-432.35		 92.92   	-218.72		
