  I     	  II     	  AO     	  AO'		  AO     	  AO'		
-14.34   	256.96   	105.74   	 590.03		102.16   	 518.82		
 -8.24   	275.27   	108.10   	 610.37		104.23   	 518.82		
-11.60   	293.58   	110.54   	 615.46		106.31   	 523.90		
-20.14   	314.03   	113.00   	 595.11		108.40   	 513.73		
-20.75   	340.27   	115.38   	 564.60		110.46   	 508.65		
-12.21   	363.16   	117.64   	 513.73		112.49   	 498.47		
 -3.36   	397.03   	119.69   	 462.87		114.49   	 483.21		
 13.73   	429.99   	121.55   	 412.00		116.42   	 473.04		
 29.60   	452.58   	123.19   	 376.40		118.31   	 457.78		
 35.40   	482.18   	124.70   	 361.14		120.14   	 452.69		
 47.30   	504.15   	126.14   	 366.22		121.95   	 447.61		
 52.80   	520.02   	127.61   	 381.48		123.74   	 442.52		
 47.30   	535.58   	129.13   	 406.92		125.51   	 447.61		
 55.85   	553.59   	130.76   	 427.26		127.30   	 447.61		
 61.95   	560.61   	132.47   	 442.52		129.09   	 447.61		
 62.26   	561.22   	134.24   	 442.52		130.88   	 447.61		
 66.53   	564.27   	136.01   	 442.52		132.67   	 447.61		
 74.46   	554.81   	137.78   	 432.35		134.47   	 452.69		
 87.28   	546.26   	139.51   	 427.26		136.28   	 447.61		
 88.50   	531.92   	141.22   	 427.26		138.07   	 447.61		
 97.96   	509.95   	142.93   	 442.52		139.86   	 442.52		
 83.92   	474.55   	144.70   	 447.61		141.63   	 437.43		
 61.04   	437.32   	146.49   	 452.69		143.38   	 427.26		
 56.15   	400.39   	148.30   	 452.69		145.09   	 422.18		
 39.98   	347.60   	150.11   	 442.52		146.77   	 401.83		
 40.59   	313.11   	151.88   	 412.00		148.38   	 391.66		
 35.71   	267.64   	153.53   	 371.31		149.95   	 376.40		
 17.70   	220.95   	155.01   	 325.53		151.45   	 361.14		
 13.73   	195.92   	156.32   	 269.58		152.90   	 340.79		
  5.19   	169.68   	157.40   	 203.46		154.26   	 320.45		
 -3.36   	146.79   	158.21   	 142.42		155.54   	 295.01		
 -6.71   	126.95   	158.78   	  96.64		156.72   	 279.75		
-16.17   	109.25   	159.17   	  71.21		157.84   	 254.32		
-27.77   	 89.11   	159.45   	  45.78		158.86   	 239.06		
-24.11   	 80.87   	159.63   	  45.78		159.82   	 213.63		
-19.53   	 74.16   	159.82   	  55.95		160.67   	 198.37		
-25.94   	 68.05   	160.04   	  61.04		161.46   	 183.11		
-22.58   	 62.87   	160.28   	  86.47		162.20   	 157.68		
-26.25   	 57.07   	160.63   	  91.56		162.83   	 137.33		
-40.89   	 55.24   	161.00   	 101.73		163.38   	 116.99		
-32.35   	 55.85   	161.40   	  81.38		163.84   	 101.73		
-36.01   	 50.96   	161.73   	  50.86		164.25   	  71.21		
-39.37   	 45.17   	161.93   	   5.09		164.54   	  45.78		
-29.91   	 43.03   	161.95   	 -45.78		164.72   	  20.35		
-26.25   	 41.20   	161.77   	-106.82		164.80   	 -15.26		
-21.97   	 38.76   	161.34   	-167.85		164.74   	 -40.69		
-14.95   	 41.50   	160.67   	-213.63		164.58   	 -76.30		
-25.02   	 35.10   	159.82   	-269.58		164.27   	-111.90		
-28.69   	 27.77   	158.74   	-300.10		163.82   	-147.51		
-27.77   	 30.52   	157.54   	-330.62		163.23   	-188.20		
-36.93   	 27.77   	156.22   	-356.05		162.48   	-228.89		
-33.57   	 26.86   	154.79   	-386.57		161.57   	-264.50		
-28.99   	 21.97   	153.24   	-412.00		160.51   	-305.19		
-33.26   	 11.29   	151.60   	-452.69		159.29   	-345.88		
-43.64   	  8.54   	149.79   	-483.21		157.90   	-386.57		
-41.20   	  7.63   	147.85   	-513.73		156.36   	-427.26		
-40.59   	 10.38   	145.80   	-528.99		154.65   	-457.78		
-48.83   	 12.82   	143.68   	-539.16		152.82   	-483.21		
-44.56   	  7.32   	141.53   	-528.99		150.88   	-508.65		
-47.00   	 10.68   	139.41   	-513.73		148.85   	-523.90		
-56.46   	 13.43   	137.35   	-488.30		146.75   	-534.08		
-47.00   	 20.14   	135.40   	-473.04		144.62   	-544.25		
-42.42   	 29.60   	133.51   	-452.69		142.44   	-539.16		
-49.44   	 25.33   	131.70   	-442.52		140.28   	-539.16		
-55.24   	 24.41   	129.93   	-437.43		138.13   	-523.90		
-65.61   	 25.33   	128.18   	-427.26		136.03   	-518.82		
-63.78   	 33.26   	126.47   	-422.18		133.96   	-498.47		
-51.57   	 41.81   	124.78   	-412.00		131.96   	-488.30		
-44.86   	 43.64   	123.13   	-396.74		130.01   	-462.87		
-46.39   	 45.17   	121.55   	-371.31		128.16   	-447.61		
-54.93   	 43.64   	120.06   	-350.97		126.37   	-427.26		
-47.91   	 45.47   	118.66   	-325.53		124.66   	-406.92		
-47.30   	 56.15   	117.35   	-310.27		123.03   	-386.57		
-31.13   	 61.95   	116.11   	-295.01		121.48   	-366.22		
-21.06   	 68.97   	114.93   	-284.84		120.02   	-350.97		
-37.84   	 65.61   	113.79   	-279.75		118.62   	-340.79		
-32.35   	 68.66   	112.68   	-274.67		117.25   	-320.45		
-36.01   	 69.89   	111.58   	-269.58		115.97   	-315.36		
-48.83   	 63.17   	110.50   	-274.67		114.71   	-300.10		
-38.76   	 71.41   	109.40   	-264.50		113.51   	-289.93		
-38.45   	 68.36   	108.34   	-259.41		112.35   	-284.84		
-45.47   	 66.53   	107.30   	-254.32		111.21   	-274.67		
-39.67   	 71.72   	106.29   	-244.15		110.11   	-269.58		
-36.62   	 61.95   	105.31   	-233.98		109.03   	-259.41		
-45.17   	 61.95   	104.37   	-228.89		108.00   	-249.24		
-44.56   	 64.39   	103.46   	-218.72		107.00   	-249.24		
-46.08   	 57.37   	102.58   	-213.63		106.00   	-233.98		
-49.74   	 65.61   	101.73   	-213.63		105.07   	-233.98		
-44.56   	 62.87   	100.87   	-203.46		104.13   	-228.89		
-41.81   	 59.20   	100.06   	-203.46		103.21   	-218.72		
-31.13   	 62.87   	 99.25   	-198.37		102.34   	-213.63		
-21.06   	 61.34   	 98.45   	-193.29		101.48   	-208.54		
-18.01   	 77.51   	 97.68   	-193.29		100.65   	-208.54		
-14.65   	 97.35   	 96.91   	-188.20		 99.82   	-198.37		
-23.50   	119.32   	 96.15   	-178.03		 99.02   	-198.37		
-18.31   	149.84   	 95.44   	-178.03		 98.23   	-193.29		
-23.80   	143.74   	 94.73   	-167.85		 97.46   	-188.20		
-27.47   	137.63   	 94.06   	-162.77		 96.70   	-183.11		
-25.63   	135.50   	 93.41   	-157.68		 95.97   	-183.11		
-33.87   	128.48   	 92.78   	-152.59		 95.24   	-178.03		
-25.63   	132.75   	 92.17   	-152.59		 94.53   	-172.94		
-10.68   	144.04   	 91.56   	-152.59		 93.83   	-172.94		
  9.77   	138.55   	 90.95   	-147.51		 93.14   	-167.85		
 19.23   	118.71   	 90.36   	-152.59		 92.47   	-157.68		
 11.29   	108.95   	 89.75   	-152.59		 91.84   	-162.77		
 10.68   	100.10   	 89.13   	-152.59		 91.19   	-152.59		
-11.29   	 90.64   	 88.52   	-152.59		 90.58   	-152.59		
-27.47   	 82.70   	 87.91   	-157.68		 89.97   	-152.59		
-26.25   	 78.43   	 87.28   	-152.59		 89.36   	-147.51		
-24.11   	 73.55   	 86.67   	-147.51		 88.77   	-142.42		
-14.95   	 67.14   	 86.08   	-147.51		 88.20   	-147.51		
 -8.24   	 72.63   	 85.49   	-137.33		 87.61   	-137.33		
  6.41   	 79.96   	 84.94   	-132.25		 87.06   	-137.33		
  1.22   	 83.01   	 84.41   	-122.07		 86.51   	-137.33		
 -7.02   	 76.60   	 83.93   	-116.99		 85.96   	-137.33		
 -8.85   	 73.55   	 83.46   	-106.82		 85.41   	-127.16		
-26.55   	 56.15   	 83.03   	-101.73		 84.90   	-132.25		
-52.49   	 35.10   	 82.62   	-101.73		 84.37   	-127.16		
-62.56   	 28.99   	 82.22   	-101.73		 83.87   	-122.07		
-54.93   	 26.55   	 81.81   	-101.73		 83.38   	-122.07		
-56.15   	 35.40   	 81.40   	-101.73		 82.89   	-116.99		
-44.25   	 35.40   	 81.00   	 -96.64		 82.42   	-116.99		
-34.48   	 40.28   	 80.61   	-106.82		 81.95   	-116.99		
-44.86   	 39.37   	 80.18   	-101.73		 81.48   	-111.90		
-34.18   	 36.93   	 79.78   	-101.73		 81.04   	-111.90		
-29.91   	 33.87   	 79.37   	-106.82		 80.59   	-111.90		
-33.57   	 34.48   	 78.94   	-101.73		 80.14   	-106.82		
-27.47   	 31.74   	 78.53   	-101.73		 79.71   	-106.82		
-32.65   	 29.30   	 78.13   	-106.82		 79.29   	-106.82		
-39.98   	 40.28   	 77.70   	 -96.64		 78.86   	-106.82		
-39.98   	 44.86   	 77.31   	-101.73		 78.43   	-101.73		
-46.08   	 44.86   	 76.91   	 -91.56		 78.03   	-106.82		
-49.44   	 46.39   	 76.54   	 -96.64		 77.60   	-101.73		
-44.25   	 44.86   	 76.15   	 -91.56		 77.19   	 -96.64		
-41.20   	 43.64   	 75.79   	 -91.56		 76.81   	 -96.64		
-30.21   	 49.74   	 75.42   	 -91.56		 76.42   	 -96.64		
-36.32   	 53.71   	 75.06   	 -91.56		 76.03   	 -96.64		
-56.15   	 90.33   	 74.69   	 -91.56		 75.65   	 -91.56		
-99.18   	140.99   	 74.32   	 -86.47		 75.28   	 -91.56		
-134.89   	211.49   	 73.98   	 -86.47		 74.91   	 -86.47		
-133.36   	300.29   	 73.63   	 -81.38		 74.57   	 -91.56		
-74.46   	386.96   	 73.31   	 -81.38		 74.20   	 -81.38		
 75.99   	479.43   	 72.98   	 -76.30		 73.88   	 -81.38		
275.27   	559.08   	 72.68   	 -76.30		 73.55   	 -81.38		
516.66   	601.81   	 72.37   	 -81.38		 73.22   	 -81.38		
752.56   	449.22   	 72.04   	 -76.30		 72.90   	 -81.38		
947.57   	 92.47   	 71.74   	 -86.47		 72.57   	 -76.30		
1069.95   	-358.28   	 71.39   	 -86.47		 72.27   	 -76.30		
1049.19   	-811.46   	 71.05   	 -91.56		 71.96   	 -81.38		
935.97   	-1053.16   	 70.68   	 -91.56		 71.64   	 -76.30		
781.86   	-1120.30(R)	 70.32   	 -91.56		 71.33   	 -81.38		
637.51   	-1098.63   	 69.95   	 -91.56		 71.01   	 -81.38		
531.62   	-1001.28   	 69.58   	 -86.47		 70.68   	 -76.30		
462.65   	-897.83   	 69.24   	 -86.47		 70.38   	 -81.38		
369.87   	-685.42   	 68.89   	 -76.30		 70.05   	 -86.47		
242.31   	-393.98   	 68.59   	 -71.21		 69.70   	 -81.38		
123.90   	-163.88   	 68.30   	 -71.21		 69.38   	 -81.38		
 16.48   	-12.21   	 68.02   	 -55.95		 69.05   	 -81.38		
-28.08   	 39.37   	 67.79   	 -45.78		 68.73   	 -81.38		
-51.27   	 47.30   	 67.61   	 -25.43		 68.40   	 -76.30		
-61.34   	 62.56   	 67.51   	  -5.09		 68.10   	 -71.21		
-54.93   	 76.29   	 67.49   	  30.52		 67.81   	 -66.12		
-68.36   	 88.81   	 67.61   	  66.12		 67.55   	 -55.95		
-72.33   	 93.99   	 67.87   	 101.73		 67.32   	 -45.78		
-72.33   	 94.91   	 68.28   	 137.33		 67.14   	 -25.43		
-73.85   	103.45   	 68.83   	 162.77		 67.04   	 -10.17		
-68.97   	113.83   	 69.48   	 178.03		 67.00   	  10.17		
-67.75   	115.05   	 70.19   	 172.94		 67.04   	  35.61		
-68.05   	112.92   	 70.88   	 157.68		 67.18   	  55.95		
-69.58   	115.05   	 71.52   	 137.33		 67.41   	  81.38		
-73.55   	120.24   	 72.06   	 111.90		 67.73   	 106.82		
-83.62   	122.68   	 72.51   	 101.73		 68.16   	 127.16		
-87.59   	120.54   	 72.92   	 101.73		 68.67   	 152.59		
-72.63   	131.23   	 73.33   	 111.90		 69.28   	 178.03		
-67.75   	138.24   	 73.77   	 142.42		 69.99   	 203.46		
-64.70   	134.58   	 74.34   	 188.20		 70.80   	 223.80		
-60.12   	140.99   	 75.10   	 228.89		 71.70   	 244.15		
-76.29   	138.24   	 76.01   	 279.75		 72.68   	 269.58		
-89.11   	139.77   	 77.13   	 315.36		 73.75   	 284.84		
-83.31   	151.06   	 78.39   	 345.88		 74.89   	 305.19		
-69.89   	149.54   	 79.78   	 356.05		 76.11   	 325.53		
-62.56   	151.37   	 81.20   	 361.14		 77.42   	 335.71		
-55.85   	155.33   	 82.64   	 361.14		 78.76   	 356.05		
-60.12   	155.33   	 84.09   	 361.14		 80.18   	 366.22		
-71.41   	157.17   	 85.53   	 356.05		 81.65   	 376.40		
-74.77   	162.66   	 86.96   	 356.05		 83.15   	 391.66		
-66.53   	165.41   	 88.38   	 345.88		 84.72   	 396.74		
-63.17   	169.68   	 89.77   	 350.97		 86.31   	 401.83		
-65.00   	180.97   	 91.17   	 366.22		 87.91   	 406.92		
-59.20   	189.82   	 92.63   	 401.83		 89.54   	 417.09		
-68.36   	194.09   	 94.24   	 457.78		 91.21   	 437.43		
-66.53   	203.86   	 96.07   	 513.73		 92.96   	 452.69		
-63.48   	218.81   	 98.13   	 574.77		 94.77   	 473.04		
-68.66   	229.19   	100.43   	 600.20		 96.66   	 493.39		
-72.94   	243.84   	102.83   	 615.46		 98.64   	 508.65		
-73.85   	262.76   	105.29   	 595.11		100.67   	 523.90		
-65.00   	272.22   	107.67   	 559.51		102.77   	 528.99		
-55.85   	279.54   	109.91   	 508.65		104.88   	 534.08		
-39.37   	307.92   	111.94   	 462.87		107.02   	 534.08		
-34.79   	319.52   	113.79   	 437.43		109.16   	 534.08		
-38.45   	344.54   	115.54   	 427.26		111.29   	 528.99		
-35.10   	376.89   	117.25   	 427.26		113.41   	 528.99		
-35.71   	389.71   	118.96   	 447.61		115.52   	 518.82		
-22.28   	426.64   	120.75   	 462.87		117.60   	 508.65		
-13.43   	453.49   	122.60   	 467.95		119.63   	 493.39		
-13.12   	472.41   	124.48   	 473.04		121.61   	 488.30		
 -5.19   	506.29   	126.37   	 457.78		123.56   	 467.95		
 -0.92   	523.68   	128.20   	 447.61		125.43   	 457.78		
  0.61   	539.25   	129.99   	 432.35		127.26   	 452.69		
 22.58   	560.61   	131.72   	 422.18		129.07   	 442.52		
 36.62   	572.81   	133.41   	 422.18		130.84   	 442.52		
 36.62   	579.22   	135.10   	 432.35		132.61   	 437.43		
 51.27   	585.94   	136.83   	 437.43		134.36   	 437.43		
 46.39   	583.19   	138.58   	 442.52		136.11   	 437.43		
 39.67   	572.20   	140.35   	 452.69		137.86   	 442.52		
 57.07   	563.66   	142.16   	 452.69		139.63   	 447.61		
 58.59   	549.32   	143.97   	 432.35		141.42   	 447.61		
 60.42   	523.68   	145.70   	 417.09		143.21   	 447.61		
 70.50   	497.74   	147.36   	 391.66		145.00   	 442.52		
 55.85   	459.90   	148.93   	 371.31		146.77   	 437.43		
 48.22   	410.77   	150.42   	 345.88		148.52   	 432.35		
 41.50   	367.13   	151.80   	 325.53		150.25   	 412.00		
 32.96   	325.01   	153.10   	 310.27		151.90   	 401.83		
 18.01   	280.76   	154.34   	 300.10		153.51   	 376.40		
 10.38   	249.63   	155.54   	 279.75		155.01   	 361.14		
  8.24   	214.54   	156.66   	 269.58		156.46   	 335.71		
 -6.41   	186.16   	157.74   	 239.06		157.80   	 310.27		
-11.60   	161.13   	158.70   	 198.37		159.04   	 284.84		
-20.45   	139.47   	159.49   	 152.59		160.18   	 259.41		
-39.06   	124.51   	160.10   	 116.99		161.22   	 239.06		
-39.06   	108.34   	160.57   	  96.64		162.18   	 218.72		
-33.87   	101.93   	160.96   	  91.56		163.05   	 198.37		
-30.82   	 94.91   	161.32   	 106.82		163.84   	 178.03		
-24.41   	 81.18   	161.75   	 132.25		164.56   	 167.85		
-30.52   	 76.60   	162.28   	 162.77		165.23   	 147.51		
-34.79   	 65.00   	162.93   	 172.94		165.82   	 137.33		
-23.50   	 62.26   	163.62   	 172.94		166.37   	 122.07		
-26.25   	 67.44   	164.31   	 142.42		166.86   	 101.73		
-26.25   	 66.22   	164.88   	  91.56		167.26   	  86.47		
-27.47   	 64.70   	165.25   	  25.43		167.61   	  66.12		
-49.74   	 54.93   	165.35(S)	 -40.69		167.87   	  35.61		
-56.46   	 47.61   	165.19   	-106.82		168.02   	  15.26		
-48.52   	 47.91   	164.76   	-157.68		168.08(S)	 -10.17		
-44.86   	 49.74   	164.13   	-203.46		168.04   	 -45.78		
-40.59   	 50.35   	163.32   	-228.89		167.85   	 -81.38		
-39.98   	 45.47   	162.40   	-254.32		167.53   	-111.90		
-43.33   	 45.47   	161.38   	-269.58		167.08   	-147.51		
-48.83   	 39.37   	160.30   	-295.01		166.49   	-188.20		
-44.86   	 39.67   	159.12   	-325.53		165.74   	-223.80		
-38.76   	 41.20   	157.82   	-371.31		164.84   	-269.58		
-38.45   	 31.13   	156.34   	-412.00		163.76   	-310.27		
-39.06   	 27.77   	154.69   	-462.87		162.52   	-350.97		
-45.47   	 27.77   	152.84   	-503.56		161.12   	-396.74		
-54.93   	 25.02   	150.82   	-539.16		159.53   	-432.35		
-55.24   	 25.94   	148.67   	-559.51		157.80   	-467.95		
-42.42   	 26.86   	146.43   	-564.60		155.93   	-503.56		
-45.17   	 21.67   	144.17   	-564.60		153.92   	-534.08		
-45.47   	 23.80   	141.91   	-549.34		151.78   	-549.34		
-45.17   	 25.63   	139.71   	-528.99		149.58   	-564.60		
-59.81   	 28.69   	137.60   	-513.73		147.32   	-579.86		
-71.11   	 33.87   	135.54   	-498.47		145.00   	-574.77		
-59.81   	 31.43   	133.55   	-483.21		142.71   	-574.77		
-50.96   	 41.50   	131.62   	-473.04		140.41   	-569.68		
-57.68   	 41.81   	129.72   	-457.78		138.13   	-549.34		
-43.03   	 40.89   	127.89   	-447.61		135.93   	-539.16		
-46.69   	 44.25   	126.10   	-432.35		133.77   	-513.73		
-65.61   	 43.33   	124.37   	-412.00		131.72   	-498.47		
-64.39   	 45.78   	122.73   	-386.57		129.72   	-473.04		
-69.27   	 47.30   	121.18   	-366.22		127.83   	-447.61		
-67.44   	 57.98   	119.71   	-340.79		126.04   	-427.26		
-64.09   	 58.90   	118.35   	-320.45		124.33   	-406.92		
-63.17   	 65.31   	117.07   	-310.27		122.71   	-386.57		
-62.87   	 65.00   	115.83   	-295.01		121.16   	-366.22		
-61.65   	 63.78   	114.65   	-289.93		119.69   	-356.05		
-56.15   	 63.48   	113.49   	-284.84		118.27   	-335.71		
-50.05   	 63.48   	112.35   	-284.84		116.93   	-325.53		
-50.05   	 71.11   	111.21   	-279.75		115.63   	-315.36		
-54.32   	 73.24   	110.09   	-274.67		114.36   	-305.19		
-56.76   	 74.16   	108.99   	-269.58		113.14   	-289.93		
