  I     	  II     	  LV     	  LV'		
-11.29   	-26.55   	 26.06   	  20.35		
-11.90   	-27.77   	 26.14   	  20.35		
-13.73   	-29.91   	 26.23   	  20.35		
-14.65   	-31.13   	 26.31   	  25.43		
-14.65   	-31.13   	 26.41   	  20.35		
-13.43   	-29.30   	 26.49   	  30.52		
-11.29   	-27.16   	 26.61   	  30.52		
 -9.16   	-25.02   	 26.73   	  30.52		
 -7.63   	-24.11   	 26.86   	  40.69		
 -5.49   	-25.94   	 27.02   	  45.78		
  0.92   	-33.26   	 27.20   	  50.86		
 17.09   	-48.52   	 27.41   	  55.95		
 50.96   	-71.41   	 27.63   	  66.12		
110.17   	-97.35   	 27.89   	  66.12		
196.53   	-119.02   	 28.16   	  76.30		
304.87   	-128.17   	 28.46   	  81.38		
422.36   	-119.32   	 28.79   	  86.47		
532.23   	-90.33   	 29.14   	  86.47		
615.23   	-35.71   	 29.48   	  96.64		
643.31   	 52.49   	 29.87   	  91.56		
584.41   	181.58   	 30.23   	  96.64		
418.40   	357.06   	 30.62   	  96.64		
152.28   	577.09   	 31.01   	  91.56		
-169.37   	825.81   	 31.37   	  96.64		
-474.24   	1074.22   	 31.76   	 188.20		
-790.10   	1386.72(R)	 32.51   	  96.64		
-751.95   	1352.54   	 32.90   	  96.64		
-603.03   	1166.99   	 33.29   	 101.73		
-393.07   	867.31   	 33.69   	 106.82		
-186.46   	527.65   	 34.12   	 122.07		
-40.28   	231.32   	 34.61   	 142.42		
 18.62   	 30.82   	 35.18   	 157.68		
  6.41   	-67.75   	 35.81   	 188.20		
-33.57   	-95.52   	 36.56   	 223.80		
-59.81   	-93.69   	 37.46   	 259.41		
-59.20   	-90.03   	 38.49   	 310.27		
-41.81   	-94.30   	 39.74   	 361.14		
-26.86   	-101.93   	 41.18   	 417.09		
-22.28   	-107.42   	 42.85   	 473.04		
-25.63   	-108.34   	 44.74   	 528.99		
-28.69   	-106.51   	 46.86   	 579.86		
-27.77   	-103.76   	 49.18   	 620.55		
-23.80   	-102.23   	 51.66   	 661.24		
-20.14   	-102.84   	 54.30   	 691.76		
-19.84   	-105.90   	 57.07   	 707.02		
-21.67   	-109.86   	 59.90   	 717.19		
-22.89   	-113.53   	 62.77   	 717.19		
-22.28   	-115.36   	 65.64   	 717.19		
-20.14   	-115.36   	 68.50   	 717.19		
-18.62   	-114.44   	 71.37   	 701.93		
-18.62   	-114.14   	 74.18   	 696.84		
-19.84   	-114.75   	 76.97   	 691.76		
-20.14   	-115.97   	 79.74   	 681.58		
-18.92   	-117.19   	 82.46   	 676.50		
-17.09   	-118.10   	 85.17   	 671.41		
-16.17   	-119.02   	 87.85   	 671.41		
-16.17   	-119.93   	 90.54   	 666.32		
-16.17   	-121.77   	 93.20   	 676.50		
-15.26   	-123.90   	 95.91   	 671.41		
-13.43   	-126.95   	 98.60   	 671.41		
-11.90   	-129.70   	101.28   	 666.32		
-11.90   	-132.14   	103.95   	 661.24		
-12.51   	-133.97   	106.59   	 651.07		
-12.51   	-135.50   	109.20   	 630.72		
-10.99   	-137.63   	111.72   	 620.55		
 -8.24   	-140.69   	114.20   	 605.29		
 -6.10   	-144.65   	116.62   	 590.03		
 -5.49   	-148.32   	118.98   	 579.86		
 -6.10   	-150.76   	121.30   	 569.68		
 -7.02   	-151.37   	123.58   	 554.42		
 -7.02   	-150.45   	125.80   	 544.25		
 -6.10   	-149.23   	127.98   	 523.90		
 -5.19   	-148.01   	130.07   	 508.65		
 -4.88   	-147.71   	132.11   	 488.30		
 -5.49   	-147.40   	134.06   	 467.95		
 -5.80   	-146.48   	135.93   	 442.52		
 -5.49   	-144.35   	137.70   	 422.18		
 -4.58   	-141.60   	139.39   	 401.83		
 -3.66   	-138.24   	141.00   	 381.48		
 -4.27   	-134.89   	142.52   	 356.05		
 -7.02   	-131.53   	143.95   	 345.88		
-10.99   	-128.17   	145.33   	 325.53		
-15.56   	-124.82   	146.63   	 310.27		
-18.62   	-121.15   	147.87   	 295.01		
-19.84   	-116.88   	149.05   	 274.67		
-20.14   	-111.39   	150.15   	 259.41		
-20.75   	-105.29   	151.19   	 239.06		
-21.36   	-98.57   	152.15   	 223.80		
-22.58   	-91.86   	153.04   	 198.37		
-22.89   	-85.14   	153.83   	 178.03		
-22.28   	-78.13   	154.55   	 157.68		
-21.67   	-70.50   	155.18   	 137.33		
-22.28   	-63.17   	155.73   	 111.90		
-24.41   	-56.46   	156.17   	  91.56		
-28.08   	-50.96   	156.54   	  71.21		
-31.13   	-47.00   	156.83   	  40.69		
-31.74   	-42.72   	156.99   	  15.26		
-29.30   	-37.84   	157.05   	 -15.26		
-25.02   	-32.04   	156.99   	 -45.78		
-20.45   	-25.63   	156.81   	 -81.38		
-17.40   	-19.84   	156.48   	-111.90		
-14.95   	-14.65   	156.03   	-142.42		
-12.21   	-10.07   	155.46   	-183.11		
 -8.54   	 -5.80   	154.73   	-218.72		
 -4.58   	 -2.14   	153.85   	-249.24		
 -1.22   	  0.92   	152.86   	-289.93		
  0.31   	  3.05   	151.70   	-325.53		
 -0.61   	  4.27   	150.40   	-366.22		
 -2.44   	  5.19   	148.93   	-396.74		
 -4.27   	  5.80   	147.34   	-437.43		
 -4.27   	  6.71   	145.59   	-473.04		
 -2.75   	  7.63   	143.70   	-508.65		
 -0.92   	  8.54   	141.67   	-544.25		
 -0.31   	  8.85   	139.49   	-569.68		
 -0.61   	  9.16   	137.21   	-605.29		
 -0.92   	  9.77   	134.79   	-635.81		
 -0.92   	 10.68   	132.25   	-656.15		
  0.00   	 12.21   	129.62   	-676.50		
  1.22   	 13.12   	126.92   	-701.93		
  1.22   	 13.43   	124.11   	-727.36		
  0.00   	 13.12   	121.20   	-752.79		
 -1.22   	 13.43   	118.19   	-788.40		
 -1.83   	 15.26   	115.04   	-829.09		
 -1.22   	 18.92   	111.72   	-864.70		
  0.00   	 24.41   	108.26   	-905.39		
  0.31   	 31.13   	104.64   	-935.91		
 -0.61   	 39.37   	100.89   	-951.17		
 -2.14   	 49.44   	 97.09   	-961.34		
 -3.66   	 60.12   	 93.24   	-956.25		
 -4.27   	 69.27   	 89.42   	-935.91		
 -4.27   	 73.85   	 85.68   	-910.47		
 -3.97   	 73.24   	 82.03   	-885.04		
 -3.36   	 67.44   	 78.49   	-849.44		
 -2.75   	 58.29   	 75.10   	-824.00		
 -2.44   	 47.61   	 71.80   	-793.49		
 -1.83   	 37.23   	 68.63   	-773.14		
 -0.31   	 27.16   	 65.53   	-747.71		
  2.44   	 17.70   	 62.54   	-722.28		
  5.19   	  7.63   	 59.65   	-701.93		
  7.02   	 -3.36   	 56.85   	-676.50		
  7.02   	-15.56   	 54.14   	-645.98		
  4.88   	-27.47   	 51.56   	-615.46		
  2.44   	-37.84   	 49.09   	-574.77		
  0.61   	-45.47   	 46.80   	-534.08		
  0.00   	-50.05   	 44.66   	-493.39		
  0.31   	-51.57   	 42.69   	-457.78		
  0.61   	-50.35   	 40.85   	-412.00		
  1.22   	-45.78   	 39.21   	-381.48		
  1.83   	-38.45   	 37.68   	-345.88		
  2.44   	-28.69   	 36.30   	-315.36		
  3.05   	-18.92   	 35.04   	-284.84		
  3.66   	-10.38   	 33.90   	-259.41		
  3.36   	 -4.88   	 32.86   	-233.98		
  2.14   	 -2.75   	 31.92   	-208.54		
