  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
-321.96   	 52.80   	 46.06   	 -10.17		 47.59   	 -15.26		
-324.10   	 50.96   	 46.02   	 -10.17		 47.53   	 -10.17		
-325.62   	 47.61   	 45.98   	  -5.09		 47.49   	 -15.26		
-326.54   	 42.42   	 45.96   	  -5.09		 47.43   	 -15.26		
-325.93   	 32.96   	 45.94   	 -10.17		 47.37   	 -15.26		
-319.82   	 16.78   	 45.90   	 -15.26		 47.30   	 -20.35		
-301.21   	 -5.80   	 45.84   	 -20.35		 47.22   	 -20.35		
-262.45   	-30.21   	 45.76   	 -25.43		 47.14   	 -20.35		
-202.33   	-49.13   	 45.66   	 -30.52		 47.06   	 -20.35		
-125.43   	-53.10   	 45.53   	 -35.61		 46.98   	 -25.43		
-39.37   	-34.79   	 45.39   	 -35.61		 46.88   	 -25.43		
 51.57   	 10.38   	 45.25   	 -35.61		 46.77   	 -25.43		
144.65   	 82.09   	 45.11   	 -30.52		 46.67   	 -20.35		
228.58   	172.42   	 44.98   	 -25.43		 46.59   	 -25.43		
285.03   	266.72   	 44.88   	 -20.35		 46.49   	 -25.43		
289.00   	350.34   	 44.80   	 -20.35		 46.39   	 -25.43		
212.10   	417.79   	 44.72   	 -10.17		 46.29   	 -25.43		
 29.60   	475.46   	 44.68   	 -15.26		 46.18   	 -15.26		
-266.42   	530.70   	 44.62   	 -15.26		 46.12   	 -20.35		
-660.40   	578.00   	 44.56   	 -10.17		 46.04   	 -15.26		
-1111.15   	602.42   	 44.52   	 -10.17		 45.98   	 -10.17		
-1551.51   	589.60   	 44.48   	 -10.17		 45.94   	 -15.26		
-1912.84   	541.38   	 44.44   	 -10.17		 45.88   	 -15.26		
-2149.35   	477.29   	 44.39   	 -10.17		 45.82   	 -10.17		
-2244.26(R)	419.01   	 44.35   	 -10.17		 45.78   	 -15.26		
-2206.42   	376.28   	 44.31   	 -10.17		 45.72   	 -20.35		
-2071.23   	346.68   	 44.27   	 -10.17		 45.64   	 -15.26		
-1887.21   	321.35   	 44.23   	   0.00		 45.57   	 -20.35		
-1696.78   	289.61   	 44.23   	   5.09		 45.49   	 -15.26		
-1517.94   	237.43   	 44.25   	  15.26		 45.43   	 -20.35		
-1343.08   	151.98   	 44.31   	  30.52		 45.35   	 -15.26		
-1156.92   	 28.08   	 44.44   	  45.78		 45.29   	 -15.26		
-961.00   	-123.29   	 44.62   	  66.12		 45.23   	 -10.17		
-782.17   	-276.79   	 44.88   	 101.73		 45.19   	 -15.26		
-658.26   	-404.36   	 45.29   	 137.33		 45.13   	 -10.17		
-604.86   	-487.98   	 45.84   	 183.11		 45.09   	 -10.17		
-604.55   	-526.12   	 46.57   	 233.98		 45.05   	 -15.26		
-620.42   	-527.95   	 47.51   	 300.10		 44.98   	 -10.17		
-620.42   	-504.76   	 48.71   	 371.31		 44.94   	 -15.26		
-592.96   	-466.61   	 50.19   	 457.78		 44.88   	 -10.17		
-542.91   	-418.09   	 52.02   	 544.25		 44.84   	 -10.17		
-481.87   	-360.72   	 54.20   	 635.81		 44.80   	 -10.17		
-418.40   	-297.85   	 56.74   	 707.02		 44.76   	 -10.17		
-356.14   	-236.51   	 59.57   	 757.88		 44.72   	 -15.26		
-299.99   	-185.55   	 62.60   	 783.31		 44.66   	 -15.26		
-255.43   	-151.98   	 65.74   	 773.14		 44.60   	 -15.26		
-226.44   	-135.19   	 68.83   	 737.54		 44.54   	 -15.26		
-212.71   	-129.39   	 71.78   	 671.41		 44.48   	 -20.35		
-208.44   	-127.56   	 74.47   	 590.03		 44.39   	 -15.26		
-206.30   	-126.34   	 76.83   	 493.39		 44.33   	 -15.26		
-202.03   	-125.12   	 78.80   	 401.83		 44.27   	 -20.35		
-195.31   	-124.51   	 80.41   	 320.45		 44.19   	 -15.26		
-188.90   	-125.12   	 81.69   	 244.15		 44.13   	 -15.26		
-184.63   	-126.65   	 82.66   	 188.20		 44.07   	 -10.17		
-183.11   	-128.17   	 83.42   	 122.07		 44.03   	 -10.17		
-183.41   	-130.62   	 83.91   	  66.12		 43.99   	 -10.17		
-183.41   	-133.06   	 84.17   	  10.17		 43.95   	  -5.09		
-181.58   	-135.19   	 84.21   	 -40.69		 43.93   	   5.09		
-177.00   	-136.11   	 84.05   	 -91.56		 43.95   	  10.17		
-170.90   	-136.11   	 83.68   	-147.51		 43.99   	  20.35		
-165.41   	-136.11   	 83.09   	-208.54		 44.07   	  40.69		
-162.35   	-138.55   	 82.26   	-295.01		 44.23   	  81.38		
-162.96   	-143.74   	 81.08   	-391.66		 44.56   	 137.33		
-166.02   	-150.76   	 79.51   	-483.21		 45.11   	 244.15		
-167.85   	-158.39   	 77.58   	-539.16		 46.08   	 396.74		
-165.71   	-164.79   	 75.42   	-559.51		 47.67   	 600.20		
-159.00   	-169.68   	 73.18   	-554.42		 50.07   	 813.83		
-149.54   	-173.65   	 70.97   	-523.90		 53.33   	 976.60		
-140.99   	-177.92   	 68.87   	-462.87		 57.23   	1042.72		
-136.41   	-182.19   	 67.02   	-381.48		 61.40   	 991.86		
-135.19   	-187.07   	 65.49   	-274.67		 65.37   	 839.26		
-135.80   	-192.87   	 64.39   	-137.33		 68.73   	 640.89		
-134.89   	-200.81   	 63.85   	   0.00		 71.29   	 447.61		
-131.23   	-210.57   	 63.85   	 111.90		 73.08   	 300.10		
-125.12   	-221.56   	 64.29   	 183.11		 74.28   	 218.72		
-118.10   	-232.54   	 65.03   	 203.46		 75.16   	 183.11		
-112.00   	-242.31   	 65.84   	 172.94		 75.89   	 172.94		
