  I     	  II     	  LVp     	  LVp'		
 -8.85   	 38.76   	 48.69   	-742.62		
 -8.24   	 41.81   	 45.72   	-712.10		
 -7.32   	 43.03   	 42.87   	-686.67		
 -7.32   	 40.59   	 40.12   	-661.24		
 -8.24   	 36.62   	 37.48   	-625.63		
 -9.77   	 34.79   	 34.97   	-600.20		
-10.99   	 37.54   	 32.57   	-559.51		
-11.29   	 43.33   	 30.34   	-528.99		
-11.60   	 47.30   	 28.22   	-488.30		
-11.60   	 46.69   	 26.27   	-452.69		
-11.90   	 43.03   	 24.46   	-406.92		
-11.29   	 40.28   	 22.83   	-371.31		
-10.07   	 40.28   	 21.34   	-325.53		
 -8.54   	 42.11   	 20.04   	-289.93		
 -7.32   	 43.64   	 18.88   	-249.24		
 -7.32   	 43.03   	 17.88   	-213.63		
 -8.54   	 40.59   	 17.03   	-172.94		
-10.07   	 37.84   	 16.34   	-147.51		
-10.68   	 36.01   	 15.75   	-116.99		
 -9.46   	 34.18   	 15.28   	 -96.64		
 -7.32   	 31.43   	 14.89   	 -71.21		
 -5.49   	 28.38   	 14.61   	 -50.86		
 -4.58   	 26.25   	 14.40   	 -40.69		
 -5.49   	 25.94   	 14.24   	 -25.43		
 -7.02   	 27.77   	 14.14   	 -15.26		
 -8.24   	 30.82   	 14.08   	 -10.17		
 -8.24   	 34.18   	 14.04   	  -5.09		
 -6.41   	 38.76   	 14.02   	   5.09		
 -3.05   	 46.08   	 14.04   	   0.00		
  1.53   	 57.68   	 14.04   	  10.17		
  6.71   	 75.68   	 14.08   	   5.09		
 11.29   	 99.79   	 14.10   	  10.17		
 14.04   	126.65   	 14.14   	  10.17		
 15.26   	151.98   	 14.18   	  10.17		
 15.26   	170.90   	 14.22   	  10.17		
 14.95   	182.19   	 14.26   	  15.26		
 14.04   	187.38   	 14.32   	  10.17		
 12.51   	191.04   	 14.36   	  10.17		
  9.46   	195.01   	 14.40   	  15.26		
  6.41   	197.14   	 14.47   	  15.26		
  4.88   	195.01   	 14.53   	  10.17		
  6.71   	187.38   	 14.57   	  15.26		
 12.21   	175.78   	 14.63   	  10.17		
 20.45   	164.18   	 14.67   	  10.17		
 28.69   	154.72   	 14.71   	  10.17		
 35.10   	146.48   	 14.75   	  15.26		
 38.76   	135.19   	 14.81   	  10.17		
 40.28   	118.71   	 14.85   	   5.09		
 41.81   	 97.66   	 14.87   	  10.17		
 45.17   	 76.60   	 14.91   	  10.17		
 50.96   	 59.51   	 14.95   	  15.26		
 57.07   	 48.22   	 15.02   	  10.17		
 59.20   	 39.67   	 15.06   	  10.17		
 53.41   	 31.43   	 15.10   	  10.17		
 38.15   	 22.28   	 15.14   	  15.26		
 17.40   	 13.12   	 15.20   	  15.26		
 -3.05   	  3.97   	 15.26   	  20.35		
-17.40   	 -7.63   	 15.34   	  20.35		
-24.41   	-23.19   	 15.42   	  20.35		
-25.33   	-41.50   	 15.50   	  25.43		
-23.50   	-57.98   	 15.61   	  30.52		
-21.67   	-67.44   	 15.73   	  30.52		
-21.06   	-68.66   	 15.85   	  30.52		
-21.67   	-65.00   	 15.97   	  40.69		
-22.58   	-61.04   	 16.13   	  45.78		
-22.89   	-59.20   	 16.32   	  50.86		
-22.89   	-59.51   	 16.52   	  55.95		
-21.97   	-61.04   	 16.74   	  61.04		
-21.06   	-63.17   	 16.99   	  71.21		
-19.84   	-65.00   	 17.27   	  76.30		
-19.23   	-66.22   	 17.58   	  91.56		
-19.23   	-66.53   	 17.94   	  91.56		
-19.84   	-65.92   	 18.31   	 106.82		
-20.45   	-64.09   	 18.74   	 116.99		
-20.75   	-60.42   	 19.21   	 116.99		
-20.75   	-54.63   	 19.67   	 132.25		
-21.97   	-46.69   	 20.20   	 137.33		
-26.25   	-39.37   	 20.75   	 137.33		
-32.96   	-35.71   	 21.30   	 142.42		
-39.37   	-35.40   	 21.87   	 142.42		
-40.28   	-32.35   	 22.44   	 142.42		
-29.60   	-14.95   	 23.01   	 137.33		
 -1.83   	 27.77   	 23.56   	 137.33		
 42.11   	102.84   	 24.11   	 127.16		
 95.83   	214.54   	 24.62   	 116.99		
147.71   	359.50   	 25.09   	 111.90		
188.29   	514.53   	 25.53   	 188.20		
227.97   	658.26(R)	 26.29(E)	  81.38		
231.93   	558.17   	 26.61   	  71.21		
227.05   	348.82   	 26.90   	  66.12		
211.18   	 94.91   	 27.16   	  55.95		
184.33   	-129.70   	 27.39   	  50.86		
150.15   	-280.46   	 27.59   	  50.86		
114.14   	-353.70   	 27.79   	  50.86		
 78.74   	-364.99   	 28.00   	  50.86		
 43.95   	-331.42   	 28.20   	  61.04		
 11.60   	-266.72   	 28.44   	  61.04		
-15.26   	-190.12   	 28.69   	  76.30		
-33.57   	-128.78   	 28.99   	  91.56		
-42.11   	-102.54   	 29.36   	 101.73		
-43.64   	-111.08   	 29.77   	 127.16		
-42.42   	-134.89   	 30.27   	 152.59		
-40.89   	-151.37   	 30.88   	 183.11		
-39.67   	-152.28   	 31.62   	 218.72		
-39.06   	-144.04   	 32.49   	 254.32		
-39.06   	-137.33   	 33.51   	 310.27		
-39.37   	-137.33   	 34.75   	 361.14		
-39.67   	-142.82   	 36.20   	 427.26		
-39.98   	-149.23   	 37.90   	 503.56		
-40.28   	-153.20   	 39.92   	 584.94		
-41.20   	-153.81   	 42.26   	 676.50		
-42.11   	-152.59   	 44.96   	 757.88		
-42.72   	-150.76   	 48.00   	 849.44		
-42.72   	-149.84   	 51.39   	 930.82		
-42.11   	-149.84   	 55.12   	1002.03		
-40.89   	-150.45   	 59.12   	1052.90		
-39.98   	-150.76   	 63.34   	1078.33		
-39.06   	-151.06   	 67.65   	1098.67		
-38.45   	-151.06   	 72.04   	1083.41		
-38.45   	-151.37   	 76.38   	1063.07		
-39.37   	-152.89   	 80.63   	1027.46		
-40.28   	-154.72   	 84.74   	 976.60		
-41.20   	-157.17   	 88.65   	 930.82		
-41.81   	-159.00   	 92.37   	 874.87		
-41.81   	-159.61   	 95.87   	 829.09		
-41.20   	-158.39   	 99.19   	 773.14		
-40.59   	-155.94   	102.28   	 727.36		
-40.59   	-153.81   	105.19   	 681.58		
-40.89   	-152.89   	107.91   	 640.89		
-41.81   	-153.20   	110.48   	 600.20		
-42.11   	-154.42   	112.88   	 569.68		
-42.11   	-155.03   	115.16   	 528.99		
-41.50   	-154.42   	117.27   	 503.56		
-41.20   	-152.28   	119.29   	 478.13		
-41.81   	-149.23   	121.20   	 452.69		
-43.33   	-146.48   	123.01   	 432.35		
-45.17   	-144.96   	124.74   	 417.09		
-46.39   	-144.04   	126.41   	 396.74		
-46.69   	-143.43   	128.00   	 386.57		
-46.69   	-141.30   	129.54   	 376.40		
-46.69   	-137.63   	131.05   	 366.22		
-47.00   	-132.75   	132.51   	 350.97		
-47.61   	-126.95   	133.92   	 350.97		
-47.61   	-120.85   	135.32   	 335.71		
-46.69   	-113.83   	136.66   	 325.53		
-45.47   	-105.90   	137.96   	 320.45		
-43.64   	-96.74   	139.25   	 305.19		
-42.11   	-86.67   	140.47   	 295.01		
-40.28   	-75.38   	141.65   	 284.84		
-37.84   	-63.17   	142.79   	 274.67		
-35.10   	-51.57   	143.89   	 259.41		
-32.65   	-41.20   	144.92   	 244.15		
-30.82   	-31.74   	145.90   	 233.98		
-29.30   	-21.97   	146.84   	 223.80		
-28.08   	-10.38   	147.73   	 208.54		
-25.94   	  3.05   	148.57   	 193.29		
-22.58   	 17.40   	149.34   	 188.20		
-18.92   	 30.21   	150.09   	 172.94		
-14.34   	 41.20   	150.78   	 157.68		
-10.07   	 50.35   	151.41   	 152.59		
 -6.10   	 57.68   	152.02   	 137.33		
 -2.44   	 63.78   	152.57   	 122.07		
  0.31   	 67.75   	153.06   	 111.90		
  2.44   	 69.27   	153.51   	  96.64		
