  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
-62.87   	 45.47   	 85.70   	 -71.21		 85.25   	 -50.86		
-58.90   	 48.52   	 85.41   	 -55.95		 85.05   	 -50.86		
-54.32   	 51.88   	 85.19   	 -40.69		 84.84   	 -45.78		
-47.00   	 53.71   	 85.03   	 -30.52		 84.66   	 -40.69		
-32.96   	 59.81   	 84.90   	 -25.43		 84.50   	 -45.78		
-17.70   	 68.05   	 84.80   	 -35.61		 84.31   	 -40.69		
 -1.83   	 70.50   	 84.66   	 -40.69		 84.15   	 -45.78		
 11.60   	 75.07   	 84.50   	 -45.78		 83.97   	 -45.78		
 18.31   	 74.46   	 84.31   	 -50.86		 83.78   	 -45.78		
 27.16   	 76.90   	 84.11   	 -50.86		 83.60   	 -45.78		
 34.48   	 81.79   	 83.91   	 -50.86		 83.42   	 -45.78		
 36.32   	 88.20   	 83.70   	 -45.78		 83.23   	 -45.78		
 38.45   	 96.74   	 83.52   	 -40.69		 83.05   	 -45.78		
 47.91   	104.98   	 83.36   	 -45.78		 82.87   	 -40.69		
 64.09   	113.22   	 83.17   	 -45.78		 82.71   	 -40.69		
 91.55   	121.46   	 82.99   	 -45.78		 82.54   	 -40.69		
122.38   	130.00   	 82.81   	 -50.86		 82.38   	 -35.61		
125.12   	127.26   	 82.60   	 -61.04		 82.24   	 -35.61		
109.56   	126.65   	 82.36   	 -61.04		 82.10   	 -35.61		
 98.27   	134.89   	 82.12   	 -66.12		 81.95   	 -30.52		
 82.70   	142.82   	 81.85   	 -71.21		 81.83   	 -35.61		
 96.13   	164.18   	 81.57   	 -76.30		 81.69   	 -30.52		
122.99   	185.85   	 81.26   	 -76.30		 81.57   	 -35.61		
117.19   	190.73   	 80.96   	 -71.21		 81.42   	 -30.52		
112.92   	182.80   	 80.67   	 -71.21		 81.30   	 -30.52		
101.93   	172.73   	 80.39   	 -66.12		 81.18   	 -25.43		
 78.43   	168.46   	 80.12   	 -55.95		 81.08   	 -30.52		
 74.16   	171.20   	 79.90   	 -45.78		 80.96   	 -25.43		
 57.37   	167.24   	 79.71   	 -45.78		 80.85   	 -25.43		
 32.35   	144.04   	 79.53   	 -40.69		 80.75   	 -25.43		
  5.19   	103.45   	 79.37   	 -35.61		 80.65   	 -25.43		
-19.84   	 67.14   	 79.23   	 -30.52		 80.55   	 -25.43		
-36.01   	 51.27   	 79.10   	 -30.52		 80.45   	 -25.43		
-54.93   	 46.08   	 78.98   	 -25.43		 80.35   	 -30.52		
-62.56   	 49.74   	 78.88   	 -15.26		 80.22   	 -25.43		
-64.70   	 46.69   	 78.82   	  -5.09		 80.12   	 -25.43		
-67.14   	 35.71   	 78.80   	   5.09		 80.02   	 -30.52		
-63.48   	 36.32   	 78.82   	   5.09		 79.90   	 -25.43		
-65.61   	 40.89   	 78.84   	  10.17		 79.80   	 -30.52		
-67.44   	 42.11   	 78.88   	   0.00		 79.67   	 -25.43		
-68.05   	 45.17   	 78.88   	 -10.17		 79.57   	 -30.52		
-64.70   	 46.39   	 78.84   	 -25.43		 79.45   	 -25.43		
-62.26   	 42.72   	 78.74   	 -45.78		 79.35   	 -30.52		
-58.59   	 44.86   	 78.56   	 -61.04		 79.23   	 -25.43		
-54.63   	 47.91   	 78.31   	 -76.30		 79.12   	 -30.52		
-55.85   	 45.17   	 78.01   	 -86.47		 79.00   	 -25.43		
-53.71   	 44.56   	 77.66   	 -91.56		 78.90   	 -30.52		
-50.96   	 48.52   	 77.29   	 -81.38		 78.78   	 -30.52		
-54.32   	 45.47   	 76.97   	 -76.30		 78.66   	 -30.52		
-55.24   	 43.03   	 76.66   	 -66.12		 78.53   	 -30.52		
-54.02   	 47.30   	 76.40   	 -50.86		 78.41   	 -30.52		
-57.07   	 43.64   	 76.20   	 -35.61		 78.29   	 -30.52		
-55.54   	 45.78   	 76.05   	 -30.52		 78.17   	 -30.52		
-54.63   	 48.83   	 75.93   	 -25.43		 78.05   	 -30.52		
-59.81   	 42.42   	 75.83   	 -20.35		 77.92   	 -35.61		
-68.05   	 35.71   	 75.75   	 -20.35		 77.78   	 -35.61		
-84.23   	 20.14   	 75.67   	 -25.43		 77.64   	 -40.69		
-79.35   	  0.61   	 75.56   	 -25.43		 77.48   	 -35.61		
-34.18   	-17.40   	 75.46   	 -30.52		 77.33   	 -35.61		
 37.84   	-26.55   	 75.34   	 -35.61		 77.19   	 -40.69		
133.67   	-12.51   	 75.20   	 -40.69		 77.03   	 -35.61		
251.77   	 36.62   	 75.04   	 -45.78		 76.89   	 -35.61		
356.75   	114.75   	 74.85   	 -55.95		 76.74   	 -35.61		
467.22   	219.42   	 74.63   	 -66.12		 76.60   	 -35.61		
583.50   	353.09   	 74.36   	 -76.30		 76.46   	 -35.61		
642.40   	509.95   	 74.06   	 -81.38		 76.32   	 -35.61		
