  I     	  II     	  LV     	  LV'		
 30.21   	150.45   	  7.41   	 -15.26		
 23.80   	162.05   	  7.34   	 -15.26		
 23.19   	189.21   	  7.28   	 -15.26		
 26.25   	224.00   	  7.22   	 -15.26		
 28.38   	254.52   	  7.16   	 -15.26		
 29.91   	273.13   	  7.10   	 -10.17		
 33.87   	279.54   	  7.06   	 -10.17		
 43.33   	280.15   	  7.02   	 -10.17		
 59.81   	280.76   	  6.98   	 -10.17		
 78.74   	285.34   	  6.94   	  -5.09		
 91.55   	289.61   	  6.92   	  -5.09		
 91.86   	286.25   	  6.90   	   0.00		
 79.65   	269.78   	  6.90   	   0.00		
 61.04   	239.26   	  6.90   	   5.09		
 42.11   	197.45   	  6.92   	  10.17		
 27.47   	150.76   	  6.96   	  20.35		
 15.26   	104.37   	  7.04   	  20.35		
  3.36   	 63.17   	  7.12   	  30.52		
 -8.54   	 30.52   	  7.24   	  30.52		
-14.95   	  9.77   	  7.37   	  35.61		
-13.12   	  0.31   	  7.51   	  35.61		
 -5.19   	 -0.31   	  7.65   	  30.52		
  2.75   	  2.75   	  7.77   	  25.43		
  4.58   	  3.05   	  7.87   	  10.17		
 -0.92   	 -2.44   	  7.91   	  10.17		
 -8.24   	-10.99   	  7.96   	   5.09		
-11.60   	-17.70   	  7.98   	   0.00		
 -9.46   	-20.14   	  7.98   	  10.17		
 -5.49   	-19.53   	  8.02   	  10.17		
 -5.49   	-20.45   	  8.06   	  20.35		
-11.60   	-26.86   	  8.14   	  20.35		
-19.23   	-36.32   	  8.22   	  25.43		
-22.58   	-43.33   	  8.32   	  20.35		
-18.92   	-45.17   	  8.40   	  20.35		
-11.60   	-42.11   	  8.48   	  15.26		
 -5.49   	-37.54   	  8.55   	  25.43		
 -3.97   	-34.18   	  8.65   	  35.61		
 -5.80   	-31.74   	  8.79   	  45.78		
 -7.02   	-30.82   	  8.97   	  66.12		
 -6.10   	-31.43   	  9.24   	  76.30		
 -2.44   	-32.35   	  9.54   	  86.47		
  3.36   	-29.60   	  9.89   	  91.56		
  9.77   	-19.53   	 10.25   	  91.56		
 16.17   	 -1.53   	 10.62   	  91.56		
 21.97   	 21.36   	 10.99   	  86.47		
 26.86   	 42.72   	 11.33   	  76.30		
 33.57   	 59.20   	 11.64   	  71.21		
 46.39   	 72.63   	 11.92   	  55.95		
 68.05   	 88.50   	 12.15   	  30.52		
100.10   	114.44   	 12.27   	  15.26		
143.13   	152.28   	 12.33   	  -5.09		
198.36   	195.01   	 12.31   	 -20.35		
265.50   	227.05   	 12.23   	 -30.52		
339.05   	229.19   	 12.11   	 -30.52		
410.16   	192.57   	 11.98   	 -30.52		
469.97   	128.78   	 11.86   	 -25.43		
514.22   	 60.42   	 11.76   	 -15.26		
544.13   	  3.36   	 11.70   	   0.00		
564.27   	-50.05   	 11.70(E)	   5.09		
575.56(R)	-134.89   	 11.72   	  20.35		
573.73   	-291.44   	 11.80   	  30.52		
550.23   	-536.19   	 11.92   	  35.61		
501.71   	-843.20   	 12.07   	  50.86		
433.35   	-1154.48   	 12.27   	  66.12		
363.46   	-1407.78   	 12.53   	  91.56		
311.58   	-1562.19   	 12.90   	 116.99		
290.22   	-1611.94   	 13.37   	 152.59		
295.72   	-1575.62   	 13.98   	 183.11		
311.89   	-1479.80   	 14.71   	 218.72		
319.52   	-1351.01   	 15.58   	 254.32		
310.06   	-1212.16   	 16.60   	 284.84		
287.48   	-1078.49   	 17.74   	 325.53		
260.31   	-957.03   	 19.04   	 366.22		
234.68   	-840.76   	 20.51   	 406.92		
209.66   	-716.25   	 22.14   	 447.61		
180.36   	-579.53   	 23.93   	 488.30		
146.79   	-436.40   	 25.88   	 528.99		
112.30   	-299.99   	 28.00   	 554.42		
 78.74   	-180.36   	 30.21   	 584.94		
 43.64   	-77.82   	 32.55   	 615.46		
  0.92   	 10.99   	 35.02   	 640.89		
-50.66   	 85.75   	 37.58   	 676.50		
-101.01   	141.60   	 40.28   	 712.10		
-135.50   	173.95   	 43.13   	 752.79		
-146.18   	186.16   	 46.14   	 793.49		
-137.94   	187.38   	 49.32   	 829.09		
-126.04   	186.16   	 52.63   	 869.78		
-120.85   	188.60   	 56.11   	 900.30		
-123.29   	195.31   	 59.71   	 930.82		
-127.56   	203.86   	 63.44   	 951.17		
-128.17   	211.79   	 67.24   	 966.43		
-126.04   	217.59   	 71.11   	 966.43		
-125.73   	220.95   	 74.97   	 946.08		
-130.31   	222.17   	 78.76   	 915.56		
-136.41   	224.00   	 82.42   	 869.78		
-138.24   	230.10   	 85.90   	 813.83		
-132.75   	239.56   	 89.16   	 747.71		
-123.29   	249.63   	 92.15   	 686.67		
-115.36   	255.43   	 94.89   	 620.55		
-113.53   	256.04   	 97.37   	 559.51		
-117.19   	254.82   	 99.61   	 508.65		
-120.24   	257.87   	101.65   	 473.04		
-118.41   	267.94   	103.54   	 442.52		
-114.75   	280.76   	105.31   	 432.35		
-114.75   	289.61   	107.04   	 417.09		
-119.93   	292.97   	108.71   	 401.83		
-125.43   	296.94   	110.31   	 396.74		
-125.43   	308.23   	111.90   	 381.48		
-118.10   	327.15   	113.43   	 361.14		
-110.17   	346.68   	114.87   	 350.97		
-109.25   	358.58   	116.28   	 335.71		
-117.49   	361.63   	117.62   	 325.53		
-128.78   	362.24   	118.92   	 310.27		
-134.58   	369.57   	120.16   	 300.10		
-132.45   	386.35   	121.36   	 289.93		
-125.43   	409.24   	122.52   	 284.84		
-119.32   	433.35   	123.66   	 274.67		
-116.58   	455.02   	124.76   	 269.58		
-118.41   	470.89   	125.84   	 254.32		
-122.07   	479.74   	126.86   	 239.06		
-124.21   	485.53   	127.81   	 223.80		
-122.38   	492.55   	128.71   	 213.63		
-115.97   	505.37   	129.56   	 198.37		
-106.51   	523.68   	130.36   	 188.20		
-98.57   	541.38   	131.11   	 167.85		
-94.30   	552.06   	131.78   	 157.68		
-93.38   	554.50   	132.41   	 137.33		
-93.99   	552.67   	132.96   	 127.16		
-94.60   	550.84   	133.47   	 106.82		
-93.38   	550.84   	133.90   	  86.47		
-88.20   	552.67   	134.24   	  66.12		
-78.74   	551.76   	134.51   	  40.69		
-65.61   	545.96   	134.67   	  15.26		
-52.19   	531.92   	134.73(S)	 -15.26		
-43.33   	508.42   	134.67   	 -40.69		
-38.15   	479.13   	134.51   	 -71.21		
-33.26   	450.13   	134.22   	 -96.64		
-26.25   	424.80   	133.83   	-122.07		
-17.70   	403.14   	133.35   	-147.51		
 -9.77   	381.47   	132.76   	-178.03		
 -3.66   	355.83   	132.04   	-198.37		
  0.92   	324.71   	131.25   	-233.98		
  5.80   	291.44   	130.31   	-259.41		
 10.38   	258.18   	129.28   	-289.93		
 11.90   	225.83   	128.12   	-315.36		
  9.46   	194.40   	126.86   	-345.88		
  4.58   	164.49   	125.47   	-366.22		
 -0.92   	136.41   	124.01   	-391.66		
 -4.27   	111.08   	122.44   	-422.18		
 -4.88   	 89.42   	120.75   	-442.52		
 -3.36   	 70.50   	118.98   	-473.04		
 -1.22   	 54.32   	117.09   	-498.47		
 -0.92   	 38.76   	115.10   	-528.99		
 -4.58   	 23.80   	112.98   	-549.34		
-11.29   	  9.16   	110.78   	-559.51		
-18.62   	 -3.97   	108.54   	-584.94		
-23.19   	-16.17   	106.21   	-630.72		
-23.80   	-27.16   	103.68   	-712.10		
-21.97   	-36.62   	100.83   	-803.66		
-21.06   	-43.64   	 97.62   	-900.30		
-22.58   	-47.00   	 94.02   	-971.51		
-25.63   	-46.39   	 90.13   	-1012.20		
-28.38   	-43.64   	 86.08   	-1012.20		
-28.69   	-39.67   	 82.03   	-986.77		
-24.72   	-33.26   	 78.09   	-946.08		
-18.92   	-25.63   	 74.30   	-920.65		
-14.95   	-19.23   	 70.62   	-895.22		
-16.17   	-17.40   	 67.04   	-895.22		
-21.97   	-21.36   	 63.46   	-895.22		
-28.69   	-27.16   	 59.88   	-890.13		
-30.21   	-27.77   	 56.32   	-874.87		
-25.63   	-19.84   	 52.82   	-849.44		
-18.92   	 -7.32   	 49.42   	-808.75		
-17.40   	  1.53   	 46.18   	-778.23		
-25.63   	  1.53   	 43.07   	-742.62		
-39.37   	 -5.49   	 40.10   	-722.28		
-49.13   	-10.68   	 37.21   	-696.84		
-47.00   	 -7.32   	 34.43   	-676.50		
-31.74   	  5.49   	 31.72   	-651.07		
-11.60   	 22.58   	 29.11   	-610.37		
  0.61   	 35.40   	 26.67   	-564.60		
 -1.83   	 39.37   	 24.41   	-518.82		
-15.56   	 35.71   	 22.34   	-473.04		
-29.60   	 29.60   	 20.45   	-427.26		
-35.10   	 26.25   	 18.74   	-391.66		
-30.21   	 28.08   	 17.17   	-361.14		
-20.14   	 34.48   	 15.73   	-330.62		
-11.60   	 44.25   	 14.40   	-305.19		
 -8.24   	 56.76   	 13.18   	-269.58		
 -9.46   	 72.02   	 12.11   	-233.98		
-13.73   	 88.20   	 11.17   	-203.46		
-17.40   	102.84   	 10.36   	-162.77		
-18.92   	111.39   	  9.70   	-137.33		
-17.40   	112.00   	  9.16   	-116.99		
-13.43   	106.20   	  8.69   	 -96.64		
 -7.93   	101.93   	  8.30   	 -81.38		
 -2.44   	109.25   	  7.98   	 -71.21		
  2.75   	132.45   	  7.69   	 -61.04		
  8.54   	166.93   	  7.45   	 -45.78		
 13.73   	201.42   	  7.26   	 -35.61		
 17.70   	223.69   	  7.12   	 -20.35		
 19.53   	232.85   	  7.04   	 -15.26		
 21.06   	235.90   	  6.98   	 -10.17		
 23.80   	239.26   	  6.94   	 -10.17		
 28.38   	242.61   	  6.90   	 -10.17		
 34.48   	239.56   	  6.86   	 -10.17		
 39.37   	224.61   	  6.82   	 -10.17		
 40.59   	198.36   	  6.78   	  -5.09		
 36.62   	167.24   	  6.75(D)	   0.00		
 26.55   	134.28   	  6.75   	   5.09		
 12.21   	100.10   	  6.78   	  10.17		
 -2.44   	 65.31   	  6.82   	  15.26		
-13.73   	 31.13   	  6.88   	  20.35		
-18.92   	  0.00   	  6.96   	  20.35		
-19.84   	-27.16   	  7.04   	  30.52		
-21.06   	-52.80   	  7.16   	  30.52		
