  I     	  II     	  LV     	  LV'		
 89.11   	-29.30   	121.95   	  55.95		
 98.27   	-15.26   	122.18   	   0.00		
109.25   	  0.92   	122.18   	 -45.78		
116.58   	 15.56   	121.99   	 -55.95		
127.87   	 32.65   	121.77   	 -30.52		
142.21   	 51.57   	121.65   	  40.69		
156.25   	 74.46   	121.81   	 132.25		
168.76   	 97.66   	122.34   	 244.15		
182.19   	122.07   	123.32   	 340.79		
194.70   	143.43   	124.68   	 406.92		
201.11   	158.39   	126.31   	 447.61		
211.79   	173.65   	128.10   	 442.52		
218.81   	182.50   	129.87   	 401.83		
219.12   	189.21   	131.47   	 335.71		
222.78   	202.03   	132.82   	 259.41		
223.39   	213.93   	133.86   	 178.03		
217.90   	222.78   	134.57   	 101.73		
216.06   	233.46   	134.97   	  35.61		
209.66   	231.02   	135.12   	 -10.17		
201.11   	218.51   	135.08   	 -35.61		
192.26   	206.91   	134.93   	 -55.95		
178.53   	191.35   	134.71   	 -55.95		
165.71   	173.03   	134.49   	 -45.78		
150.76   	155.03   	134.30   	 -35.61		
137.33   	129.09   	134.16   	 -15.26		
123.29   	100.40   	134.10   	   5.09		
110.47   	 72.33   	134.12   	  20.35		
 99.18   	 45.78   	134.20   	  25.43		
 89.42   	 27.16   	134.30   	  35.61		
 79.96   	  8.85   	134.45   	  30.52		
 72.02   	 -7.02   	134.57   	  25.43		
 63.17   	-21.67   	134.67   	  10.17		
 52.49   	-37.84   	134.71   	 -10.17		
 47.00   	-50.96   	134.67   	 -35.61		
 41.20   	-63.48   	134.53   	 -71.21		
 34.79   	-75.38   	134.24   	-106.82		
 33.26   	-81.18   	133.81   	-152.59		
 33.87   	-87.59   	133.20   	-193.29		
 30.82   	-94.60   	132.43   	-228.89		
 30.82   	-95.21   	131.52   	-249.24		
 28.69   	-103.15   	130.52   	-269.58		
 22.28   	-107.12   	129.44   	-289.93		
 22.58   	-105.29   	128.28   	-320.45		
 20.45   	-109.25   	127.00   	-340.79		
 21.06   	-107.42   	125.64   	-325.53		
 21.97   	-111.39   	124.33   	-315.36		
 19.53   	-115.97   	123.07   	-437.43		
 18.31   	-119.93   	121.32   	-742.62		
